ordinal	path	sha256	size_bytes	lfs_required
1	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/active-vocabulary-evidence-impact-ledger-shard-2-v1.tsv	22c9765705c197dd8b5e291d15a088377d71a37ef551fb3d6e73b73f15ad1b69	3040	false
2	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/adaptive-search-query-log-shard-2-v1.tsv	3f34b4e213af40e7a6c9f944ab56ae4e0e82079be36a892cd074ffc819ae8127	12106	false
3	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/adaptive-source-review-census-shard-2-v1.json	dfccd42902c848c7de1d2a9c3f5f02c0ec548c4a23f81a987500cb84ad2467b2	1308	false
4	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/adaptive-source-review-shard-2-v1.tsv	938d746135d107f75c53d49e1e23a797c8235a00f8d983f8d78eb1c05c60559c	3270	false
5	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/external-candidate-family-ledger-shard-2-v1.tsv	9a61b2891ce870c4d6b7b984ba70724603222a1e95a82965ea6bb67ea88de5c3	2957	false
6	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/external-candidate-trigger-applicability-matrix-shard-2-v1.tsv	64d1ed94a18d1ccfb96d7c193751761a75a08116c41e718ec34aaebac9d4d9ce	12559	false
7	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/external-candidate-trigger-occurrence-ledger-shard-2-v1.tsv	966dd2de21b68d533d74881a54d4034762c44d7de4407dd69fcdd0d6a0c5ccf4	5620	false
8	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-ledger-adaptive-source-shard-2-v1.tsv	179e7896ad5fe6374303075da2072dc47afc3a2adb799f061d256e05126542fe	2783	false
9	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/scoped-association-hypothesis-ledger-shard-2-v1.tsv	5b7e04bde8fc0c91f7d141f0ecdccf23579394dafba21e33e91ad512f9ab5a4d	4544	false
10	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/source-rights-ledger-shard-2-v2.tsv	453a9b772b8c176eefe1fad5fdfa99c3b3a0316c070aa7a5d803f8fd4993a3eb	3672	false
11	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/source-scope-reconciliation-ledger-shard-2-v1.tsv	38535b145bad9a73d53952bb9f43b313f7c72fad15331e2665467034ce5597c0	2088	false
12	docs/research/trace-v49-exploration-higher-order-association-closure-round16b/17_ADAPTIVE_SOURCE_REVIEW_SHARD_002_AND_SOURCE_SCOPE_RECONCILIATION.md	8660774adee4dd9b25fc601700075bcc1b51caafd87398c35b99180077cfa4a9	1838	false
