object_sha	byte_size	blob_kind	introduced_after_authorized_source	alias_path_json
000336cbe030ee08523ee530d29d7c71b14bed15	8691	ordinary	false	"data/capture_batch_gsu_contentdm_image_ready_1830_1970_raw/gsu_civil_rights_visual_material_gae_3971.json"
000d9377fbf14aeb12f027a760b7346754666ff4	692109	ordinary	false	"docs/audits/v49-exploration-full-space-closure-round1/raw/png-validation-part-02-v2.tsv"
0010e5c018874e24bbaf133f87078cb72546796e	759	ordinary	false	"docs/research/trace-v49-design-history-relation-grammar-round1/22_IMAGE_BUILD_HANDOFF.md"
001a5602adfcca0d53f4821f6c9335fa2ad4882b	459	ordinary	false	".github/workflows/manual-full-rehearsal.yml"
001d01dbb2a56b236ff9aa655323487615fa6f55	180000	ordinary	false	"data/global_edge_discovery_probe_v1_raw/GED0080.html.txt"
001e358f3c806c9d759d7a610821f8cdc91c7988	419	ordinary	false	".gitattributes"
0023746b79649958fdd973fb3440f63fa5c2c780	14160	ordinary	false	"frontend/src/components/archive/trace/trace-taxonomy.ts"
00322acead5dbb699d1756ad28423ebcc0e803f2	833	ordinary	false	"database/data-migrations/v48-to-v49/prepare-runtime.sql"
004b2f60ea4e17d4670b8d434af90ecd7f0aa8dd	31650	ordinary	false	"data/capture_batch_gsu_contentdm_image_ready_1830_1970_raw/gsu_civil_rights_visual_material_AFLCIO_99083.json"
004f138fbfa7198ab0adb51517481e0b80bdbbe3	7411	ordinary	false	"data/capture_batch_image_ready_1931_1970_raw/vam_object_O587474.json"
004f138fbfa7198ab0adb51517481e0b80bdbbe3	7411	ordinary	false	"data/capture_batch_midcentury_1930_1970_raw/vam_object_O587474.json"
005faaa7a646f428058edc9aea9d509d652b5605	856	ordinary	false	"docs/audits/v49-exploration-full-space-closure-round1/raw/commands/1787841322048-database-freeze-final.meta.json"
0061abc7f158863323ed3bc03a077bda0843b616	10929	ordinary	false	"frontend/src/components/archive/search/SearchWorkspace.tsx"
0061c46dd464441ae552ab8f600348d16e55fa05	171183	ordinary	false	"frontend/public/data/trace-v48/neighborhoods/057.json"
006a8cce16d9956fc5a81d8b258715666a13ba20	3786	ordinary	true	"docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/commands/1787929303306-build-v3-runtime-interaction-integrity-checkpoint011-correction2-network-retry.stdout.log"
00740af9873a63e7d81b2fe756b09d680cfd5d43	15529	ordinary	false	"scripts/build_prefreeze_candidate_v46_loc_duplicate_resolution.py"
0081ded1a02578d2a34192e11ee39215bf2b555f	133	lfs_pointer	true	"docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-14-17-v1.tsv"
