current_state_reconciliation_outcome	next_state_reconciliation_outcome	transition_count	derived_reconciliation_outcome	outcome_severity_rule	record_sha256
RETAINED	RETAINED	7792	RETAINED	MAX_CURRENT_AND_NEXT_STATE_SEVERITY	3ce23322d03acadce8c9d711181da0fd2f7622325208671933b7198d37196a7f
RETAINED	CORRECTED	11280	CORRECTED	MAX_CURRENT_AND_NEXT_STATE_SEVERITY	0f57259d3d97aad03289bcad4b411a41d6690dd05e998c9d7b638d22a6c6fcce
RETAINED	INQUIRY	6480	INQUIRY	MAX_CURRENT_AND_NEXT_STATE_SEVERITY	17c741e710056ec0ec3ee73a1b50392fa7328b55574acd062b1d1087047638ba
RETAINED	REJECTED	6912	REJECTED	MAX_CURRENT_AND_NEXT_STATE_SEVERITY	f1ab359574d9dd0dc6689f61582ec20cfdc41a6c8bbd934ad02ce463f0e70ebf
CORRECTED	RETAINED	38448	CORRECTED	MAX_CURRENT_AND_NEXT_STATE_SEVERITY	44ac8ba9e3d5c9d83e369f88493fabc1f72833d86a89ae41c57fb5652ac3c979
CORRECTED	CORRECTED	145908	CORRECTED	MAX_CURRENT_AND_NEXT_STATE_SEVERITY	ee506fd0cd334838454801fc717d976cb778d25fa11a02587f4bafb2092e6bea
CORRECTED	INQUIRY	41472	INQUIRY	MAX_CURRENT_AND_NEXT_STATE_SEVERITY	2fecbc149a727b8bbf2ec74fcfa9d370d1443958f7bf88b28bc4fbcaaf41917c
CORRECTED	REJECTED	46656	REJECTED	MAX_CURRENT_AND_NEXT_STATE_SEVERITY	c103348772022a43abff9c08146d5711da7dbbc1bbb35a51bd1fc5858e282235
INQUIRY	RETAINED	43920	INQUIRY	MAX_CURRENT_AND_NEXT_STATE_SEVERITY	2e0690bd64dda6f817f8b9e534a34e021abbf62b4edccad1621810046ddcb0e6
INQUIRY	CORRECTED	114312	INQUIRY	MAX_CURRENT_AND_NEXT_STATE_SEVERITY	1d9675b8018393c994b1d5e30272fa9e7559c2d24fe831027f145aeb1ba07caa
INQUIRY	INQUIRY	75300	INQUIRY	MAX_CURRENT_AND_NEXT_STATE_SEVERITY	c8eeb250ef85cce89f5b1b22a14b5c52a6fba6d5e756817bf59b9c0e07d45095
INQUIRY	REJECTED	58968	REJECTED	MAX_CURRENT_AND_NEXT_STATE_SEVERITY	b2073a8e779547dd5b4296f7eee8aef2151f9019ba5d8244b7ce83cc9443ecf3
REJECTED	RETAINED	25272	REJECTED	MAX_CURRENT_AND_NEXT_STATE_SEVERITY	6607dd9daef1579c07ef3b571796a96bf7876ca43f08c2f08f00b4d59cd6376f
REJECTED	CORRECTED	48600	REJECTED	MAX_CURRENT_AND_NEXT_STATE_SEVERITY	7871582c4f861b420310893f93a4e80c8d6858331914289094a42ef9ca404760
REJECTED	INQUIRY	33048	REJECTED	MAX_CURRENT_AND_NEXT_STATE_SEVERITY	e992235f5681ee9de420200768d52680068d84e592b7d7bdb09effeaa1fb04d3
REJECTED	REJECTED	45576	REJECTED	MAX_CURRENT_AND_NEXT_STATE_SEVERITY	9db502a8711102cb55ade80fe819fcb9a10a78d48972d64f6096c567eaa5165b
