parameter_name	parameter_class	authority	legal_values_json	changes_semantic_identity	changes_presentation_identity	higher_order_semantic_obligation	round16a_assumption_status	required_next_action	source_record_sha256	record_sha256
association_set	semantic	validated-association-graph-v2	"""all connected subsets of the 21 active graph edges spanning the selected nodes"""	true	true	true	REQUIRES_HIGHER_ORDER_REJUSTIFICATION	Rejustify or replace this semantic bound against first-class higher-order associations; do not inherit the pair-derived domain.	96b528d5a7db27d52e69fa64c1205753a18a8bac06f0bddd4552e1c28d19c61e	4e741a3b3d2669452fcdc6fd073422ed8fd42e3d51cdc50ed68e481f27206b47
category_entry	interaction	direct frozen database category census	"[""region"",""theme"",""medium"",""movement""]"	false	true	false	BASELINE_MEASUREMENT_OR_PRESENTATION_CONTROL_ONLY	Retain only as a Round16A baseline parameter until the v3 reachable product space is regenerated.	79571cdf4556dab88ccb47e2f7a7b32ca0dbf05ae27219439bb606bac3b137e1	343ac1ea044393dea244b867b189ed02903a4db47e7418c161c86d4024a4c93d
degree_bound	semantic	frozen Round 15 MAX_ADMITTED_DEGREE	[2]	true	true	true	REQUIRES_HIGHER_ORDER_REJUSTIFICATION	Rejustify or replace this semantic bound against first-class higher-order associations; do not inherit the pair-derived domain.	0892e8057288df8db8f5e79b39dc7a710d2b6a440a9a76662da92fc48768087e	a4758a424defa339bf717ef6ee0008976ea70d26536b823d1906ce2c4749de67
direct_proximity	semantic	Round 14 direct-neighbour threshold	[1]	false	true	false	BASELINE_MEASUREMENT_OR_PRESENTATION_CONTROL_ONLY	Retain only as a Round16A baseline parameter until the v3 reachable product space is regenerated.	e967bfedf2303bf3e27328a0abe8c503b01f4c051e47961927c2c50d897d47fa	3aa86c08a02357ecdf25aa6f5097c43bd677d95a3e2a9c0b6bd1f85622171089
evidence_gap_node_ids	semantic	explicit governed unresolved-evidence record only	[[]]	true	true	true	REQUIRES_HIGHER_ORDER_REJUSTIFICATION	Rejustify or replace this semantic bound against first-class higher-order associations; do not inherit the pair-derived domain.	9bd6baad6e502f10fe67dc1b4c27db1b8bcd135b21dfd56f3406a09cc320baac	0661c8ef9bcefccca28eacbeb30884ad1c0a6e3da20e2659614e4053806b7a56
expanded_collapsed_state	interaction	v2 state contract	"""power set of admitted composition nodes"""	false	true	false	BASELINE_MEASUREMENT_OR_PRESENTATION_CONTROL_ONLY	Retain only as a Round16A baseline parameter until the v3 reachable product space is regenerated.	38b1776edf48771f98d2ec77a5ee318a7a2b0521657ac7aedce414e9a52d87d0	d27ec5b67e4f2cf954f692b093dfffa525312f019143c6c9d11774f816994fb5
export_preset	presentation	v2 export contract	"[""portrait_card""]"	false	true	false	BASELINE_MEASUREMENT_OR_PRESENTATION_CONTROL_ONLY	Retain only as a Round16A baseline parameter until the v3 reachable product space is regenerated.	cddba7fcc373d6d7dcb8160e25d99b946bcbaa5e903d067bd8848e98adac94c8	a34976e24c5ccdd524dfaacf12fd6baca48924c32521d6f7ecd86cb968c816cc
focus	interaction	v2 state contract	"""each composition node"""	false	true	false	BASELINE_MEASUREMENT_OR_PRESENTATION_CONTROL_ONLY	Retain only as a Round16A baseline parameter until the v3 reachable product space is regenerated.	2f4b20a74d476d94aa18e9de97490460b8e2c1813cb1e5f1c66d0c4fb32f32a5	214c013bbe5ab2efdd930ff279280f01de37368bbf4f69988e9db6fa54b2e9a7
maximum_node_count	semantic	frozen Round 15 MAX_NODE_COUNT	[8]	true	true	true	REQUIRES_HIGHER_ORDER_REJUSTIFICATION	Rejustify or replace this semantic bound against first-class higher-order associations; do not inherit the pair-derived domain.	2f961145beee549bf60850e71a11df421a92671bab6275856610e7b17f6f0de0	94160e29682515fc8c409cb106a61bba6b215a8c4c948912d3b386d8eff59332
navigation_return	interaction	explicit governed inquiry record only	[false]	false	true	false	BASELINE_MEASUREMENT_OR_PRESENTATION_CONTROL_ONLY	Retain only as a Round16A baseline parameter until the v3 reachable product space is regenerated.	415ba4359652f81d532a1438bcf59711922fceccad3792ca81dad359391c36f5	017349b020d2acc76c7fa70e9f5a485cf02367a923796af37fc1d02487bfaf65
