event_id	timestamp_utc	phase	event_class	observed_condition	corrective_action	verification_status	disposition
R16B-CP015-DIAG-001	2026-08-28T18:29:03Z	CHECKPOINT-015-FINAL-CLEAN-REPRODUCTION-PREFLIGHT	SANDBOX_LFS_CLEAN_FILTER_FAILURE_MASKED_BY_SHELL	The first detached-checkout identity command printed CLEAN_GIT_STATUS=PASS and CLEAN_LFS_STATUS=PASS and exited zero even though stderr recorded denied writes below the shared .git/lfs/tmp filter area, a broken Git LFS filter pipe, and a failed git update-index refresh. The printed status was therefore not accepted as clean-worktree proof.	Repeat the same HEAD, tree, Git status, and Git LFS status inspection with narrowly approved repository-filter access and require empty stderr as well as empty status output.	PASS_CLEAN_HEAD_TREE_GIT_AND_LFS_STATUS_WITH_EMPTY_STDERR	PRESERVED_ENVIRONMENT_FAILURE_AND_REJECTED_MASKED_PASS
R16B-CP015-DIAG-002	2026-08-28T18:29:58Z	CHECKPOINT-015-FRESH-DATABASE-REPRODUCTION-PREFLIGHT	SCOPED_STALE_SYSTEM_V_IPC_REMOVAL	The host still had all 32 System V shared-memory identifiers allocated. Segment 65537 was proved to be owned by jarlgiovanni, unattached with nattch=0, and created by absent PID 21829. This was the single stale segment previously left untouched at Checkpoint 014.	Remove only exact segment ID 65537 after the ownership, attachment, and creator-liveness proof; do not alter any other IPC segment; then prove ID 65537 absent and the identifier count reduced to 31.	PASS_EXACT_SEGMENT_65537_ABSENT_AND_31_IDENTIFIERS_REMAIN	PRESERVED_SCOPED_NONRECOVERABLE_RUNTIME_IPC_REMOVAL_NO_REPOSITORY_DATA_OR_UNRELATED_SEGMENT_ALTERED
R16B-CP015-DIAG-003	2026-08-28T18:31:51Z	CHECKPOINT-015-FRESH-DATABASE-REPRODUCTION-PREFLIGHT	SANDBOX_BLOCKED_IPC_INVENTORY	The first database toolchain preflight could not execute the ipcs sysctl query under the sandbox; the empty count then caused an integer-expression error and exit 2 before cluster creation.	Repeat the identical read-only toolchain, port, and IPC inventory preflight with narrowly approved host IPC visibility.	PASS_POSTGRESQL_16_13_TOOLCHAIN_PORT_FREE_AND_31_IPC_IDENTIFIERS	PRESERVED_ENVIRONMENT_FAILURE_AND_CORRECTED
R16B-CP015-DIAG-004	2026-08-28T18:33:01Z	CHECKPOINT-015-FRESH-DATABASE-REPRODUCTION	POSTGRESQL_IDENTITY_STRING_EXPECTATION_MISMATCH	The first socket-only runtime proof expected server_version 16.13, while the server truthfully reported 16.13 (Homebrew); the proof exited 1 after pg_isready succeeded. No server configuration or data was changed by this mismatch.	Record the full observed identity, include dynamic_shared_memory_type, and compare against jarlgiovanni|16.13 (Homebrew)|59473||/private/tmp/gda-v50-round16b-cp015-final/socket|mmap|posix.	PASS_SOCKET_ONLY_IDENTITY_PID_AND_NO_TCP_LISTENER	PRESERVED_ASSERTION_FAILURE_AND_CORRECTED_TO_OBSERVED_IDENTITY
R16B-CP015-DIAG-005	2026-08-28T18:33:44Z	CHECKPOINT-015-FINAL-CLEAN-REPRODUCTION	V50_HISTORICAL_ABSOLUTE_PATH_PORTABILITY_DEFECT	The native Checkpoint 014 clean-checkout v50 verifier and the first database-A replay both failed V50_RACE_COMMAND_OUTPUT_MISMATCH for gda_v50_round16b_2317. The committed Checkpoint 011 stdout correctly named the historical command cwd, but the verifier constructed the expected historical stdout marker from the current checkout ROOT. This made a relocated clean checkout fail despite byte-identical governed race evidence.	Fail the reproduction claim closed; change only the verifier and its managed manifest hash so current evidence bytes remain resolved under current ROOT while historical stdout is bound to the independently verified absolute command-ledger/meta cwd; add rejection controls and require a new clean checkout from the published correction.	PASS_WORKING_TREE_MANIFEST_5_MATCHER_CONTROLS_AND_4_HISTORICAL_CWD_CONTROLS_FINAL_CLEAN_CHECKOUT_PENDING	PRESERVED_GENUINE_REPRODUCIBILITY_DEFECT_AND_CORRECTED_ADDITIVELY
R16B-CP015-DIAG-006	2026-08-28T18:33:50Z	CHECKPOINT-015-FINAL-FRONTEND-HTTP-VERIFICATION	SANDBOX_DNS_BLOCKED_GOOGLE_FONTS	The first production build could not resolve fonts.googleapis.com for IBM Plex Mono and IBM Plex Sans and failed before compilation completed.	Repeat the identical production build with narrowly approved network access and preserve both attempts.	PASS_PRODUCTION_BUILD_46_STATIC_PAGES	PRESERVED_ENVIRONMENT_FAILURE_AND_CORRECTED
R16B-CP015-DIAG-007	2026-08-28T18:35:59Z	CHECKPOINT-015-PARALLEL-VERIFICATION	TRANSIENT_IN_FLIGHT_COMMAND_LOG_READ	A direct concurrent v50 verification read the command ledger, metadata, and output set while the database lane was still appending a command triplet and observed a transient integrity mismatch. This direct observation was not logged as a governed command and was not treated as evidence about committed bytes.	Wait for the single writer to complete its command triplet and rerun against a stable snapshot; preserve this disclosure rather than converting the transient read into a product or reproduction result.	PASS_STABLE_SNAPSHOT_V50_MANIFEST_AFTER_WRITER_COMPLETION	PRESERVED_PARALLEL_COORDINATION_FAILURE_NO_ARTIFACT_CORRECTION_REQUIRED
R16B-CP015-DIAG-008	2026-08-28T18:36:26Z	CHECKPOINT-015-FINAL-FRONTEND-HTTP-VERIFICATION	SANDBOX_BLOCKED_LOOPBACK_BIND	The first production HTTP verifier could not bind loopback port 45973 and returned LOOPBACK_PORT_UNAVAILABLE with Errno 1 Operation not permitted. Its one artifact-only case passed, but the overall one-case receipt correctly reported FAIL.	Preserve the complete failed output directory, then repeat the identical verifier with narrowly approved loopback access.	PASS_1168_OF_1168_CASES_ZERO_FAILURES_LOOPBACK_ONLY	PRESERVED_ENVIRONMENT_FAILURE_AND_CORRECTED
R16B-CP015-DIAG-009	2026-08-28T18:36:40Z	CHECKPOINT-015-FINAL-FRONTEND-HTTP-VERIFICATION	HTTP_FAILURE_DIRECTORY_DESTINATION_TYPO	The first attempt to preserve the loopback-bind failure used a destination root containing higher-order-association-closure-round16b instead of higher_order_association_closure_round16b and exited before moving any file.	Repeat the exact move with the validated repository root and retain the failed output as v3-production-http-checkpoint015-final-sandbox-bind-failure.	PASS_FAILED_HTTP_DIRECTORY_PRESERVED	PRESERVED_PATH_TYPO_AND_CORRECTED
R16B-CP015-DIAG-010	2026-08-28T18:36:58Z	CHECKPOINT-015-FRESH-DATABASE-REPRODUCTION	UNLOGGED_LAUNCHER_DIRECTORY_PATH_TYPO	The first launcher-directory creation attempt used a misspelled temporary path and failed before the governed logger started, so it has no fabricated command ID, metadata file, or ledger row. No launcher or repository file was created by that attempt.	Create only /private/tmp/gda-v50-round16b-cp015-final/bin from the exact clean-checkout cwd through the governed logger and verify the directory before writing the scoped diagnostic launcher.	PASS_EXACT_LAUNCHER_DIRECTORY_CREATED	PRESERVED_PRELAUNCH_TOOL_ORCHESTRATION_FAILURE_DISCLOSED_WITHOUT_SYNTHETIC_LOG
