gap_id	discovered_checkpoint	last_reviewed_checkpoint	gap	severity	status	governing_artifact_or_trigger	evidence_at_checkpoint003	required_next_action
GAP-001	CHECKPOINT-001	CHECKPOINT-003	Round 16A input inventory omitted Round 10 n-ary grammar surfaces and Round 15/legacy multi-node structures.	CLOSURE_BLOCKING	PARTIAL_LOCAL_SURFACE_ACCOUNTING	TRG-002;TRG-003;TRG-004;TRG-007;local-surface-disposition-ledger-v1.tsv	The v1 input manifest binds implemented source sets; 23 of 44 method surfaces are accounted in the tranche and 21 remain explicitly deferred.	Review every deferred local surface and preserve later trigger expansion additively.
GAP-002	CHECKPOINT-001	CHECKPOINT-003	Association identity and production contracts are binary-only.	CLOSURE_BLOCKING	OPEN	future model/schema/API checkpoint	The local census deliberately emits review families rather than associations and leaves v2 unchanged.	Introduce first-class association membership and separate composition realization after semantic decisions are frozen.
GAP-003	CHECKPOINT-001	CHECKPOINT-003	No prior three-plus-node composition has a complete independent historical group-coherence disposition.	CLOSURE_BLOCKING	OPEN	prior-object-reconciliation-universe-v1-*.tsv;prior-artifact-file-manifest-v1.tsv	The selected object universe has 32,135 row-exact pending obligations; all 1,464 files in 16 prior artifact namespaces are source-tree bound; the transition set has an exact commitment and descendant partitions.	Review every prior structure and every file-bound object-policy obligation without silent loss, then finalize each reconciliation disposition.
GAP-004	CHECKPOINT-001	CHECKPOINT-003	Five active vocabulary concepts are isolated in the active pair graph.	CLOSURE_BLOCKING	OPEN	isolated-active-term-audit-ledger-v1.tsv	Four occur in unreviewed local families; self-exoticization occurs in none; no composability is proven.	Find bounded higher-order support or change vocabulary/product eligibility explicitly.
GAP-005	CHECKPOINT-001	CHECKPOINT-003	Round 13 external domain review units remain NOT_COMPLETED.	CLOSURE_BLOCKING	OPEN	SURF-R13-006	No Round 16B external human review has superseded the prior status.	Keep affected claims inactive and report external human-review status truthfully.
GAP-006	CHECKPOINT-001	CHECKPOINT-003	Scholarly registries lack explicit license, access-condition, and redistribution fields.	CLOSURE_BLOCKING	METHOD_CONTROL_ADDED_REVIEW_OPEN	scholarly-source-rights-ledger.tsv	The rights policy and empty governed ledger exist; zero supporting-source rights reviews are complete.	Populate a source-rights/access row before any source supports an association.
GAP-007	CHECKPOINT-001	CHECKPOINT-003	The inherited eight-node and degree-two limits are product/topology settings, not historical association-arity authority.	CLOSURE_BLOCKING	OPEN	TRG-012	The local census includes an eight-member control family but imposes no research maximum.	Audit product bounds separately and preserve out-of-bound research associations intact.
GAP-008	CHECKPOINT-001	CHECKPOINT-003	Round 16A independent verification is implementation-independent but shares the pair-graph ontology.	CLOSURE_BLOCKING	PARTIAL_LOCAL_CENSUS_VERIFIER_PASS	local-candidate-independent-verification.json;future incidence verifier	A distinct local-census and no-loss verifier passes without importing the generator; no incidence model exists yet.	Independently reconstruct final incidence semantics, evidence decisions, exclusions, product mapping, and counts.
GAP-009	CHECKPOINT-001	CHECKPOINT-003	Round 16A external search is pair-only metadata discovery and accepted no locator-bearing evidence.	CLOSURE_BLOCKING	OPEN	TRG-010;TRG-011	No Round 16B adaptive external scholarly search or falsification tranche is complete.	Run candidate-specific searches and preserve queries, results, locators, decisions, and rejections.
GAP-010	CHECKPOINT-001	CHECKPOINT-003	Round 16A reports graph edges as associations and can blur association, composition, state, workflow, and export counts.	CLOSURE_BLOCKING	PARTIAL_NO_LOSS_UNIVERSE_BUILT	prior-object-set-manifest-v1.tsv;prior-artifact-file-manifest-v1.tsv	The census separates review-family and selected prior-object counts, binds all 43 selected sets, and conserves all 1,464 prior-namespace files; final semantic and metric reconciliation is pending.	Publish final separate definitions and regenerate every affected count.
GAP-011	CHECKPOINT-001	CHECKPOINT-003	The frozen database can expose common provenance but not historical association evidence.	CONTROL_REQUIRED	METHOD_CONTROL_ADDED_DISCOVERY_OPEN	TRG-009;CATEGORY_OR_DATABASE_COINCIDENCE_ONLY	No database-discovery trigger occurrence was activated as evidence.	Run bounded database discovery and require locator-bearing scholarly follow-up.
GAP-012	CHECKPOINT-001	CHECKPOINT-003	No current verifier proves trigger completeness or the rule-level complement of arbitrary subsets.	CLOSURE_BLOCKING	PARTIAL_LOCAL_SELECTOR_EXACT_EXCLUSIONS_OPEN	local-candidate-independent-verification.json;local-surface-disposition-ledger-v1.tsv;future exclusion verifier	Implemented selector outputs are exact, but 21 method surfaces plus database, external, falsification, and recursive classes remain open.	Expand selectors and independently prove final trigger and exclusion coverage.
GAP-013	CHECKPOINT-001	CHECKPOINT-003	Round 9 sense IDs, Round 13 split IDs, Round 14 labels, and Round 16A TRV IDs lack one stable governed concept-sense crosswalk.	CLOSURE_BLOCKING	RESOLVED_VERSIONED_CROSSWALK	concept-sense-crosswalk-v1.tsv	All 65 frozen candidates resolve to unique stable participant-sense identities; merged and non-active dispositions remain explicit; independent checks pass.	Use the verified crosswalk in every later candidate, evidence, and association artifact.
GAP-014	CHECKPOINT-001	CHECKPOINT-003	Method triggers have governed conditions and coverage rules but do not yet have executable occurrence selectors and a complete occurrence ledger.	CLOSURE_BLOCKING	LOCAL_OCCURRENCE_TRANCHE_PARTIAL_DEFERRED_SURFACES_OPEN	candidate-trigger-occurrence-ledger-v1.tsv;local-surface-disposition-ledger-v1.tsv	348 implemented-selector occurrences have deterministic identities, exact input bindings, and complete family partitions; 21 method surfaces plus external and database triggers remain unexecuted.	Implement or prove record-exact non-emission for every deferred surface, add later discovery shards, and rerun independent coverage checks.
GAP-015	CHECKPOINT-003	CHECKPOINT-003	The method-stage evidence-surface inventory did not separately enumerate the Round 16A production read model required by TRG-004.	CONTROL_REQUIRED	RESOLVED_INPUT_MANIFEST	local-candidate-input-manifest-v1.tsv#R16B-LOCAL-SURF-R16A-PRODUCTION	The production read model is hash-and-size bound and all 186 eligible three-plus-node production compositions are selected.	Carry this surface forward in all later input manifests.
GAP-016	CHECKPOINT-003	CHECKPOINT-003	Participant-set review families may conflate distinct cases, periods, geographies, institutions, actors, mechanisms, roles, orders, or bounded senses.	CLOSURE_BLOCKING	OPEN	local-candidate-family-ledger-v1.tsv	All 31 families explicitly retain unresolved case, scope, role, and order states and frozen association identity is false.	Perform source-level scope review and split or merge before assigning governed candidate identities.
GAP-017	CHECKPOINT-003	CHECKPOINT-003	No local candidate family has a completed locator-bearing evidence, negative-evidence, or source-bundle synthesis review.	CLOSURE_BLOCKING	OPEN	future evidence-review shards	Evidence-review complete count is zero and every family is inactive.	Review local evidence in resumable shards and assign final or explicitly unresolved dispositions.
GAP-018	CHECKPOINT-003	CHECKPOINT-003	No source proposed for Round 16B support has a completed source-rights and access disposition.	CLOSURE_BLOCKING	OPEN	scholarly-source-rights-ledger.tsv	The governed ledger remains empty and therefore prevents premature activation.	Record bibliographic identity, access condition, rights, locator, retained-material boundary, and decision for every reviewed source.
GAP-019	CHECKPOINT-003	CHECKPOINT-003	Governed database provenance discovery has not been executed.	CLOSURE_BLOCKING	OPEN	TRG-009	The 31-family census contains no database-discovery occurrence.	Run deterministic database discovery, preserve coincidence-only controls, and route leads to scholarly review.
GAP-020	CHECKPOINT-003	CHECKPOINT-003	Adaptive external scholarly discovery, citation chaining, and candidate-specific falsification have not been executed.	CLOSURE_BLOCKING	OPEN	TRG-010;TRG-011	The 31-family census is explicitly an initial local lower bound.	Run resumable query shards, record stable result identities and access conditions, and add every new family or exclusion.
GAP-021	CHECKPOINT-003	CHECKPOINT-003	Ten Round 10 n-ary argument-role templates lack closed governed participant sets.	CLOSURE_BLOCKING	OPEN	open-participant-resolution-ledger-v1.tsv	All ten exact source records remain open and emitted no candidate.	Resolve participants from locator-bearing evidence or finalize a documented non-emission reason.
GAP-022	CHECKPOINT-003	CHECKPOINT-003	The exclusion complement cannot be frozen while unexecuted discovery classes may emit new structures.	CLOSURE_BLOCKING	OPEN	candidate-exclusion-ledger.tsv;future versioned exclusion ledger	No final `NO_GOVERNED_TRIGGER` proof exists for the expanded discovery method.	Generate rule-level exclusions only after all triggers run and independently test the complement.
GAP-023	CHECKPOINT-003	CHECKPOINT-003	No prior-object reconciliation obligation has a final higher-order or object-policy disposition.	CLOSURE_BLOCKING	OPEN	prior-object-reconciliation-universe-v1-*.tsv;prior-artifact-file-manifest-v1.tsv	32,135 selected row-exact obligations, the 749,944 transition set, and all 1,464 file-level obligations are pending.	Complete association, object-policy, and global-coherence review before carry-forward, regeneration, or rejection.
GAP-024	CHECKPOINT-003	CHECKPOINT-003	Self-exoticization is active but absent from every local higher-order review family.	CLOSURE_BLOCKING	OPEN	isolated-active-term-audit-ledger-v1.tsv#self-exoticization	The term is pair-isolated and no implemented local trigger emits it in a group.	Search specifically for a bounded higher-order case or record a governed vocabulary/product reclassification.
GAP-025	CHECKPOINT-003	CHECKPOINT-003	The first no-loss build omitted row-addressable Round 16 representation sets and Round 16A legacy-reconciliation decisions.	CONTROL_REQUIRED	RESOLVED_BEFORE_COMMIT	prior-object-set-manifest-v1.tsv;prior-object-reconciliation-universe-v1-core.tsv	Nine exact sets and 163 obligations were added: vocabulary, association, category, source inventory, failed association, state-hash index, capability, database authority, and legacy reconciliation.	Require the independent verifier to bind all 43 selected set identities, counts, hashes, source paths, and row commitments.
GAP-026	CHECKPOINT-003	CHECKPOINT-003	The initial Round 13 selector omitted COMP-EVID-011 and silently ignored the rejected Brazilian exposition case label in COMP-EVID-003.	CONTROL_REQUIRED	RESOLVED_BEFORE_COMMIT	candidate-trigger-occurrence-ledger-v1.tsv	COMP-EVID-011 now has its own locator occurrence; COMP-EVID-003 now emits an explicit incidental-case control, raising the local census to 347 occurrences and 30 families.	Retain exact source-record selector tests and treat rejected senses only as controls.
GAP-027	CHECKPOINT-003	CHECKPOINT-003	Checkpoint 002 hygiene and fsck terminal passes lack separate committed per-command receipts.	GOVERNANCE_EVIDENCE	OPEN_HISTORICAL_RECEIPT_GAP	checkpoint-ledger.tsv;publication receipt 006	The build/verifier and JSON gates are committed, while hygiene and fsck were executed out of band and only summarized during publication.	Log checkpoint 003 and all later terminal gates through the append-only command harness; do not retroactively invent checkpoint 002 receipts.
GAP-028	CHECKPOINT-003	CHECKPOINT-003	The first no-loss correction still omitted distinct public Round 16A v2 vocabulary, association, category, state-hash, transition-descriptor, capability, and database-authority representations.	CONTROL_REQUIRED	RESOLVED_BEFORE_COMMIT	prior-object-set-manifest-v1.tsv;prior-object-reconciliation-universe-v1-*.tsv	Seven exact public-representation sets and 5,918 obligations were added, producing 43 total prior sets and 32,135 row-exact obligations.	Require source-derived semantic checks for all v2 representation and policy sets and reconcile stale capability bounds explicitly.
GAP-029	CHECKPOINT-003	CHECKPOINT-003	An enclosing hard-negative gendering/mobile-object pair review obscured a separate concept-only passage binding cultural mobility, mobile object, and mediation.	CONTROL_REQUIRED	RESOLVED_BEFORE_COMMIT	candidate-trigger-occurrence-ledger-v1.tsv#ROUND14_CONCEPT_ONLY_HIGHER_ORDER_LEAD	The locator and upstream record now emit an inquiry-only three-sense family with no inherited support and no pair projection, raising the census to 348 occurrences and 31 families.	Test every hard-negative pair bundle for distinct n-ary passages before excluding its source context.
GAP-030	CHECKPOINT-003	CHECKPOINT-003	The first v2 representation regeneration assigned all 5,760 Round 16A state-hash-index obligations to both core and state shards.	CONTROL_REQUIRED	RESOLVED_BEFORE_COMMIT	prior-object-reconciliation-universe-v1-core.tsv;prior-object-reconciliation-universe-v1-states.tsv	The core exclusion was corrected, artifacts regenerated, and each prior object now occurs in exactly one shard.	Retain verifier checks for exact shard filenames, global key uniqueness, per-type counts, and manifest ID digests.
GAP-031	CHECKPOINT-003	CHECKPOINT-003	The local-census claim overstated selector completeness because only 22 of 44 method-inventory path-selector pairs were execution inputs and the Round 10 observed-chain registry had no machine-verifiable disposition.	CLOSURE_BLOCKING	PARTIAL_RESOLUTION_DEFERRED_SURFACES_OPEN	local-surface-disposition-ledger-v1.tsv;local-candidate-input-manifest-v1.tsv	All 44 surfaces are now hash, size, count, authority, and disposition bound; the two inactive non-transitive two-term chains are proved to emit zero higher-order candidates; 21 other surfaces remain explicitly deferred.	Implement and independently verify each deferred selector or a record-exact non-emission proof before local candidate-universe closure.
GAP-032	CHECKPOINT-003	CHECKPOINT-003	The 43-set row-exact ledger was incorrectly described as covering every prior representation and policy field even though many compact and generated Round 15-16A artifacts were only outside its selected object universe.	CONTROL_REQUIRED	RESOLVED_FILE_CONSERVATION_OBJECT_POLICY_OPEN	prior-artifact-file-manifest-v1.tsv	A source-tree manifest now binds all 1,464 tracked files in 16 declared prior artifact namespaces; 16 paths also have selected row-exact coverage and 1,448 remain explicit object-policy reconciliation obligations.	Preserve the narrowed claim and complete file-level object-policy or semantic dispositions before final closure.
GAP-033	CHECKPOINT-003	CHECKPOINT-003	The command harness recorded hashes and metadata for stdout and stderr, but the global log-file ignore rule excluded the Round 16B payloads from publication and would make clone-based execution-log verification incomplete.	GOVERNANCE_EVIDENCE	RESOLVED_BEFORE_COMMIT	.gitignore;raw/commands/*.stdout.log;raw/commands/*.stderr.log	A directory-specific exception now retains every Round 16B command stdout and stderr payload while leaving the repository-wide log policy unchanged.	Require execution-log verification to hash every committed payload and preserve later failures and corrective output additively.
GAP-034	CHECKPOINT-003	CHECKPOINT-003	A command-process launch error occurred after the harness appended START but before it could append FAIL, metadata, or a ledger row.	GOVERNANCE_EVIDENCE	RESOLVED_BEFORE_COMMIT	scripts/trace_round16b/run_logged.py;execution-log-verification.json	The `/usr/bin/test` path failure was repaired additively as Event 74; Event 87/88 clarifies that its end timestamp is repair append time while its reconstructed 0 ms duration is immediate launch-failure runtime and the 66-second interval is repair latency. The harness now catches `OSError`, records exit 127 and launch-error metadata, and an intentional nonexistent-executable self-test produced a complete failure pair before verification passed.	Retain the launch-failure self-test and timing-clarification invariants and never remove or renumber the repaired failure evidence.
