ordinal	attempt_id	checkpoint_id	source_path	copied_path	sha256	local_head_sha	remote_before_sha	remote_after_sha	remote_main_after_sha	force_push_used	status
1	1787886827950748000-governance-preflight	GOVERNANCE-PREFLIGHT	/Users/jarlgiovanni/Desktop/trace_round16b_preservation/publication-ledger/1787886827950748000-governance-preflight.json	001-1787886827950748000-governance-preflight.json	24e4bb05aa45a91931cdae324e9f069ec34468a123472005048fef5b037e014c	a9b4deb823963fffc1375f368bf130762459b6c8	ABSENT	a9b4deb823963fffc1375f368bf130762459b6c8	8de5d1dedffc6fd70d8b03cd63fdec74c0d40f6e	false	PASS
2	1787886967000709000-governance-preflight-correction	GOVERNANCE-PREFLIGHT-CORRECTION	/Users/jarlgiovanni/Desktop/trace_round16b_preservation/publication-ledger/1787886967000709000-governance-preflight-correction.json	002-1787886967000709000-governance-preflight-correction.json	4da1cfe265179ccc962e7ba9525945f0bc0f412ff940c91a2beda5b0a98c85eb	c52f27a403fb8e145179f4c8fcc12fee4c4392ff	a9b4deb823963fffc1375f368bf130762459b6c8	c52f27a403fb8e145179f4c8fcc12fee4c4392ff	8de5d1dedffc6fd70d8b03cd63fdec74c0d40f6e	false	PASS
3	1787887046000311000-governance-preflight-correction-2	GOVERNANCE-PREFLIGHT-CORRECTION-2	/Users/jarlgiovanni/Desktop/trace_round16b_preservation/publication-ledger/1787887046000311000-governance-preflight-correction-2.json	003-1787887046000311000-governance-preflight-correction-2.json	de7472455de5f139f3f3fcb3c40564f4723a9faa8090df16f81c73f8f18e9213	5e7db0676c62ff5a0cb27876f2160523a7a59ab5	c52f27a403fb8e145179f4c8fcc12fee4c4392ff	5e7db0676c62ff5a0cb27876f2160523a7a59ab5	8de5d1dedffc6fd70d8b03cd63fdec74c0d40f6e	false	PASS
4	1787887589995269000-checkpoint-001	CHECKPOINT-001	/Users/jarlgiovanni/Desktop/trace_round16b_preservation/publication-ledger/1787887589995269000-checkpoint-001.json	004-1787887589995269000-checkpoint-001.json	5149a920312b73a2e234b38af4e080367db4ccdbefa0c431bba44e336d4515bd	e9e9b154d13a3df9bd289706373cf0dda303416a	5e7db0676c62ff5a0cb27876f2160523a7a59ab5	e9e9b154d13a3df9bd289706373cf0dda303416a	8de5d1dedffc6fd70d8b03cd63fdec74c0d40f6e	false	PASS
5	1787887963842043000-checkpoint-001-record	CHECKPOINT-001-RECORD	/Users/jarlgiovanni/Desktop/trace_round16b_preservation/publication-ledger/1787887963842043000-checkpoint-001-record.json	005-1787887963842043000-checkpoint-001-record.json	cd6f79b2838143260d145684f69a2c41e5de0ec858e63774b73f8bff596ae611	85c5640108d656094503e4e16b910b6ac9e8cdff	e9e9b154d13a3df9bd289706373cf0dda303416a	85c5640108d656094503e4e16b910b6ac9e8cdff	8de5d1dedffc6fd70d8b03cd63fdec74c0d40f6e	false	PASS
6	1787889513336433000-checkpoint-002	CHECKPOINT-002	/Users/jarlgiovanni/Desktop/trace_round16b_preservation/publication-ledger/1787889513336433000-checkpoint-002.json	006-1787889513336433000-checkpoint-002.json	83397a171738e7ad3a2d8c1d6cd07c364f23c6901c090c8be9dfcc84931eb1c3	af056edadb43c1eb9e219217c42fd58b74ac5efd	85c5640108d656094503e4e16b910b6ac9e8cdff	af056edadb43c1eb9e219217c42fd58b74ac5efd	8de5d1dedffc6fd70d8b03cd63fdec74c0d40f6e	false	PASS
7	1787895386177547000-checkpoint-003	CHECKPOINT-003	/Users/jarlgiovanni/Desktop/trace_round16b_preservation/publication-ledger/1787895386177547000-checkpoint-003.json	007-1787895386177547000-checkpoint-003.json	c9586bdc51af981dd9afc2cf78bfe598a995b508ce833b6c5d13744299d1fa39	df8aa185910d501daf5a4a5dded8674fdc8a0d87	af056edadb43c1eb9e219217c42fd58b74ac5efd	df8aa185910d501daf5a4a5dded8674fdc8a0d87	8de5d1dedffc6fd70d8b03cd63fdec74c0d40f6e	false	PASS
8	1787902081597323000-checkpoint-004	CHECKPOINT-004	/Users/jarlgiovanni/Desktop/trace_round16b_preservation/publication-ledger/1787902081597323000-checkpoint-004.json	008-1787902081597323000-checkpoint-004.json	455a5852405d65c69f8313cbf7b0325e8d1bf88f919da448d15244e53e9ca3e5	068c92151a935cfb9e4adc36b150c6800a6de9a2	df8aa185910d501daf5a4a5dded8674fdc8a0d87	068c92151a935cfb9e4adc36b150c6800a6de9a2	8de5d1dedffc6fd70d8b03cd63fdec74c0d40f6e	false	PASS
9	1787904080195907000-checkpoint-005	CHECKPOINT-005	/Users/jarlgiovanni/Desktop/trace_round16b_preservation/publication-ledger/1787904080195907000-checkpoint-005.json	009-1787904080195907000-checkpoint-005.json	221f48939be38f6694fdbde72a9345ae9a8f058beb7f96540c78817edddda4c1	adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	068c92151a935cfb9e4adc36b150c6800a6de9a2	adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	8de5d1dedffc6fd70d8b03cd63fdec74c0d40f6e	false	PASS
10	1787906350663884000-checkpoint-006	CHECKPOINT-006	/Users/jarlgiovanni/Desktop/trace_round16b_preservation/publication-ledger/1787906350663884000-checkpoint-006.json	010-1787906350663884000-checkpoint-006.json	b68707a27c8929364b248d43b87cd5c409e2a29ba34df9c385ecd9c265760f13	f97d20b37b58a509d04cdf3bc3385486fc8d173c	adf3cc7a214aa1b8fdaef75b7a9e8888c39c906e	f97d20b37b58a509d04cdf3bc3385486fc8d173c	8de5d1dedffc6fd70d8b03cd63fdec74c0d40f6e	false	PASS
