membership_id	surface_id	round	source_path	source_record_id	canonical_source_id	canonical_identity_kind	canonical_identity_value	membership_role	representative_source_record_id	authors	year	title	venue	doi_isbn_or_identifier	stable_url	rights_review_status	evidence_use_status	source_record_sha256	record_sha256
R16B-SOURCE-MEMBERSHIP:b8fd285808b6024f90155cef3f58a8838cf178c8e34072fcb7351fd2a5b52d40	SURF-R09-001	ROUND9	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0003	R16B-SOURCE:02210c41d8e5caf902fe3fe7f7b49e8321f029f1d7d65354562caa95b4218407	DOI	10.1080/17547075.2015.1051786	CANONICAL_REPRESENTATIVE	SRC-0003	Basile Zimmermann; Nicolas Nova	2015	Circulation: A Theoretical Toolkit	Design and Culture	10.1080/17547075.2015.1051786	https://doi.org/10.1080/17547075.2015.1051786	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	212789f3a5df7499ca43e6cf1115b1be903b822563f0be040b9e9834028c648a	8591614eefc8d765f0765a0016e1f6bbf11031c3636edbbfd13fa88198e5748d
R16B-SOURCE-MEMBERSHIP:bc37cc225e7500865b5d031167efe36954ee50b3fe5e5769c636297c76f865ed	SURF-R13-001	ROUND13	docs/research/trace-v49-exploration-composition-review-round1/03_COMPOSITION_SCHOLARLY_SOURCE_REGISTRY.tsv	COMP-SRC-021	R16B-SOURCE:025d8e088073ab13069b5936bbb5b32f507578e3119955d2180e547233d03953	DOI	10.1093/jdh/epv047	CANONICAL_REPRESENTATIVE	COMP-SRC-021	Damon Taylor	2016	Laying Down Memories: the Cultural Mobility of Tejo Remy's Chest of Drawers	Journal of Design History 29.3	10.1093/jdh/epv047	https://academic.oup.com/jdh/article/29/3/245/1745258	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	330ba1e8dab4b95b13ea6916b2e0230a1b37cb43895bb6eeab297f4faa60b26f	c75f3fdfa8cd3a1417e20cd9261470f833ddfca4b9aece7c82dcff42b278a6d4
R16B-SOURCE-MEMBERSHIP:dcc32eb7e0a6d76ccd482d1ec310312e6d46dd47bbd2e6afc292fea4612ad6ae	SURF-R09-001	ROUND9	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0035	R16B-SOURCE:025d8e088073ab13069b5936bbb5b32f507578e3119955d2180e547233d03953	DOI	10.1093/jdh/epv047	CROSS_ROUND_ALIAS	COMP-SRC-021	Damon Taylor	2016	Laying Down Memories: the Cultural Mobility of Tejo Remy's Chest of Drawers	Journal of Design History	10.1093/jdh/epv047	https://doi.org/10.1093/jdh/epv047	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	dbfd8a97b118d2d92f1045f5fd01fddd941521515ee875f820eaf84a6b2a0958	f85dae3c6d0a9cb8d1fa365909b1e33cbae1aacfd6c30b2981184c085a430e11
R16B-SOURCE-MEMBERSHIP:64d1b2925e3f14630a1956296ae5fdced6d8bb861085cdaeda0006d5b4d090b5	SURF-R09-001	ROUND9	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0039	R16B-SOURCE:030d41bc7e3b350d278c8cb8a7f716224873f628b3e19c64489a183c2065eadb	DOI	10.1093/jdh/epac038	CANONICAL_REPRESENTATIVE	SRC-0039	Sarah Cheang; Katie Irani; Livia Rezende; Shehnaz Suterwalla	2023	In Between Breaths	Journal of Design History	10.1093/jdh/epac038	https://doi.org/10.1093/jdh/epac038	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	57a323cfb6e1a0a1deccd328c59b43bb5f5bbba30f1a12e1acfa0448601e3c88	e3f45df1fa7c6779b7de123222a63d8a695a32947a0ccbdd21567210f4ba0318
R16B-SOURCE-MEMBERSHIP:c00dae720a8c6bc29a8391e14c89c9f7c99e15827e3f5ef1b8f6b5a832f843f6	SURF-R13-001	ROUND13	docs/research/trace-v49-exploration-composition-review-round1/03_COMPOSITION_SCHOLARLY_SOURCE_REGISTRY.tsv	COMP-SRC-010	R16B-SOURCE:0b3a316a31cb9775bc3e43b849d639f4f5f2f23f8b828aa3b04523b45aa3b565	DOI	10.1093/jdh/epag001	CROSS_ROUND_ALIAS	GRAM-SRC-001	Anna Kallen Talley	2026	Digital Design History: State of the Field, Definitions and Possibilities	Journal of Design History 39.2	10.1093/jdh/epag001	https://academic.oup.com/jdh/article/39/2/113/8537083	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	535227c3fb0ab101d82274a5d0a9a0b4a730bdbf860621c9d7d2959f2eadc298	523d808b80b8aec1e9a8db65713fd6997e7e711e588d07be214e559070c65cb9
R16B-SOURCE-MEMBERSHIP:ffbd5b0b5c166eff1291820496b43d05abdc9d4e4b88c30765f0cc13d37e7469	SURF-R10-001	ROUND10	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	GRAM-SRC-001	R16B-SOURCE:0b3a316a31cb9775bc3e43b849d639f4f5f2f23f8b828aa3b04523b45aa3b565	DOI	10.1093/jdh/epag001	CANONICAL_REPRESENTATIVE	GRAM-SRC-001	Anna Kallen Talley	2026	Digital Design History: State of the Field, Definitions and Possibilities	Journal of Design History	10.1093/jdh/epag001	https://academic.oup.com/jdh/article/39/2/113/8537083	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	033410f16b1878cc70b3a2d30f527b756fafd75e32cd6e7d1868279e943b7063	06e35ce1b4a7aa6451024a4495863534545c9605829e891bc59cfc45b3f7ebf4
R16B-SOURCE-MEMBERSHIP:167fa63a394577ad47e2fd1730e0a71b6bcc7b9b2d5508770809d2e8eea97200	SURF-R13-001	ROUND13	docs/research/trace-v49-exploration-composition-review-round1/03_COMPOSITION_SCHOLARLY_SOURCE_REGISTRY.tsv	COMP-SRC-006	R16B-SOURCE:0cc8437a2c1cfd309efe788c2bf0dbc4a2774137011dc0fbc2a769869443c91d	DOI	10.1017/eso.2021.58	CROSS_ROUND_ALIAS	GRAM-SRC-028	Gino Cattani;Mariachiara Colucci;Simone Ferriani	2023	From the Margins to the Core of Haute Couture: The Entrepreneurial Journey of Coco Chanel	Enterprise & Society 24.2	10.1017/eso.2021.58	https://www.cambridge.org/core/journals/enterprise-and-society/article/from-the-margins-to-the-core-of-haute-couture-the-entrepreneurial-journey-of-coco-chanel/2EB663E94E9C67F6CB3B9CF962242FAD	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	062789e6ffb832520e985c4ba551376222a52fff89706556567a4a56cef9c32b	15fbcbe811d362f0375997be48467b8eb3106a76d21121465c4b045f5d226c36
R16B-SOURCE-MEMBERSHIP:d2d04e99022565736325fbf665ddf674704641b30f7fb5174d8f77f34eb66c5e	SURF-R10-001	ROUND10	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	GRAM-SRC-028	R16B-SOURCE:0cc8437a2c1cfd309efe788c2bf0dbc4a2774137011dc0fbc2a769869443c91d	DOI	10.1017/eso.2021.58	CANONICAL_REPRESENTATIVE	GRAM-SRC-028	Gino Cattani; Mariachiara Colucci; Simone Ferriani	2023	From the Margins to the Core of Haute Couture: The Entrepreneurial Journey of Coco Chanel	Enterprise & Society	10.1017/eso.2021.58	https://www.cambridge.org/core/journals/enterprise-and-society/article/from-the-margins-to-the-core-of-haute-couture-the-entrepreneurial-journey-of-coco-chanel/F9C3C4631A1971D2A18A6A468308F1AA	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	421f883dba19b479c2e13c49f7ae45a47f61f80285d28d899fd22c89b915694a	ddc887fcb05dfafd10232d393d910cb68461093a40375d78c85c807ad753b51b
R16B-SOURCE-MEMBERSHIP:2ed287b1f887beca17b6b6e9304df44182c528d025b80ee9638b6a088e7ce43d	SURF-R10-001	ROUND10	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	GRAM-SRC-008	R16B-SOURCE:126e8a358227bd7817e76e84dc4232a4fc262806a5a68d2f48139fff893cb644	ISBN	9781800080836	CANONICAL_REPRESENTATIVE	GRAM-SRC-008	Paolo Scrivano	2021	The Complexity of Cultural Exchange: Anglo-Italian Relations in Architecture between Transnational Interactions and National Narratives	Postwar Architecture between Italy and the UK	9781800080836	https://re.public.polimi.it/handle/11311/1182602	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	fcfcf23ec5db59ec5a5fb447a2675ee24dfc675705e096b45e240030316b5879	c6fef305ad9278bc69e70895ff734ceb4aeca3a2d34142de77a490659cb7fc05
R16B-SOURCE-MEMBERSHIP:6b3f32ca98eba358340ce134ffcb9c619294c098037a60cd806773a3bf585970	SURF-R13-001	ROUND13	docs/research/trace-v49-exploration-composition-review-round1/03_COMPOSITION_SCHOLARLY_SOURCE_REGISTRY.tsv	COMP-SRC-018	R16B-SOURCE:15c92feb3085387dc21480db3e669ecb03f01414d6dd6bd59be51fd1fafef6e2	DOI	10.1177/1069397110393145	CANONICAL_REPRESENTATIVE	COMP-SRC-018	Richard E. Blanton	2011	Cultural Transformation, Art, and Collective Action in Polity Building	Cross-Cultural Research 45.2	10.1177/1069397110393145	https://journals.sagepub.com/doi/10.1177/1069397110393145	PENDING_RIGHTS_AND_ACCESS_REVIEW	BIBLIOGRAPHIC_IDENTITY_ONLY_NOT_ASSOCIATION_EVIDENCE	1e77bf1a574fb7aafbc96d472461c6a302c17759630db99c587e35fafd442f7e	ac13cd7160af65266c80b74cd649e4b19ae34fd8e5a3445ccb144447aa1522fd
