authority_base_sha	shard_id	query_id	ordinal	recorded_at_utc	timestamp_precision	query_phase	query_text	target_source_id	result_url	result_title	result_identity	decision	result_is_association_evidence	locator_followup	rights_gate	record_sha256
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-QUERY:96b3c342e39dfea0a4abf93e3414cae940071586e6be243050eed5086f85c937	1	2026-08-28T11:08:18Z	POST_BATCH_CAPTURE_AFTER_ROOT_WEB_RUN	SOURCE_CENTERED_DISCOVERY	site:journals.uc.edu/index.php/vl/article/view/5932 Dori Griffin canon graphic design history visible language PDF	SRC-0007	https://journals.uc.edu/index.php/vl/article/view/5932	The Role of Visible Language in Building and Critiquing a Canon of Graphic Design History	R16B-RESULT:0a8069102ac5140091e2d5a601840e3be153e73278ba72fdaa1aedf5ded80aa3	OFFICIAL_RECORD_AND_PDF_LOCATED	false	Followed to official record, abstract, and publisher PDF.	SOURCE_SPECIFIC_REVIEW_REQUIRED_OR_RECORDED	2692cbad78c2591c7e9ab18a4f0b78ec3748e912bc63c77d576786a582b9006f
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-QUERY:414643d815d2793b9614bb30c0dd6c20717d8b452988a2ab71a5abbf6a013de0	2	2026-08-28T11:08:18Z	POST_BATCH_CAPTURE_AFTER_ROOT_WEB_RUN	COMPLETE_GROUP_QUERY	"""The Role of Visible Language in Building and Critiquing a Canon of Graphic Design History"" canon exclusion gender"	SRC-0007	https://journals.uc.edu/index.php/vl/article/view/5932	The Role of Visible Language in Building and Critiquing a Canon of Graphic Design History	R16B-RESULT:0a8069102ac5140091e2d5a601840e3be153e73278ba72fdaa1aedf5ded80aa3	OFFICIAL_RECORD_REVIEWED	false	Exact group language reviewed at abstract and bounded PDF loci.	SOURCE_SPECIFIC_REVIEW_REQUIRED_OR_RECORDED	051690d091e002d1cc9914c67a0ff13a8c56d1b7a9ce5ce19ced4e31890df629
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-QUERY:dc50883ae14e16038c17c7cd09830fc57658ea0cf3512c66fbeaed6de3973a0a	3	2026-08-28T11:08:18Z	POST_BATCH_CAPTURE_AFTER_ROOT_WEB_RUN	LOCATOR_FOLLOWUP	official Visible Language PDF canonization	SRC-0007	https://journals.uc.edu/index.php/vl/article/download/5932/4796/7609	The Role of Visible Language in Building and Critiquing a Canon of Graphic Design History	R16B-RESULT:6f4687b940224211628b60d91e84e38e17d76dfface65ecca53ab585d2e3e4e2	PUBLIC_PDF_LOCATOR_REVIEWED	false	Publisher PDF pp.7,16-17,20 reviewed; payload not retained.	SOURCE_SPECIFIC_REVIEW_REQUIRED_OR_RECORDED	3df644021a38b469d88a945c6ab574d433e115a97812dcc47c18f8c55ed10aaf
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-QUERY:f51cfd1e376ee942282cde6e1dbeba7c92e0825c6839f889d542d2b29408d29e	4	2026-08-28T11:08:18Z	POST_BATCH_CAPTURE_AFTER_ROOT_WEB_RUN	FALSIFICATION	"Griffin PDF ""male-dominated"""	SRC-0007	https://journals.uc.edu/index.php/vl/article/download/5932/4796/7609	The Role of Visible Language in Building and Critiquing a Canon of Graphic Design History	R16B-RESULT:6f4687b940224211628b60d91e84e38e17d76dfface65ecca53ab585d2e3e4e2	BOUNDED_GENDERED_CANON_LANGUAGE_FOUND	false	Male-dominated qualifies the traditional canon; no general gendering rule inferred.	SOURCE_SPECIFIC_REVIEW_REQUIRED_OR_RECORDED	1856311ebca05f62efc892d6f82ee5c616e281b51556497ac000ffaaff1b20b8
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-QUERY:b4b07d059e002aced0e8766ffcec285f526e645073d529d61838a4f0d5aeb451	5	2026-08-28T11:08:18Z	POST_BATCH_CAPTURE_AFTER_ROOT_WEB_RUN	FALSIFICATION	"Griffin PDF ""inclusions and exclusions"""	SRC-0007	https://journals.uc.edu/index.php/vl/article/download/5932/4796/7609	The Role of Visible Language in Building and Critiquing a Canon of Graphic Design History	R16B-RESULT:6f4687b940224211628b60d91e84e38e17d76dfface65ecca53ab585d2e3e4e2	INCLUSION_EXCLUSION_MECHANISM_FOUND	false	Bounded to Visible Language corpus and graphic-design historiography.	SOURCE_SPECIFIC_REVIEW_REQUIRED_OR_RECORDED	4d5369c21c76c50f2b9dfe5b577e8d3df6ceea5566d754e4df5ffdce0eda008b
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-QUERY:da3abd4a5190f460b7004c13b252666d85d3141a12c7a80a5c37c8188d02ec63	6	2026-08-28T11:08:18Z	POST_BATCH_CAPTURE_AFTER_ROOT_WEB_RUN	SOURCE_CENTERED_DISCOVERY	"site:cambridge.org/core/journals/itinerario ""Mobility, Violence, and the Afterlives of a Peruvian Painting at Sea"""	COMP-SRC-022	https://www.cambridge.org/core/journals/itinerario/article/mobility-violence-and-the-afterlives-of-a-peruvian-painting-at-sea/0CCD9C903B8DDA855989858E63EEC238	Mobility, Violence, and the Afterlives of a Peruvian Painting at Sea	R16B-RESULT:05c2372bbaac0be9c32da8fbf64bfb4c6a27d2cd28701e12f611fc392c5cdea7	OFFICIAL_OPEN_FULL_TEXT_LOCATED	false	Official HTML and CC BY PDF reviewed.	SOURCE_SPECIFIC_REVIEW_REQUIRED_OR_RECORDED	aa33ee763820960e8213249cd93ff769886011c05a543a2b41ac4e41402d86b1
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-QUERY:67529564f87d2aebe85250cdbf8ffd1ea6c4f4b4690481c9120786beb7bf6463	7	2026-08-28T11:08:18Z	POST_BATCH_CAPTURE_AFTER_ROOT_WEB_RUN	COMPLETE_GROUP_QUERY	"""Mobility, Violence, and the Afterlives of a Peruvian Painting at Sea"" mobile object mediation market"	COMP-SRC-022	https://www.cambridge.org/core/journals/itinerario/article/mobility-violence-and-the-afterlives-of-a-peruvian-painting-at-sea/0CCD9C903B8DDA855989858E63EEC238	Mobility, Violence, and the Afterlives of a Peruvian Painting at Sea	R16B-RESULT:05c2372bbaac0be9c32da8fbf64bfb4c6a27d2cd28701e12f611fc392c5cdea7	SAME_OBJECT_MULTI_LOCUS_SUPPORT_FOUND	false	Exact bounded configuration reviewed across one object biography.	SOURCE_SPECIFIC_REVIEW_REQUIRED_OR_RECORDED	2ee9b650bffb13233df4cd9b0d5229f3b5a592b0f0341afdadcc2b976fd681ab
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-QUERY:8d538e93ebf2a249577df884c3e6a1d2c2516dab366ca9b010f754c9e25a647e	8	2026-08-28T11:08:18Z	POST_BATCH_CAPTURE_AFTER_ROOT_WEB_RUN	LOCATOR_FOLLOWUP	"Earle Deans-Smith PDF ""Losing Its Identity"""	COMP-SRC-022	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/0CCD9C903B8DDA855989858E63EEC238/S0165115326100552a.pdf/mobility_violence_and_the_afterlives_of_a_peruvian_painting_at_sea.pdf	Mobility, Violence, and the Afterlives of a Peruvian Painting at Sea	R16B-RESULT:b2e6016637cb650f968d50f91dc3d1976489b9f2243b7e0808e0df37a5c3ef48	PUBLIC_CC_BY_PDF_LOCATOR_REVIEWED	false	PDF pp.9-11 reviewed; payload not retained.	SOURCE_SPECIFIC_REVIEW_REQUIRED_OR_RECORDED	b1bfc288eaf3480a4e24c2a9d51c0f34603cb97bdcde4b91535bedd684d74fc8
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-QUERY:c1b9e429dd721da74d74486b533f9d83118f0d56386551146fd683b6e27d29a8	9	2026-08-28T11:08:18Z	POST_BATCH_CAPTURE_AFTER_ROOT_WEB_RUN	MECHANISM_SEARCH	"Earle Deans-Smith PDF ""Good business"" publishers images"	COMP-SRC-022	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/0CCD9C903B8DDA855989858E63EEC238/S0165115326100552a.pdf/mobility_violence_and_the_afterlives_of_a_peruvian_painting_at_sea.pdf	Mobility, Violence, and the Afterlives of a Peruvian Painting at Sea	R16B-RESULT:b2e6016637cb650f968d50f91dc3d1976489b9f2243b7e0808e0df37a5c3ef48	COMMERCIAL_REUSE_LOCUS_FOUND	false	PDF pp.17-18 ties representational reuse to market demand.	SOURCE_SPECIFIC_REVIEW_REQUIRED_OR_RECORDED	974c8b5fe565758dc5c8a1e90c8d9433490300760c808c763af9cef2d3b9f0fd
5d9ebf6918cf0fd09450608289ebc5a05ed3c8c3	R16B-ADAPTIVE-SOURCE-SHARD-002	R16B-QUERY:02508bd7e040ac7fde680339cf744d54ebbae03127e7a758e95f89de52cc62ba	10	2026-08-28T11:08:18Z	POST_BATCH_CAPTURE_AFTER_ROOT_WEB_RUN	MECHANISM_SEARCH	"Earle Deans-Smith PDF ""investment opportunity"" plates"	COMP-SRC-022	https://www.cambridge.org/core/services/aop-cambridge-core/content/view/0CCD9C903B8DDA855989858E63EEC238/S0165115326100552a.pdf/mobility_violence_and_the_afterlives_of_a_peruvian_painting_at_sea.pdf	Mobility, Violence, and the Afterlives of a Peruvian Painting at Sea	R16B-RESULT:b2e6016637cb650f968d50f91dc3d1976489b9f2243b7e0808e0df37a5c3ef48	MARKET_AND_REPRESENTATION_LOCUS_FOUND	false	PDF p.18 reviewed with earlier painting-to-print transformation.	SOURCE_SPECIFIC_REVIEW_REQUIRED_OR_RECORDED	bd56bf94ccfdc237914a24b0df9a067ab6515e750736eb139f5cd4164a28bcc9
