event_id	timestamp_utc	phase	operation	observed_status	command_or_probe	error_or_result	filesystem_or_ref_effect	corrective_action	evidence_boundary
R16B-PARALLEL-DIAG-007-001	NOT_CAPTURED_PARALLEL_AGENT	LOCAL_EVIDENCE_DISPOSITION_TRANCHE_003	TRANCHE_C_SOURCE_INSPECTION_PATH_PROBE	FAIL_BEFORE_LAUNCH	read-only schema/taxonomy extraction using mistyped worktree path ending association-closure-round16b	CreateProcess ENOENT because the isolated worktree path uses association_closure_round16b	NONE	Reran the read-only extraction against the exact isolated worktree path; PASS	No process launched and no files, staging, refs, commits, or remotes changed
R16B-PARALLEL-DIAG-007-002	NOT_CAPTURED_PARALLEL_AGENT	ADAPTIVE_SOURCE_REVIEW_SHARD_001	SOURCE_SHARD_WORKTREE_PATH_PROBE	FAIL_BEFORE_LAUNCH	read-only source extraction using mistyped worktree path ending association-closure-round16b	CreateProcess ENOENT because the isolated worktree path uses association_closure_round16b	NONE	Reran against the exact isolated worktree path; PASS	No process launched and no files, staging, refs, commits, or remotes changed
R16B-PARALLEL-DIAG-007-003	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-007-INSPECTION	ROOT_RESEARCH_DIRECTORY_ABBREVIATION_PROBE	FAIL	find docs/research/trace-round16b -maxdepth 2 -type f	find reported No such file or directory because the governed research directory uses the full round slug	NONE	Resolved the exact directory with find docs -maxdepth 3 -type d -name *round16b* and reran reads against the full path	The preceding read-only git status and git log portions succeeded; no repository or ref mutation occurred
R16B-PARALLEL-DIAG-007-004	NOT_CAPTURED_ROOT_TOOL	CHECKPOINT-007-ARCHITECTURE-INSPECTION	ROOT_PACKAGE_AND_TEST_PATH_PROBE	PARTIAL_FAIL	rg against root package.json and root tests while also reading validated frontend and database paths	rg reported missing root package.json and tests; the repository package is frontend/package.json and test surfaces are distributed	NONE	Used validated frontend/package.json, database/tests, and feature-local paths in subsequent inspection	Partial read output only; no files, staging, refs, commits, or remotes changed
R16B-PARALLEL-DIAG-007-005	NOT_CAPTURED_PARALLEL_AGENT	HIGHER_ORDER_ARCHITECTURE_AUDIT	SCHEMA_ID_DEFINITION_JQ_PROBE	FAIL	jq schema loop containing .$id and .$defs in a zsh-expanded command	zsh consumed $id and $defs, causing jq compile errors for nine schemas	NONE	Replaced the fragile jq expression with line-anchored rg and nl reads; PASS	Read-only architecture probe; no filesystem, staging, or ref mutation
R16B-PARALLEL-DIAG-007-006	NOT_CAPTURED_PARALLEL_AGENT	HIGHER_ORDER_ARCHITECTURE_AUDIT	SERVICE_FILE_PATH_PROBE	FAIL_BEFORE_LAUNCH	read-only service-file read using a mistyped worktree path	The first path did not exist	NONE	Immediate exception fallback used the exact isolated-worktree path; PASS	No file, staging, ref, commit, or remote mutation
R16B-PARALLEL-DIAG-007-007	NOT_CAPTURED_PARALLEL_AGENT	ROUND16A_GLOBAL_RECONCILIATION_BLUEPRINT	V2_COMPOSITION_SHAPE_PROBE	FAIL	jq .compositions[0] against the v2 production read model	The compositions collection is an object rather than an array	NONE	Inspected with to_entries and direct object keys; PASS	Read-only audit; no files or refs changed
R16B-PARALLEL-DIAG-007-008	NOT_CAPTURED_PARALLEL_AGENT	ROUND16A_GLOBAL_RECONCILIATION_BLUEPRINT	JQ_OBJECT_CONTEXT_PROBE	FAIL	follow-up jq pipeline without parenthesized object construction	Operator precedence changed the input context and invalidated the intended projection	NONE	Parenthesized the object construction and reran; PASS	Read-only audit; no files or refs changed
R16B-PARALLEL-DIAG-007-009	NOT_CAPTURED_PARALLEL_AGENT	ROUND16A_GLOBAL_RECONCILIATION_BLUEPRINT	RECONCILIATION_WORKTREE_PATH_PROBES	FAIL_BEFORE_LAUNCH	two read-only shell probes using mistyped worktree paths	Both probes addressed non-existent paths	NONE	Reran both against the exact isolated-worktree path; PASS	No process-side repository mutation and no ref change
R16B-PARALLEL-DIAG-007-010	NOT_CAPTURED_PARALLEL_AGENT	ROUND16A_GLOBAL_RECONCILIATION_BLUEPRINT	METHOD_JSON_KEY_PROBE	NULL_RESULT	read-only projection using guessed method JSON keys	The guessed keys returned null and could not support a conclusion	NONE	Inspected the actual key set, then reran the bounded projection; PASS	Null read result was not treated as evidence and changed no files or refs
