database_occurrence_id	database_family_id	selector_branch	stable_row_locator	source_record_url	matched_fields_json	matched_node_edge_loci_json	raw_participant_labels_json	participant_sense_ids_json	excluded_rejected_matches_json	arity	metadata_status	support_status	rights_status	selector_version	database_sha256	record_sha256
R16B-DB-OCC:03558734e0b8a8a5e514f0c1383be1257c777d786aa7dabcdb20efd25eb03979	R16B-DB-FAMILY:9ade19c60e22d8aa127040cefd633119f8b05e04baf0f814d2d008d0aae8796e	CAPTURE_RECORD_BOUNDED_FIELD_LEXICAL_DISCOVERY	sqlite:capture_records:capture_id=LOCTRACE2026I3172E16AA089B6	https://www.loc.gov/item/2009633646	"{""_capture_governance"":{""active_surface_id"":""SURF-LOCTRACE2026I3172E16AA089B6"",""capture_status"":""captured"",""quality_reason"":""Stable item, title, exact year, explicit location, digitized image, poster identity, series, and TRACE evidence are present."",""quality_route"":""qualified_trace_object""},""source_description"":[""advertising"",""exhibition""],""source_subjects"":[""propaganda""]}"	[]	"[""exhibition"",""propaganda"",""advertising""]"	"[""R16B-SENSE:4e14e64610176c44c8a9775fba3a7d484b4eee0fb06ee9553c17675cb7f0b634"",""R16B-SENSE:f26224717160ca63c45ca85fe7c23e1469baa3e10672a68beafb13d195d0915d"",""R16B-SENSE:f587f40fcb14f9230306986bb2b2ea917544385afefe2e818002f3f3e7af0f2a""]"	[]	3	METADATA_OR_LEXICAL_DISCOVERY_ONLY_PENDING_BOUNDED_SENSE_REVIEW	NOT_ASSOCIATION_EVIDENCE	PENDING_SOURCE_TEXT_RIGHTS_AND_ACCESS_REVIEW	trace-round16b-deferred-surface-selector-v2	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	ec9d467dba2e9da57020ac76de2b3e36fbeccdca4358244758331c9432935dd7
R16B-DB-OCC:29ece59f5c67e522027d778baf98ff92e265b5ff44097c9e45fcd92ead1d52e9	R16B-DB-FAMILY:0e719db533fd03f71aa5fbb293aa0d6aa8b79453db51fe8e0f8b7f0fc59fede9	DIRECT_OPPOSITE_OBJECT_ACCEPTED_TRACE_ENDPOINT_DISCOVERY	sqlite:objects+object_trace_edges:surface_id=SURF-VAM20K-00867	https://collections.vam.ac.uk/item/O1316562/	{}	"[{""edge_evidence_url"":""https://api.vam.ac.uk/v2/object/O1316562"",""edge_id"":""TRE-125964C38AEC99"",""node_evidence_status"":""explicit_material_or_technique"",""node_label"":""photography"",""node_source_url"":""https://api.vam.ac.uk/v2/object/O130532"",""opposite_node_id"":""TRN-MAT-6692201283382C""},{""edge_evidence_url"":""https://api.vam.ac.uk/v2/object/O1316562"",""edge_id"":""TRE-3A0779A660D1BF"",""node_evidence_status"":""explicit_object_type_or_category"",""node_label"":""Advertising"",""node_source_url"":""https://api.vam.ac.uk/v2/object/O109488"",""opposite_node_id"":""TRN-TYP-ED44E3268FD13E""},{""edge_evidence_url"":""https://api.vam.ac.uk/v2/object/O1316562"",""edge_id"":""TRE-B544F362DD3A8D"",""node_evidence_status"":""explicit_material_or_technique"",""node_label"":""typography"",""node_source_url"":""https://api.vam.ac.uk/v2/object/O1169376"",""opposite_node_id"":""TRN-MAT-FB2D8030B30C3C""}]"	"[""photography"",""advertising"",""typography""]"	"[""R16B-SENSE:b25cab95ecf4ca503def2a66d5d89c36131f18c819b00e5c0c06737222baf067"",""R16B-SENSE:f587f40fcb14f9230306986bb2b2ea917544385afefe2e818002f3f3e7af0f2a"",""R16B-SENSE:fd509f4a9f5aea51e88d869076b1534b55b173e8fd71bf4eb97c1c907a76859a""]"	[]	3	METADATA_OR_LEXICAL_DISCOVERY_ONLY_PENDING_BOUNDED_SENSE_REVIEW	NOT_ASSOCIATION_EVIDENCE	PENDING_SOURCE_TEXT_RIGHTS_AND_ACCESS_REVIEW	trace-round16b-deferred-surface-selector-v2	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	e0974a2e042e05aeb44c68d744fb18c14250b1b38b9b602793f0d4accb95e01d
R16B-DB-OCC:474f524cc7f2505f9fde841ace815a21bd02b46785f8c1b5a4b9829c0914cc26	R16B-DB-FAMILY:0e719db533fd03f71aa5fbb293aa0d6aa8b79453db51fe8e0f8b7f0fc59fede9	DIRECT_OPPOSITE_OBJECT_ACCEPTED_TRACE_ENDPOINT_DISCOVERY	sqlite:objects+object_trace_edges:surface_id=SURF-VAM20K-03127	https://collections.vam.ac.uk/item/O1316570/	{}	"[{""edge_evidence_url"":""https://api.vam.ac.uk/v2/object/O1316570"",""edge_id"":""TRE-11AC184655F5B7"",""node_evidence_status"":""explicit_object_type_or_category"",""node_label"":""Advertising"",""node_source_url"":""https://api.vam.ac.uk/v2/object/O109488"",""opposite_node_id"":""TRN-TYP-ED44E3268FD13E""},{""edge_evidence_url"":""https://api.vam.ac.uk/v2/object/O1316570"",""edge_id"":""TRE-7BEAE7F51F6F91"",""node_evidence_status"":""explicit_material_or_technique"",""node_label"":""photography"",""node_source_url"":""https://api.vam.ac.uk/v2/object/O130532"",""opposite_node_id"":""TRN-MAT-6692201283382C""},{""edge_evidence_url"":""https://api.vam.ac.uk/v2/object/O1316570"",""edge_id"":""TRE-D0B81BBEB916EB"",""node_evidence_status"":""explicit_material_or_technique"",""node_label"":""typography"",""node_source_url"":""https://api.vam.ac.uk/v2/object/O1169376"",""opposite_node_id"":""TRN-MAT-FB2D8030B30C3C""}]"	"[""photography"",""advertising"",""typography""]"	"[""R16B-SENSE:b25cab95ecf4ca503def2a66d5d89c36131f18c819b00e5c0c06737222baf067"",""R16B-SENSE:f587f40fcb14f9230306986bb2b2ea917544385afefe2e818002f3f3e7af0f2a"",""R16B-SENSE:fd509f4a9f5aea51e88d869076b1534b55b173e8fd71bf4eb97c1c907a76859a""]"	[]	3	METADATA_OR_LEXICAL_DISCOVERY_ONLY_PENDING_BOUNDED_SENSE_REVIEW	NOT_ASSOCIATION_EVIDENCE	PENDING_SOURCE_TEXT_RIGHTS_AND_ACCESS_REVIEW	trace-round16b-deferred-surface-selector-v2	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	74dbd262c6955ca411efbc75540e44d0df8ae1bae1bf0099351e45e6f4443f06
R16B-DB-OCC:64b146fb0ff90ba6ccd5fa75654c0a0ecdb37429cf6fedf1884a2138e0e82053	R16B-DB-FAMILY:3fab395d77bb9112b04a2eedc91aa128a006839ed048fb6a3a143762a35a3c3c	CAPTURE_RECORD_BOUNDED_FIELD_LEXICAL_DISCOVERY	sqlite:capture_records:capture_id=DGITRACE2026R0395	https://dgi.or.id/dgi-archive/pergeseran-nilai-estetis-pada-desain-karya-cetak-indonesia-di-abad-ke20-studi-historiografi-pada-iklan-cetak-dan-kulit-muka-buku	"{""_capture_governance"":{""active_surface_id"":null,""capture_status"":""hold_missing_object_year"",""quality_reason"":""No exact object year is explicit in the item field or item heading."",""quality_route"":""hold_missing_object_year""},""source_description"":[""advertising"",""cultural transformation"",""propaganda""]}"	[]	"[""cultural transformation"",""propaganda"",""advertising""]"	"[""R16B-SENSE:1e7045ac788667d54d6b65cd2d78f8c378eb10d531dd198692143840ff9d766b"",""R16B-SENSE:f26224717160ca63c45ca85fe7c23e1469baa3e10672a68beafb13d195d0915d"",""R16B-SENSE:f587f40fcb14f9230306986bb2b2ea917544385afefe2e818002f3f3e7af0f2a""]"	[]	3	METADATA_OR_LEXICAL_DISCOVERY_ONLY_PENDING_BOUNDED_SENSE_REVIEW	NOT_ASSOCIATION_EVIDENCE	PENDING_SOURCE_TEXT_RIGHTS_AND_ACCESS_REVIEW	trace-round16b-deferred-surface-selector-v2	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	b2161e62cbef9b159287d7e0a5d14d1536c2234ae48dacede825dd47c7eeddfe
R16B-DB-OCC:8b229d9a2bb7cadedb11b8f1b2b7321732ce399877052f6b177819e0133942bb	R16B-DB-FAMILY:0e719db533fd03f71aa5fbb293aa0d6aa8b79453db51fe8e0f8b7f0fc59fede9	DIRECT_OPPOSITE_OBJECT_ACCEPTED_TRACE_ENDPOINT_DISCOVERY	sqlite:objects+object_trace_edges:surface_id=SURF-VAM20K-03052	https://collections.vam.ac.uk/item/O1316577/	{}	"[{""edge_evidence_url"":""https://api.vam.ac.uk/v2/object/O1316577"",""edge_id"":""TRE-31A57C7BDAC623"",""node_evidence_status"":""explicit_material_or_technique"",""node_label"":""typography"",""node_source_url"":""https://api.vam.ac.uk/v2/object/O1169376"",""opposite_node_id"":""TRN-MAT-FB2D8030B30C3C""},{""edge_evidence_url"":""https://api.vam.ac.uk/v2/object/O1316577"",""edge_id"":""TRE-351B9FBC68BFFA"",""node_evidence_status"":""explicit_object_type_or_category"",""node_label"":""Advertising"",""node_source_url"":""https://api.vam.ac.uk/v2/object/O109488"",""opposite_node_id"":""TRN-TYP-ED44E3268FD13E""},{""edge_evidence_url"":""https://api.vam.ac.uk/v2/object/O1316577"",""edge_id"":""TRE-7274C9041E954E"",""node_evidence_status"":""explicit_material_or_technique"",""node_label"":""photography"",""node_source_url"":""https://api.vam.ac.uk/v2/object/O130532"",""opposite_node_id"":""TRN-MAT-6692201283382C""}]"	"[""photography"",""advertising"",""typography""]"	"[""R16B-SENSE:b25cab95ecf4ca503def2a66d5d89c36131f18c819b00e5c0c06737222baf067"",""R16B-SENSE:f587f40fcb14f9230306986bb2b2ea917544385afefe2e818002f3f3e7af0f2a"",""R16B-SENSE:fd509f4a9f5aea51e88d869076b1534b55b173e8fd71bf4eb97c1c907a76859a""]"	[]	3	METADATA_OR_LEXICAL_DISCOVERY_ONLY_PENDING_BOUNDED_SENSE_REVIEW	NOT_ASSOCIATION_EVIDENCE	PENDING_SOURCE_TEXT_RIGHTS_AND_ACCESS_REVIEW	trace-round16b-deferred-surface-selector-v2	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	f97860bfd5b4e4ddc869eef7ab75b3b542d364302434d2bfa48670af4453f2ba
R16B-DB-OCC:ad375bf9a5eb5e04d91a2d2f0918ece89ba900c9940c1a7444e464d8eaef1e2d	R16B-DB-FAMILY:e6b89317c05c3543ab2cd0005c53716c62dcf45e75965992f7b593873772d0e4	CAPTURE_RECORD_BOUNDED_FIELD_LEXICAL_DISCOVERY	sqlite:capture_records:capture_id=HISTORICALAICTRACE2026V1R0161	https://www.artic.edu/artworks/252400	"{""_capture_governance"":{""active_surface_id"":""SURF-HISTORICALAICTRACE2026V1R0161"",""capture_status"":""qualified_trace_object"",""quality_reason"":""Exact object year, explicit object geography, bounded carrier, source-hosted image, unique identity, and evidence-return TRACE passed."",""quality_route"":""qualified_trace_object""},""source_subjects"":[""education"",""typography""],""source_title"":[""exhibition""]}"	[]	"[""exhibition"",""education"",""typography""]"	"[""R16B-SENSE:4e14e64610176c44c8a9775fba3a7d484b4eee0fb06ee9553c17675cb7f0b634"",""R16B-SENSE:8b4838ede22f2afe50260d73a4ee4b986be96dd92b53e980d8f6312b9e8ca51a"",""R16B-SENSE:fd509f4a9f5aea51e88d869076b1534b55b173e8fd71bf4eb97c1c907a76859a""]"	"[""Bauhaus""]"	3	METADATA_OR_LEXICAL_DISCOVERY_ONLY_PENDING_BOUNDED_SENSE_REVIEW	NOT_ASSOCIATION_EVIDENCE	PENDING_SOURCE_TEXT_RIGHTS_AND_ACCESS_REVIEW	trace-round16b-deferred-surface-selector-v2	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	7ad82cf9dfed7a97b56d64ed08cc593a3e5f56e5be445986e57ffc476f0af546
R16B-DB-OCC:b32a654245c1cfec2f9db10f19413413bc13ce0b066ebc354139280d70e93e82	R16B-DB-FAMILY:0e719db533fd03f71aa5fbb293aa0d6aa8b79453db51fe8e0f8b7f0fc59fede9	DIRECT_OPPOSITE_OBJECT_ACCEPTED_TRACE_ENDPOINT_DISCOVERY	sqlite:objects+object_trace_edges:surface_id=SURF-VAM20K-03010	https://collections.vam.ac.uk/item/O1316563/	{}	"[{""edge_evidence_url"":""https://api.vam.ac.uk/v2/object/O1316563"",""edge_id"":""TRE-3D1BFF325933DE"",""node_evidence_status"":""explicit_material_or_technique"",""node_label"":""photography"",""node_source_url"":""https://api.vam.ac.uk/v2/object/O130532"",""opposite_node_id"":""TRN-MAT-6692201283382C""},{""edge_evidence_url"":""https://api.vam.ac.uk/v2/object/O1316563"",""edge_id"":""TRE-CBE58E78E47719"",""node_evidence_status"":""explicit_object_type_or_category"",""node_label"":""Advertising"",""node_source_url"":""https://api.vam.ac.uk/v2/object/O109488"",""opposite_node_id"":""TRN-TYP-ED44E3268FD13E""},{""edge_evidence_url"":""https://api.vam.ac.uk/v2/object/O1316563"",""edge_id"":""TRE-FB44F797CE90A1"",""node_evidence_status"":""explicit_material_or_technique"",""node_label"":""typography"",""node_source_url"":""https://api.vam.ac.uk/v2/object/O1169376"",""opposite_node_id"":""TRN-MAT-FB2D8030B30C3C""}]"	"[""photography"",""advertising"",""typography""]"	"[""R16B-SENSE:b25cab95ecf4ca503def2a66d5d89c36131f18c819b00e5c0c06737222baf067"",""R16B-SENSE:f587f40fcb14f9230306986bb2b2ea917544385afefe2e818002f3f3e7af0f2a"",""R16B-SENSE:fd509f4a9f5aea51e88d869076b1534b55b173e8fd71bf4eb97c1c907a76859a""]"	[]	3	METADATA_OR_LEXICAL_DISCOVERY_ONLY_PENDING_BOUNDED_SENSE_REVIEW	NOT_ASSOCIATION_EVIDENCE	PENDING_SOURCE_TEXT_RIGHTS_AND_ACCESS_REVIEW	trace-round16b-deferred-surface-selector-v2	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	72172f33f41496eb63efe2e42d3ee689cd855a2f69295c79cd5ff48bde7677db
R16B-DB-OCC:b65523c0fe42eb32116e2bf50e2d982f11dd6595e34b18f39e07cf6105a95e9f	R16B-DB-FAMILY:e6b89317c05c3543ab2cd0005c53716c62dcf45e75965992f7b593873772d0e4	CAPTURE_RECORD_BOUNDED_FIELD_LEXICAL_DISCOVERY	sqlite:capture_records:capture_id=HISTORICALAICTRACE2026V1R0206	https://www.artic.edu/artworks/254209	"{""_capture_governance"":{""active_surface_id"":""SURF-HISTORICALAICTRACE2026V1R0206"",""capture_status"":""qualified_trace_object"",""quality_reason"":""Exact object year, explicit object geography, bounded carrier, source-hosted image, unique identity, and evidence-return TRACE passed."",""quality_route"":""qualified_trace_object""},""source_subjects"":[""education"",""typography""],""source_title"":[""exhibition""]}"	[]	"[""exhibition"",""education"",""typography""]"	"[""R16B-SENSE:4e14e64610176c44c8a9775fba3a7d484b4eee0fb06ee9553c17675cb7f0b634"",""R16B-SENSE:8b4838ede22f2afe50260d73a4ee4b986be96dd92b53e980d8f6312b9e8ca51a"",""R16B-SENSE:fd509f4a9f5aea51e88d869076b1534b55b173e8fd71bf4eb97c1c907a76859a""]"	"[""Bauhaus""]"	3	METADATA_OR_LEXICAL_DISCOVERY_ONLY_PENDING_BOUNDED_SENSE_REVIEW	NOT_ASSOCIATION_EVIDENCE	PENDING_SOURCE_TEXT_RIGHTS_AND_ACCESS_REVIEW	trace-round16b-deferred-surface-selector-v2	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	40da7e936e06ef555b9b855393a55acca4996300a758b5ce2939a49cace21259
R16B-DB-OCC:bf68e00801d949ed1630292c655f2ce26d44657c77f8ae89981cb04048a9e3b0	R16B-DB-FAMILY:0e719db533fd03f71aa5fbb293aa0d6aa8b79453db51fe8e0f8b7f0fc59fede9	DIRECT_OPPOSITE_OBJECT_ACCEPTED_TRACE_ENDPOINT_DISCOVERY	sqlite:objects+object_trace_edges:surface_id=SURF-VAM20K-03166	https://collections.vam.ac.uk/item/O1316569/	{}	"[{""edge_evidence_url"":""https://api.vam.ac.uk/v2/object/O1316569"",""edge_id"":""TRE-3ABB685212B42B"",""node_evidence_status"":""explicit_material_or_technique"",""node_label"":""photography"",""node_source_url"":""https://api.vam.ac.uk/v2/object/O130532"",""opposite_node_id"":""TRN-MAT-6692201283382C""},{""edge_evidence_url"":""https://api.vam.ac.uk/v2/object/O1316569"",""edge_id"":""TRE-7D6FED64AFFD28"",""node_evidence_status"":""explicit_material_or_technique"",""node_label"":""typography"",""node_source_url"":""https://api.vam.ac.uk/v2/object/O1169376"",""opposite_node_id"":""TRN-MAT-FB2D8030B30C3C""},{""edge_evidence_url"":""https://api.vam.ac.uk/v2/object/O1316569"",""edge_id"":""TRE-C95137D45E0BDD"",""node_evidence_status"":""explicit_object_type_or_category"",""node_label"":""Advertising"",""node_source_url"":""https://api.vam.ac.uk/v2/object/O109488"",""opposite_node_id"":""TRN-TYP-ED44E3268FD13E""}]"	"[""photography"",""advertising"",""typography""]"	"[""R16B-SENSE:b25cab95ecf4ca503def2a66d5d89c36131f18c819b00e5c0c06737222baf067"",""R16B-SENSE:f587f40fcb14f9230306986bb2b2ea917544385afefe2e818002f3f3e7af0f2a"",""R16B-SENSE:fd509f4a9f5aea51e88d869076b1534b55b173e8fd71bf4eb97c1c907a76859a""]"	[]	3	METADATA_OR_LEXICAL_DISCOVERY_ONLY_PENDING_BOUNDED_SENSE_REVIEW	NOT_ASSOCIATION_EVIDENCE	PENDING_SOURCE_TEXT_RIGHTS_AND_ACCESS_REVIEW	trace-round16b-deferred-surface-selector-v2	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	c12cffedb6dc876f9dbcc814217c5ca6a293c398b191316acf3faed962a2837a
R16B-DB-OCC:d4ae2608ae238bc42cea030c464fe164fa8ebf269a7915d23e94367f576b0067	R16B-DB-FAMILY:0e719db533fd03f71aa5fbb293aa0d6aa8b79453db51fe8e0f8b7f0fc59fede9	DIRECT_OPPOSITE_OBJECT_ACCEPTED_TRACE_ENDPOINT_DISCOVERY	sqlite:objects+object_trace_edges:surface_id=SURF-VAM20K-03165	https://collections.vam.ac.uk/item/O1316564/	{}	"[{""edge_evidence_url"":""https://api.vam.ac.uk/v2/object/O1316564"",""edge_id"":""TRE-2CB940705C7173"",""node_evidence_status"":""explicit_object_type_or_category"",""node_label"":""Advertising"",""node_source_url"":""https://api.vam.ac.uk/v2/object/O109488"",""opposite_node_id"":""TRN-TYP-ED44E3268FD13E""},{""edge_evidence_url"":""https://api.vam.ac.uk/v2/object/O1316564"",""edge_id"":""TRE-960A4E87720B45"",""node_evidence_status"":""explicit_material_or_technique"",""node_label"":""photography"",""node_source_url"":""https://api.vam.ac.uk/v2/object/O130532"",""opposite_node_id"":""TRN-MAT-6692201283382C""},{""edge_evidence_url"":""https://api.vam.ac.uk/v2/object/O1316564"",""edge_id"":""TRE-E8810CCCF7BC9F"",""node_evidence_status"":""explicit_material_or_technique"",""node_label"":""typography"",""node_source_url"":""https://api.vam.ac.uk/v2/object/O1169376"",""opposite_node_id"":""TRN-MAT-FB2D8030B30C3C""}]"	"[""photography"",""advertising"",""typography""]"	"[""R16B-SENSE:b25cab95ecf4ca503def2a66d5d89c36131f18c819b00e5c0c06737222baf067"",""R16B-SENSE:f587f40fcb14f9230306986bb2b2ea917544385afefe2e818002f3f3e7af0f2a"",""R16B-SENSE:fd509f4a9f5aea51e88d869076b1534b55b173e8fd71bf4eb97c1c907a76859a""]"	[]	3	METADATA_OR_LEXICAL_DISCOVERY_ONLY_PENDING_BOUNDED_SENSE_REVIEW	NOT_ASSOCIATION_EVIDENCE	PENDING_SOURCE_TEXT_RIGHTS_AND_ACCESS_REVIEW	trace-round16b-deferred-surface-selector-v2	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	07a271b5809db832091bf2650d6ed1db2804cba8466eeaa8fe647ec451b95943
