canonical_source_id	canonical_identity_kind	canonical_identity_value	representative_surface_id	representative_source_path	representative_source_record_id	member_count	member_ids_json	authors	year	title	venue	doi_isbn_or_identifier	stable_url	rights_review_status	text_access_status	locator_review_status	association_evidence_status	required_next_action	record_sha256
R16B-SOURCE:02210c41d8e5caf902fe3fe7f7b49e8321f029f1d7d65354562caa95b4218407	DOI	10.1080/17547075.2015.1051786	SURF-R09-001	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0003	1	"[""SURF-R09-001:SRC-0003""]"	Basile Zimmermann; Nicolas Nova	2015	Circulation: A Theoretical Toolkit	Design and Culture	10.1080/17547075.2015.1051786	https://doi.org/10.1080/17547075.2015.1051786	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	d1124a542dbf4317edf9e82fce59f2c782b18f3c9a9d5774a59a7dc3d50ec772
R16B-SOURCE:025d8e088073ab13069b5936bbb5b32f507578e3119955d2180e547233d03953	DOI	10.1093/jdh/epv047	SURF-R13-001	docs/research/trace-v49-exploration-composition-review-round1/03_COMPOSITION_SCHOLARLY_SOURCE_REGISTRY.tsv	COMP-SRC-021	2	"[""SURF-R13-001:COMP-SRC-021"",""SURF-R09-001:SRC-0035""]"	Damon Taylor	2016	Laying Down Memories: the Cultural Mobility of Tejo Remy's Chest of Drawers	Journal of Design History 29.3	10.1093/jdh/epv047	https://academic.oup.com/jdh/article/29/3/245/1745258	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	a874469201caae0691447ecc297c9d9c4d4dbf7e348047d1fe0cffd4d16c2246
R16B-SOURCE:030d41bc7e3b350d278c8cb8a7f716224873f628b3e19c64489a183c2065eadb	DOI	10.1093/jdh/epac038	SURF-R09-001	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0039	1	"[""SURF-R09-001:SRC-0039""]"	Sarah Cheang; Katie Irani; Livia Rezende; Shehnaz Suterwalla	2023	In Between Breaths	Journal of Design History	10.1093/jdh/epac038	https://doi.org/10.1093/jdh/epac038	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	53f3609d755d0e33d1f6bec92f08dd13cdcde27705af4a7cf776e42517ac88c0
R16B-SOURCE:0b3a316a31cb9775bc3e43b849d639f4f5f2f23f8b828aa3b04523b45aa3b565	DOI	10.1093/jdh/epag001	SURF-R10-001	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	GRAM-SRC-001	2	"[""SURF-R10-001:GRAM-SRC-001"",""SURF-R13-001:COMP-SRC-010""]"	Anna Kallen Talley	2026	Digital Design History: State of the Field, Definitions and Possibilities	Journal of Design History	10.1093/jdh/epag001	https://academic.oup.com/jdh/article/39/2/113/8537083	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	fcedd5a7bead2242800fd4d76985cf487a86cb0eff9b39bdab63252f3fd93890
R16B-SOURCE:0cc8437a2c1cfd309efe788c2bf0dbc4a2774137011dc0fbc2a769869443c91d	DOI	10.1017/eso.2021.58	SURF-R10-001	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	GRAM-SRC-028	2	"[""SURF-R10-001:GRAM-SRC-028"",""SURF-R13-001:COMP-SRC-006""]"	Gino Cattani; Mariachiara Colucci; Simone Ferriani	2023	From the Margins to the Core of Haute Couture: The Entrepreneurial Journey of Coco Chanel	Enterprise & Society	10.1017/eso.2021.58	https://www.cambridge.org/core/journals/enterprise-and-society/article/from-the-margins-to-the-core-of-haute-couture-the-entrepreneurial-journey-of-coco-chanel/F9C3C4631A1971D2A18A6A468308F1AA	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	f70ea9870bc4a8c99c4b74f934981bbdea9a43ce8906a330dd51de1c32587957
R16B-SOURCE:126e8a358227bd7817e76e84dc4232a4fc262806a5a68d2f48139fff893cb644	ISBN	9781800080836	SURF-R10-001	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	GRAM-SRC-008	1	"[""SURF-R10-001:GRAM-SRC-008""]"	Paolo Scrivano	2021	The Complexity of Cultural Exchange: Anglo-Italian Relations in Architecture between Transnational Interactions and National Narratives	Postwar Architecture between Italy and the UK	9781800080836	https://re.public.polimi.it/handle/11311/1182602	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	4139955b8b26f4d21355b6842e1b17c40d75b9f72e4659697a2646b3a354c4e2
R16B-SOURCE:15c92feb3085387dc21480db3e669ecb03f01414d6dd6bd59be51fd1fafef6e2	DOI	10.1177/1069397110393145	SURF-R13-001	docs/research/trace-v49-exploration-composition-review-round1/03_COMPOSITION_SCHOLARLY_SOURCE_REGISTRY.tsv	COMP-SRC-018	1	"[""SURF-R13-001:COMP-SRC-018""]"	Richard E. Blanton	2011	Cultural Transformation, Art, and Collective Action in Polity Building	Cross-Cultural Research 45.2	10.1177/1069397110393145	https://journals.sagepub.com/doi/10.1177/1069397110393145	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	c76d4ade924a4c334476682236efbeeed843def74c1e1becf70ec002827c743a
R16B-SOURCE:1752fcde91a8d5c80af2c4971ac839f0f93a62ac08586547ccc7725abe4b7619	DOI	10.1080/18626033.2013.798922	SURF-R13-001	docs/research/trace-v49-exploration-composition-review-round1/03_COMPOSITION_SCHOLARLY_SOURCE_REGISTRY.tsv	COMP-SRC-020	1	"[""SURF-R13-001:COMP-SRC-020""]"	Jane Hutton	2013	Reciprocal Landscapes: Material Portraits in New York City and Elsewhere	Journal of Landscape Architecture 8.1	10.1080/18626033.2013.798922	https://www.tandfonline.com/doi/abs/10.1080/18626033.2013.798922	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	5e351d852f25d72d9d33c8f594e46729c10f2fb54c3172972acb78d16292a2d1
R16B-SOURCE:21f5bf1145bcd7e6ea6300e64efb27b57fa805ef2595db4918593fd74cead7fa	DOI	10.1093/jdh/epw003	SURF-R09-001	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	SRC-0029	1	"[""SURF-R09-001:SRC-0029""]"	Fedja Vukić	2017	Rethinking the Environment: An Introduction to Matko Meštrović's 'Dizajn i okolina' from 1980	Journal of Design History	10.1093/jdh/epw003	https://doi.org/10.1093/jdh/epw003	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	2730b6d88c270a5ad29974d4a7899ac2c30c80a31a52380d097364c7f98b444e
R16B-SOURCE:243d4cc2d34ac8278bb1e05be705790bea876262385649195b9a49099af51b55	DOI	10.1179/174329511x13123634653820	SURF-R10-001	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	GRAM-SRC-014	1	"[""SURF-R10-001:GRAM-SRC-014""]"	Annebella Pollen	2011	Performing Spectacular Girlhood: Mass-Produced Dressing-Up Costumes and the Commodification of Imagination	Textile History	10.1179/174329511X13123634653820	https://www.tandfonline.com/doi/full/10.1179/174329511X13123634653820	PENDING	NOT_REVIEWED	NOT_REVIEWED	NOT_EVIDENCE_METADATA_IDENTITY_ONLY	Resolve lawful text access and reuse rights, inspect source text at a stable locator, and perform bounded-sense group review before any evidence use.	5339d997bed006ede8272d0e17e13a7856ab19db4e84e9213876e536cb8c5cbf
