prior_record_key	prior_kind	source_path	source_row_number	prior_id	prior_status	prior_record_sha256	current_disposition	successor_obligation_ids_json	successor_artifact_refs_json	closure_effect	record_sha256
R16B-PRIOR-RECORD:ed4f3bf4091f51789d3aa23a7f31a707f6c3280c6cfb49812c0efd48e80f0b02	ASSOCIATION_REVIEW_QUEUE	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/conditional-scoped-child-reroute-queue-tranche-a-v1.tsv	4	R16B-CONDITIONAL-REVIEW:24f4892aa686a0bd598d4804740a81645f02786ac523060e6370b7c66ccdfd4d	"{""counterevidence_review_status"":""OPEN_FALSIFICATION_AND_CONFLICT_SEARCH"",""human_review_status"":""OPEN_EXTERNAL_DESIGN_HISTORY_REVIEW"",""queue_status"":""CONDITIONAL_REVIEW_ONLY_NOT_ASSOCIATION"",""rights_review_status"":""OPEN"",""source_text_review_status"":""OPEN_REVIEW_LOCATOR_BEARING_INPUT_AGAINST_LAWFULLY_ACCESSED_TEXT""}"	32f02f8a81b716c779bcf6f042f18430504e68a0fd1b1cdf13c71d23352df25e	SUPERSEDED_BY_OPEN_OBLIGATION	"[""R16B-CURRENT-OBLIGATION:OPEN_ASSOCIATION_REVIEW_QUEUE""]"	"[""docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-current-obligation-ledger-checkpoint012-v1.tsv"",""docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-census-v1.json""]"	CURRENT_SUCCESSOR_BLOCKS_AT_LEAST_ONE_CLOSURE	b5936fc0100bec8ead3af86dfc6bb82a0e5b5ef79359a29a39983d63e0d361b9
R16B-PRIOR-RECORD:0600dbfc22e95273d3eaa9c0ca11c9a989023807474ac63515e6e89920be1536	ASSOCIATION_REVIEW_QUEUE	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/conditional-scoped-child-reroute-queue-tranche-a-v1.tsv	2	R16B-CONDITIONAL-REVIEW:251bbaa02068013d0d52b8c3bff9017c91f4c91b993cf4a102e99d1a38114ead	"{""counterevidence_review_status"":""OPEN_FALSIFICATION_AND_CONFLICT_SEARCH"",""human_review_status"":""OPEN_EXTERNAL_DESIGN_HISTORY_REVIEW"",""queue_status"":""CONDITIONAL_REVIEW_ONLY_NOT_ASSOCIATION"",""rights_review_status"":""OPEN"",""source_text_review_status"":""OPEN_REVIEW_LOCATOR_BEARING_INPUT_AGAINST_LAWFULLY_ACCESSED_TEXT""}"	885857defed82dc4e10f76f904e54c66e3254c089c6d47f4f5b009e6d51da727	SUPERSEDED_BY_OPEN_OBLIGATION	"[""R16B-CURRENT-OBLIGATION:OPEN_ASSOCIATION_REVIEW_QUEUE""]"	"[""docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-current-obligation-ledger-checkpoint012-v1.tsv"",""docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-census-v1.json""]"	CURRENT_SUCCESSOR_BLOCKS_AT_LEAST_ONE_CLOSURE	8079aa376be588807662d8c8c0d8d4798d5be775d54c676fd5a9fc2117f6d296
R16B-PRIOR-RECORD:e1780747e429f4b793dfc692bbcfda75c0774af2684378dc90a53a46aa0937b9	ASSOCIATION_REVIEW_QUEUE	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/conditional-scoped-child-reroute-queue-tranche-a-v1.tsv	9	R16B-CONDITIONAL-REVIEW:3bba26a900cbd349e62b0635c91dc5c120a0bea9d42952b46cb7585dda6e1774	"{""counterevidence_review_status"":""OPEN_FALSIFICATION_AND_CONFLICT_SEARCH"",""human_review_status"":""OPEN_EXTERNAL_DESIGN_HISTORY_REVIEW"",""queue_status"":""CONDITIONAL_REVIEW_ONLY_NOT_ASSOCIATION"",""rights_review_status"":""OPEN"",""source_text_review_status"":""OPEN_REVIEW_LOCATOR_BEARING_INPUT_AGAINST_LAWFULLY_ACCESSED_TEXT""}"	1dc5dde6edbe3996e1623e459915baa7259f1e6d8676d3fcf6ade566e923da40	SUPERSEDED_BY_OPEN_OBLIGATION	"[""R16B-CURRENT-OBLIGATION:OPEN_ASSOCIATION_REVIEW_QUEUE""]"	"[""docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-current-obligation-ledger-checkpoint012-v1.tsv"",""docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-census-v1.json""]"	CURRENT_SUCCESSOR_BLOCKS_AT_LEAST_ONE_CLOSURE	fa3b6c32f65d7a90838a8309452cad46f7652ea7ac96cbbc3fffbb5ec8868abf
R16B-PRIOR-RECORD:ffbf496a81bbd8dc0d5b99c2d72c764249a5d57d387d9c9b0b9e71445e5a6808	ASSOCIATION_REVIEW_QUEUE	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/conditional-scoped-child-reroute-queue-tranche-a-v1.tsv	11	R16B-CONDITIONAL-REVIEW:65b4ec47b0ea30716909415ccd8a1aead033a00a22cb473e330484ecf5617105	"{""counterevidence_review_status"":""OPEN_FALSIFICATION_AND_CONFLICT_SEARCH"",""human_review_status"":""OPEN_EXTERNAL_DESIGN_HISTORY_REVIEW"",""queue_status"":""CONDITIONAL_REVIEW_ONLY_NOT_ASSOCIATION"",""rights_review_status"":""OPEN"",""source_text_review_status"":""OPEN_REVIEW_LOCATOR_BEARING_INPUT_AGAINST_LAWFULLY_ACCESSED_TEXT""}"	a5e074ff5298c777b1f0cbff8bfe4a8409c14a95e2339412980c0384cfb4ed3a	SUPERSEDED_BY_OPEN_OBLIGATION	"[""R16B-CURRENT-OBLIGATION:OPEN_ASSOCIATION_REVIEW_QUEUE""]"	"[""docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-current-obligation-ledger-checkpoint012-v1.tsv"",""docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-census-v1.json""]"	CURRENT_SUCCESSOR_BLOCKS_AT_LEAST_ONE_CLOSURE	0a56c1097033699be9b51f14745bed3a184ef7ac9e3f378c914a4c81ad882497
R16B-PRIOR-RECORD:af10f0d9b6bb86dcd3ac4414ad659355266af9885e44bb424115851306dea028	ASSOCIATION_REVIEW_QUEUE	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/conditional-scoped-child-reroute-queue-tranche-a-v1.tsv	3	R16B-CONDITIONAL-REVIEW:8157d59902f23c6641afa9985973a61733c0196a97b7512223ba70ba47927d13	"{""counterevidence_review_status"":""OPEN_FALSIFICATION_AND_CONFLICT_SEARCH"",""human_review_status"":""OPEN_EXTERNAL_DESIGN_HISTORY_REVIEW"",""queue_status"":""CONDITIONAL_REVIEW_ONLY_NOT_ASSOCIATION"",""rights_review_status"":""OPEN"",""source_text_review_status"":""OPEN_REVIEW_LOCATOR_BEARING_INPUT_AGAINST_LAWFULLY_ACCESSED_TEXT""}"	4791e727b08c74985af927acb1b51b96579652818f9f63d4593f21e3d738dca0	SUPERSEDED_BY_OPEN_OBLIGATION	"[""R16B-CURRENT-OBLIGATION:OPEN_ASSOCIATION_REVIEW_QUEUE""]"	"[""docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-current-obligation-ledger-checkpoint012-v1.tsv"",""docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-census-v1.json""]"	CURRENT_SUCCESSOR_BLOCKS_AT_LEAST_ONE_CLOSURE	578a7420b63445fbe2a3d8739a6cd95d6881f26c862d1ac38034dc27f34ecf03
R16B-PRIOR-RECORD:48a6bf5d5c9b4ad9228b5d65c56e7e6fb09f651052df15bfd62a6b1667a6621f	ASSOCIATION_REVIEW_QUEUE	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/conditional-scoped-child-reroute-queue-tranche-a-v1.tsv	8	R16B-CONDITIONAL-REVIEW:87b71ff3bd8457e09dd9672824f6e69b8418792f77595628113ca9574a9d4a91	"{""counterevidence_review_status"":""OPEN_FALSIFICATION_AND_CONFLICT_SEARCH"",""human_review_status"":""OPEN_EXTERNAL_DESIGN_HISTORY_REVIEW"",""queue_status"":""CONDITIONAL_REVIEW_ONLY_NOT_ASSOCIATION"",""rights_review_status"":""OPEN"",""source_text_review_status"":""OPEN_REVIEW_LOCATOR_BEARING_INPUT_AGAINST_LAWFULLY_ACCESSED_TEXT""}"	4eb304faf60603eded01c8dc51a1b601678d430d7c1e5cb3cab3fc4120051ffd	SUPERSEDED_BY_OPEN_OBLIGATION	"[""R16B-CURRENT-OBLIGATION:OPEN_ASSOCIATION_REVIEW_QUEUE""]"	"[""docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-current-obligation-ledger-checkpoint012-v1.tsv"",""docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-census-v1.json""]"	CURRENT_SUCCESSOR_BLOCKS_AT_LEAST_ONE_CLOSURE	9d1423048a1770da22da14ca140483a3fa27b27949417e65d6fcf21be2aa2f69
R16B-PRIOR-RECORD:07b245b8868c02b9b40f34c2a1cc1fb8e80c04b0c726ab35725b3b6850a0f3f4	ASSOCIATION_REVIEW_QUEUE	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/conditional-scoped-child-reroute-queue-tranche-a-v1.tsv	7	R16B-CONDITIONAL-REVIEW:b0065d1fb00d086aa1e3fa76f10631f513bf363104789821521b67d1c8a08baf	"{""counterevidence_review_status"":""OPEN_FALSIFICATION_AND_CONFLICT_SEARCH"",""human_review_status"":""OPEN_EXTERNAL_DESIGN_HISTORY_REVIEW"",""queue_status"":""CONDITIONAL_REVIEW_ONLY_NOT_ASSOCIATION"",""rights_review_status"":""OPEN"",""source_text_review_status"":""OPEN_REVIEW_LOCATOR_BEARING_INPUT_AGAINST_LAWFULLY_ACCESSED_TEXT""}"	def9c0762e8ce9a42996c7dcf6ed5318a6aab4bffb7af10790ebd5551bea9e0a	SUPERSEDED_BY_OPEN_OBLIGATION	"[""R16B-CURRENT-OBLIGATION:OPEN_ASSOCIATION_REVIEW_QUEUE""]"	"[""docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-current-obligation-ledger-checkpoint012-v1.tsv"",""docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-census-v1.json""]"	CURRENT_SUCCESSOR_BLOCKS_AT_LEAST_ONE_CLOSURE	50400d476f1eb5d6a0294a15d8029432d3fbbc042c45f133d528ef59cb5ceddd
R16B-PRIOR-RECORD:d96635281f5b45f747875884a975b9327d36f9c85ea9e9e1e339dff1788b8f21	ASSOCIATION_REVIEW_QUEUE	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/conditional-scoped-child-reroute-queue-tranche-a-v1.tsv	10	R16B-CONDITIONAL-REVIEW:b2ddc4ee99a29fb81d8e459fd81249deaab9fadbcce51ed932856afd7a40ae38	"{""counterevidence_review_status"":""OPEN_FALSIFICATION_AND_CONFLICT_SEARCH"",""human_review_status"":""OPEN_EXTERNAL_DESIGN_HISTORY_REVIEW"",""queue_status"":""CONDITIONAL_REVIEW_ONLY_NOT_ASSOCIATION"",""rights_review_status"":""OPEN"",""source_text_review_status"":""OPEN_REVIEW_LOCATOR_BEARING_INPUT_AGAINST_LAWFULLY_ACCESSED_TEXT""}"	9522e2a9d4d5c929bcf660156348edb72242c4db15884ce4583e52ecbbf78264	SUPERSEDED_BY_OPEN_OBLIGATION	"[""R16B-CURRENT-OBLIGATION:OPEN_ASSOCIATION_REVIEW_QUEUE""]"	"[""docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-current-obligation-ledger-checkpoint012-v1.tsv"",""docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-census-v1.json""]"	CURRENT_SUCCESSOR_BLOCKS_AT_LEAST_ONE_CLOSURE	8b7c257dda203f0d84ccd06a7d0d82ed6cd27367783e0cc887f0666f5eadc1ce
R16B-PRIOR-RECORD:d78b7645d0cbc0e3dba2409ba93c0e0e506a793d1251f48f2f5920ce5c0dee31	ASSOCIATION_REVIEW_QUEUE	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/conditional-scoped-child-reroute-queue-tranche-a-v1.tsv	5	R16B-CONDITIONAL-REVIEW:d213e6bd28fbf04b860acccd1a463ac9980ab4441acaf2f20dd6f00e20803ce0	"{""counterevidence_review_status"":""OPEN_FALSIFICATION_AND_CONFLICT_SEARCH"",""human_review_status"":""OPEN_EXTERNAL_DESIGN_HISTORY_REVIEW"",""queue_status"":""CONDITIONAL_REVIEW_ONLY_NOT_ASSOCIATION"",""rights_review_status"":""OPEN"",""source_text_review_status"":""OPEN_REVIEW_LOCATOR_BEARING_INPUT_AGAINST_LAWFULLY_ACCESSED_TEXT""}"	58828e2e519cc1d4fcf019663676adfa339c423f0297502eec02bb55a4462c53	SUPERSEDED_BY_OPEN_OBLIGATION	"[""R16B-CURRENT-OBLIGATION:OPEN_ASSOCIATION_REVIEW_QUEUE""]"	"[""docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-current-obligation-ledger-checkpoint012-v1.tsv"",""docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-census-v1.json""]"	CURRENT_SUCCESSOR_BLOCKS_AT_LEAST_ONE_CLOSURE	d550509d9a694e2f00188742e66fe369eb185bae9229a201cd26079c609f2edd
R16B-PRIOR-RECORD:17aa8ac858d0fe20a8b9a36a2ee54dd4e762056d566fa89d6c23655627a90544	ASSOCIATION_REVIEW_QUEUE	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/conditional-scoped-child-reroute-queue-tranche-a-v1.tsv	6	R16B-CONDITIONAL-REVIEW:fa7a32de6380b4a855b76044bf1d2e347fd25eb7a5d4403e74f17f23e5db7dd6	"{""counterevidence_review_status"":""OPEN_FALSIFICATION_AND_CONFLICT_SEARCH"",""human_review_status"":""OPEN_EXTERNAL_DESIGN_HISTORY_REVIEW"",""queue_status"":""CONDITIONAL_REVIEW_ONLY_NOT_ASSOCIATION"",""rights_review_status"":""OPEN"",""source_text_review_status"":""OPEN_REVIEW_LOCATOR_BEARING_INPUT_AGAINST_LAWFULLY_ACCESSED_TEXT""}"	13dee04a1dabb9913b673e744211db4b51cceb4304a59a6b4ea1d28b190a8fae	SUPERSEDED_BY_OPEN_OBLIGATION	"[""R16B-CURRENT-OBLIGATION:OPEN_ASSOCIATION_REVIEW_QUEUE""]"	"[""docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/recursive-gap-current-obligation-ledger-checkpoint012-v1.tsv"",""docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/round16a-global-reconciliation-census-v1.json""]"	CURRENT_SUCCESSOR_BLOCKS_AT_LEAST_ONE_CLOSURE	373641b23d456faac3cf357f3e41fbe28767ed5846054a1379f7dd6f14f122b6
