path	head_pointer_blob_oid	lfs_oid_sha256	pointer_size	hydrated_bytes	hydrated_sha256	canonical_pointer	payload_hash_match	payload_size_match
data/prefreeze_candidate_v48.sqlite	93461b7a9ffee6a2df2ec6b6029dddb70faf9a56	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	421801984	421801984	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	true	true	true
docs/audits/v49-exploration-full-space-closure-round1/raw/api-functional-http-case-ledger-v2.tsv	ad0fc55ff4c9174c537667ed69e3e2ffa615693d	dad0a42f8a3efd11fec8fad45de517eb5f641d6795d136e4f4ec5e8c1af70aaa	162498021	162498021	dad0a42f8a3efd11fec8fad45de517eb5f641d6795d136e4f4ec5e8c1af70aaa	true	true	true
docs/audits/v49-exploration-full-space-closure-round1/raw/api-functional-validation-v2.json	426b9df7d9dc4d8ea2710c0ea25e67234defb156	1c61513c2d2dbb75dc280fab2a9171f3b44106d6b4379dcefad0dc4db1c06a3f	78575302	78575302	1c61513c2d2dbb75dc280fab2a9171f3b44106d6b4379dcefad0dc4db1c06a3f	true	true	true
docs/audits/v49-exploration-full-space-closure-round1/raw/api-v2-service-dto-case-ledger.tsv	74a1fe03eeac097d5ed4528c39eda2f09ad954cd	6cca40d5ea5d0b7baa4014b1445481cbd85d0723ef3776be96635140f274cfd9	109706355	109706355	6cca40d5ea5d0b7baa4014b1445481cbd85d0723ef3776be96635140f274cfd9	true	true	true
docs/audits/v49-exploration-full-space-closure-round1/raw/api-v2-transition-case-ledger.tsv	8cd236fbdc01d2996b5dea3bd44246f670aa5c4d	3e7651a372d53b671042c685ce17be34277023d72b878c1fa2e5d99a6337c6c2	195678263	195678263	3e7651a372d53b671042c685ce17be34277023d72b878c1fa2e5d99a6337c6c2	true	true	true
docs/audits/v49-exploration-full-space-closure-round1/raw/independent-verification-cases-v2.tsv	7fdba70e8f003c66b7734deece70a3f8f8d699bb	f30a639b70a226a0d38ed60bce40597f286f00b057dd848ddb03b7b7e1dfceaa	186160119	186160119	f30a639b70a226a0d38ed60bce40597f286f00b057dd848ddb03b7b7e1dfceaa	true	true	true
docs/audits/v49-exploration-full-space-closure-round1/raw/independent-verification.json	7b3d206dfa5fdfe64bf8ebf85301d1a9f28ed56c	794a16071edc9efce13c17de56c6b901aac86feb1dd5091fb490e1f20febf35f	182907607	182907607	794a16071edc9efce13c17de56c6b901aac86feb1dd5091fb490e1f20febf35f	true	true	true
docs/audits/v49-exploration-full-space-closure-round1/raw/transition-census-v2.tsv	79b096ad6081eeb6c4f0ce0d0a04dafa3500a10c	3a58b52f3c95fbc33ad992481ff55485b9a566418adc15daa1a39f86e9dd96a0	284522777	284522777	3a58b52f3c95fbc33ad992481ff55485b9a566418adc15daa1a39f86e9dd96a0	true	true	true
docs/audits/v49-exploration-full-space-closure-round1/raw/workloads-v2-run2/json-c1-warm-run2.json	a7680535ce8a2d04d3b190a456a7b293c64555b1	0ff0653ece2d600b0f88f25a6c4ecf186107a6b29162be2edfb54cd68ffd4612	18931343	18931343	0ff0653ece2d600b0f88f25a6c4ecf186107a6b29162be2edfb54cd68ffd4612	true	true	true
docs/audits/v49-exploration-full-space-closure-round1/raw/workloads-v2-run2/json-c10-run2.json	6cc61d02cbf6d8c61279021ca2f72923c4bc4585	d2a854b0e616e4727d862760bd46afaf7282e35fa700ff35b27dfbb33429eefa	1466524	1466524	d2a854b0e616e4727d862760bd46afaf7282e35fa700ff35b27dfbb33429eefa	true	true	true
docs/audits/v49-exploration-full-space-closure-round1/raw/workloads-v2-run2/json-c25-run2.json	b65537408df3e6901d3c27cfab26333b2a9b7fc6	6d5414e438abc2ed1247dd5cee7c79dcd8247f1424deb3bb3677c40c16f71980	2445581	2445581	6d5414e438abc2ed1247dd5cee7c79dcd8247f1424deb3bb3677c40c16f71980	true	true	true
docs/audits/v49-exploration-full-space-closure-round1/raw/workloads-v2-run2/json-c5-run2.json	cde4f6eed9a5aaa0fab40c89a53d7241a562ead6	ef4bfec9d2e69abba043aee7bfa02ce713985a7dd4cc0202dbbaa9a13fc31086	978176	978176	ef4bfec9d2e69abba043aee7bfa02ce713985a7dd4cc0202dbbaa9a13fc31086	true	true	true
docs/audits/v49-exploration-full-space-closure-round1/raw/workloads-v2-run2/json-c50-burst-run2.json	a278a3bcf707070ad2e16d8a9941366d9b0a2b23	57ba2095fa046abb3f2e45688c49d05d381314d28ec9469b695455d13580317c	2445715	2445715	57ba2095fa046abb3f2e45688c49d05d381314d28ec9469b695455d13580317c	true	true	true
docs/audits/v49-exploration-full-space-closure-round1/raw/workloads-v2-run2/mixed-c25-stabilization-run2.json	c2d01b50a154db40c59d290dbb92848cbb0e1313	bc956f72e1ffc0fe86025b2e8b4bc59e086600524341d334c23e3726a7caf864	46486621	46486621	bc956f72e1ffc0fe86025b2e8b4bc59e086600524341d334c23e3726a7caf864	true	true	true
docs/audits/v49-exploration-full-space-closure-round1/raw/workloads-v2-run2/mixed-c25-sustained-run2.json	05af807e79f01db6a606c53b50c77524afa7a72e	49264b0672c3e0ec03e3c156dfb2413d7a5ccfafc70fbac4de13c468e901adbd	46348011	46348011	49264b0672c3e0ec03e3c156dfb2413d7a5ccfafc70fbac4de13c468e901adbd	true	true	true
