alias_id	round16a_ledger_id	round14_evidence_id	pair_id	source_id	common_field_count	common_fields_json	exact_match	derivative_rule	net_new_evidence_object_count	record_sha256
R16B-R16A-EVIDENCE-ALIAS:015fd8d32f254bbec66c802d9289d12420304ea192bf38675eb40a514040d76f	R16A-R14-EVID-001-01	R14-EVID-001-01	R16A-PAIR:9d6b149f9ea2e617d5b45153c18bed1eeff22bd4c979cc8d6767b8c213e4d419	COMP-SRC-001	13	"[""evidence_channel"",""source_id"",""source_kind"",""creator"",""year"",""title"",""locator"",""stable_url"",""doi"",""domain_alignment"",""association_context"",""source_metadata_verified"",""evidence_verified""]"	true	STRIP_R16A_PREFIX_AND_COMPARE_13_COMMON_FIELDS	0	b73145da4ce5b6f3861e86fcf5a6a2b8300da5b6dbe3c8e136bd1d52ecb2472d
R16B-R16A-EVIDENCE-ALIAS:07aeecffaed43a93039e4ef5fc2332c934544cca7f3e6fd411e1ec98886bff5e	R16A-R14-EVID-027-01	R14-EVID-027-01	R16A-PAIR:154799d8fbc46ed2f27dfe075188eefe74136da744e1af8fd4d2e2eb7ee790db	R14-ARC-002	13	"[""evidence_channel"",""source_id"",""source_kind"",""creator"",""year"",""title"",""locator"",""stable_url"",""doi"",""domain_alignment"",""association_context"",""source_metadata_verified"",""evidence_verified""]"	true	STRIP_R16A_PREFIX_AND_COMPARE_13_COMMON_FIELDS	0	d6e8f7c238b827d6ab98ca1af8fbdb675cbae8a0f31b28ebecd7d069459a3f09
R16B-R16A-EVIDENCE-ALIAS:0b93746931349ac4c9bcfce5cb7f26afb4f4d5ffa43a003c83fbfafdd3b66b87	R16A-R14-EVID-008-01	R14-EVID-008-01	R16A-PAIR:5841a12151ac0ce714f0b8e279e939bed009b3f2be71086cde6033cbbd11b4ea	COMP-SRC-024	13	"[""evidence_channel"",""source_id"",""source_kind"",""creator"",""year"",""title"",""locator"",""stable_url"",""doi"",""domain_alignment"",""association_context"",""source_metadata_verified"",""evidence_verified""]"	true	STRIP_R16A_PREFIX_AND_COMPARE_13_COMMON_FIELDS	0	a56776c7c22ce32921ed37a7945f539bc1f2ab5184dce907d1cdf9a2dfa01a32
R16B-R16A-EVIDENCE-ALIAS:1178e3fe35172b112f2000eed462e864f34cad814df0c8ea34f1356e77f62eb4	R16A-R14-EVID-022-02	R14-EVID-022-02	R16A-PAIR:3d61d7d805faa305a676cbdac54f0ac3a84f596f18cc65a747dfe8623626db2b	COMP-SRC-012	13	"[""evidence_channel"",""source_id"",""source_kind"",""creator"",""year"",""title"",""locator"",""stable_url"",""doi"",""domain_alignment"",""association_context"",""source_metadata_verified"",""evidence_verified""]"	true	STRIP_R16A_PREFIX_AND_COMPARE_13_COMMON_FIELDS	0	6baa51c28f60eb769b2612c2a1d339bb92ff6b66b2aab5e2d681a1f66f247104
R16B-R16A-EVIDENCE-ALIAS:1b1274dba584b1d37216086fc81713d356ede4a596ea4a02acb086622a4f6e7f	R16A-R14-EVID-003-03	R14-EVID-003-03	R16A-PAIR:818cc370417319af9a65fec5211969862df5c48a821265533ba289932e57b18c	COMP-SRC-010	13	"[""evidence_channel"",""source_id"",""source_kind"",""creator"",""year"",""title"",""locator"",""stable_url"",""doi"",""domain_alignment"",""association_context"",""source_metadata_verified"",""evidence_verified""]"	true	STRIP_R16A_PREFIX_AND_COMPARE_13_COMMON_FIELDS	0	2e8ef1ba5f5819d465f3d0c914f30ed0e55e81e8d0f546a14cc3e1b9ec09e037
R16B-R16A-EVIDENCE-ALIAS:1c81805569fba9b4c1b2e5cfb22cdc3af04dbb1db4d8ee709d1e3f01f0e30556	R16A-R14-EVID-035-02	R14-EVID-035-02	R16A-PAIR:7f28f2a8fb5488929a28fed2a910f651133eb8c89389c1e8b7747a6d0fbf8379	COMP-SRC-017	13	"[""evidence_channel"",""source_id"",""source_kind"",""creator"",""year"",""title"",""locator"",""stable_url"",""doi"",""domain_alignment"",""association_context"",""source_metadata_verified"",""evidence_verified""]"	true	STRIP_R16A_PREFIX_AND_COMPARE_13_COMMON_FIELDS	0	8bfea98d926ed6fee35dd3ceaaae8629420fd92deae3462b6ffb3a9c71b5af21
R16B-R16A-EVIDENCE-ALIAS:1dc47aa6d0dda16cc7da21fa1735bd373a6ee66d14a1080d2feef3ab82857cc5	R16A-R14-EVID-033-02	R14-EVID-033-02	R16A-PAIR:e3b2144bc27792ed2c5f4548e9513f9ff8550eaa148c01004bfb8ef332f57c6f	COMP-SRC-001	13	"[""evidence_channel"",""source_id"",""source_kind"",""creator"",""year"",""title"",""locator"",""stable_url"",""doi"",""domain_alignment"",""association_context"",""source_metadata_verified"",""evidence_verified""]"	true	STRIP_R16A_PREFIX_AND_COMPARE_13_COMMON_FIELDS	0	3c77968ac6e179739d4cdccd01e07caa6fe41e135856577d26daa1235c76681a
R16B-R16A-EVIDENCE-ALIAS:1e22b0a75481dd6f8fb02d1a4264652c9aa7b86389262ba2857db36d43d3eae2	R16A-R14-EVID-033-01	R14-EVID-033-01	R16A-PAIR:e3b2144bc27792ed2c5f4548e9513f9ff8550eaa148c01004bfb8ef332f57c6f	COMP-SRC-004	13	"[""evidence_channel"",""source_id"",""source_kind"",""creator"",""year"",""title"",""locator"",""stable_url"",""doi"",""domain_alignment"",""association_context"",""source_metadata_verified"",""evidence_verified""]"	true	STRIP_R16A_PREFIX_AND_COMPARE_13_COMMON_FIELDS	0	bc2b477c41dac598723231c7e1235aec936a4398f594a399bed02e6d1dd0cb2c
R16B-R16A-EVIDENCE-ALIAS:1f0f3339814b938c63835ddcd8ca9c7f200120ac17a749e036879afe3300ade6	R16A-R14-EVID-021-01	R14-EVID-021-01	R16A-PAIR:09108fb32fbc17acaa1205d07d048a5e74371e81f8c5919a24f86af4ddc3d677	COMP-SRC-001	13	"[""evidence_channel"",""source_id"",""source_kind"",""creator"",""year"",""title"",""locator"",""stable_url"",""doi"",""domain_alignment"",""association_context"",""source_metadata_verified"",""evidence_verified""]"	true	STRIP_R16A_PREFIX_AND_COMPARE_13_COMMON_FIELDS	0	9e6fa035aa50cfdd1e0300146bb9defee21848a3218687c79acedf6eaa346104
R16B-R16A-EVIDENCE-ALIAS:206dc6d58c317b77a490459e37ac519d156f268b4dede12ccf356d19fcbec3b5	R16A-R14-EVID-004-02	R14-EVID-004-02	R16A-PAIR:a364e4ea20e2f9e24e1fc980dc1ab703ae69a0fc86aa626a14e45cca0ea3bbb2	COMP-SRC-009	13	"[""evidence_channel"",""source_id"",""source_kind"",""creator"",""year"",""title"",""locator"",""stable_url"",""doi"",""domain_alignment"",""association_context"",""source_metadata_verified"",""evidence_verified""]"	true	STRIP_R16A_PREFIX_AND_COMPARE_13_COMMON_FIELDS	0	f27ce60eaa207c143455a38497ce0e90d1d30be0f81f847f3bea78b5312294d8
R16B-R16A-EVIDENCE-ALIAS:215b70ed9bb4e72ef86f0db6684a8998fb42fcb9efd44c0ffc99578dd445c0c9	R16A-R14-EVID-023-02	R14-EVID-023-02	R16A-PAIR:dae6d5bdc42db87c65a4d0a33531ff5a2a564d44a23da5ca929889a1cafc187d	COMP-SRC-006	13	"[""evidence_channel"",""source_id"",""source_kind"",""creator"",""year"",""title"",""locator"",""stable_url"",""doi"",""domain_alignment"",""association_context"",""source_metadata_verified"",""evidence_verified""]"	true	STRIP_R16A_PREFIX_AND_COMPARE_13_COMMON_FIELDS	0	176c415997408dd578a8bfc64f751f0394d913cf3a26fa006a99ec695cb529bf
R16B-R16A-EVIDENCE-ALIAS:2672f2fc41c566f6cdf74ed498688631be88ef3e50d89496bc34a5ba495496bc	R16A-R14-EVID-016-01	R14-EVID-016-01	R16A-PAIR:85e32fbf7d295e72068df767318096879ed6af2c4af16cadd1313e3fca88fa26	COMP-SRC-004	13	"[""evidence_channel"",""source_id"",""source_kind"",""creator"",""year"",""title"",""locator"",""stable_url"",""doi"",""domain_alignment"",""association_context"",""source_metadata_verified"",""evidence_verified""]"	true	STRIP_R16A_PREFIX_AND_COMPARE_13_COMMON_FIELDS	0	05b01b43aa6d77e5c79e8a5209c79ce162dff05cace2c930347487c36419d2b4
R16B-R16A-EVIDENCE-ALIAS:2c003a0e17e5e3e4882422f14e1695f63b4896a66957cbbdb720fc0521fbca4e	R16A-R14-EVID-005-01	R14-EVID-005-01	R16A-PAIR:db9e8b1d1d7e17983872e3600cd1a3ce5ae7f3c907ae70bdeafcbd0b2c6a0460	COMP-SRC-023	13	"[""evidence_channel"",""source_id"",""source_kind"",""creator"",""year"",""title"",""locator"",""stable_url"",""doi"",""domain_alignment"",""association_context"",""source_metadata_verified"",""evidence_verified""]"	true	STRIP_R16A_PREFIX_AND_COMPARE_13_COMMON_FIELDS	0	d373b76af956fbe96af4e7f71c7414566a8330fdd3a4c2a19240791f789ba27c
R16B-R16A-EVIDENCE-ALIAS:346975dd2dc5184b60ee4426e46236c3ccbef987e4f404ecc9f6e36f4036d42b	R16A-R14-EVID-010-01	R14-EVID-010-01	R16A-PAIR:c36555188472ea5287ed70295a1b85e92e2ba9468fc703d2fe8893de3fc55a1f	COMP-SRC-019	13	"[""evidence_channel"",""source_id"",""source_kind"",""creator"",""year"",""title"",""locator"",""stable_url"",""doi"",""domain_alignment"",""association_context"",""source_metadata_verified"",""evidence_verified""]"	true	STRIP_R16A_PREFIX_AND_COMPARE_13_COMMON_FIELDS	0	190ae5df62f116090b881506222dce93f74b80b755492586a74f318bc5fa5229
R16B-R16A-EVIDENCE-ALIAS:37b735c33f80fe17d2e8a7ce5abc72e0495cf65f0b2a4f97fe5e205637bbc037	R16A-R14-EVID-027-02	R14-EVID-027-02	R16A-PAIR:154799d8fbc46ed2f27dfe075188eefe74136da744e1af8fd4d2e2eb7ee790db	COMP-SRC-001	13	"[""evidence_channel"",""source_id"",""source_kind"",""creator"",""year"",""title"",""locator"",""stable_url"",""doi"",""domain_alignment"",""association_context"",""source_metadata_verified"",""evidence_verified""]"	true	STRIP_R16A_PREFIX_AND_COMPARE_13_COMMON_FIELDS	0	199d1663c642e98394e9f4a508097306e96f7069c720c30ab3c05a3fdfdc32af
R16B-R16A-EVIDENCE-ALIAS:3ab22219ae97d1a80fbc3e4dd84d8fe55af868924abe5cd27ea8b9399852b531	R16A-R14-EVID-003-02	R14-EVID-003-02	R16A-PAIR:818cc370417319af9a65fec5211969862df5c48a821265533ba289932e57b18c	COMP-SRC-010	13	"[""evidence_channel"",""source_id"",""source_kind"",""creator"",""year"",""title"",""locator"",""stable_url"",""doi"",""domain_alignment"",""association_context"",""source_metadata_verified"",""evidence_verified""]"	true	STRIP_R16A_PREFIX_AND_COMPARE_13_COMMON_FIELDS	0	4cc65a4d230325fb990e55e1ef950409d67f13155a2148bbe816a5a66a156cc3
R16B-R16A-EVIDENCE-ALIAS:3f231066d08f47a31fcdcce8b6af73e77a3b7c1f60bdc2991d4f6c33aeac720a	R16A-R14-EVID-034-01	R14-EVID-034-01	R16A-PAIR:f5359142afc7c04e6307b8067e0d2ce9b0630699a3ab7783209027a477e374a8	COMP-SRC-004	13	"[""evidence_channel"",""source_id"",""source_kind"",""creator"",""year"",""title"",""locator"",""stable_url"",""doi"",""domain_alignment"",""association_context"",""source_metadata_verified"",""evidence_verified""]"	true	STRIP_R16A_PREFIX_AND_COMPARE_13_COMMON_FIELDS	0	45f00b59a3ed621afed3e32643999519933b48594fb7a04af3766591a669e262
R16B-R16A-EVIDENCE-ALIAS:44d13621ba263aa514a7095d307a11a036e5cccd51bd1ae139af511d3bb1f2b5	R16A-R14-EVID-024-01	R14-EVID-024-01	R16A-PAIR:091f8507fa62134f0bd0d718357a195bb1b80c6e56618bceec5a76f9c4ca359e	COMP-SRC-001	13	"[""evidence_channel"",""source_id"",""source_kind"",""creator"",""year"",""title"",""locator"",""stable_url"",""doi"",""domain_alignment"",""association_context"",""source_metadata_verified"",""evidence_verified""]"	true	STRIP_R16A_PREFIX_AND_COMPARE_13_COMMON_FIELDS	0	d62b668128ff5e54c839e36f954c2813a8e062f743482dae83b51280b3e7f650
