exclusion_class	meaning	proof_required	reopening_condition
NO_GOVERNED_TRIGGER	All mathematical subsets absent from every audited trigger output.	Recompute all finite trigger outputs and prove the subset key is absent; report the rule-level complement count, not a historical claim.	A new source pattern or gap finding invalidates this exclusion until regeneration.
METADATA_DISCOVERY_ONLY	Search result, title, abstract index, keyword, citation, or database metadata without a reviewable evidence locator.	Record query/result identity and absence of qualifying locator-bearing review.	A later reviewed source may generate a new candidate.
COOCCURRENCE_OR_CONCEPT_ONLY	Terms are present but do not participate in one bounded configuration.	Record locus and reviewer reason distinguishing presence from participation.	Direct group evidence reopens the structure.
VOCABULARY_SUPPORT_ONLY	A source supports concept eligibility but explicitly does not support an association.	Preserve source scope note and forbid association activation.	Separate association evidence may create a candidate.
INCOMPATIBLE_CASE_OR_SCOPE	Evidence crosses incompatible time, place, institution, actor, case, mechanism, or bounded sense.	Record each conflicting dimension and source locator.	Only a newly bounded compatible candidate may proceed.
PAIR_DERIVED_WITHOUT_GROUP_REVIEW	A connected graph or composition exists only because pair edges compose.	Link all pair records and the missing global review gate.	Completed group review replaces this class with a substantive disposition.
TOPOLOGY_OR_ROLE_CONFLICT	Proposed order, role, direction, or render topology exceeds the evidence.	Record supported semantics separately from rejected realization.	A corrected realization requires a distinct reviewed mapping.
UNRESOLVED_SENSE	At least one label lacks a governed bounded sense.	Link the gap or vocabulary decision.	A later governed sense decision may trigger review.
STRUCTURAL_ANNOTATION_NOT_ASSOCIATION	The item is a context, condition, or analytic annotation rather than a participating association member.	Link the governing structural decision.	A different bounded sense requires a new authority decision.
ALIAS_OR_MERGED_IDENTITY	A label is an alias or merged vocabulary identity.	Canonicalize to the governed vocabulary/sense ID and prove no semantic distinction remains.	A newly governed distinct sense creates a new identity.
RIGHTS_OR_ACCESS_BLOCKED	Evidence cannot be lawfully or reliably reviewed at a stable locator.	Record access condition, attempt, and non-retention decision.	Legitimate later access may reopen review; never activate while blocked.
CATEGORY_OR_DATABASE_COINCIDENCE_ONLY	Shared product category, archive folder, similarity edge, or database join lacks group evidence.	Record the mechanical discovery path and absence of historical support.	Reviewable same-case evidence may create a candidate.
DUPLICATE_CANDIDATE_IDENTITY	An exact canonical candidate identity already exists.	Link the surviving ID and canonical identity hash.	Different role, order, scope, case, or authority prevents this exclusion.
OUTSIDE_AUTHORIZED_FUNCTION3_SCOPE	The structure does not concern governed Exploration vocabulary associations or their product realizations.	State the governing boundary without evaluating the historical claim.	A changed authority requires a new round or explicit authorization.
