surface_id	round	source_path	source_sha256	record_selector	input_record_count	selector_rule	selector_version	control_record_count	alias_record_count	metadata_lead_count	new_trigger_occurrence_count	new_candidate_family_count	execution_disposition	authority_dependency	required_next_action	record_sha256
SURF-DB-001	V49_DATABASE	data/prefreeze_candidate_v48.sqlite	ef190d00b9b265ecc49924aea4d82f389decd0a003d5aa7cf2d46971430c007e	file	1	trace-round16b-database-discovery-sql-v1;trace-round16b-nfkc-casefold-nonalnum-space-longest-first-v1	trace-round16b-deferred-surface-selector-v2	122	0	11	11	4	SELECTOR_ACCOUNTED_DATABASE_DISCOVERY_ONLY	BOUNDED_SOURCE_TEXT_SENSE_RIGHTS_AND_GLOBAL_COHERENCE_REVIEW	Review the eleven metadata/lexical loci as sources; preserve the two capture-locus exclusions and 120 project-generated search-document controls; do not activate database co-occurrence.	c762a4683466a4d23300d2e14692eb07b182ba31709c2d67346de283ac96c5a7
SURF-R09-001	ROUND9	docs/research/trace-v49-design-history-relation-vocabulary-round1/03_SCHOLARLY_SOURCE_REGISTRY.tsv	8aae0e6d73f30061cc09a3bc7d72c4eb10aea1ca92513a5d0bc16bf29aa4943f	tsv_rows	50	CANONICALIZE_DOI_THEN_ISBN_THEN_STABLE_URL_THEN_AUTHOR_YEAR_TITLE	trace-round16b-deferred-surface-selector-v2	50	7	0	0	0	SELECTOR_ACCOUNTED_RIGHTS_BLOCKED	RIGHTS_TEXT_ACCESS_LOCATOR_AND_BOUNDED_GROUP_REVIEW	Resolve the canonical rights queue and review lawful locator-bearing source text.	ee31e922878eab1ec1c2f7f900306c05ce6f91a079b6c2dac9fafb3e02e1cba3
SURF-R09-005	ROUND9	docs/research/trace-v49-design-history-relation-vocabulary-round1/12_REJECTED_AND_DEFERRED_TERMS.tsv	b2ef0cec7cd888432c3382b6f14c364ba0bac4b29f7042b12cecca59bc751ad2	tsv_rows	17	FINAL_DECISION_AND_ADVERSARIAL_STATUS_EXACT	trace-round16b-deferred-surface-selector-v2	17	0	0	0	0	SELECTOR_ACCOUNTED_ZERO_HIGHER_ORDER_EMISSION	GOVERNED_EVIDENCE_AND_METHOD_AUTHORITY_REMAINS_OPEN	Retain the exact control/alias proof; continue evidence and recursive-gap review.	31f225a572b2f022d94763cd5540f6d478412909ffc6700618da74545bf83ebf
SURF-R10-001	ROUND10	docs/research/trace-v49-design-history-relation-grammar-round1/03_GRAMMAR_SCHOLARLY_SOURCE_REGISTRY.tsv	9db7d8eaf85b1e104b40cc9412dca274a20b0c5b5715941ec6f234f46c21bd3d	tsv_rows	28	CANONICALIZE_DOI_THEN_ISBN_THEN_STABLE_URL_THEN_AUTHOR_YEAR_TITLE	trace-round16b-deferred-surface-selector-v2	28	0	0	0	0	SELECTOR_ACCOUNTED_RIGHTS_BLOCKED	RIGHTS_TEXT_ACCESS_LOCATOR_AND_BOUNDED_GROUP_REVIEW	Resolve the canonical rights queue and review lawful locator-bearing source text.	d40e2736b01762c0985b13a4089aef255d9a1189684a1452e5639cb243417050
SURF-R10-004	ROUND10	docs/research/trace-v49-design-history-relation-grammar-round1/08_ORDERED_PAIR_COMPATIBILITY_MATRIX.tsv	8e39b2c8f133f885a65b9d2d4a38b903ba5ff4768c4612e7017be0d094e71a2d	tsv_rows	256	EXACT_ORDERED_PAIR_DECISION_WITHOUT_GROUP_LIFT	trace-round16b-deferred-surface-selector-v2	256	0	0	0	0	SELECTOR_ACCOUNTED_ZERO_HIGHER_ORDER_EMISSION	GOVERNED_EVIDENCE_AND_METHOD_AUTHORITY_REMAINS_OPEN	Retain the exact control/alias proof; continue evidence and recursive-gap review.	eaa8e420c27f0cecfb7e9a8970484b1a607ad0f7b9276e5b1899abc24f8bfdeb
SURF-R10-007	ROUND10	docs/research/trace-v49-design-history-relation-grammar-round1/20_VOCABULARY_GAP_REGISTER.tsv	2ba8d342ea40d3ebdd53dcd54ad11ab90deee4823287e5067c9649e76e7073d1	tsv_rows	6	NO_PUBLIC_LABEL_AND_FUTURE_GATE_EXACT	trace-round16b-deferred-surface-selector-v2	6	0	0	0	0	SELECTOR_ACCOUNTED_ZERO_HIGHER_ORDER_EMISSION	GOVERNED_EVIDENCE_AND_METHOD_AUTHORITY_REMAINS_OPEN	Retain the exact control/alias proof; continue evidence and recursive-gap review.	163fe5bfb97a5ceb635df78b8a1c612997611979e162b2255af102b09fc2d021
SURF-R11-001	ROUND11	docs/research/trace-v49-exploration-constraint-kernel-round1/04_CONSTRAINT_REGISTRY.tsv	eee02e380b68b642e9c071700369fa20333d9af55f637c4084fac0b8404f0810	tsv_rows	37	STATUS_MUST_EQUAL_PASS	trace-round16b-deferred-surface-selector-v2	37	0	0	0	0	SELECTOR_ACCOUNTED_ZERO_HIGHER_ORDER_EMISSION	GOVERNED_EVIDENCE_AND_METHOD_AUTHORITY_REMAINS_OPEN	Retain the exact control/alias proof; continue evidence and recursive-gap review.	d77c699b0506796c280464729947042f878c59765300b85edbb2f5878384e067
SURF-R11-002	ROUND11	docs/research/trace-v49-exploration-constraint-kernel-round1/08_SYNTHETIC_FIXTURE_REGISTRY.tsv	13fe5ef616094589ce12280a904522f327b05c83d14d45cd6ba5d6423b7d201a	tsv_rows	10	SYNTHETIC_TRUE_AND_PRODUCTION_EXPORTABLE_FALSE	trace-round16b-deferred-surface-selector-v2	10	0	0	0	0	SELECTOR_ACCOUNTED_ZERO_HIGHER_ORDER_EMISSION	GOVERNED_EVIDENCE_AND_METHOD_AUTHORITY_REMAINS_OPEN	Retain the exact control/alias proof; continue evidence and recursive-gap review.	591f7c138e56218305e146ae6e6278ebde230d3040867e13cc0c72b5104aeaea
SURF-R11-003	ROUND11	docs/research/trace-v49-exploration-constraint-kernel-round1/15_ADVERSARIAL_TEST_MATRIX.tsv	4a8eb19a7e815fb0556bc644c39e8a5f90bf4d37273412d04746ad8fd5171132	tsv_rows	20	EXPECTED_EQUALS_ACTUAL_AND_STATUS_PASS	trace-round16b-deferred-surface-selector-v2	20	0	0	0	0	SELECTOR_ACCOUNTED_ZERO_HIGHER_ORDER_EMISSION	GOVERNED_EVIDENCE_AND_METHOD_AUTHORITY_REMAINS_OPEN	Retain the exact control/alias proof; continue evidence and recursive-gap review.	baac22e6170b8c62e1edf6c9ba34fdfe9fab3fe2b6a9dc7621765246e939d333
SURF-R12-001	ROUND12	docs/research/trace-v49-exploration-inquiry-flow-round1/02_RESEARCH_CANDIDATE_FREEZE.json	a17b0e97aeaf6c7c11d35d7b225bf7c64b696820f4d077a9d887d7c7e0df9b42	json:candidates	16	PACKAGE_AND_CANDIDATE_ACTIVE_FALSE	trace-round16b-deferred-surface-selector-v2	16	0	0	0	0	SELECTOR_ACCOUNTED_ZERO_HIGHER_ORDER_EMISSION	GOVERNED_EVIDENCE_AND_METHOD_AUTHORITY_REMAINS_OPEN	Retain the exact control/alias proof; continue evidence and recursive-gap review.	6d8cd567c5368f2a020f66b9b84c83036646fd5712773ad98c0e73d9b75be78d
