input_id	input_surface_id	path	record_selector	record_count	bytes	sha256	use_boundary
R16B-LOCAL-INPUT-001	R16B-LOCAL-SURF-R16A-VOCABULARY	docs/audits/v49-exploration-full-space-closure-round1/raw/vocabulary-census-v2.json	json:candidates	65	118573	da6e6e485a13b6224e293b8901df9dbb12a7ae7d7e77530ded316970ec5cad1a	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-002	R16B-LOCAL-SURF-R09-CANDIDATES	docs/research/trace-v49-design-history-relation-vocabulary-round1/04_RAW_CANDIDATE_TERM_REGISTRY.tsv	tsv_rows	33	14815	983b73a5f24ad512adc43b7dad47bb572b6f2563e3755760f7f14d26c014a371	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-003	R16B-LOCAL-SURF-R09-ATTESTATIONS	docs/research/trace-v49-design-history-relation-vocabulary-round1/05_TERM_ATTESTATION_REGISTRY.tsv	tsv_rows	55	21069	f2f8ff68c9263ee360aa84f73bc3adb55e5b18b41f86f03faa18522645193240	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-004	R16B-LOCAL-SURF-R09-GLOSSES	docs/research/trace-v49-design-history-relation-vocabulary-round1/07_SEMANTIC_GLOSS_REGISTRY.tsv	tsv_rows	16	16332	707478647d2dfde3fdef258148026b6d9b6b080d23c923dabfff22d7a174ef09	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-005	R16B-LOCAL-SURF-R10-ROLES	docs/research/trace-v49-design-history-relation-grammar-round1/06_ARGUMENT_ROLE_REGISTRY.tsv	tsv_rows	16	10020	7e0997ea0a6c0f87990ae711be3af57ac9d8d53de8ff26a42c4a107df3302427	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-006	R16B-LOCAL-SURF-R10-ATTESTATIONS	docs/research/trace-v49-design-history-relation-grammar-round1/07_GRAMMAR_ATTESTATION_REGISTRY.tsv	tsv_rows	30	17282	62b56052829d23cd2cf820a232479f74cbf663d64465cdc242900e71220df2a8	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-007	R16B-LOCAL-SURF-R10-CLUSTERS	docs/research/trace-v49-design-history-relation-grammar-round1/14_CLUSTER_EVIDENCE_HANDOFF.tsv	tsv_rows	2	908	0fca1a4995577ddb3e33e1a12bebb18ccd14e74684755c26749029722dfb2ccd	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-008	R16B-LOCAL-SURF-R10-CHAINS	docs/research/trace-v49-design-history-relation-grammar-round1/15_OBSERVED_RELATION_CHAIN_REGISTRY.tsv	tsv_rows	2	631	3aa08392887147f76d686b7d5122a15eccf3d3a99e36792070ae0289d2f408b8	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-009	R16B-LOCAL-SURF-R13-EVIDENCE	docs/research/trace-v49-exploration-composition-review-round1/04_COMPOSITION_EVIDENCE_REGISTRY.tsv	tsv_rows	29	18020	c3d24a2a6f90d1e0b6ce7f0f483d04a752761cb3699294039c97778ed84dd714	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
R16B-LOCAL-INPUT-010	R16B-LOCAL-SURF-R13-GAP-DECISIONS	docs/research/trace-v49-exploration-composition-review-round1/07_VOCABULARY_GAP_DECISIONS.tsv	tsv_rows	6	2830	70fe25529eab69513fc31899b237a3e9eb42e770c0bc2b5a252a132790550004	CANDIDATE_DISCOVERY_OR_PRIOR_RECONCILIATION_ONLY; NO SUPPORT DISPOSITION INHERITED
