shard_id	prefix_start	prefix_end	path	record_count	first_transition_id	last_transition_id	sorted_transition_id_set_sha256	output_bytes	output_sha256	lfs_required	source_file_sha256	record_sha256
R16B-R16A-TRANSITION-SHARD-00	00	03	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-00-03-v1.tsv	11806	R16A-TRANSITION-00003889D89108267090F470	R16A-TRANSITION-03FFE208DAC40A456463F448	3e336dbf4b5bb9981cde87dc652e8cdbf71965e3d14056eb4f0052c7d6d3a3d3	11871944	e89f02e82714715a4c416cb7effd9c47d7b27fdcece33d029a37e0fb8c3497e2	true	3a58b52f3c95fbc33ad992481ff55485b9a566418adc15daa1a39f86e9dd96a0	b6aac166db3adfb0c96737fa74a035d5804b633c331bf49e7d1daaaee88dd454
R16B-R16A-TRANSITION-SHARD-01	04	07	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-04-07-v1.tsv	11665	R16A-TRANSITION-040016F3D630C5A29A0F0B11	R16A-TRANSITION-07FFE65E8067C43DDE0C8795	86765d2c1c2d79a0f6b8e4df939cb2148d765dc00e69d30929023beaafb2e914	11729632	20d55e69dc0a1b0d7fa7db8676e5ecae15b745ef58692ef15ecf352ce4b3e87f	true	3a58b52f3c95fbc33ad992481ff55485b9a566418adc15daa1a39f86e9dd96a0	22b75318ea519f9ec43587ed29fb58e79dbb2078f190516ce86831723adf8f2d
R16B-R16A-TRANSITION-SHARD-02	08	0b	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-08-0b-v1.tsv	11737	R16A-TRANSITION-0800069C70788D950A1FB747	R16A-TRANSITION-0BFFD04C1208B92CC6A6B3E5	1e8fbf87107696cde602fd36492186587f63630d0d2b4e66fca637c6677e578f	11802106	ac59944f11e8d58cd84a5db238792e716cd7f59635d74b3bd7db661314827a83	true	3a58b52f3c95fbc33ad992481ff55485b9a566418adc15daa1a39f86e9dd96a0	9f391f11dc81b35b8eef2c3e6d9f7609d048c37d3d26792e480550fac124d220
R16B-R16A-TRANSITION-SHARD-03	0c	0f	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-0c-0f-v1.tsv	11621	R16A-TRANSITION-0C000EF68776A391947FB348	R16A-TRANSITION-0FFFE09DAA225433E48C6150	d07506211feee5350834dc0a94b1a0fb2341c8a798a0e0cdf58ee6d9f02c13da	11686063	212ab8d150d9820b1fd34db7417e04f50b575c3da775c3707208436803beb52e	true	3a58b52f3c95fbc33ad992481ff55485b9a566418adc15daa1a39f86e9dd96a0	1aa304b229446a17fdce3af3cd138d57aa3af5417e9161015c300365f2cac0a6
R16B-R16A-TRANSITION-SHARD-04	10	13	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-10-13-v1.tsv	11700	R16A-TRANSITION-10000093A32BD276208F1268	R16A-TRANSITION-13FFF901C6D442F5F1CB9F54	272fca9c0a2c1eb12e6fa0d1cb2a02cca7fa76477cb83ed9b362822e2e744f22	11764254	9787f22b755949d12b9e69c12fe2b0940da2d775604a39eb4763902b0cb8d01d	true	3a58b52f3c95fbc33ad992481ff55485b9a566418adc15daa1a39f86e9dd96a0	bfc23a6f81a8568e61a75a0bfab42bcd7e5fd5f9980bdde2e7f9c04a2f0f79fc
R16B-R16A-TRANSITION-SHARD-05	14	17	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-14-17-v1.tsv	11731	R16A-TRANSITION-140013042FCACE1FFBFBEBC4	R16A-TRANSITION-17FFA2999D7AC1E2BA9C25EA	2b3d3ea9fce9504ef870a2c9623f7247cf234916dc4d7971cc005ff9eb5bdc30	11797039	e80ebf3a948f64b8c963c77ed52337a590c33abd4e7e3fbd42571a19c1614869	true	3a58b52f3c95fbc33ad992481ff55485b9a566418adc15daa1a39f86e9dd96a0	27d8a27871d53288bf71258db8cef722300672b8b4d1c4914462707e1b579f64
R16B-R16A-TRANSITION-SHARD-06	18	1b	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-18-1b-v1.tsv	11716	R16A-TRANSITION-1800070381823E5E3B136E65	R16A-TRANSITION-1BFFE94E5CFE78F659D4BA9F	bf9458fe3803d43e368b3f87203f562b5af6888c57efa30f3c26c9d176b5a56d	11781104	323d2ffb37445e62f8b213cba3754a6232cb696869b1de89c855b1e576373912	true	3a58b52f3c95fbc33ad992481ff55485b9a566418adc15daa1a39f86e9dd96a0	618ecd70f6338b561db3248bc4750f419f1946362aea38f780358411362b0103
R16B-R16A-TRANSITION-SHARD-07	1c	1f	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-1c-1f-v1.tsv	11940	R16A-TRANSITION-1C00470EDAF0AE8E94DCB87F	R16A-TRANSITION-1FFFF44BC699764F0C21B557	aacf9227973c2e8666e0795b9e974fafdc1b27cd03ed8e8d7446d2638cf01247	12005125	f23384617896ef855785ac5877218ad0fadf513d36b81ab79aede7d6ab0d3796	true	3a58b52f3c95fbc33ad992481ff55485b9a566418adc15daa1a39f86e9dd96a0	2be797087e7763fe44b9ef718cda15e2097bf0aba7a09820d5aad11249ccbbd3
R16B-R16A-TRANSITION-SHARD-08	20	23	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-20-23-v1.tsv	11749	R16A-TRANSITION-2000031E91B315988CF4509C	R16A-TRANSITION-23FFDD93A014F447A65C7D59	2bb68a00c0194e281b90bfa08e0397540f98960ab62b321fec79af074f5fd343	11812669	964ea93bd65ce736e56da1dec1b4e438d150c31a667b1bf89d9c1441dc627b4e	true	3a58b52f3c95fbc33ad992481ff55485b9a566418adc15daa1a39f86e9dd96a0	e26cce45ffdafdb32d47d5d93d215a81a3a0f7682979c9f4a391965c08e3b156
R16B-R16A-TRANSITION-SHARD-09	24	27	docs/audits/v49-exploration-higher-order-association-closure-round16b/raw/large/round16a-transition-reconciliation-v1/round16a-transition-reconciliation-24-27-v1.tsv	11693	R16A-TRANSITION-24001A0AEB4E403BB6F80556	R16A-TRANSITION-27FFF9F25955FD3F47D02712	d1228fc05ec491f2f3b3ae66d099a48f86bd016805eadcd38c770ca427ff7f51	11756936	ef0c49c959109144e70ae30decc7fb86bdd8564cc8e2be75b89d83893a5fcbf7	true	3a58b52f3c95fbc33ad992481ff55485b9a566418adc15daa1a39f86e9dd96a0	45bbe096fea67b89c0493ab08b49d9a5c8e2d03d1be8a250fd69e49799429411
