control_record_id	surface_id	source_path	source_record_ref	source_record_locator	selector_rule	record_class	emission_decision	net_trigger_occurrence_count	alias_or_blocker_ref	authority_dependency	notes	source_record_sha256	record_sha256
R16B-DEFERRED-CONTROL:0011e74ef5bba31cc5894b5a0047a2f300eb56f0869b317e8b505bba0693f576	SURF-R16A-010	docs/audits/v49-exploration-full-space-closure-round1/raw/association-query-log-v2.jsonl	R16A-CROSSREF-QUERY:0c7bad13635e25c77d3063663d131048df15ac06080fb07a788297ae17d427db	docs/audits/v49-exploration-full-space-closure-round1/raw/association-query-log-v2.jsonl#query_id=R16A-CROSSREF-QUERY:0c7bad13635e25c77d3063663d131048df15ac06080fb07a788297ae17d427db	FIVE_RESULTS_PER_QUERY_EXACT_ALIAS_AND_ZERO_ACCEPTED	METADATA_QUERY_CONTROL	ZERO_EMISSION_METADATA_ONLY	0	"[""R16B-R16A-QUERY-ALIAS:420b2782e5b04a9eae78463f0835d0801fa3b5485c70ba1c9792cc0bbc3fc314"",""R16B-R16A-QUERY-ALIAS:96d223abc4fb3da9c20837f8d0e904ddbd4549d7f59a6b26b12486ee4bc88ef9"",""R16B-R16A-QUERY-ALIAS:aa03b611312d69cecc0a5438ca51480e0eac97a6879a36313ad36d74632f8eae"",""R16B-R16A-QUERY-ALIAS:dd50298f3e2b0d586c071ae8a4c66cc531dc4a585a1693fcaaf917d8fa50eca9"",""R16B-R16A-QUERY-ALIAS:e7c94455d7b5a3dab4c335655fd9841b5abd0ffb01cc3c6e4a29b9ab27e51685""]"	LAWFUL_SOURCE_TEXT_AND_LOCATOR_REVIEW	Five Crossref results are exact aliases to metadata-only evidence rows; no result was accepted.	99448dfe2367ebe76466d2b55d0c283b8940d143b0ba0e5a12eed6d964c15685	b1b3d733879e650719174b07cf662b7ef98d9222d28fd89ca897b33b39870ae3
R16B-DEFERRED-CONTROL:00363302e05492fbebb721ce0e9756ce2aeee1b970989bcb5009a6ab44e62535	SURF-R16A-003	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv	R16A-R16A-PAIR:dae6d5bdc42db87c65a4d0a33531ff5a2a564d44a23da5ca929889a1cafc187d-XREF-05	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv#ledger_id=R16A-R16A-PAIR:dae6d5bdc42db87c65a4d0a33531ff5a2a564d44a23da5ca929889a1cafc187d-XREF-05	R14_EXACT_ALIAS_OR_QUERY_RESULT_EXACT_ALIAS	ROUND16A_PAIR_EVIDENCE_DERIVATIVE	ZERO_NET_EMISSION_ALL_ROWS_ALIASED	0	R16B-R16A-QUERY-ALIAS:d508122d05d3059ae2758dd234b73292ab506ca0db492873793d3dfc6f44674a	UPSTREAM_ALIAS_ONLY_NO_GROUP_LIFT	Exact query-result metadata derivative; rejected as evidence.	94c9f67a48ab99f59b41ea44c472acb78bc6816a2abf76c0389e4b3f9903983f	a2aaed79d85305ff8b05275b83336c2b4b052829092961aa51bc9bd2d04ce7d5
R16B-DEFERRED-CONTROL:004ffa1e5e97d86cfd82e2f5fdb0f86e0985e8f1c3cdc9bcfd58978bce5824ca	SURF-R16A-003	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv	R16A-R16A-PAIR:f5359142afc7c04e6307b8067e0d2ce9b0630699a3ab7783209027a477e374a8-XREF-04	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv#ledger_id=R16A-R16A-PAIR:f5359142afc7c04e6307b8067e0d2ce9b0630699a3ab7783209027a477e374a8-XREF-04	R14_EXACT_ALIAS_OR_QUERY_RESULT_EXACT_ALIAS	ROUND16A_PAIR_EVIDENCE_DERIVATIVE	ZERO_NET_EMISSION_ALL_ROWS_ALIASED	0	R16B-R16A-QUERY-ALIAS:b4fd5cbf54409e951caa6ebf43287e4c409f5f790afd867d6e879f3dfabe4b46	UPSTREAM_ALIAS_ONLY_NO_GROUP_LIFT	Exact query-result metadata derivative; rejected as evidence.	965f8d3c2667a97b35aff19a205c9d87af3e362821c449ff883c03cfd8beaf56	e2d947d102f1daa0dbb12374b0ea688566b3d97a3c133ef1eab9206fcc1c19b2
R16B-DEFERRED-CONTROL:0051edbccb30d2776081187bb13558bcf1e16b3f71596e68c4b991b5f67a28ac	SURF-R10-004	docs/research/trace-v49-design-history-relation-grammar-round1/08_ORDERED_PAIR_COMPATIBILITY_MATRIX.tsv	REL-CAND-0032->REL-CAND-0011	docs/research/trace-v49-design-history-relation-grammar-round1/08_ORDERED_PAIR_COMPATIBILITY_MATRIX.tsv#ordered_pair_key=REL-CAND-0032->REL-CAND-0011	EXACT_ORDERED_PAIR_DECISION_WITHOUT_GROUP_LIFT	PAIR_PROJECTION_CONTROL	ZERO_EMISSION_PAIR_CONTROL_ONLY	0	UNSUPPORTED_DEFAULT_DENY	PAIR_PROJECTION_POLICY	No pair-specific composition evidence meeting the two-source hard gate.	221bcb9b3c467f9a7f3b18219b75fa7c40ff05707081fa5661140ae275604e0c	60e9f9e010bc24893fff8ba96f2db96cc50595009f7bac72894a3397b2a42672
R16B-DEFERRED-CONTROL:008d98d9738b3ca1de7d8e2cfcc9c2efa4b9abf91859d08280a18b755796aaab	SURF-R16A-003	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv	R16A-R16A-PAIR:65b7e3c28542f69aad7fece1e66f1fb0f3ed7fbcb9351ac9ba31baf5b3870063-XREF-04	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv#ledger_id=R16A-R16A-PAIR:65b7e3c28542f69aad7fece1e66f1fb0f3ed7fbcb9351ac9ba31baf5b3870063-XREF-04	R14_EXACT_ALIAS_OR_QUERY_RESULT_EXACT_ALIAS	ROUND16A_PAIR_EVIDENCE_DERIVATIVE	ZERO_NET_EMISSION_ALL_ROWS_ALIASED	0	R16B-R16A-QUERY-ALIAS:e3895a8d533208837b85a7ef2347adf098c163bf5e87a2860207a527ef261cc9	UPSTREAM_ALIAS_ONLY_NO_GROUP_LIFT	Exact query-result metadata derivative; rejected as evidence.	c78ea0873e7e4f1d125a8af198b05a17bff8b526655badfd3579093a5b577c7e	0160cf7b6d466ea04d9d96b2c7e909da9177456b873d01a2bc50ba457579b269
R16B-DEFERRED-CONTROL:00a02a0c4675f0240fc11d463a88e51099d17d9801b15ef19ebfff8189141730	SURF-R16A-003	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv	R16A-R16A-PAIR:150203906641755f56f9f1a271a9b59cc4e794bd7fe18ed5aa498261d6caa8a1-XREF-02	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv#ledger_id=R16A-R16A-PAIR:150203906641755f56f9f1a271a9b59cc4e794bd7fe18ed5aa498261d6caa8a1-XREF-02	R14_EXACT_ALIAS_OR_QUERY_RESULT_EXACT_ALIAS	ROUND16A_PAIR_EVIDENCE_DERIVATIVE	ZERO_NET_EMISSION_ALL_ROWS_ALIASED	0	R16B-R16A-QUERY-ALIAS:ca2d514feaf47f6629cdb75900d9be434cff215eecf178f3a8abaf91712419c9	UPSTREAM_ALIAS_ONLY_NO_GROUP_LIFT	Exact query-result metadata derivative; rejected as evidence.	885b1f9c40808a76494bed16857561f04e1eeb290e04bfc7a646a38a786bd30b	b53d7ce9fe7d61c516afe0eefc9eee2ea76ea1e37f5bb6effa95f7aef2f6bcf6
R16B-DEFERRED-CONTROL:00c2d27f64385cc4a0480574c4f3289c5d3a67d0a31cf610eb0582a19a8b9a74	SURF-R11-003	docs/research/trace-v49-exploration-constraint-kernel-round1/15_ADVERSARIAL_TEST_MATRIX.tsv	I	docs/research/trace-v49-exploration-constraint-kernel-round1/15_ADVERSARIAL_TEST_MATRIX.tsv#case_id=I	EXPECTED_EQUALS_ACTUAL_AND_STATUS_PASS	ADVERSARIAL_EXPECTATION_CONTROL	ZERO_EMISSION_TEST_CONTROL	0	I	SOFTWARE_CONTROL_ONLY	universal ANY role	eabe89e7b50ee14776c18aeed8b5783fa6356e19f52026fcd8e9b013fff1854d	2c8b0b70dd7862604cecde8967503d3378c18f31b21c6389fe54e806198e524d
R16B-DEFERRED-CONTROL:00cc805d973af4cdb7846b079b8215f4343bb9905115a870784518d738553585	SURF-R16A-003	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv	R16A-R16A-PAIR:5d591246297504558dafa6290919c0936b91b7c604e27cdd12b816cd44eef745-XREF-01	docs/audits/v49-exploration-full-space-closure-round1/raw/association-evidence-ledger-v2.tsv#ledger_id=R16A-R16A-PAIR:5d591246297504558dafa6290919c0936b91b7c604e27cdd12b816cd44eef745-XREF-01	R14_EXACT_ALIAS_OR_QUERY_RESULT_EXACT_ALIAS	ROUND16A_PAIR_EVIDENCE_DERIVATIVE	ZERO_NET_EMISSION_ALL_ROWS_ALIASED	0	R16B-R16A-QUERY-ALIAS:54a780a9df14f05e9369ac816f2dfe1ee26c52031604c0209c5522014567c3bd	UPSTREAM_ALIAS_ONLY_NO_GROUP_LIFT	Exact query-result metadata derivative; rejected as evidence.	3d2dc2eb2daf99fed2df3888dba4b42ca78f3c6528200f72d180f1797136a3c9	aaccd7ea0ef7a4ed9b3591337b3d00f5914ead16cb2928ad45277ed85ddd9525
R16B-DEFERRED-CONTROL:00d1918fac01f3363eaf0c90c9462b74078e4c6a234a06b0b9ed6dd632485260	SURF-R16A-010	docs/audits/v49-exploration-full-space-closure-round1/raw/association-query-log-v2.jsonl	R16A-CROSSREF-QUERY:f9f320849ff9d362b881cdf7c10f4b491c70ccfec468ee3e8f5e14519d9052d6	docs/audits/v49-exploration-full-space-closure-round1/raw/association-query-log-v2.jsonl#query_id=R16A-CROSSREF-QUERY:f9f320849ff9d362b881cdf7c10f4b491c70ccfec468ee3e8f5e14519d9052d6	FIVE_RESULTS_PER_QUERY_EXACT_ALIAS_AND_ZERO_ACCEPTED	METADATA_QUERY_CONTROL	ZERO_EMISSION_METADATA_ONLY	0	"[""R16B-R16A-QUERY-ALIAS:135047189d3ecc29647d12e1258b46db976a55028ad58bf4ccafed6b9660fdc6"",""R16B-R16A-QUERY-ALIAS:1a5821cf7ed3d83043b8cbd2fc67c7861dd08059196feb4451be8eaf8f997bcf"",""R16B-R16A-QUERY-ALIAS:603e4c40fd36a24326c74abe64373c00f4e26d678f9e85d3d2c9480b4d7ed0aa"",""R16B-R16A-QUERY-ALIAS:6e875b1612e5412fda7423d297247cf61a7098f0514898c99bfbbb633d8721e6"",""R16B-R16A-QUERY-ALIAS:7ec9831799871b740b4917dcc0cc4791db6d22fd947ad540b7811700fa023e76""]"	LAWFUL_SOURCE_TEXT_AND_LOCATOR_REVIEW	Five Crossref results are exact aliases to metadata-only evidence rows; no result was accepted.	b2d5114909f3608bc5ee2ee35cb089a67781c3e3ad78010356acf460d94bb2a2	474991a05085939a32d6be2f7002b0d21d0a5979da6d442e1e6d8e4bdef5988c
R16B-DEFERRED-CONTROL:00f2db8f0d61bef2d2f2e5bd91f58b88f4edcb6a893b278df5309ab2057fd4f2	SURF-R10-004	docs/research/trace-v49-design-history-relation-grammar-round1/08_ORDERED_PAIR_COMPATIBILITY_MATRIX.tsv	REL-CAND-0011->REL-CAND-0001	docs/research/trace-v49-design-history-relation-grammar-round1/08_ORDERED_PAIR_COMPATIBILITY_MATRIX.tsv#ordered_pair_key=REL-CAND-0011->REL-CAND-0001	EXACT_ORDERED_PAIR_DECISION_WITHOUT_GROUP_LIFT	PAIR_PROJECTION_CONTROL	ZERO_EMISSION_PAIR_CONTROL_ONLY	0	UNSUPPORTED_DEFAULT_DENY	PAIR_PROJECTION_POLICY	No pair-specific composition evidence meeting the two-source hard gate.	b64ccc8807016f58778d8a2aa41146bf490ccfe400dd7b6faa23fa152450538d	ebddde1fc6682d16a3b2cc3190bd83bba04f1b4c88f3a201eb1163dc8d498fe9
