event_id	timestamp_utc	phase	event_class	observed_condition	corrective_action	verification_status	disposition
R16B-CP012-DIAG-001	2026-08-28T16:52:10Z	CHECKPOINT-012-READ-ONLY-INVENTORY	NONPORTABLE_FIND_PRINTF_OPTION	An initial read-only inventory used GNU find -printf syntax that is unavailable in the host find implementation, so it returned no usable file inventory and changed no artifact.	Repeat the inventory with repository-relative rg --files selectors, which are portable in this governed environment.	PASS_CORRECTED_RG_FILE_INVENTORY	PRESERVED_FROM_TOOL_SELECTION_FAILURE
R16B-CP012-DIAG-002	2026-08-28T16:52:10Z	CHECKPOINT-012-READ-ONLY-INVENTORY	ZSH_UNMATCHED_GLOB_BEFORE_ARTIFACT_CREATION	A read-only progress inspection used two wildcard arguments before any matching Checkpoint 012 files existed; zsh rejected both unmatched globs before the intended ls commands ran and no artifact changed.	Use find with exact -name patterns or rg --files for progress inspection; repeat after the agent-created paths exist.	PASS_CORRECTED_FIND_NAME_INVENTORY	PRESERVED_FROM_SHELL_EXPANSION_FAILURE
R16B-CP012-DIAG-003	2026-08-28T16:58:00Z	CHECKPOINT-012-PRIMARY-BUILD	MISTYPED_PINNED_ISOLATED_LEDGER_SHA256	The first primary build rejected one manually transcribed pinned hash for the committed isolated-active-term ledger before it emitted an authoritative final artifact set.	Recompute the exact file SHA-256 from committed Checkpoint 011 bytes, correct only that literal, and rerun the complete build and byte check.	PASS_PRIMARY_BUILD_AND_CHECK_5_OF_5	PRESERVED_AGENT_FAILURE_AND_CORRECTED
R16B-CP012-DIAG-004	2026-08-28T16:58:00Z	CHECKPOINT-012-INDEPENDENT-VERIFICATION	SHARD_SPECIFIC_HYPOTHESIS_FIELD_NAMES	The first independent run exposed intentionally different activation and product-eligibility field names between hypothesis shards 1 and 2; the verifier rejected a shared-field assumption.	Normalize each shard's governed schema independently, require exact allowed inactive statuses and false product eligibility, and rerun all source-set and adversarial checks.	PASS_INDEPENDENT_20_CHECKS_40_PROBES	PRESERVED_AGENT_FAILURE_AND_CORRECTED
R16B-CP012-DIAG-005	2026-08-28T16:58:00Z	CHECKPOINT-012-INDEPENDENT-VERIFICATION	SHARD2_RIGHTS_SCHEMA_UNUSED_FIELD_ASSUMPTION	A subsequent independent run attempted to read shard-1-only payload_retained from the shard-2 rights ledger even though the value was unused in the governed rights supersession join.	Remove the unused cross-shard field assumption; retain exact source identity, normalized identifier, rights-record, and fail-closed review semantics; rerun verification.	SUPERSEDED_BY_DIAG009_STATUS_AWARE_85_OPEN	PRESERVED_AGENT_FAILURE_CORRECTED_THEN_SEMANTIC_COUNT_SUPERSEDED
R16B-CP012-DIAG-006	2026-08-28T16:58:00Z	CHECKPOINT-012-SOURCE-IDENTIFIER-HARDENING	DOI_RESOLVER_PREFIX_NORMALIZATION_GAP	The final hardening review found that case folding alone would not make equivalent DOI, doi:, doi.org, dx.doi.org, HTTP, and HTTPS representations compare identically under adversarial formatting.	Implement resolver-prefix normalization separately in primary and independent code; require positive normalization controls and retain the DOI-only rights-join negative control.	PASS_RIGHTS_AND_METADATA_NORMALIZATION_CONTROLS	CORRECTED_BEFORE_CHECKPOINT_COMMIT
R16B-CP012-DIAG-007	2026-08-28T17:03:00Z	CHECKPOINT-012-REGRESSION-GATES	POST_COMMIT_VERIFIER_RECEIPT_STATUS_DRIFT	The first v3 semantic independent check reproduced all 798 substantive checks but found that its verifier-owned receipt still described the Checkpoint 011 additive database files as untracked rather than committed additions relative to the semantic-contract parent.	Regenerate only the deterministic verifier-owned receipt after the additive checkpoint commit, then rerun check mode and require byte identity.	PASS_798_CHECKS_POST_COMMIT_RECEIPT_REPRODUCES	PRESERVED_REGRESSION_FAILURE_AND_CORRECTED
R16B-CP012-DIAG-008	2026-08-28T17:03:00Z	CHECKPOINT-012-REGRESSION-GATES	STALE_GITATTRIBUTES_INPUT_PIN	The first Round 16A reconciliation primary and independent checks stopped before enumeration because their input contract still pinned the pre-Checkpoint-011 .gitattributes hash 39220b2b34b02184bc84ff293163c874819305b6cbf1005faac573d5bab48098 rather than the committed hash 986c47b85349d7589c537507c53ca768a53b7fac1059fd0a434b2366f9e2b65b that adds only audit-log whitespace rules.	Bump both reconciliation program versions, pin the committed .gitattributes bytes in both implementations, regenerate the primary manifest and derivative receipts, then independently reconstruct and byte-check the full reconciliation without changing protected v2 artifacts.	PASS_PRIMARY_20_OUTPUTS_64_SHARDS_AND_INDEPENDENT_143165_CHECKS	PRESERVED_REGRESSION_FAILURE_AND_CORRECTED
R16B-CP012-DIAG-009	2026-08-28T17:23:17Z	CHECKPOINT-012-ADVERSARIAL-SEMANTIC-REVIEW	ROW_PRESENCE_MISTAKEN_FOR_RIGHTS_AND_TEXT_COMPLETION	The first recursive-gap implementation treated all 12 committed rights-ledger rows as completed text review. This incorrectly resolved the canonical rights obligations for abstract-only or full-text-open COMP-SRC-017 and COMP-SRC-023 and incorrectly superseded the COMP-SRC-017 metadata lead, yielding misleading residuals of 83 and 99.	Derive completion independently from concrete access, text-review, locator, and rights-disposition fields; retain abstract-only and explicitly open full-text records as obligations; regenerate all seven artifacts and the report. The conservative residuals are 85 rights identities and 100 metadata leads.	PASS_RIGHTS_9_OF_94_COMPLETE_METADATA_1_OF_101_SUPERSEDED	PRESERVED_ADVERSARIAL_FINDING_AND_CORRECTED_BEFORE_COMMIT
R16B-CP012-DIAG-010	2026-08-28T17:23:17Z	CHECKPOINT-012-ADVERSARIAL-SEMANTIC-REVIEW	AGGREGATE_ONLY_SUCCESSOR_AND_OBLIGATION_VERIFICATION	The first independent verifier proved physical membership and aggregate disposition counts but did not prove every GAP row's exact disposition and successor set or every current obligation's exact class, count semantics, member kind, evidence paths, required action, and closure blockers.	Add independently maintained 105-row GAP routing and 16-row obligation semantic contracts, reject aggregate-preserving route swaps and wrong action or blocker mutations, and rerun the full independent verifier without importing the primary builder.	PASS_105_GAP_ROUTES_16_OBLIGATIONS_25_CHECKS_48_PROBES	PRESERVED_ADVERSARIAL_FINDING_AND_CORRECTED_BEFORE_COMMIT
