source_name,source_id,surface_count,img00,img01,img02,img03,img04,dependency_role,reference_fields,rights_dependency,text_dependency,capture_scripts
Gallica / BnF APIs,SRC023,239,0,0,15,224,0,"National-library SRU/IIIF source for French posters, advertising, typography, printing, periodicals, and public-domain visual documents.","SRU Dublin Core title, creator, date, description, format, relation, publisher, rights, ark identifier; IIIF image URL/manifest.","SRU dc:rights and Gallica/BnF item page; public-domain signals promote to IMG03, otherwise IIIF/source-hosted IMG02.","source_description, source_notes, OCR/description fields, format and relation notes; no uncited interpretation.",run_gallica_image_ready_1830_1970.py; run_gallica_secondary_image_ready_1830_1970.py
Wikimedia Commons,SRC012,104,0,0,0,104,0,Open-license image supplement and discovery layer for poster/design-adjacent records; not treated as the original holding archive.,"Commons page id, file description URL, imageinfo URL, extmetadata ObjectName, ImageDescription, Artist, Credit, Categories, LicenseShortName, LicenseUrl.",Commons extmetadata license fields; only open-license records are admitted as IMG03 candidates.,"file description, object name, categories, credit and artist metadata, with uncertainty because metadata may be user supplied.",run_wikimedia_commons_image_ready_1830_1970.py
Wellcome Collection Catalogue API,SRC016,89,0,0,82,7,0,"Public-health, exhibition, poster, print, and design-adjacent catalogue records with strong rights fields.","Catalogue work id, title, contributors, production date, description, subjects, thumbnail/IIIF/media links, rights/license fields.",Wellcome item license/access fields; IMG02/IMG03 depends on explicit media evidence.,"catalogue description, subjects, notes, collection context and rights statement.",run_image_ready_expansion_1931_1970.py
Library of Congress loc.gov API,SRC006,50,0,37,0,0,13,"Prints, posters, WPA/FSA material, trade cards, pamphlets, catalog records, and rights advisories.","loc.gov/PPOC id, title, contributor, date, notes, medium, repository, rights advisory, image/thumbnail fields, item URL.",LoC item-level rights advisory; no universal public-domain assumption.,"title, notes, summary, repository, subject, medium, and rights advisory.",run_early_region_capture_1830_1930.py; run_midcentury_capture_1930_1970.py
V&A Collections API,SRC005,46,0,0,27,0,19,"Design-object and collection metadata for posters, prints, ephemera, makers, object types, and collection context.","V&A system number, title, artist/maker, date, object type, materials/techniques, collection, image fields, item URL, rights/credit.",V&A item rights and image permission statements; image presence does not imply reuse.,"object metadata, physical description, collection context, maker/date fields.",run_early_region_capture_1830_1930.py; run_midcentury_capture_1930_1970.py
Art Institute of Chicago API,SRC020,45,35,0,0,9,1,"Museum object records for posters, prints, publications, dates, artist metadata, and IIIF image identifiers.","AIC artwork id, title, artist_display, date_display, place_of_origin, medium_display, classification_titles, image_id, is_public_domain.",AIC is_public_domain and item page; IIIF URL alone is not enough for display promotion.,"object metadata, classification, medium, artist/date/place fields.",run_early_region_capture_1830_1930.py; run_midcentury_capture_1930_1970.py
Princeton University Library Digital Collections / Figgy,SRC130,41,0,0,41,0,0,"University-library Figgy/IIIF source for posters, broadsides, banners, advertising print, scanned visual resources, and ephemera.","Figgy catalog id, manifest label, metadata labels/values, date, extent/type, abstract/contents, manifest license, IIIF service/image URL.","Manifest license field and Princeton source page; explicit public-domain/CC0 signals promote to IMG03, otherwise source-hosted IIIF remains IMG02.","manifest description, abstract, contents, extent/type, identifier and source metadata.",run_princeton_figgy_image_ready_1830_1970.py
Internet Archive / text and periodical collections,SRC025,30,29,0,0,1,0,"Scanned books, manuals, periodicals, OCR, item metadata, and bibliography/context evidence.","identifier, title, creator, date, metadata API file list, item URL, collection, description, OCR/text availability.",Item-level archive metadata and uploader/source terms; many records remain IMG00 or source-linked.,"metadata description, OCR/excerpt, file list and item page; OCR requires verification before strong claims.",run_midcentury_expansion_capture_1931_1970.py
DigitalNZ,SRC011,21,0,0,0,21,0,"Aotearoa New Zealand aggregator for periodical, advertising, newspaper, and public visual communication records.","record id, title, display_date/date, description, subject, collection/content partner, rights, usage, landing URL, thumbnail URL.",DigitalNZ rights and usage fields plus partner landing page; admitted IMG03 only when open-enough signals are present.,"description, additional_description, subjects, collection, content partner and citation fields.",run_digitalnz_image_ready_1830_1970.py
The Met Open Access,SRC001,15,0,0,0,0,15,Museum object records and public-domain/open-access comparison layer.,"object id, title, artist, object date, medium, classification, department, culture, object URL, open-access/public-domain flags.",Met Open Access/public-domain fields; current blockers remain IMG04 where image basis is insufficient.,"object metadata, classification, medium, date, culture and collection fields.",run_midcentury_capture_1930_1970.py
Cleveland Museum Open Access API,SRC022,12,0,0,0,12,0,Open-access museum object records with lower-risk image examples and object metadata.,"accession/object id, title, creators, date, culture, type, technique, image URL, share/license fields.",Cleveland open-access/license fields at item level.,"object description, creators, technique, culture, type, department and rights fields.",run_early_region_capture_1830_1930.py
Getty Research Portal,SRC000,3,0,0,0,0,3,Bibliographic and digitized design-history support records.,"portal title, URL, source institution, bibliographic metadata and access link.",Portal/provider terms; used as bibliography/context before image display.,"bibliographic title, subject, source, notes and URL.",run_midcentury_expansion_capture_1931_1970.py
Georgia State University Library Digital Collections / CONTENTdm,SRC131,2,0,0,2,0,0,"Local/university CONTENTdm source for labor, civil-rights, theatre, newspaper, urban, and public print-culture records.","CONTENTdm collection alias/item id, singleitem fields, title, date, creator, description, subject, location, format/type, local rights statement, IIIF imageUri.","Item-level local rights statement; imageUri/IIIF availability is treated as source-hosted IMG02, not an open reuse grant.","CONTENTdm description, publication/collection fields, subjects, curatorial area, and source format fields.",run_gsu_contentdm_image_ready_1830_1970.py
Chinese Posters,SRC106,1,1,0,0,0,0,Specialist poster-history source for Chinese political and campaign graphics.,"stable item or theme URL, title, date, creator/publisher if present, theme/category metadata, rights/source note.",Specialist archive terms; link-only unless item display permission is explicit.,"item description, theme context and specialist metadata.",run_midcentury_expansion_capture_1931_1970.py
