surface_id,capture_id,year,period_band,five_year_bucket,region,theme,source_family,source_name,title,image_state,source_text_chars,generated_text_chars,total_text_chars,cluster_key,cluster_size,dossier_text_pages,dossier_support_pages,compound_children,anchor_strength_score,source_depth_score,relation_density_score,text_depth_score,design_object_confidence_score,risk_pressure_score,region_scarcity_score,period_value_score,editorial_need_score,overall_research_anchor_score,risk_flags,positive_flags,recommended_next_action,action_confidence,action_reason,sample_priority
SURF-ER1830R018,ER1830R018,1880,pre_1930,1880-1884,Unresolved region,Midcentury modern graphic communication,Library of Congress,Library of Congress loc.gov API,[Pearsall Photography Studio trade card],IMG04,593,2045,2638,Unresolved region|Midcentury modern graphic communication|Library of Congress|1880-1884,4,1,1,0,42,74,27,94,0,12,70,0,6,42,source_register:catalog record,,convert_to_text_or_appendix,medium,Source/register evidence should become text or appendix rather than object main.,53
SURF-CCT2026R03645,CCT2026R03645,1904,pre_1930,1900-1904,South Asia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / India 1a specimen telegraph stamps overprinted on revenue stamps.jpg / page 22928548,India 1a specimen telegraph stamps overprinted on revenue stamps.jpg,IMG03,213,2828,3041,India|Modern typography and layout|Wikimedia Commons|1900-1904,16,1,1,0,29,21,47,62,66,82,14,0,38,29,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; non_design_drift:specimen; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,180
SURF-CCT2026R03643,CCT2026R03643,1904,pre_1930,1900-1904,South Asia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / India 1904 specimen surcharged telegraph stamp.jpg / page 22930163,India 1904 specimen surcharged telegraph stamp.jpg,IMG03,177,2750,2927,India|Modern typography and layout|Wikimedia Commons|1900-1904,16,1,0,0,25,17,35,59,66,82,14,0,41,25,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; non_design_drift:specimen; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,168
SURF-CCT2026R00503,CCT2026R00503,1950,1930_1970,1950-1954,Middle East and North Africa,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp MA 1950 15+10 Fr.jpg / page 158873186,Stamp MA 1950 15+10 Fr.jpg,IMG03,143,2570,2713,Morocco|Modern typography and layout|Wikimedia Commons|1950-1954,8,1,1,0,28,14,47,56,66,62,0,0,44,28,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,166
SURF-CCT2026R00506,CCT2026R00506,1952,1930_1970,1950-1954,Middle East and North Africa,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp MA 1952 15+5 Fr.jpg / page 158866942,Stamp MA 1952 15+5 Fr.jpg,IMG03,142,2541,2683,Morocco|Modern typography and layout|Wikimedia Commons|1950-1954,8,1,1,0,28,14,47,56,66,62,0,0,44,28,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,166
SURF-CCT2026R00492,CCT2026R00492,1922,pre_1930,1920-1924,Middle East and North Africa,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp MA 1922 3 Fr.jpg / page 157461458,Stamp MA 1922 3 Fr.jpg,IMG03,139,2529,2668,Morocco|Modern typography and layout|Wikimedia Commons|1920-1924,11,1,1,0,28,13,47,56,66,62,0,0,44,28,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,166
SURF-CCT2026R00497,CCT2026R00497,1922,pre_1930,1920-1924,Middle East and North Africa,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp MA 1922 80 Cts.jpg / page 157461462,Stamp MA 1922 80 Cts.jpg,IMG03,141,2510,2651,Morocco|Modern typography and layout|Wikimedia Commons|1920-1924,11,1,1,0,28,14,47,56,66,62,0,0,44,28,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,166
SURF-CCT2026R03622,CCT2026R03622,1890,pre_1930,1890-1894,South Asia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / India 1890 telegraph stamp surcharged 1904 - specimen.jpg / page 22928758,India 1890 telegraph stamp surcharged 1904 - specimen.jpg,IMG03,203,2816,3019,India|Modern typography and layout|Wikimedia Commons|1890-1894,5,1,0,0,24,20,20,61,66,82,14,0,39,24,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; non_design_drift:specimen; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,166
SURF-CCT2026R00509,CCT2026R00509,1954,1930_1970,1950-1954,Middle East and North Africa,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp MA 1954 15 Fr Marines.jpg / page 158874175,Stamp MA 1954 15 Fr Marines.jpg,IMG03,148,2585,2733,Morocco|Modern typography and layout|Wikimedia Commons|1950-1954,8,1,1,0,29,14,47,57,66,62,0,0,43,29,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,165
SURF-CRB2026V2R0378,CRB2026V2R0378,2007,2000_2026,2005-2009,"Eastern Europe, Balkans, and Central/Eastern socialist contexts",Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamps 2007 Ukrposhta 876-881.jpg / page 36367663,Stamps 2007 Ukrposhta 876-881.jpg,IMG03,151,2520,2671,Ukraine|Modern typography and layout|Wikimedia Commons|2005-2009,17,1,1,0,31,15,47,57,66,62,0,37,43,31,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,165
SURF-CCT2026R01175,CCT2026R01175,1949,1930_1970,1945-1949,East Asia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / China 1949 - Non-Denominated Airmail stamp.jpg / page 68004882,China 1949 - Non-Denominated Airmail stamp.jpg,IMG03,166,2669,2835,China / Hong Kong|Modern typography and layout|Wikimedia Commons|1945-1949,14,1,1,0,32,16,47,58,66,62,48,0,42,32,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,164
