validation_sample_id,surface_id,capture_id,sample_target_marker,year,period,region,theme,medium,image_state,source_name,source_family,title,descriptive_unit,recommended_role,parent_candidate,relation_type,text_need_level,blocker_class,review_result,review_confidence,generalizable_rule,method_risk_flags,role_rationale,review_status,reviewer_notes,calibration_priority,calibration_group,calibration_question
MSTV0041,SURF-GAX1970R058,GAX1970R058,packet_anchor_or_member_review,1884,1850_1899,France,Midcentury modern graphic communication,1 vol. (57 p.) ; in-fol; Nombre total de vues : 73,IMG03,Gallica / BnF APIs,Gallica / BnF APIs,La typographie orientale à l'Imprimerie nationale et la publication de la collection orientale,source_cluster_member,sub_under_packet,France|Midcentury modern graphic communication|Gallica / BnF APIs|1880s,member_of_source_cluster_packet,medium,large_cluster_parentage_review,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,,70,large_cluster_parentage_review,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0042,SURF-GA1970R042,GA1970R042,packet_anchor_or_member_review,1923,1914_1945,France,Midcentury modern graphic communication,"1 est. ; 0,56 x 0,39 m; image/jpeg; Nombre total de vues : 1",IMG03,Gallica / BnF APIs,Gallica / BnF APIs,"Les noces Wesele, libre réalisation en trois phases du drame de Stanislas Wyspianski... Art et Action donnera sa 92e séance le dimanche 4 novembre 1923 en son studio... : [affiche] / [non signé] ; bois gravé non signé",source_cluster_member,sub_under_packet,France|Midcentury modern graphic communication|Gallica / BnF APIs|1920s,member_of_source_cluster_packet,medium,large_cluster_parentage_review,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,,70,large_cluster_parentage_review,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0043,SURF-GA1970R041,GA1970R041,packet_anchor_or_member_review,1923,1914_1945,France,Midcentury modern graphic communication,"1 est. ; 0,65 x 0,45 m; image/jpeg; Nombre total de vues : 1",IMG03,Gallica / BnF APIs,Gallica / BnF APIs,"Le dimanche 2 déc. 1923, Art et Action donnera sa 98ème séance... F. Divoire, la naissance du poème... Poème-dancing, terre de Chomette... Stéphane Mallarmé, un coup de dé jamais n'abolira le hazard... H.-M. Barzun, l'universel drame simult",source_cluster_member,sub_under_packet,France|Midcentury modern graphic communication|Gallica / BnF APIs|1920s,member_of_source_cluster_packet,medium,large_cluster_parentage_review,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,,70,large_cluster_parentage_review,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0044,SURF-GA1970R039,GA1970R039,packet_anchor_or_member_review,1922,1914_1945,France,Midcentury modern graphic communication,1 est. ; 155 x 116 cm; image/jpeg; Nombre total de vues : 1,IMG03,Gallica / BnF APIs,Gallica / BnF APIs,"Théâtre national de l'Opéra, Bal Molière, mardi 28 fevrier 1922 : [affiche]",source_cluster_member,sub_under_packet,France|Midcentury modern graphic communication|Gallica / BnF APIs|1920s,member_of_source_cluster_packet,medium,large_cluster_parentage_review,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,,70,large_cluster_parentage_review,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0073,SURF-IAC1990R006,IAC1990R006,packet_anchor_or_member_review,2022,2020_2026,Malaysia,Midcentury modern graphic communication,Poster,IMG02,Malaysia Design Archive,Malaysia Design Archive,In Solidarity With UK Students,source_cluster_member,sub_under_packet,Malaysia|Midcentury modern graphic communication|Malaysia Design Archive|2020s,member_of_source_cluster_packet,medium,large_cluster_parentage_review,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,,70,large_cluster_parentage_review,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0074,SURF-IAC1990R007,IAC1990R007,packet_anchor_or_member_review,2022,2020_2026,Malaysia,Midcentury modern graphic communication,Poster,IMG02,Malaysia Design Archive,Malaysia Design Archive,Mahasiswa Bangkitlah Dari Tidurmu,source_cluster_member,sub_under_packet,Malaysia|Midcentury modern graphic communication|Malaysia Design Archive|2020s,member_of_source_cluster_packet,medium,large_cluster_parentage_review,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,,70,large_cluster_parentage_review,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0075,SURF-IAC1990R005,IAC1990R005,packet_anchor_or_member_review,2022,2020_2026,Malaysia,Midcentury modern graphic communication,Poster,IMG02,Malaysia Design Archive,Malaysia Design Archive,Silhouette of A Person Holding A Sign Against A Blue Background,source_cluster_member,sub_under_packet,Malaysia|Midcentury modern graphic communication|Malaysia Design Archive|2020s,member_of_source_cluster_packet,medium,large_cluster_parentage_review,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,,70,large_cluster_parentage_review,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0076,SURF-IAC1990R001,IAC1990R001,packet_anchor_or_member_review,2022,2020_2026,Malaysia,Midcentury modern graphic communication,Poster,IMG02,Malaysia Design Archive,Malaysia Design Archive,A Force More Powerful,source_cluster_member,sub_under_packet,Malaysia|Midcentury modern graphic communication|Malaysia Design Archive|2020s,member_of_source_cluster_packet,medium,large_cluster_parentage_review,pass,medium,packet_member_with_cluster_can_be_sub_candidate,large_cluster; no_subsheet_relation,The row has a visible cluster relation and should be tested as packet member before main retention.,pending,,70,large_cluster_parentage_review,"Does this blocker require manual-only handling, or can the role rule be safely narrowed?"
MSTV0001,SURF-PUL1970R002,PUL1970R002,anchor_if_editorial_text_added,1896,1850_1899,United States,Midcentury modern graphic communication,; 2 v. in 1. 17 cm.; Book,IMG02,Princeton University Library Digital Collections / Figgy,Princeton Figgy,"Poster lore ... an amateur journal for art students and latter Day enthusiasts. [book 1]-2, pt. 1. (Jan.-Sept. 1896).",periodical_or_issue,main_needs_text,SURF-PUL1970R002,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,,40,main_sensitive:anchor_if_editorial_text_added:main_needs_text,Would a non-filler text sheet make this a valid main anchor?
MSTV0002,SURF-PUL1970R004,PUL1970R004,anchor_if_editorial_text_added,1900,1900_1913,United States,Postwar exhibition and cultural posters,; 1 item ; sheet 21 1/2 x 17 in..; Visual material,IMG02,Princeton University Library Digital Collections / Figgy,Princeton Figgy,Somers Historical Society [Circus collection exhibition poster].,work_or_packet_anchor_candidate,main_needs_text,SURF-PUL1970R004,packet_anchor_requires_text,low,none,pass,medium,editorial_text_needed_before_anchor_publication,no_subsheet_relation,The row can only function as main if a non-filler text sheet explains packet scope and evidence.,pending,,40,main_sensitive:anchor_if_editorial_text_added:main_needs_text,Would a non-filler text sheet make this a valid main anchor?
