metric,value,notes
total_candidates,81,Global edge-source candidates generated in this pass.
non_us_western_europe_candidates,79/81 (97.5%),Counts candidates outside North America and dominant Western/Central Europe; Eastern/Central Europe is counted as edge coverage.
manual_or_access_restricted_candidates,11/81 (13.6%),"Requires source contact, institutional access, protocol review, or manual handling."
discovery_only_candidates,6/81 (7.4%),Can generate leads but not object-level evidence or image permission.
macro_region:Asia,26,Candidate distribution by macro-region.
macro_region:Global,19,Candidate distribution by macro-region.
macro_region:Latin America,10,Candidate distribution by macro-region.
macro_region:Africa,8,Candidate distribution by macro-region.
macro_region:Middle East and North Africa,8,Candidate distribution by macro-region.
macro_region:Europe,5,Candidate distribution by macro-region.
macro_region:Oceania,4,Candidate distribution by macro-region.
macro_region:North America,1,Candidate distribution by macro-region.
protocol_family:HTML,70,Protocol/discovery families that can become adapter queues.
protocol_family:API,24,Protocol/discovery families that can become adapter queues.
protocol_family:IIIF,8,Protocol/discovery families that can become adapter queues.
protocol_family:manual,8,Protocol/discovery families that can become adapter queues.
protocol_family:catalog,7,Protocol/discovery families that can become adapter queues.
protocol_family:OCR,3,Protocol/discovery families that can become adapter queues.
protocol_family:database,3,Protocol/discovery families that can become adapter queues.
protocol_family:OAI,2,Protocol/discovery families that can become adapter queues.
protocol_family:WordPress,2,Protocol/discovery families that can become adapter queues.
protocol_family:API if approved,1,Protocol/discovery families that can become adapter queues.
protocol_family:API possible,1,Protocol/discovery families that can become adapter queues.
protocol_family:CollectiveAccess,1,Protocol/discovery families that can become adapter queues.
protocol_family:Figgy,1,Protocol/discovery families that can become adapter queues.
protocol_family:Google Arts,1,Protocol/discovery families that can become adapter queues.
protocol_family:JSON,1,Protocol/discovery families that can become adapter queues.
protocol_family:Kramerius,1,Protocol/discovery families that can become adapter queues.
protocol_family:OAI possible,1,Protocol/discovery families that can become adapter queues.
protocol_family:OAI-PMH,1,Protocol/discovery families that can become adapter queues.
protocol_family:RDF,1,Protocol/discovery families that can become adapter queues.
protocol_family:SSO,1,Protocol/discovery families that can become adapter queues.
protocol_family:book,1,Protocol/discovery families that can become adapter queues.
protocol_family:map,1,Protocol/discovery families that can become adapter queues.
protocol_family:metadata,1,Protocol/discovery families that can become adapter queues.
protocol_family:network,1,Protocol/discovery families that can become adapter queues.
protocol_family:social+repository,1,Protocol/discovery families that can become adapter queues.
period_band:2001-2026,70,Candidates that can support each chronological capture band.
period_band:1971-2000,69,Candidates that can support each chronological capture band.
period_band:1931-1970,66,Candidates that can support each chronological capture band.
period_band:1830-1930,56,Candidates that can support each chronological capture band.
priority:P1,46,Capture planning priority.
priority:P2,25,Capture planning priority.
priority:P3,9,Capture planning priority.
priority:P4,1,Capture planning priority.
