source_file,capture_id,surface_id,packet_id,surface_disposition_override,readiness_status,readiness_reason,source_join_status,review_decision,review_confidence,review_basis,review_lane,packet_action,packet_confidence,packet_type,relation_density,source_depth,rights_state,editorial_need,current_publication_role,recommended_role,anchor_score,year,region,theme,medium,movement,source_name,title,sample_lane,sample_key
capture_batch_early_region_1830_1930_records.csv,ER1830R050,SURF-ER1830R050,PKT01121,support_packet_appendix_text,apply_ready,unique source join and high-confidence packet-member subsheet demotion,unique_capture_id,draft_subsheet_demote,high,Related packet member; draft subsheet/support role.,conservative_draft_override,promote_one_main_anchor_demote_members_to_subsheets,high,collection_region_decade,7,high,source_visible,needs_source_note,main_sheet,subsheet_candidate,79,1895,France,Midcentury modern graphic communication,Poster,,Art Institute of Chicago API,La revue blanche,apply_ready,apply_ready|support_packet_appendix_text|Art Institute of Chicago API|France|1895
capture_batch_early_region_1830_1930_records.csv,ER1830R047,SURF-ER1830R047,PKT01221,support_packet_appendix_text,apply_ready,unique source join and high-confidence packet-member subsheet demotion,unique_capture_id,draft_subsheet_demote,high,Related packet member; draft subsheet/support role.,conservative_draft_override,demote_parallel_mains_to_subsheet_cluster,high,collection_region_decade,5,high,source_visible,needs_source_note,main_sheet,subsheet_candidate,74,1893,France,Midcentury modern graphic communication,Lithographic print,,Cleveland Museum Open Access API,Sleepless Night,apply_ready,apply_ready|support_packet_appendix_text|Cleveland Museum Open Access API|France|1893
capture_batch_early_region_1830_1930_records.csv,ER1830R059,SURF-ER1830R059,PKT01221,support_packet_appendix_text,apply_ready,unique source join and high-confidence packet-member subsheet demotion,unique_capture_id,draft_subsheet_demote,high,Related packet member; draft subsheet/support role.,conservative_draft_override,demote_parallel_mains_to_subsheet_cluster,high,collection_region_decade,5,high,source_visible,needs_source_note,main_sheet,subsheet_candidate,74,1897,France,Postwar exhibition and cultural posters,Lithographic print,,Cleveland Museum Open Access API,Sculptress,apply_ready,apply_ready|support_packet_appendix_text|Cleveland Museum Open Access API|France|1897
capture_batch_early_region_1830_1930_records.csv,ER1830R061,SURF-ER1830R061,PKT01221,support_packet_appendix_text,apply_ready,unique source join and high-confidence packet-member subsheet demotion,unique_capture_id,draft_subsheet_demote,high,Related packet member; draft subsheet/support role.,conservative_draft_override,demote_parallel_mains_to_subsheet_cluster,high,collection_region_decade,5,high,source_visible,needs_source_note,main_sheet,subsheet_candidate,74,1899,France,Midcentury modern graphic communication,Lithographic print,,Cleveland Museum Open Access API,The Square at Evening,apply_ready,apply_ready|support_packet_appendix_text|Cleveland Museum Open Access API|France|1899
capture_batch_digitalnz_postwar_image_ready_1945_2026_records.csv,DNZPOSTR022,SURF-DNZPOSTR022,PKT00452,support_packet_appendix_text,apply_ready,unique source join and high-confidence packet-member subsheet demotion,unique_capture_id,draft_subsheet_demote,high,Related packet member; draft subsheet/support role.,conservative_draft_override,promote_one_main_anchor_demote_members_to_subsheets,high,creator_region_medium_decade,7,medium,source_visible,sufficient_for_review,main_sheet,subsheet_candidate,60,1980,Aotearoa New Zealand,Midcentury modern graphic communication,Poster,,DigitalNZ,Wellington: Taking Centre Stage poster,apply_ready,apply_ready|support_packet_appendix_text|DigitalNZ|Aotearoa New Zealand|1980
capture_batch_digitalnz_postwar_image_ready_1945_2026_records.csv,DNZPOSTR037,SURF-DNZPOSTR037,PKT00452,support_packet_appendix_text,apply_ready,unique source join and high-confidence packet-member subsheet demotion,unique_capture_id,draft_subsheet_demote,high,Related packet member; draft subsheet/support role.,conservative_draft_override,promote_one_main_anchor_demote_members_to_subsheets,high,creator_region_medium_decade,7,medium,source_visible,sufficient_for_review,main_sheet,subsheet_candidate,61,1986,Aotearoa New Zealand,Postwar exhibition and cultural posters,Poster,,DigitalNZ,"Summer City poster, Maori and Pacific Islands Festival",apply_ready,apply_ready|support_packet_appendix_text|DigitalNZ|Aotearoa New Zealand|1986
capture_batch_digitalnz_postwar_image_ready_1945_2026_records.csv,DNZPOSTR038,SURF-DNZPOSTR038,PKT00452,support_packet_appendix_text,apply_ready,unique source join and high-confidence packet-member subsheet demotion,unique_capture_id,draft_subsheet_demote,high,Related packet member; draft subsheet/support role.,conservative_draft_override,promote_one_main_anchor_demote_members_to_subsheets,high,creator_region_medium_decade,7,medium,source_visible,sufficient_for_review,main_sheet,subsheet_candidate,61,1988,Aotearoa New Zealand,Travel and transport poster culture,Poster,,DigitalNZ,"Summer City poster, Fun Bus",apply_ready,apply_ready|support_packet_appendix_text|DigitalNZ|Aotearoa New Zealand|1988
capture_batch_digitalnz_postwar_image_ready_1945_2026_records.csv,DNZPOSTR040,SURF-DNZPOSTR040,PKT00452,support_packet_appendix_text,apply_ready,unique source join and high-confidence packet-member subsheet demotion,unique_capture_id,draft_subsheet_demote,high,Related packet member; draft subsheet/support role.,conservative_draft_override,promote_one_main_anchor_demote_members_to_subsheets,high,creator_region_medium_decade,7,medium,source_visible,sufficient_for_review,main_sheet,subsheet_candidate,61,1989,Aotearoa New Zealand,Postwar exhibition and cultural posters,Poster,,DigitalNZ,"Summer City poster, Pacific Island Festival",apply_ready,apply_ready|support_packet_appendix_text|DigitalNZ|Aotearoa New Zealand|1989
capture_batch_digitalnz_postwar_image_ready_1945_2026_records.csv,DNZPOSTR039,SURF-DNZPOSTR039,PKT00452,support_packet_appendix_text,apply_ready,unique source join and high-confidence packet-member subsheet demotion,unique_capture_id,draft_subsheet_demote,high,Related packet member; draft subsheet/support role.,conservative_draft_override,promote_one_main_anchor_demote_members_to_subsheets,high,creator_region_medium_decade,7,medium,source_visible,sufficient_for_review,main_sheet,subsheet_candidate,61,1989,Aotearoa New Zealand,Midcentury modern graphic communication,Poster,,DigitalNZ,"Summer City poster, Free Concerts",apply_ready,apply_ready|support_packet_appendix_text|DigitalNZ|Aotearoa New Zealand|1989
capture_batch_digitalnz_postwar_image_ready_1945_2026_records.csv,DNZPOSTR044,SURF-DNZPOSTR044,PKT00363,support_packet_appendix_text,apply_ready,unique source join and high-confidence packet-member subsheet demotion,unique_capture_id,draft_subsheet_demote,high,Related packet member; draft subsheet/support role.,conservative_draft_override,promote_one_main_anchor_demote_members_to_subsheets,high,creator_region_medium_decade,12,medium,source_visible,needs_packet_text,main_sheet,subsheet_candidate,71,1990,Aotearoa New Zealand,Midcentury modern graphic communication,Poster,,DigitalNZ,"Summer City poster, Pacific Fest",apply_ready,apply_ready|support_packet_appendix_text|DigitalNZ|Aotearoa New Zealand|1990
capture_batch_digitalnz_postwar_image_ready_1945_2026_records.csv,DNZPOSTR043,SURF-DNZPOSTR043,PKT00363,support_packet_appendix_text,apply_ready,unique source join and high-confidence packet-member subsheet demotion,unique_capture_id,draft_subsheet_demote,high,Related packet member; draft subsheet/support role.,conservative_draft_override,promote_one_main_anchor_demote_members_to_subsheets,high,creator_region_medium_decade,12,medium,source_visible,needs_packet_text,main_sheet,subsheet_candidate,71,1990,Aotearoa New Zealand,Midcentury modern graphic communication,Poster,,DigitalNZ,"Summer City poster, Bay Fest",apply_ready,apply_ready|support_packet_appendix_text|DigitalNZ|Aotearoa New Zealand|1990
capture_batch_digitalnz_postwar_image_ready_1945_2026_records.csv,DNZPOSTR046,SURF-DNZPOSTR046,PKT00363,support_packet_appendix_text,apply_ready,unique source join and high-confidence packet-member subsheet demotion,unique_capture_id,draft_subsheet_demote,high,Related packet member; draft subsheet/support role.,conservative_draft_override,promote_one_main_anchor_demote_members_to_subsheets,high,creator_region_medium_decade,12,medium,source_visible,needs_packet_text,main_sheet,subsheet_candidate,72,1991,Aotearoa New Zealand,Midcentury modern graphic communication,Poster,,DigitalNZ,"Discover Wellington, Our Heritage, Our Place - Wellington Heritage Week poster",apply_ready,apply_ready|support_packet_appendix_text|DigitalNZ|Aotearoa New Zealand|1991
capture_batch_digitalnz_postwar_image_ready_1945_2026_records.csv,DNZPOSTR045,SURF-DNZPOSTR045,PKT00363,support_packet_appendix_text,apply_ready,unique source join and high-confidence packet-member subsheet demotion,unique_capture_id,draft_subsheet_demote,high,Related packet member; draft subsheet/support role.,conservative_draft_override,promote_one_main_anchor_demote_members_to_subsheets,high,creator_region_medium_decade,12,medium,source_visible,needs_packet_text,main_sheet,subsheet_candidate,70,1991,Aotearoa New Zealand,Midcentury modern graphic communication,Poster,,DigitalNZ,1991 Budget: some implications for community groups poster,apply_ready,apply_ready|support_packet_appendix_text|DigitalNZ|Aotearoa New Zealand|1991
