surface_id,title,period_band,macro_region,source_name,template_id,publication_role,image_state,source_text_chars,generated_text_chars,total_reading_chars,impact_score,impact_rating,impact_basis,group_candidate_count,max_group_member_count,strong_group_candidate,research_value_score,recommended_action,action_reason
SURF-CRB2026V2R0255,Augusta Bridge drawing from 1836.png,pre_1930,Georgia,Wikimedia Commons file source / Augusta Bridge drawing from 1836.png / page 90705217,sheet.main.v0,main_sheet,IMG03,652,2656,3308,52,C,heuristic baseline; design-term hits=3; verified open image,0,0,false,65,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-GAX1970R001,"Monsieur, vous avez réclamé votre inscription...",pre_1930,France,Gallica / BnF APIs,sheet.main.v0,main_sheet,IMG03,211,1700,1911,40,D,heuristic baseline; verified open image,2,5,true,62,demote_to_sub,Thin source-derived text and insufficient impact basis for standalone main.
SURF-CCT2026R00615,Nieuwe Riddersorde.jpg,pre_1930,South Africa,Wikimedia Commons file source / Nieuwe Riddersorde.jpg / page 141526865,sheet.main.v0,main_sheet,IMG03,996,2693,3689,52,C,heuristic baseline; design-term hits=3; verified open image,0,0,false,73,keep_main,Sufficient image/source/text/impact balance for main-sheet treatment.
SURF-CRG2026R0001,Paganini par David d'Angers (Angers) (14911656518).jpg,pre_1930,France,Wikimedia Commons file source / Paganini par David d'Angers (Angers) (14911656518).jpg / page 37213183,sheet.main.v0,main_sheet,IMG03,1402,2680,4082,48,D,heuristic baseline; design-term hits=2; verified open image,0,0,false,78,keep_main,Sufficient image/source/text/impact balance for main-sheet treatment.
SURF-CCT2026R01140,Stamp Shanghai 1893 1c.jpg,pre_1930,China,Wikimedia Commons file source / Stamp Shanghai 1893 1c.jpg / page 62452,sheet.main.v0,main_sheet,IMG03,1578,2262,3840,52,C,heuristic baseline; design-term hits=3; verified open image,0,0,false,77,keep_main,Sufficient image/source/text/impact balance for main-sheet treatment.
SURF-CCT2026R01855,Stamp of Bolivia - 1897 - Colnect 226908 - Antonio José de Sucre.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1897 - Colnect 226908 - Antonio José de Sucre.jpeg / page 115575601,sheet.main.v0,main_sheet,IMG03,508,2863,3371,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,63,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01856,Stamp of Bolivia - 1913 - Colnect 226880 - Simon Bolivar.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1913 - Colnect 226880 - Simon Bolivar.jpeg / page 115577093,sheet.main.v0,main_sheet,IMG03,681,2841,3522,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,68,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01857,Stamp of Bolivia - 1913 - Colnect 226962 - Antonio Sucre.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1913 - Colnect 226962 - Antonio Sucre.jpeg / page 115577390,sheet.main.v0,main_sheet,IMG03,466,2842,3308,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,62,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01858,Stamp of Bolivia - 1925 - Colnect 226888 - Gen AJ de Sucre.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1925 - Colnect 226888 - Gen AJ de Sucre.jpeg / page 115579044,sheet.main.v0,main_sheet,IMG03,677,2837,3514,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,67,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
SURF-CCT2026R01859,Stamp of Bolivia - 1937 - Colnect 227807 - Gen AJ de Sucre.jpeg,pre_1930,Bolivia,Wikimedia Commons file source / Stamp of Bolivia - 1937 - Colnect 227807 - Gen AJ de Sucre.jpeg / page 115593090,sheet.main.v0,main_sheet,IMG03,584,2845,3429,56,C,heuristic baseline; design-term hits=4; verified open image,0,0,false,65,demote_to_sub,Research value is not yet strong enough for standalone main treatment.
