capture_id,direction_id,direction_name,source_id,source_name,source_api_url,capture_status,source_identifier,source_record_url,source_title,source_creator,source_date_text,date_start,date_end,source_place_text,source_object_type,source_medium,source_collection,source_description,source_notes,source_subjects,source_rights_text,rights_uri,rights_basis,image_presence_code,image_presence_basis,image_state_evaluation,image_state_confidence,rights_review_required,image_state_review_note,image_frame_behavior,image_url_detected,local_copy_permitted,iiif_or_viewer_available,fallback_required,fallback_reason,raw_json_path,access_date
MC1930R001,MC01,midcentury_open_and_museum_poster_records,SRC020,Art Institute of Chicago API,https://api.artic.edu/api/v1/artworks/search?q=poster&fields=id%2Ctitle%2Cartist_display%2Cdate_display%2Cplace_of_origin%2Cmedium_display%2Cclassification_titles%2Capi_link%2Cimage_id%2Cthumbnail%2Cis_public_domain%2Cartist_id%2Cdate_start%2Cdate_end&page=1&limit=50,captured,8878,https://www.artic.edu/artworks/8878,Come Out at Easter,"Major (probably English, 20th century)
printed by The Baynard Press
published by Underground Electric Railways Company of London Limited",1931,1931,1931,England,poster; print; prints and drawing; lithograph,Color lithograph on cream wove paper,Art Institute of Chicago,,,poster; transportation; paper (fiber product); print; prints and drawing; trains; lithograph,"AIC image identifier exists, but search row does not report public-domain status.",,"AIC image identifier exists, but search row does not report public-domain status.",IMG00,"AIC image identifier exists, but search row does not report public-domain status.","IMG00: AIC image identifier exists, but search row does not report public-domain status.",high,true,Render empty image frame until item-level rights evidence upgrades it.,empty_rights_frame,"https://www.artic.edu/iiif/2/b8b7d135-6590-aaa3-1104-248ab64f8404/full/843,/0/default.jpg",false,"https://www.artic.edu/iiif/2/b8b7d135-6590-aaa3-1104-248ab64f8404/full/843,/0/default.jpg",false,,data/capture_batch_midcentury_1930_1970_raw/aic_search_poster.json,2026-05-30
MC1930R002,MC02,midcentury_design_museum_records,SRC005,V&A Collections API,https://api.vam.ac.uk/v2/objects/search?q=travel+poster&page_size=50&page=1,captured,O587474,https://collections.vam.ac.uk/item/O587474/,For Speed & Comfort Travel by Rail,Michael,1931,1931,,Great Britain,Poster,,V&A Collections,Colour lithograph poster showing two men in caps looking out from a steam train engine. Lettered at the bottom of the image: ' FOR SPEED & COMFORT TRAVEL BY RAIL LMS '. Signed and dated ' Michael 31 '.,Colour lithograph,Posters; Transport; Advertising; Scotland,V&A row does not expose image metadata in this capture.,,V&A row does not expose image metadata in this capture.,IMG04,V&A row does not expose image metadata in this capture.,IMG04: V&A row does not expose image metadata in this capture.,high,false,Render as text/source page without image frame.,no_image_frame,,false,,false,,data/capture_batch_midcentury_1930_1970_raw/vam_search_poster.json,2026-05-30
MC1930R003,MC01,midcentury_open_and_museum_poster_records,SRC020,Art Institute of Chicago API,https://api.artic.edu/api/v1/artworks/search?q=poster&fields=id%2Ctitle%2Cartist_display%2Cdate_display%2Cplace_of_origin%2Cmedium_display%2Cclassification_titles%2Capi_link%2Cimage_id%2Cthumbnail%2Cis_public_domain%2Cartist_id%2Cdate_start%2Cdate_end&page=1&limit=50,captured,8872,https://www.artic.edu/artworks/8872,No. 2 Spring,"A. A. Moore (English, 20th century)
printed by Dangerfield Printing Company Limited
published by Underground Electric Railways Company of London Limited",1931,1931,1931,England,poster; print; prints and drawing; lithograph,Color lithograph on cream wove paper,Art Institute of Chicago,,,poster; transportation; paper (fiber product); trains; print; prints and drawing; lithograph,"AIC image identifier exists, but search row does not report public-domain status.",,"AIC image identifier exists, but search row does not report public-domain status.",IMG00,"AIC image identifier exists, but search row does not report public-domain status.","IMG00: AIC image identifier exists, but search row does not report public-domain status.",high,true,Render empty image frame until item-level rights evidence upgrades it.,empty_rights_frame,"https://www.artic.edu/iiif/2/d4c1c3b1-7495-f21d-1e5a-40477030045e/full/843,/0/default.jpg",false,"https://www.artic.edu/iiif/2/d4c1c3b1-7495-f21d-1e5a-40477030045e/full/843,/0/default.jpg",false,,data/capture_batch_midcentury_1930_1970_raw/aic_search_poster.json,2026-05-30
MC1930R004,MC01,midcentury_open_and_museum_poster_records,SRC020,Art Institute of Chicago API,https://api.artic.edu/api/v1/artworks/search?q=poster&fields=id%2Ctitle%2Cartist_display%2Cdate_display%2Cplace_of_origin%2Cmedium_display%2Cclassification_titles%2Capi_link%2Cimage_id%2Cthumbnail%2Cis_public_domain%2Cartist_id%2Cdate_start%2Cdate_end&page=1&limit=50,captured,8867,https://www.artic.edu/artworks/8867,Whitsuntide in the Countryside,"Dora M. Batty (English, 1900-1966)
printed by Sanders Phillips and Company Limited at The Baynard Pess
published by Underground Electric Railways Company of London Limited",1931,1931,1931,England,poster; print; prints and drawing; lithograph,Color lithograph on cream wove paper,Art Institute of Chicago,,,poster; paper (fiber product); print; prints and drawing; lithograph,"AIC image identifier exists, but search row does not report public-domain status.",,"AIC image identifier exists, but search row does not report public-domain status.",IMG00,"AIC image identifier exists, but search row does not report public-domain status.","IMG00: AIC image identifier exists, but search row does not report public-domain status.",high,true,Render empty image frame until item-level rights evidence upgrades it.,empty_rights_frame,"https://www.artic.edu/iiif/2/20a4fbd6-d97f-ab9b-64c4-8c14dbc33676/full/843,/0/default.jpg",false,"https://www.artic.edu/iiif/2/20a4fbd6-d97f-ab9b-64c4-8c14dbc33676/full/843,/0/default.jpg",false,,data/capture_batch_midcentury_1930_1970_raw/aic_search_poster.json,2026-05-30
MC1930R005,MC02,midcentury_design_museum_records,SRC005,V&A Collections API,https://api.vam.ac.uk/v2/objects/search?q=travel+poster&page_size=50&page=1,captured,O743577,https://collections.vam.ac.uk/item/O743577/,Breakfast in Peace if you Travel by Southern Electric,"Bethell Jones, May",1932,1932,,Great Britain,Poster,,V&A Collections,'Breakfast in Peace if you Travel by Southern Electric'. Colour lithograph poster.,Colour lithography,Prints; Advertising; Transport; Posters,V&A row does not expose image metadata in this capture.,,V&A row does not expose image metadata in this capture.,IMG04,V&A row does not expose image metadata in this capture.,IMG04: V&A row does not expose image metadata in this capture.,high,false,Render as text/source page without image frame.,no_image_frame,,false,,false,,data/capture_batch_midcentury_1930_1970_raw/vam_search_poster.json,2026-05-30
MC1930R006,MC01,midcentury_open_and_museum_poster_records,SRC020,Art Institute of Chicago API,https://api.artic.edu/api/v1/artworks/search?q=poster&fields=id%2Ctitle%2Cartist_display%2Cdate_display%2Cplace_of_origin%2Cmedium_display%2Cclassification_titles%2Capi_link%2Cimage_id%2Cthumbnail%2Cis_public_domain%2Cartist_id%2Cdate_start%2Cdate_end&page=1&limit=50,captured,13343,https://www.artic.edu/artworks/13343,By the Rushy - Fringed Bank,"Edward McKnight Kauffer (American, active in England, 1890-1954)
printed by Vincent Brooks, Day and Son Limited Lithographers
published by Underground Electric Railways Company of London Limited",1932,1932,1932,United States,poster; print; prints and drawing; lithograph,Color lithograph on cream wove paper,Art Institute of Chicago,"Edward McKnight Kauffer often changed his style to suit a poster’s subject. This work does not say anything about how and when to use the Underground. Rather, the company had it created simply to please those entering or passing by a station where it was displayed. One of four posters illustrating lines from English poets, it uses washes of color to create a landscape evocative of John Milton’s verse.",,poster; transportation; paper (fiber product); print; prints and drawing; landscapes; trains; lithograph,"AIC image identifier exists, but search row does not report public-domain status.",,"AIC image identifier exists, but search row does not report public-domain status.",IMG00,"AIC image identifier exists, but search row does not report public-domain status.","IMG00: AIC image identifier exists, but search row does not report public-domain status.",high,true,Render empty image frame until item-level rights evidence upgrades it.,empty_rights_frame,"https://www.artic.edu/iiif/2/ef44854c-be29-2490-a280-0128bda452a3/full/843,/0/default.jpg",false,"https://www.artic.edu/iiif/2/ef44854c-be29-2490-a280-0128bda452a3/full/843,/0/default.jpg",false,,data/capture_batch_midcentury_1930_1970_raw/aic_search_poster.json,2026-05-30
MC1930R007,MC05,midcentury_met_open_access_records,SRC001,The Met Open Access,https://collectionapi.metmuseum.org/public/collection/v1/search?hasImages=true&dateBegin=1931&dateEnd=1970&q=poster,captured,396097,https://www.metmuseum.org/art/collection/search/396097,Costume Ball Poster,John Sloan,1933,1933,1933,,Print,Linoleum cut,Drawings and Prints,,,,Met detail row does not expose an image URL in this capture.,,Met detail row does not expose an image URL in this capture.,IMG04,Met detail row does not expose an image URL in this capture.,IMG04: Met detail row does not expose an image URL in this capture.,high,false,Render as text/source page without image frame.,no_image_frame,,false,https://www.metmuseum.org/art/collection/search/396097,false,,data/capture_batch_midcentury_1930_1970_raw/met_search_poster.json,2026-05-30
MC1930R008,MC03,midcentury_public_information_and_propaganda_records,SRC006,Library of Congress loc.gov API,https://www.loc.gov/pictures/search/?q=WPA+poster&fo=json&c=50,captured,2010633924,https://www.loc.gov/pictures/item/2010633924/,"[Poster designs for WPA, Army, Air Force, Fitzsimmons General Hospital Reconditioning Service]",,[between ca. 1935 and 1945],1935,,,42 items.,42 items.,iuc; minload; pp,,Collection stored on site. Containers include: 1 A size container (partial).; Creators include: Tony Velonis.; Media includes: Drawings : gouache; 2 Photographs; Posters : silkscreen.; This catalog record contains preliminary data.; Title devised by Library staff.; Gift; Tony Velonis; (PR 13 CN 1991:200); export NME,,LOC search row does not expose a usable image in this capture.,,LOC search row does not expose a usable image in this capture.,IMG04,LOC search row does not expose a usable image in this capture.,IMG04: LOC search row does not expose a usable image in this capture.,high,false,Render as text/source page without image frame.,no_image_frame,,false,https://www.loc.gov/pictures/item/2010633924/,false,,data/capture_batch_midcentury_1930_1970_raw/loc_search_wpa-poster.json,2026-05-30
MC1930R009,MC02,midcentury_design_museum_records,SRC005,V&A Collections API,https://api.vam.ac.uk/v2/objects/search?q=travel+poster&page_size=50&page=1,captured,O90294,https://collections.vam.ac.uk/item/O90294/,,"Igumnov, Sergey",ca. 1936,1936,,Union of Soviet Socialist Republics,Poster,,V&A Collections,"A poster showing a train on a railway bridge with high arches, with a car travelling underneath in the foreground. Yellow sky, blue snow-peaked mountains, city and a forest in the background. The words 'Soviet Armenia' on the bottom. The viaduct depicted is located in Ijevan in the Tavush Province of northeastern Armenia and is now reportedly defunct.","Issued by Intourist, official travel agency of the former Soviet Union",Prints; Advertising; Posters,V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,,V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,IMG02,V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,IMG02: V&A API exposes source-hosted IIIF/image service metadata; no local copy is permitted in this pass.,medium,true,Source-hosted viewer candidate; keep source return visible.,source_viewer_frame,"https://framemark.vam.ac.uk/collections/2006AL4780/full/!100,100/0/default.jpg",false,https://framemark.vam.ac.uk/collections/2006AL4780/,false,,data/capture_batch_midcentury_1930_1970_raw/vam_search_poster.json,2026-05-30
MC1930R010,MC03,midcentury_public_information_and_propaganda_records,SRC006,Library of Congress loc.gov API,https://www.loc.gov/pictures/search/?q=WPA+poster&fo=json&c=50,captured,2011645389,https://www.loc.gov/pictures/item/2011645389/,A book mark would be better!,"Gregg, Arlington",[between 1936 and 1940],1936,,,1 print on board (poster) :,"1 print on board (poster) : silkscreen, color ; 35.6 x 28 cm.",diof; flickrwpapos18; pp; wpapos,WPA poster shows a boy ironing down the page of a book.,Title from item.; Purchase; Swann Galleries; 2010; (DLC/PP-2010:157.08).; More information about the WPA Posters is available at http://hdl.loc.gov/loc.pnp/pp.wpapos,"{""link"": ""https://www.loc.gov/pictures/related/?fi=subject&q=Books--1930-1940."", ""title"": ""Books--1930-1940.""}; {""link"": ""https://www.loc.gov/pictures/related/?fi=subject&q=Conservation%20%26%20restoration--1930-1940."", ""title"": ""Conservation & restoration--1930-1940.""}",LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,IMG01,LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,IMG01: LOC search row exposes a thumbnail; item-level rights advisory was not captured in this pass.,medium,true,Thumbnail candidate only; keep source return visible.,thumbnail_frame,https://tile.loc.gov/storage-services/service/pnp/ppmsca/31200/31264_150px.jpg,false,https://www.loc.gov/pictures/item/2011645389/,false,,data/capture_batch_midcentury_1930_1970_raw/loc_search_wpa-poster.json,2026-05-30
