candidate_id,source_name,macro_region,country_or_region,locality,source_kind,institutional_level,institution_class,access_family,url,expected_record_types,period_strength,image_strategy,text_strategy,rights_risk,automation_priority,verification_status,current_ingest_status,notes
SEM001,Europeana,Western/Central Europe,,,Metadata aggregator,institutional,aggregator,API+HTML,https://www.europeana.eu/,periodical_newspaper;poster_print_object;book_catalogue_text;archive_finding_aid,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,link_only_until_rights_verified,text-rich,Med,P1 text-rich crawl,deep_research_seed,candidate_from_matrix,"Cross-border discovery; posters, books, magazines, prints"
SEM002,Europeana Search API,Western/Central Europe,,,API endpoint,institutional,independent,API,https://pro.europeana.eu/page/search,authority_context,1830-1930=secondary; 1931-1970=secondary; 1971-2000=secondary; 2001-2026=secondary,link_only_until_rights_verified,metadata-plus-context,Med,P4 later period support,deep_research_seed,candidate_from_matrix,Best as broad discovery and link graph
SEM003,Gallica,Western/Central Europe,,,National library portal,national,government,IIIF+API+HTML,https://gallica.bnf.fr/,periodical_newspaper;poster_print_object;book_catalogue_text,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,prefer_open_image,text-rich,High,P1 text-rich crawl,deep_research_seed,candidate_from_matrix,"Very strong for print culture, posters, magazines"
SEM004,Gallica Document API,Western/Central Europe,,,API endpoint,institutional,independent,IIIF+API,https://api.bnf.fr/fr/api-document-de-gallica,periodical_newspaper;poster_print_object,1830-1930=secondary; 1931-1970=strong; 1971-2000=secondary; 2001-2026=secondary,prefer_open_image,text-rich,High,P1 text-rich crawl,deep_research_seed,candidate_from_matrix,Excellent for structured harvesting of periodicals/graphics
SEM005,Rijksmuseum Collection Online,Western/Central Europe,,,Museum collection,institutional,museum,API+HTML,https://www.rijksmuseum.nl/en/collection,poster_print_object;book_catalogue_text;archive_finding_aid,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,text_only,text-rich,High,P1 text-rich crawl,deep_research_seed,candidate_from_matrix,"Strong for design objects, prints, typography-adjacent artifacts"
SEM006,V&A Collections,Western/Central Europe,,,Museum collection,institutional,museum,IIIF+API+HTML,https://www.vam.ac.uk/collections,poster_print_object;book_catalogue_text;archive_finding_aid,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,source_viewer_or_iiif,text-rich,Med,P1 text-rich crawl,deep_research_seed,candidate_from_matrix,Core design-history source
SEM007,Deutsche Digitale Bibliothek,Western/Central Europe,,,National aggregator,national,government,API+HTML,https://www.deutsche-digitale-bibliothek.de/,periodical_newspaper;poster_print_object;book_catalogue_text;authority_context,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,link_only_until_rights_verified,text-rich,High,P1 text-rich crawl,deep_research_seed,candidate_from_matrix,"Very good for posters, museum graphics, periodicals"
SEM008,German Newspaper Portal,Western/Central Europe,,,Newspaper subportal,institutional,independent,API+HTML,https://www.deutsche-digitale-bibliothek.de/newspaper,periodical_newspaper;poster_print_object;book_catalogue_text,1830-1930=secondary; 1931-1970=strong; 1971-2000=secondary; 2001-2026=secondary,source_viewer_or_iiif,text-rich,High,P1 text-rich crawl,deep_research_seed,candidate_from_matrix,"Strong for advertising, layout, print culture"
SEM009,Archive Portal-D,Western/Central Europe,,,Archival subportal,institutional,independent,API+HTML,https://www.archivportal-d.de/,poster_print_object;book_catalogue_text;authority_context;archive_finding_aid,1830-1930=secondary; 1931-1970=strong; 1971-2000=secondary; 2001-2026=secondary,link_only_until_rights_verified,text-rich,Med,P3 authority enrichment,deep_research_seed,candidate_from_matrix,"Good contextual layer for institutions, printers, agencies"
SEM010,Delpher,Western/Central Europe,,,National library portal,national,government,OAI+HTML,https://www.delpher.nl/,periodical_newspaper;book_catalogue_text,1830-1930=secondary; 1931-1970=strong; 1971-2000=strong; 2001-2026=secondary,source_viewer_or_iiif,text-rich,Med,P1 text-rich crawl,deep_research_seed,candidate_from_matrix,"Excellent for periodicals, ads, layout, typography history"
