candidate_id,source_name,macro_region,subregion,country_or_region,source_class,institutional_level,protocol_family,url,period_start,period_end,period_bands,expected_record_types,capture_route,recommended_adapter,recommended_image_policy,text_enrichment_path,rights_posture,risk_notes,priority,inclusion_status,notes
CSS0001,Another Graphic,Global,Independent web,Transnational,independent design archive / publication,independent,Static JS App / HTML,https://anothergraphic.org/,2010,2026,2000-2026,contemporary graphic design projects; essays; interviews,source-level discovery first; item rows only after source review,html_jsonld_or_static_js_probe,IMG00 discovery-only until item source terms reviewed; IMG02 if source viewer is explicit,essay and project text extraction after source terms review,unknown; do not store images,independent contemporary site; image reuse cannot be inferred from visibility,P0,candidate_probe,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
CSS0002,It's Nice That,Global,Independent web,United Kingdom / transnational,design media,independent media,WordPress REST / HTML,https://www.itsnicethat.com/,2007,2026,2000-2026,design articles; project pages; interviews,metadata + outbound source discovery; no image ingest,wordpress_rest_or_html_adapter,IMG00 discovery-only; quote/link source; no automatic thumbnail,article text snippets and cited designer/source extraction,copyrighted editorial media,editorial images and contemporary works high-risk,P1,candidate_probe,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
CSS0003,AIGA Eye on Design,Global,Independent web,United States / transnational,design media,professional association media,WordPress REST / HTML,https://eyeondesign.aiga.org/,2014,2026,2000-2026,articles; interviews; critical essays,text/source discovery; cite back to article,wordpress_rest_or_html_adapter,IMG00 unless explicit rights statement at item level,article text and source/person extraction,copyrighted editorial media,text useful; images not reusable by default,P1,candidate_probe,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
CSS0004,Slanted,Global,Independent web,Germany / transnational,design publication / type culture,independent media,HTML / WordPress-like,https://www.slanted.de/,2004,2026,2000-2026,typography reports; regional design surveys; interviews,source discovery and bibliography enrichment,html_source_probe_then_manual_rules,IMG00; source-return only unless explicit open license,article text and issue metadata,copyrighted editorial media,publisher content requires conservative reuse,P1,candidate_probe,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
CSS0005,The Brand Identity,Global,Independent web,United Kingdom / transnational,branding archive / media,independent media,Static JS App / HTML,https://the-brandidentity.com/,2010,2026,2000-2026,branding projects; studio credits; images,source discovery only; potential multi-image case study after permission review,static_js_or_html_probe,IMG00 discovery-only; no local image copy,project text and studio/source extraction,copyrighted contemporary branding,useful for post-1990 branding but high image-rights risk,P1,candidate_probe,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
CSS0006,BP&O,Global,Independent web,United Kingdom / transnational,branding archive / review,independent media,WordPress REST / HTML,https://bpando.org/,2011,2026,2000-2026,brand identity case studies; studio credits,source discovery and text extraction only,wordpress_rest_or_html_adapter,IMG00 discovery-only; item images require source permission,project summary and outbound link extraction,copyrighted contemporary branding,editorial/project image rights vary,P1,candidate_probe,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
CSS0007,Fonts In Use,Global,Typography,Transnational,typography database,community database,Static JS App / HTML,https://fontsinuse.com/,1900,2026,1931-1970; 1970-2000; 2000-2026,type use records; source links; tags,metadata enrichment for typography relations; no image possession,html_jsonld_adapter,IMG00/IMG02 depending source return; no automatic reuse,title/typeface/industry/source metadata,mixed; source-linked user/editorial records,images often user-submitted or source-derived,P0,candidate_probe,"Useful authority-like typography context, but not an image-rights authority."
CSS0008,People's Graphic Design Archive,Global,Community archive,United States / transnational,community archive,community,Static JS App / API-like,https://peoplesgdarchive.org/,1900,2026,1931-1970; 1970-2000; 2000-2026,community-submitted design records,source registry and cross-reference; respect PGDA terms,static_js_or_api_probe,IMG00/IMG02 after record terms review; no automatic local copy,metadata and citation enrichment,community archive with item-level rights variation,community submissions require careful provenance,P0,candidate_probe,Important non-museum comparator; not a replacement source.
CSS0009,Design Reviewed,Europe,Independent archive,United Kingdom,private design archive / publication,independent,WordPress REST / HTML,https://designreviewed.com/,1920,2026,1931-1970; 1970-2000; 2000-2026,scanned printed ephemera; articles; posts,source discovery and metadata enrichment,wordpress_rest_or_html_adapter,IMG00 unless source explicitly permits; no scrape-and-republish,post text and tags,private archive scans; high image-rights caution,already useful but not rights clearance,P0,candidate_probe,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
CSS0010,Letterform Archive Blog,North America,Independent archive,United States,typography archive / institution,nonprofit archive,WordPress REST / HTML,https://letterformarchive.org/news/,1900,2026,1931-1970; 1970-2000; 2000-2026,articles; collection highlights; exhibitions,text enrichment and source registry only,wordpress_rest_or_html_adapter,IMG00/IMG02 unless explicit open record rights,article text; collection references,institutional archive with rights variation,images and collections need record-level review,P1,candidate_probe,1990-2026 exploratory source scan; internal triage only; not public authority or rights clearance.
CSS0011,Are.na Design History Channels,Global,Platform discovery,Transnational,social bookmarking / research platform,platform,Static JS App / API,https://www.are.na/,2010,2026,2000-2026,user-curated links and images; channels,discovery signal only; resolve original sources before ingest,discovery_signal_only_no_item_image_ingest,IMG00 discovery-only; never use as rights source,link graph and topic discovery,platform repost context; not source authority,high noise and repost risk,P2,candidate_probe,"Use only to find original sources, not as archive evidence."
