metric,value,notes
base_override_rows,2445,Full-role sandbox preview statistic.
candidate_input_rows,135,Full-role sandbox preview statistic.
merged_override_rows,2579,Full-role sandbox preview statistic.
preview_applied,134,Full-role sandbox preview statistic.
preview_disposition:card,126,Full-role sandbox preview statistic.
preview_disposition:support_packet_appendix_text,8,Full-role sandbox preview statistic.
preview_role:card_context,126,Full-role sandbox preview statistic.
preview_role:sub_under_packet,8,Full-role sandbox preview statistic.
rejected_examples,1,Full-role sandbox preview statistic.
rejected_existing_override_collision,1,Full-role sandbox preview statistic.
rejected_rows,1,Full-role sandbox preview statistic.
sandbox_preview_overrides,134,Full-role sandbox preview statistic.
