media_id,term,term_type,definition,date_start,date_end,date_text,relation_to_graphic_design,associated_source_types,required_metadata_fields,search_keywords,rights_display_issues,authority_scheme,authority_id
MT001,Letterpress,process,Relief printing from raised type/forms,1450,,1450s-20th c.; revival later,core typographic production regime,rare books; job-print archives; type archives,process; press; typeface; printer; edition,letterpress; handset; relief print,usually safe for older objects; revival work often copyrighted,,
MT002,Woodcut,process,Relief image cut on wood block,,,long duration,illustration and broadside precursor,print rooms; rare books,block maker; edition; state,woodcut; block print,older works often low-risk,,
MT003,Engraving,process,Incised metal-plate intaglio,1500,1899,16th-19th c.,"illustration, maps, trade ephemera",print collections; maps,process; plate; engraver; publisher,engraving; steel engraving,older works low-risk,,
MT004,Etching,process,Acid-bitten metal intaglio,1500,,16th c.-present,illustration and art/print crossover,print rooms; artist-book archives,process; state; plate,etching,modern images may remain copyrighted,,
MT005,Lithography,process,Planographic process from stone/plate,1796,,1796-present,foundational for poster and commercial print,poster archives; museum APIs,process; printer; colors,lithograph; poster print,19th-c. often low-risk; later posters high-risk,,
MT006,Chromolithography,process,Multi-stone color lithography,1800,1930,19th c.-early 20th c.,"labels, trade cards, packaging, posters",ephemera collections,color count; process; printer,chromolithograph; label; trade card,"often older, but scans may have provider restrictions",,
MT007,Screen printing,process,Ink forced through stencil mesh,1900,,20th c.-present,"protest graphics, posters, DIY print",poster/community archives,process; workshop; edition,screenprint; serigraph,many modern posters still copyrighted,,
MT008,Offset lithography,process,Industrial commercial print process,1900,,20th c.-present,"magazines, books, packaging, corporate print",periodicals; annual reports,process; print run; printer,offset; offset litho,high rights risk for modern works,,
MT009,Halftone,process,Reproduction of tonal images via dots,1880,,late 19th c.-present,newspaper/magazine image reproduction,newspaper and periodical archives,screen; reproduction method,halftone; photoengraving,page images may be usable only if public domain,,
MT010,Photomontage,technique,Composite image assembly,1900,,20th c.-present,major avant-garde and political technique,magazines; posters; books,technique; source_images; documented_relation,photomontage; montage,attribution may be complex,,
MT011,Phototypesetting,technology,Type generated photographically,1950,1989,1950s-1980s,transition from metal to digital layout,trade journals; studio archives,system_name; manufacturer,phototypesetting; cold type,artifacts and manuals often under copyright,,
