query_index,macro,country,object_term,query,status,added,rows_after,rejects_delta,failures_delta,elapsed_seconds
1,_infer,_infer,poster,"""2026"" ""poster""",completed,2,2,98,0,5.7
2,_infer,_infer,political poster,"""2026"" ""political poster""",completed,0,2,100,0,10.1
3,_infer,_infer,propaganda poster,"""2026"" ""propaganda poster""",completed,0,2,100,0,14.5
4,_infer,_infer,film poster,"""2026"" ""film poster""",completed,0,2,100,0,21.4
5,_infer,_infer,travel poster,"""2026"" ""travel poster""",completed,1,3,99,0,25.7
6,_infer,_infer,advertising poster,"""2026"" ""advertising poster""",completed,0,3,100,0,35.4
7,_infer,_infer,advertisement,"""2026"" ""advertisement""",completed,0,3,50,0,42.0
8,_infer,_infer,book cover,"""2026"" ""book cover""",completed,11,14,89,0,48.6
9,_infer,_infer,magazine cover,"""2026"" ""magazine cover""",completed,4,18,68,0,54.8
10,_infer,_infer,trade card,"""2026"" ""trade card""",completed,0,18,8,0,58.0
11,_infer,_infer,label,"""2026"" ""label""",failed,0,18,0,1,74.6
12,_infer,_infer,packaging,"""2026"" ""packaging""",empty,0,18,0,0,92.6
13,_infer,_infer,brochure,"""2026"" ""brochure""",empty,0,18,0,0,96.3
14,_infer,_infer,pamphlet,"""2026"" ""pamphlet""",completed,5,23,95,0,129.0
15,_infer,_infer,type specimen,"""2026"" ""type specimen""",completed,0,23,17,0,132.6
16,_infer,_infer,poster,"""2025"" ""poster""",completed,1,24,99,0,141.1
17,_infer,_infer,political poster,"""2025"" ""political poster""",completed,0,24,100,0,145.6
18,_infer,_infer,propaganda poster,"""2025"" ""propaganda poster""",completed,0,24,100,0,156.0
19,_infer,_infer,film poster,"""2025"" ""film poster""",completed,0,24,100,0,163.9
20,_infer,_infer,travel poster,"""2025"" ""travel poster""",completed,0,24,100,0,168.2
21,_infer,_infer,advertising poster,"""2025"" ""advertising poster""",completed,0,24,100,0,173.1
22,_infer,_infer,advertisement,"""2025"" ""advertisement""",completed,1,25,99,0,215.0
23,_infer,_infer,book cover,"""2025"" ""book cover""",completed,3,28,97,0,221.8
24,_infer,_infer,magazine cover,"""2025"" ""magazine cover""",empty,0,28,0,0,223.7
25,_infer,_infer,trade card,"""2025"" ""trade card""",completed,14,42,86,0,245.7
26,_infer,_infer,label,"""2025"" ""label""",completed,5,47,95,0,255.1
27,_infer,_infer,packaging,"""2025"" ""packaging""",completed,2,49,98,0,265.8
28,_infer,_infer,brochure,"""2025"" ""brochure""",completed,0,49,100,0,294.5
29,_infer,_infer,pamphlet,"""2025"" ""pamphlet""",completed,3,52,97,0,340.5
30,_infer,_infer,type specimen,"""2025"" ""type specimen""",completed,15,67,52,0,348.2
31,_infer,_infer,poster,"""2024"" ""poster""",completed,1,68,99,0,355.9
32,_infer,_infer,political poster,"""2024"" ""political poster""",completed,0,68,100,0,361.8
33,_infer,_infer,propaganda poster,"""2024"" ""propaganda poster""",completed,0,68,100,0,366.8
34,_infer,_infer,film poster,"""2024"" ""film poster""",completed,3,71,97,0,374.0
35,_infer,_infer,travel poster,"""2024"" ""travel poster""",completed,0,71,100,0,395.1
36,_infer,_infer,advertising poster,"""2024"" ""advertising poster""",completed,0,71,100,0,400.5
37,_infer,_infer,advertisement,"""2024"" ""advertisement""",completed,2,73,98,0,432.4
38,_infer,_infer,book cover,"""2024"" ""book cover""",completed,5,78,95,0,440.1
39,_infer,_infer,magazine cover,"""2024"" ""magazine cover""",completed,2,80,98,0,447.2
40,_infer,_infer,trade card,"""2024"" ""trade card""",completed,0,80,15,0,456.9
41,_infer,_infer,label,"""2024"" ""label""",completed,3,83,97,0,466.9
42,_infer,_infer,packaging,"""2024"" ""packaging""",completed,3,86,97,0,479.3
43,_infer,_infer,brochure,"""2024"" ""brochure""",completed,1,87,99,0,496.8
44,_infer,_infer,pamphlet,"""2024"" ""pamphlet""",completed,1,88,99,0,543.1
45,_infer,_infer,type specimen,"""2024"" ""type specimen""",completed,0,88,52,0,548.5
46,_infer,_infer,poster,"""2023"" ""poster""",completed,2,90,98,0,555.5
47,_infer,_infer,political poster,"""2023"" ""political poster""",completed,1,91,99,0,560.5
48,_infer,_infer,propaganda poster,"""2023"" ""propaganda poster""",completed,0,91,100,0,564.9
