metric,value,count
total,new_candidate_sources,228
total,baseline_plus_new_candidate_sources,309
dedupe,skipped_existing_source_keys,69
dedupe,skipped_duplicate_seed_keys,1
macro_region,Africa,65
macro_region,Latin America / Caribbean,58
macro_region,MENA,22
macro_region,South Asia,22
macro_region,Eastern Europe / Caucasus,21
macro_region,Southeast Asia,17
macro_region,Oceania / Indigenous,13
macro_region,Central Asia,8
macro_region,East Asia,2
subregion,West Africa,26
subregion,Caribbean,16
subregion,Southern Africa,13
subregion,Pacific,11
subregion,Central America,10
subregion,Gulf,10
subregion,Andean,9
subregion,East Africa,7
subregion,Southern Cone,7
subregion,India,7
subregion,North Africa,6
subregion,Brazil,6
subregion,Mexico,6
subregion,Central Africa,6
subregion,Indian Ocean,6
subregion,Pakistan,5
subregion,Balkans,5
subregion,Baltics,5
subregion,Central Europe,5
subregion,Levant,4
subregion,Bangladesh,3
subregion,Myanmar,3
subregion,Caucasus,3
subregion,Eastern Europe,3
subregion,Caribbean / North South America,2
subregion,Anatolia,2
subregion,Nepal,2
subregion,Vietnam,2
subregion,Philippines,2
subregion,Malaysia,2
subregion,Singapore,2
subregion,Uzbekistan,2
subregion,Atlantic Africa,2
subregion,Central America / Caribbean,2
subregion,Afghanistan,2
subregion,Mongolia,2
subregion,Iran,1
subregion,Levant diaspora,1
subregion,Iraq,1
subregion,Arabian Peninsula,1
subregion,Bhutan,1
subregion,Maldives,1
subregion,Thailand,1
subregion,Laos,1
subregion,Cambodia,1
subregion,Brunei,1
subregion,Timor-Leste,1
subregion,Kazakhstan,1
subregion,Kyrgyzstan,1
subregion,Tajikistan,1
subregion,Turkmenistan,1
subregion,Aotearoa/New Zealand,1
subregion,Australia,1
subregion,Korea,1
subregion,Taiwan,1
subregion,Islamic world,1
subregion,India/Pakistan,1
subregion,Indonesia,1
protocol_family,HTML,166
protocol_family,HTML/catalog,35
protocol_family,catalog/HTML,19
protocol_family,HTML/database,3
protocol_family,DSpace/HTML,1
protocol_family,catalog/IIIF/HTML,1
protocol_family,HTML/data,1
protocol_family,HTML/repository,1
protocol_family,OAI/HTML,1
priority,P1,135
priority,P2,77
priority,P0,16
impact_rating,B,138
impact_rating,A,81
impact_rating,C,9
source_class,national library,70
source_class,national archive,59
source_class,museum archive,9
source_class,research archive,4
source_class,national library/archive,3
source_class,memory museum archive,3
source_class,national digital library,3
source_class,national archive/library,2
source_class,national library repository,2
source_class,media archive,2
source_class,university library,2
source_class,community archive,2
source_class,cultural archive,2
source_class,visual culture archive,2
source_class,national museum archive,2
source_class,art and publication archive,2
source_class,arts archive,2
source_class,design museum,2
source_class,cultural heritage archive,1
source_class,social history archive,1
source_class,city digital library,1
source_class,legislative archive,1
source_class,arts encyclopedia/archive,1
source_class,heritage media archive,1
source_class,popular culture museum,1
source_class,regional archive,1
source_class,research data archive,1
source_class,university digital library,1
source_class,diaspora archive,1
source_class,heritage archive,1
source_class,government information archive,1
source_class,digital history archive,1
source_class,corporate/design archive,1
source_class,visual culture collection,1
source_class,community/library archive,1
source_class,research database,1
source_class,national library digital portal,1
source_class,archive collection,1
source_class,community memory archive,1
source_class,memory archive,1
source_class,national special collection,1
source_class,state library,1
source_class,national historical archive,1
source_class,social movement archive,1
source_class,university archive,1
source_class,university digital collections,1
source_class,digital library,1
source_class,university archive/library,1
source_class,movement archive,1
source_class,digital archive aggregator,1
source_class,museum aggregator,1
source_class,digital library federation,1
source_class,national museum/archive,1
source_class,contemporary art and visual culture archive,1
source_class,visual culture research archive,1
source_class,art and cultural archive,1
source_class,visual culture education archive,1
source_class,architecture and visual culture archive,1
source_class,cultural authority archive,1
source_class,cultural knowledge archive,1
source_class,community visual archive,1
source_class,national arts archive,1
source_class,community culture archive,1
source_class,artist archive,1
source_class,university museum archive,1
source_class,arts council archive,1
source_class,visual archive,1
source_class,museum design collection,1
source_class,design archive/publication,1
source_class,art archive,1
source_class,design organization archive,1
source_class,community library and museum,1
source_class,regional cultural aggregator,1
