query,error,detail
South African poster,URLError,
Polish poster,URLError,
Soviet poster,URLError,
South African poster 1984,URLError,
Indonesian poster 1984,URLError,
South African poster 1985,URLError,
Polish poster 1985,URLError,
Polish poster 1987,URLError,
Indonesian poster 1987,URLError,
Polish poster 1980,URLError,
Soviet poster 1980,URLError,
Vietnamese poster 1980,URLError,
Soviet poster 1981,RemoteDisconnected,Remote end closed connection without response
Indonesian poster 1981,URLError,
Soviet poster 1983,URLError,
South African poster 1988,URLError,
Polish poster 1988,URLError,
Soviet poster 1988,URLError,
Indonesian poster 1988,URLError,
Vietnamese poster 1988,RemoteDisconnected,Remote end closed connection without response
Polish poster 1989,URLError,
Polish poster 1959,URLError,
Indonesian poster 1959,URLError,
Vietnamese poster 1959,URLError,
South African poster 1961,TimeoutError,The read operation timed out
South African poster 1962,URLError,
Polish poster 1962,URLError,
South African poster 1963,URLError,
Vietnamese poster 1963,RemoteDisconnected,Remote end closed connection without response
South African poster 1990,RemoteDisconnected,Remote end closed connection without response
Indonesian poster 1990,URLError,
South African poster 1991,TimeoutError,The read operation timed out
Soviet poster 1991,URLError,
Indonesian poster 1991,URLError,
South African poster 1995,URLError,
Soviet poster 1995,URLError,
Indonesian poster 1995,URLError,
Polish poster 2000,URLError,
Vietnamese poster 2000,URLError,
South African poster 2001,URLError,
Vietnamese poster 2001,URLError,
Indonesian poster 2004,RemoteDisconnected,Remote end closed connection without response
Vietnamese poster 2004,URLError,
South African poster 2015,URLError,
Soviet poster 2016,URLError,
Indonesian poster 2016,TimeoutError,The read operation timed out
Vietnamese poster 2016,URLError,
Soviet poster 2017,URLError,
Indonesian poster 2017,URLError,
South African poster 2018,URLError,
Soviet poster 2018,TimeoutError,The read operation timed out
South African poster 2019,TimeoutError,The read operation timed out
Polish poster 2019,URLError,
