surface_id,capture_id,year,period_band,region,theme,source_family,source_name,title,image_state,recommended_next_action,calibrated_action,calibration_status,calibration_confidence,calibration_reason,role_family,source_text_chars,overall_research_anchor_score,source_depth_score,relation_density_score,text_depth_score,design_object_confidence_score,risk_pressure_score,editorial_need_score,risk_flags,positive_flags
SURF-ER1830R018,ER1830R018,1880,pre_1930,Unresolved region,Midcentury modern graphic communication,Library of Congress,Library of Congress loc.gov API,[Pearsall Photography Studio trade card],IMG04,convert_to_text_or_appendix,convert_to_text_or_appendix,accepted_for_preview,medium,Source/register or no-image evidence is better handled as text/appendix.,text_or_appendix,593,42,74,27,94,0,12,6,source_register:catalog record,
SURF-CCT2026R00413,CCT2026R00413,1966,1930_1970,Africa,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp-kenya1966-ant-bear.jpeg / page 69787732,Stamp-kenya1966-ant-bear.jpeg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,238,34,23,47,64,66,62,36,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02743,CAW2026R02743,1968,1930_1970,Albania,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / ALB 1968 MiNr1314A pm B002.jpg / page 67993797,ALB 1968 MiNr1314A pm B002.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,647,48,74,22,98,66,82,2,stamp_or_philatelic:commemorative; stamp_or_philatelic:postage; stamp_or_philatelic:stamp; non_design_drift:bird; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02323,CAW2026R02323,1951,1930_1970,Angola,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Angola - 1951 - Colnect 167091 - Holy year.jpeg / page 115883526,Stamp of Angola - 1951 - Colnect 167091 - Holy year.jpeg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,640,51,74,22,98,66,62,2,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02681,CAW2026R02681,1965,1930_1970,Bahrain,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Peru - 1965 - Colnect 349882 - Pacific Fair Emblem.jpeg / page 115002041,Stamp of Peru - 1965 - Colnect 349882 - Pacific Fair Emblem.jpeg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,285,36,28,10,68,78,62,32,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,advertisement; design; graphic; visual communication
SURF-CAW2026R02691,CAW2026R02691,1966,1930_1970,Benin,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / BEN 1967 MiNr0324 pm B002a.jpg / page 78262291,BEN 1967 MiNr0324 pm B002a.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,1006,55,80,0,100,78,44,0,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; exhibition; graphic; visual communication
SURF-CAW2026R02181,CAW2026R02181,1945,1930_1970,Bosnia and Herzegovina,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Jugoslavija ustav 2 dinar.png / page 192691643,Jugoslavija ustav 2 dinar.png,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,249,35,24,35,65,66,62,35,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CCT2026R00318,CCT2026R00318,1961,1930_1970,Cameroon,Modern typography and layout,Wikimedia Commons,"Wikimedia Commons file source / Commemorative stamp of the Reunification of Cameroon on October 1, 1961.webp / page 132171363","Commemorative stamp of the Reunification of Cameroon on October 1, 1961.webp",IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,1132,50,80,17,100,66,80,0,stamp_or_philatelic:commemorative; stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02766,CAW2026R02766,1969,1930_1970,Cape Verde,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Rwanda - 1969 - Colnect 699054 - The Moneylender and his Wife by Marinus van Reymerswaele.jpeg / page 115808510,Stamp of Rwanda - 1969 - Colnect 699054 - The Moneylender and his Wife by Marinus van Reymerswaele.jpeg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,349,36,34,10,74,66,62,26,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication
SURF-CAW2026R02113,CAW2026R02113,1942,1930_1970,Croatia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Matija gubec stamp 1942.jpg / page 174384613,Matija gubec stamp 1942.jpg,IMG03,downgrade_to_card_candidate,downgrade_to_card_candidate,accepted_for_preview,high,Stamp/philatelic records should be card evidence unless manually justified as primary design objects.,card_context,190,38,19,47,60,66,44,40,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; visual communication
