year,all_records,object_dated_records,span_or_profile_records
1830,110,110,0
1831,17,17,0
1832,6,6,0
1833,4,4,0
1834,6,6,0
1835,7,7,0
1836,6,6,0
1837,8,8,0
1838,3,3,0
1839,4,4,0
1840,24,24,0
1841,16,16,0
1842,19,19,0
1843,5,5,0
1844,6,6,0
1845,8,8,0
1846,61,61,0
1847,112,112,0
1848,64,64,0
1849,8,8,0
1850,57,57,0
1851,9,9,0
1852,7,7,0
1853,11,11,0
1854,14,14,0
1855,3,3,0
1856,11,11,0
1857,12,12,0
1858,6,6,0
1859,9,9,0
1860,18,18,0
1861,7,7,0
1862,18,18,0
1863,35,35,0
1864,18,18,0
1865,43,43,0
1866,16,16,0
1867,21,21,0
1868,8,8,0
1869,20,20,0
1870,43,43,0
1871,12,12,0
1872,12,12,0
1873,8,8,0
1874,46,46,0
1875,12,12,0
1876,6,6,0
1877,21,21,0
1878,11,11,0
1879,45,45,0
1880,57,57,0
1881,52,52,0
1882,35,35,0
1883,46,46,0
1884,20,20,0
1885,49,49,0
1886,27,27,0
1887,78,78,0
1888,26,26,0
1889,65,65,0
1890,90,90,0
1891,37,37,0
1892,31,31,0
1893,29,29,0
1894,37,37,0
1895,55,55,0
1896,45,45,0
1897,52,52,0
1898,47,47,0
1899,70,70,0
1900,178,178,0
1901,43,43,0
1902,56,56,0
1903,81,81,0
1904,24,24,0
1905,58,58,0
1906,96,96,0
1907,49,49,0
1908,27,27,0
1909,53,53,0
1910,78,78,0
1911,73,73,0
1912,53,53,0
1913,53,53,0
1914,104,104,0
1915,55,55,0
1916,46,46,0
1917,94,94,0
1918,134,134,0
1919,124,124,0
1920,155,155,0
1921,59,59,0
1922,66,66,0
1923,62,62,0
1924,69,69,0
1925,129,129,0
1926,33,33,0
1927,101,101,0
1928,67,67,0
1929,83,83,0
1930,232,232,0
1931,121,121,0
1932,132,132,0
1933,84,84,0
1934,84,84,0
1935,186,186,0
1936,232,232,0
1937,145,145,0
1938,158,158,0
1939,175,175,0
1940,330,330,0
1941,160,160,0
1942,185,185,0
1943,160,160,0
1944,202,202,0
1945,108,108,0
1946,65,65,0
1947,64,64,0
1948,118,118,0
1949,190,190,0
1950,180,180,0
1951,82,82,0
1952,171,171,0
1953,112,112,0
1954,73,73,0
1955,86,86,0
1956,53,53,0
1957,122,122,0
1958,59,59,0
1959,65,65,0
1960,135,135,0
1961,70,70,0
1962,76,76,0
1963,90,90,0
1964,75,75,0
1965,125,125,0
1966,113,113,0
1967,129,129,0
1968,127,127,0
1969,150,150,0
1970,344,344,0
1971,289,289,0
1972,221,221,0
1973,175,175,0
1974,385,385,0
1975,207,207,0
1976,176,176,0
1977,122,122,0
1978,78,78,0
1979,570,570,0
1980,123,123,0
1981,51,51,0
1982,45,45,0
1983,65,65,0
1984,61,61,0
1985,83,83,0
1986,46,46,0
1987,54,54,0
1988,125,125,0
1989,66,66,0
1990,117,117,0
1991,75,75,0
1992,95,95,0
1993,93,93,0
1994,88,88,0
1995,101,101,0
1996,88,88,0
1997,94,94,0
1998,111,111,0
1999,106,106,0
2000,83,83,0
2001,92,92,0
2002,65,65,0
2003,57,57,0
2004,75,75,0
2005,96,96,0
2006,101,101,0
2007,127,127,0
2008,171,171,0
2009,126,126,0
2010,186,186,0
2011,377,377,0
2012,273,273,0
2013,516,516,0
2014,414,414,0
2015,192,192,0
2016,220,220,0
2017,253,253,0
2018,226,226,0
2019,190,190,0
2020,249,249,0
2021,232,232,0
2022,233,233,0
2023,260,260,0
2024,166,166,0
2025,230,230,0
2026,820,106,714
