metric,value
records_captured,4544
distinct_active_source_names,4544
category_failures,1258
visited_categories,4716
queued_categories,4716
target_rows,5000
target_met,false
minimum_source_derived_text_length,119
median_source_derived_text_length,313
year_2026_count,6
year_2026_rate,0.13
image_state:IMG03,4544
period:2000_2026,1700
period:1930_1970,1200
period:1970_2000,844
period:pre_1930,800
macro_region:Africa,819
macro_region:Latin America,800
macro_region:Middle East and North Africa,650
macro_region:Southeast Asia,605
macro_region:Eastern Europe,450
macro_region:South Asia,338
macro_region:Central Asia,320
macro_region:Oceania,307
macro_region:East Asia,255
country:Latin America / Caribbean / Bolivia,300
country:Southeast Asia / Indonesia,300
country:Africa / Algeria,276
country:Central Asia / Kazakhstan,274
country:South Asia / India,261
country:Middle East and North Africa / Iran,227
country:Middle East and North Africa / Iraq,222
country:Latin America / Caribbean / Brazil,152
country:Oceania / Pacific / Aotearoa New Zealand,152
country:Southeast Asia / Philippines,142
country:Oceania / Pacific / Australia / Indigenous,105
country:Eastern Europe / Caucasus / Romania,102
country:East Asia / China,100
country:Africa / Morocco,98
country:Middle East and North Africa / Turkey,96
country:Africa / South Africa,83
country:East Asia / Korea,80
country:Eastern Europe / Caucasus / Azerbaijan,80
country:Africa / Kenya,73
country:Eastern Europe / Caucasus / Ukraine,72
country:Southeast Asia / Vietnam,71
country:Latin America / Caribbean / Mexico,68
country:South Asia / Pakistan,60
country:Eastern Europe / Caucasus / Poland,57
country:Latin America / Caribbean / Cuba,57
country:Southeast Asia / Malaysia,53
country:Latin America / Caribbean / Uruguay,52
country:Eastern Europe / Caucasus / Serbia,51
country:Africa / Zimbabwe,50
country:Eastern Europe / Caucasus / Croatia,45
country:Latin America / Caribbean / Peru,45
country:Latin America / Caribbean / Colombia,43
country:Africa / Tunisia,42
country:Middle East and North Africa / Palestine,41
country:Africa / Egypt,40
country:East Asia / Hong Kong,40
country:Africa / Angola,38
country:East Asia / Taiwan,35
country:Latin America / Caribbean / Venezuela,33
country:Africa / Tanzania,30
country:Middle East and North Africa / Jordan,30
country:Oceania / Pacific / Papua New Guinea,30
country:Central Asia / Uzbekistan,28
country:Africa / Nigeria,27
country:Middle East and North Africa / Lebanon,25
reject:macro_cap,11928
reject:base_filter,11110
reject:weak_graphic_evidence,3770
reject:period_cap,3389
reject:duplicate,2169
reject:country_cap,2056
reject:reject_non_graphic_object,201
