gate,value,status,requirement,note
sqlite_integrity,ok,PASS,ok,v48 explicit LOC object-place repair
active_object_count,15923,PASS,15923,v48 explicit LOC object-place repair
unresolved_region_active,0,PASS,0,v48 explicit LOC object-place repair
authority_uncertain_active_leak,0,PASS,0,v48 explicit LOC object-place repair
trace_unlinked_active,0,PASS,0,v48 explicit LOC object-place repair
accepted_trace_without_indexed_edges,0,PASS,0,v48 explicit LOC object-place repair
influence_edges,0,PASS,0,v48 explicit LOC object-place repair
filename_extension_titles,0,PASS,0,v48 explicit LOC object-place repair
trace_adjunct_active_leak,0,PASS,0,v48 explicit LOC object-place repair
trace_adjunct_count,11,PASS,11,v48 explicit LOC object-place repair
aic_unstable_direct_display_routes,0,PASS,0,v48 explicit LOC object-place repair
aic_source_viewer_only_objects,2,PASS,2,v48 explicit LOC object-place repair
loc_geo_repair_edges,18,PASS,18,v48 explicit LOC object-place repair
