strategy_id,source_category,rights_signal,ingest_policy,display_policy,review_required,citation_required,attrib_required,thumbnail_allowed,full_image_allowed,iiif_embed_allowed,notes
RS001,Open-access museum APIs,CC0 / Public Domain Mark / explicit unrestricted OA,metadata + image URL + derivative-safe flag,full image allowed,no for flagged records,yes,recommended,yes,yes,yes if available,Store rights URI and OA flag per record; do not infer openness for unflagged records.
RS002,Reuse-licensed records,CC BY / CC BY-SA / other explicit reuse license,metadata + image URL + attribution fields,full image allowed with required credit,yes for license compatibility,yes,yes,yes,yes with license conditions,yes if license travels with manifest,"Preserve license label, URI, attribution text, and source link."
RS003,RightsStatements.org NoC-* records,No known copyright / related RightsStatements.org URI,metadata + source image URL,full image only if statement permits and source terms align,yes,yes,recommended,yes if source permits,conditional,conditional,RightsStatements.org labels help but do not replace provider terms.
RS004,Mixed-rights museum APIs,InC / InC-OW-EU / unknown / proprietary notice,metadata + source link + optional thumbnail pointer,no full image; manual review,yes,yes,yes if displayed,conditional,no by default,conditional,Never infer image reuse from public record visibility.
RS005,Aggregators returning partner links,aggregator metadata plus provider rights field,metadata only + provider link,link to provider unless object-level rights verified,yes for media display,yes,yes,conditional,no by default,conditional,Aggregator metadata may be open while partner objects are not.
RS006,IIIF endpoints,manifest rights / requiredStatement / provider fields,manifest URL + metadata + rights fields,IIIF/embed only unless reuse rights are clear,yes,yes,yes,conditional,conditional,yes if provider allows,"IIIF is a presentation layer, not a discovery substitute."
RS007,Community archives and crowdsourced archives,contributor/rights-holder complexity,link only or metadata only,manual review required for image reuse,yes,yes,yes,no by default,no by default,conditional,"Respect privacy, community protocols, and contributor rights."
RS008,Special collections without explicit licenses,no clear reuse license,link only + holding/finding-aid metadata,no image display without permission,yes,yes,yes,no by default,no,conditional,Index holdings and reading-room info; request permissions case by case.
RS009,Social/web captures,archived URL / capture timestamp / platform terms,URL + capture timestamp + archive source metadata,link only unless archive provides lawful embed/thumbnail,yes,yes,yes,conditional,no by default,not typical,"Store viewport, version, and capture context where available."
RS010,Font software / downloadable digital assets,licensed product or software asset,metadata only,do not ingest binaries; link to source/specimen,yes,yes,yes,conditional,no by default,no,"Catalog names, foundries, versions, and specimens; never copy font binaries without permission."
