metric,value,notes
surfaces_scanned,16175,Candidate payload surfaces scanned.
packet_candidates,2259,Candidate packets generated by strict relation rules.
surfaces_in_candidate_packets,10785,Surfaces with at least one packet relation.
surfaces_without_packet_relation,5390,Singletons or records lacking strict relation signal.
recommended_role:subsheet_or_card_review,4906,Surface-level packetization recommendation.
recommended_role:card_or_appendix_candidate,3876,Surface-level packetization recommendation.
recommended_role:subsheet_candidate,3735,Surface-level packetization recommendation.
recommended_role:card,1944,Surface-level packetization recommendation.
recommended_role:main_sheet_manual_review,668,Surface-level packetization recommendation.
recommended_role:main_sheet_anchor_candidate,502,Surface-level packetization recommendation.
recommended_role:appendix_or_subsheet,492,Surface-level packetization recommendation.
recommended_role:main_sheet_review,52,Surface-level packetization recommendation.
packet_action:manual_packet_or_card_review,1253,Packet-level recommended action.
packet_action:demote_parallel_mains_to_subsheet_cluster,511,Packet-level recommended action.
packet_action:promote_one_main_anchor_demote_members_to_subsheets,428,Packet-level recommended action.
packet_action:packet_review_only,46,Packet-level recommended action.
packet_action:hold_as_support_or_editorial_review,21,Packet-level recommended action.
packet_confidence:medium,1011,Packet confidence distribution.
packet_confidence:high,782,Packet confidence distribution.
packet_confidence:low,466,Packet confidence distribution.
