hardening_id,suggestion_id,surface_id,source_record_id,current_label,suggested_label,suggested_region_id,suggested_geo_id,action_status,sample_required_before_mutation,automatic_archive_mutation,blocking_flags,advisory_flags,primary_country_labels,secondary_country_labels,suggested_in_primary_evidence,suggested_in_secondary_evidence,current_in_primary_evidence,years_found,source_family,source_family_cluster_size,title,source_name,place_text,source_subjects,evidence
RG-HARDEN-0001,RGE-SCORE-00222,SURF-CGS2026R0032,CGS2026R0032,France,Argentina,REG004,GEO031,quarantine_manual_review,true,false,other_country_present_in_title_source_url:Italy,pre_1992_sample_required; commons_metadata_sample_required,Argentina; Italy,Argentina,true,true,false,1850; 1900,wikimedia_commons,84,"Drawing, Project for a ceiling painting of the Argentina Theater in Rome- Venus, 1850–1900 (CH 18550329).jpg","Wikimedia Commons file source / Drawing, Project for a ceiling painting of the Argentina Theater in Rome- Venus, 1850–1900 (CH 18550329).jpg / page 64407332",Latin America / Argentina,Latin America; Argentina; graphic design;,Latin America / Argentina Latin America; Argentina; graphic design;
RG-HARDEN-0002,RGE-SCORE-00228,SURF-CGS2026R0036,CGS2026R0036,Brazil,Argentina,REG004,GEO031,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url; stamp_issuer_conflicts_with_suggested_label,pre_1992_sample_required; commons_metadata_sample_required,Brazil,Argentina,false,true,true,1815; 1877; 1954,wikimedia_commons,84,Stamp of Brazil - 1954 - Colnect 207822 - Zacarias de Góis and Vasconcellos 1815-1877.jpeg,Wikimedia Commons file source / Stamp of Brazil - 1954 - Colnect 207822 - Zacarias de Góis and Vasconcellos 1815-1877.jpeg / page 98467018,Latin America / Argentina,Latin America; Argentina; stamp;,Latin America / Argentina Latin America; Argentina; stamp;
RG-HARDEN-0004,RGE-SCORE-00235,SURF-CGS2026R0058,CGS2026R0058,United States,Argentina,REG004,GEO031,quarantine_manual_review,true,false,suggested_absent_from_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,,Argentina,false,true,false,1900,wikimedia_commons,84,"Almanaque Sud-Americano para 1900 book cover detail, from- BaANH49565 Almanaque Sud-Americano (1900) (page 1 crop).jpg","Wikimedia Commons file source / Almanaque Sud-Americano para 1900 book cover detail, from- BaANH49565 Almanaque Sud-Americano (1900) (page 1 crop).jpg / page 87563193",Latin America / Argentina,Latin America; Argentina; book cover;,Latin America / Argentina Latin America; Argentina; book cover;
RG-HARDEN-0005,RGE-SCORE-00237,SURF-CGS2026R0075,CGS2026R0075,United States,Argentina,REG004,GEO031,quarantine_manual_review,true,false,suggested_absent_from_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,,Argentina,false,true,false,1900,wikimedia_commons,84,"Women in 1900 art, Almanaque Sud-Americano para 1900 book cover detail, from- BaANH49565 Almanaque Sud-Americano (1900) (page 1 crop) (cropped).jpg","Wikimedia Commons file source / Women in 1900 art, Almanaque Sud-Americano para 1900 book cover detail, from- BaANH49565 Almanaque Sud-Americano (1900) (page 1 crop) (cropped).jpg / page 87563397",Latin America / Argentina,Latin America; Argentina; book cover;,Latin America / Argentina Latin America; Argentina; book cover;
RG-HARDEN-0007,RGE-SCORE-00242,SURF-CGS2026R0121,CGS2026R0121,Germany,Argentina,REG004,GEO031,quarantine_manual_review,true,false,suggested_absent_from_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,,Argentina,false,true,false,1916,wikimedia_commons,84,Nosotros - Marzo 1916 (cover).png,Wikimedia Commons file source / Nosotros - Marzo 1916 (cover).png / page 158572377,Latin America / Argentina,Latin America; Argentina; magazine cover;,Latin America / Argentina Latin America; Argentina; magazine cover;
RG-HARDEN-0008,RGE-SCORE-00308,SURF-CGS2026R0188,CGS2026R0188,United States,Argentina,REG004,GEO031,quarantine_manual_review,true,false,suggested_absent_from_title_source_url,pre_1992_sample_required; commons_metadata_sample_required,,Argentina,false,true,false,1951,wikimedia_commons,84,Flickr - bastique - Eva Peron autobiography.jpg,Wikimedia Commons file source / Flickr - bastique - Eva Peron autobiography.jpg / page 7927162,Latin America / Argentina,Latin America; Argentina; book cover;,Latin America / Argentina Latin America; Argentina; book cover;
RG-HARDEN-0009,RGE-SCORE-00309,SURF-CGS2026R0197,CGS2026R0197,Brazil,Argentina,REG004,GEO031,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url; stamp_issuer_conflicts_with_suggested_label,pre_1992_sample_required; commons_metadata_sample_required,Brazil,Argentina,false,true,true,1954,wikimedia_commons,84,Stamp of Brazil - 1954 - Colnect 192275 - 2 - Growth of Sao Paulo - back.jpeg,Wikimedia Commons file source / Stamp of Brazil - 1954 - Colnect 192275 - 2 - Growth of Sao Paulo - back.jpeg / page 98466913,Latin America / Argentina,Latin America; Argentina; stamp;,Latin America / Argentina Latin America; Argentina; stamp;
RG-HARDEN-0010,RGE-SCORE-00310,SURF-CGS2026R0198,CGS2026R0198,Brazil,Argentina,REG004,GEO031,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url; stamp_issuer_conflicts_with_suggested_label,pre_1992_sample_required; commons_metadata_sample_required,Brazil,Argentina,false,true,true,1954,wikimedia_commons,84,Stamp of Brazil - 1954 - Colnect 192286 - Sao Jose College Rio de Janeiro.jpeg,Wikimedia Commons file source / Stamp of Brazil - 1954 - Colnect 192286 - Sao Jose College Rio de Janeiro.jpeg / page 98466966,Latin America / Argentina,Latin America; Argentina; stamp;,Latin America / Argentina Latin America; Argentina; stamp;
RG-HARDEN-0011,RGE-SCORE-00311,SURF-CGS2026R0199,CGS2026R0199,Brazil,Argentina,REG004,GEO031,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; current_label_present_in_title_source_url; stamp_issuer_conflicts_with_suggested_label,pre_1992_sample_required; commons_metadata_sample_required,Brazil,Argentina,false,true,true,1954,wikimedia_commons,84,Stamp of Brazil - 1954 - Colnect 192288 - Apolonia Pinto actress.jpeg,Wikimedia Commons file source / Stamp of Brazil - 1954 - Colnect 192288 - Apolonia Pinto actress.jpeg / page 98466974,Latin America / Argentina,Latin America; Argentina; stamp;,Latin America / Argentina Latin America; Argentina; stamp;
RG-HARDEN-0012,RGE-SCORE-00316,SURF-CGS2026R0235,CGS2026R0235,United Kingdom,Argentina,REG004,GEO031,quarantine_manual_review,true,false,suggested_absent_from_title_source_url; other_country_present_in_title_source_url:Italy; stamp_issuer_conflicts_with_suggested_label,pre_1992_sample_required; commons_metadata_sample_required,Italy,Argentina,false,true,false,1965,wikimedia_commons,84,Stamp of Ajman - 1965 - Colnect 679409 - Stamp of Tuscany - Elizabeth catalogue of 1965.jpeg,Wikimedia Commons file source / Stamp of Ajman - 1965 - Colnect 679409 - Stamp of Tuscany - Elizabeth catalogue of 1965.jpeg / page 115652909,Latin America / Argentina,Latin America; Argentina; stamp;,Latin America / Argentina Latin America; Argentina; stamp;
