region_group,surface_count,main_sheet_count,quality_main_count,source_visible_count,desired_surface_target,surface_balance_rate,quality_main_balance_rate
Africa,0,0,0,0,750,0.00,0.00
Algeria,14,14,8,12,250,5.60,3.20
Aotearoa New Zealand,186,152,33,182,250,74.40,13.20
Argentina,425,423,143,424,250,100.00,57.20
Armenia,10,10,0,10,250,4.00,0.00
Australia,89,87,8,83,250,35.60,3.20
Azerbaijan,2,2,0,2,250,0.80,0.00
Bangladesh,58,58,11,57,250,23.20,4.40
Belgium,3,2,1,3,250,1.20,0.40
Bolivia,10,10,0,10,250,4.00,0.00
Brazil,334,331,187,330,250,100.00,74.80
Bulgaria,16,16,0,16,250,6.40,0.00
Chile,99,98,48,96,250,39.60,19.20
China,50,45,4,46,250,20.00,1.60
Colombia,291,291,94,288,250,100.00,37.60
Cuba,6,6,0,5,250,2.40,0.00
East Asia,0,0,0,0,750,0.00,0.00
Eastern Europe,0,0,0,0,650,0.00,0.00
Eastern Europe / Caucasus,0,0,0,0,650,0.00,0.00
Egypt,40,40,13,39,250,16.00,5.20
Ethiopia,1,1,0,0,250,0.40,0.00
Europe,0,0,0,0,550,0.00,0.00
France,297,290,28,294,250,100.00,11.20
Georgia,122,122,17,121,250,48.80,6.80
Germany,54,53,23,52,250,21.60,9.20
Ghana,24,23,2,18,250,9.60,0.80
Global,0,0,0,0,400,0.00,0.00
Global / web / transnational,0,0,0,0,400,0.00,0.00
India,77,73,61,69,250,30.80,24.40
Indonesia,479,476,368,475,250,100.00,100.00
Iran,160,159,30,159,250,64.00,12.00
Iraq,79,79,4,78,250,31.60,1.60
Italy,142,140,116,140,250,56.80,46.40
Japan,28,13,6,18,250,11.20,2.40
Kazakhstan,50,50,1,49,250,20.00,0.40
Kenya,28,28,0,26,250,11.20,0.00
Korean Peninsula,51,46,3,48,250,20.40,1.20
Kyrgyzstan,1,1,0,1,250,0.40,0.00
Latin America,31,31,2,16,850,3.65,0.24
Latin America and the Caribbean,0,0,0,0,850,0.00,0.00
Lebanon,15,14,1,9,250,6.00,0.40
Malaysia,27,27,1,19,250,10.80,0.40
Mexico,492,490,308,485,250,100.00,100.00
Middle East and North Africa,0,0,0,0,750,0.00,0.00
Morocco,5,5,0,5,250,2.00,0.00
Nepal,23,22,0,22,250,9.20,0.00
Netherlands,6,6,1,6,250,2.40,0.40
Nigeria,73,73,2,67,250,29.20,0.80
North America,0,0,0,0,450,0.00,0.00
Oceania and Pacific,0,0,0,0,450,0.00,0.00
Pakistan,29,29,1,26,250,11.60,0.40
Palestine,25,24,3,25,250,10.00,1.20
Peru,110,110,34,109,250,44.00,13.60
Philippines,79,75,5,75,250,31.60,2.00
Poland,6,6,0,5,250,2.40,0.00
Romania,27,27,9,25,250,10.80,3.60
Russia,25,18,4,18,250,10.00,1.60
Senegal,4,4,0,3,250,1.60,0.00
Singapore,33,25,8,27,250,13.20,3.20
South Africa,57,49,5,41,250,22.80,2.00
South Asia,0,0,0,0,750,0.00,0.00
South Korea,2,2,0,1,250,0.80,0.00
Southeast Asia,0,0,0,0,800,0.00,0.00
Sri Lanka,1,1,0,1,250,0.40,0.00
Switzerland,11,11,5,10,250,4.40,2.00
Taiwan,56,54,0,55,250,22.40,0.00
Tajikistan,1,1,0,0,250,0.40,0.00
Tanzania,5,5,0,4,250,2.00,0.00
Thailand,14,9,1,12,250,5.60,0.40
Turkey,44,44,4,44,250,17.60,1.60
Turkmenistan,1,1,0,0,250,0.40,0.00
Ukraine,99,95,0,97,250,39.60,0.00
United Kingdom,129,118,35,112,250,51.60,14.00
United States,278,254,93,261,250,100.00,37.20
Unresolved region,3613,3526,1460,3524,250,100.00,100.00
Uruguay,20,20,0,19,250,8.00,0.00
Uzbekistan,37,37,0,36,250,14.80,0.00
Venezuela,5,5,0,3,250,2.00,0.00
Vietnam,27,22,13,22,250,10.80,5.20
Western/Central Europe,0,0,0,0,550,0.00,0.00
