cluster_key,cluster_size,region,theme,source_name,decade,dominant_lane,sample_titles
France|Midcentury modern graphic communication|Gallica / BnF APIs|1920s,35,France,Midcentury modern graphic communication,Gallica / BnF APIs,1920s,keep_main_anchor_candidate,"La publicité industrielle / par Octave-Jacques Gérin,... | Art et Action...Le Partage du midi de Paul Claudel... : [affiche] / bois gravé par Orloff Chana | Théâtre national de l'Opéra. Samedi 24 décembre 1921... 1ère représentation à ce théâtre. Hérodiade, opéra en 4 actes et 7 tableaux de MM. Paul Milliet et H. Grémont. Musique de Massenet, décors de M.G. Mouveau : [affiche typographique] | Art et Action présente... le vendredi 1er décembre [1922]... Panharmonie orphique, drame simultané de H.-M. Barzun... Terre poème dancing de R. Chomette... : [affiche] / bois gravé par [Claude Autant-Lara] | Liluli, de Romain Rolland sera représentée au studio d'Art et Action... le samedi 30 décembre 19"
"Turkey|World War and public-information graphics|Wikimedia Commons file source / Petroxestes pera bivalve borings on limestone hardground (Turkey Track Layer, Waynesville Formation, Upper Ordovician; Caesar Creek Lake's emergency spillway, Warren County, Ohio, USA)...|1980s",28,Turkey,World War and public-information graphics,"Wikimedia Commons file source / Petroxestes pera bivalve borings on limestone hardground (Turkey Track Layer, Waynesville Formation, Upper Ordovician; Caesar Creek Lake's emergency spillway, Warren County, Ohio, USA)...",1980s,support_or_card_review,"Petroxestes pera bivalve borings on limestone hardground (Turkey Track Layer, Waynesville Formation, Upper Ordovician; Caesar Creek Lake's emergency spillway, Warren County, Ohio, USA) 1.jpg | Petroxestes pera bivalve borings on limestone hardground (Turkey Track Layer, Waynesville Formation, Upper Ordovician; Caesar Creek Lake's emergency spillway, Warren County, Ohio, USA) 10.jpg | Petroxestes pera bivalve borings on limestone hardground (Turkey Track Layer, Waynesville Formation, Upper Ordovician; Caesar Creek Lake's emergency spillway, Warren County, Ohio, USA) 11.jpg | Petroxestes pera bivalve borings on limestone hardground (Turkey Track Layer, Waynesville Formation, Upper Ordovician; "
France|Midcentury modern graphic communication|Gallica / BnF APIs|1880s,21,France,Midcentury modern graphic communication,Gallica / BnF APIs,1880s,keep_main_anchor_candidate,"Plus de dos ronds. Breveté [...], 134 rue de Rivoli, 134, Bretelle américaine. : [affiche] / F. Ménétrier lith. | Théâtre des fixions : [estampe] ([1er état, avec le texte typographié]) / R, [Félicien Rops] | Le Cercle de la librairie, de l'imprimerie, de la papeterie, du commerce de la musique et des estampes : notice historique et descriptive | Catalogue de livres anciens, livres modernes, gravures anciennes, gravures modernes de tous styles et de toutes époques, décorations, architecture, fêtes publiques, orfèvrerie, meubles, bronzes, ornements, costumes, typographie, etc. suite | Noir et blanc (Paris. 1883)"
France|Midcentury modern graphic communication|Gallica / BnF APIs|1930s,20,France,Midcentury modern graphic communication,Gallica / BnF APIs,1930s,keep_main_anchor_candidate,La Publicité (Paris) | [Croisement de routes et publicité murale] | Arts et métiers graphiques (Paris) | Le second Faust de Goethe. Théâtre du Livre... Art et Action. [traduction de Gérard de Nerval] : [affiche] / bois gravé par [Joé Chaine] | Sanatorium de Ribémont-Dessaignes à Art et Action. 3 actes. : [affiche] / bois gravé par Joseph Sima
Aotearoa New Zealand|Postwar exhibition and cultural posters|Te Papa Collections Online|1980s,12,Aotearoa New Zealand,Postwar exhibition and cultural posters,Te Papa Collections Online,1980s,keep_main_anchor_candidate,"'Poor & Ignored' poster | Poster, 'Stop French N Tests' | Poster, 'The 50 Guilty People' | Poster, 'Nuclear Free Independent Pacific' | Poster, 'June 28 No Tour Friday'"
Aotearoa New Zealand|World War and public-information graphics|Te Papa Collections Online|1940s,12,Aotearoa New Zealand,World War and public-information graphics,Te Papa Collections Online,1940s,keep_main_anchor_candidate,"'You are helping by carrying your shopping' poster | 'You are helping by walking short distances' poster | Poster, 'The Enemy Listens' | Poster, 'War traffic comes first' | Poster, 'there's a MAN'S job to be done'"
Global / transnational|Midcentury modern graphic communication|Internet Archive / text and periodical collections|2010s,11,Global / transnational,Midcentury modern graphic communication,Internet Archive / text and periodical collections,2010s,support_or_card_review,Maximum Rocknroll 166 (1997 Mar) | Maximum Rocknroll 198 (1999 Nov) | Koleksi Zine Punk Rock | Future Sex - Issue 05 | HTML5 and CSS3 Responsive Web Design Cookbook.pdf (PDFy mirror)
Malaysia|Midcentury modern graphic communication|Malaysia Design Archive|2020s,10,Malaysia,Midcentury modern graphic communication,Malaysia Design Archive,2020s,needs_packet_subsheet_assignment,A Force More Powerful | Ayu Bersama Kita Cipta Sejarah Baru Kebangkitan Mahasiswa | Buruh Bersatu Tak Bisa Dikalahkan! | In Solidarity With UK Students | Kuasa Kepada Rakyat
Australia / Indigenous|Postwar exhibition and cultural posters|NAIDOC Poster Gallery|1980s,9,Australia / Indigenous,Postwar exhibition and cultural posters,NAIDOC Poster Gallery,1980s,keep_main_anchor_candidate,NAIDOC 1980 Poster | NAIDOC 1981 Poster | NAIDOC 1982 Poster | NAIDOC 1983 Poster | NAIDOC 1984 Poster
Aotearoa New Zealand|World War and public-information graphics|Te Papa Collections Online|1980s,8,Aotearoa New Zealand,World War and public-information graphics,Te Papa Collections Online,1980s,keep_main_anchor_candidate,"Poster, 'Hiroshima Day March' | Trident missile poster | Poster, 'The World According to Ronald Reagan' | Poster, 'Protest and Survive' | Poster, ""We begin bombing in five minutes"""
