recommended_set_id,scope_cell_id,recommended_six_target_ingest_set
SRSET001,C01 Bauhaus,Bayer Bauhaus Exhibition; Joost Schmidt Bauhaus poster route; Kandinsky-at-Bauhaus poster route; Bayer Exhibition of European Architecture; Met Bauhaus book record; Bauhaus Dessau collection route. [110]
SRSET002,C02 Polish Poster School,Poster Museum at Wilanów overview; Henryk Tomaszewski virtual route; Jan Lenica virtual route; MNW digital poster route; MoMA Polish poster route; Warsaw museum collection route. [111]
SRSET003,C03 IBM corporate design,"Rand Memorandum Sheet, IBM; Smithsonian Vision/Mission route; Smithsonian Resource Management route; Smithsonian Eye-Bee-M route; IBM history/design route; MoMA/RIT IBM design route. [112]"
SRSET004,C04 Taller de Gráfica Popular,"LOC Día internacional de la mujer; LOC doce años book; LOC Grabados del Taller portfolio; Mia The Incident; MoMA Peasants; MoMA Nazism, 9th Lecture. [113]"
SRSET005,C05 BRP / Chile,"Memoria Chilena BRP minisitio; BND Murales Brigada Ramona Parra; BND Contra la dictadura; BND Jóvenes... pintando murallas; Memoria Chilena Mural de la BRP; Memoria Chilena Estadio Nacional, 1972. [114]"
SRSET006,C06 WoDeCo / Japan,NDL proceedings; NDL authority; bibliography article on Japanese ID/WoDeCo; Hosoya び exhibition page; 1960 report search-path; 1989 official report. [115]
SRSET007,C07 Shanghai Sketch / yuefenpai,IA issue 31; IA issue 97; British Museum yuefenpai; HKU calendar poster; Fukuoka Asian Art Museum calendar poster; DDB yuefenpai. [116]
SRSET008,C08 Minjung / Kwangju / Korea,MMCA 민중미술 15년; MMCA 민족해방운동사 그림전 poster; MMCA Choi Yul series; KDF 한국민중판화모음전; KDF 광주의거자료집2; KDF 5월 광주 / 봉선화 search-path stub. [117]
SRSET009,C09 Singapore multilingual signs/logos,Jalan Pisang sign; River Valley Road sign; River Valley Road in Mandarin; Lion’s head symbol; A&W logo glass; Ong Sam Yong logo saucer. [118]
SRSET010,C10 NID India,History of NID; NID Archives portal; Young Designers archive route; Alpavirama 2014; Alpavirama 2018; NID annual report with archives note. [119]
SRSET011,C11 Iranian poster design,Cooper Tehran Touch; Cooper Post Past; Poster House Contemporary Iran; Poster House Iranian Typography; Poster House Ali Vazirian; Poster House Ebrahim Haghighi route. [120]
SRSET012,C12 Medu / South Africa,Wits Medu cultural work portal; Wits Medu cards; SAHA Medu posters: Images from exile; SAHA Heroes-Day; SAHA Now You Have Touched the Women...; SAHA Women Arise. [121]
SRSET013,C13 NAIDOC / Indigenous Australia,AIATSIS NAIDOC posters collection; official NAIDOC poster gallery; NAIDOC history; AIATSIS collection portal; AIATSIS collection search; AIATSIS annual-report note on NAIDOC posters. [122]
SRSET014,C14 Gran Fury / ACT UP,PAD/D finding aid; PAD/D Gran Fury section; PAD/D AIDS section citing Read My Lips; MoMA AIDS crisis article; Nightclubbing; Lola Flash artist page. [123]
SRSET015,C15 Early web / CSS / GeoCities,"W3C CSS1 rec; W3C CSS1 press release; W3C CSS history; GeoCities Special Collection; GeoCities, Preserved!; archived GeoCities home page snapshot. [124]"
