metric,value,notes
scope,non_mutating_cover_editorial_packet_sandbox,"No official payload rebuild, frontend mirror write, image download, rights/source-authority change, or role application."
cover_editorial_seed_ready_packets,4,Only cover_editorial_seed_ready clusters from the high-priority seed plan.
sandbox_packet_rows,4,Cover/editorial sandbox rows.
tree_rows,26,"Sandbox cover, normal-main candidate, and sub/card candidate nodes."
text_outline_rows,16,"Reading note, editorial, uncertainty, and exclusion outline rows."
card_candidate_count_from_plan,2,Card pressure reported by seed plan; copied seed rows do not apply card roles.
card_pressure_review_rows,2,Wider role-queue card-pressure rows exposed for human review; no card role applied.
manual_review_ready_packets,4,Can enter human cover/editorial sandbox review.
official_rebuild_ready_packets,0,Official rebuild remains blocked until manual review and future payload pass.
node_type:card_pressure_review_candidate,2,Sandbox tree node distribution.
node_type:cover_main_sandbox_draft,4,Sandbox tree node distribution.
node_type:normal_main_candidate,4,Sandbox tree node distribution.
node_type:packet_member_or_card_candidate,12,Sandbox tree node distribution.
node_type:sub_sheet_candidate,4,Sandbox tree node distribution.
source_family:Library of Congress,1,Sandbox packet source-family distribution.
source_family:Te Papa,2,Sandbox packet source-family distribution.
source_family:Wikimedia Commons,1,Sandbox packet source-family distribution.
image_state:IMG00,1,Copied seed candidate image-state distribution.
image_state:IMG01,4,Copied seed candidate image-state distribution.
image_state:IMG02,9,Copied seed candidate image-state distribution.
image_state:IMG03,6,Copied seed candidate image-state distribution.
