surface_id,capture_id,year,period_band,five_year_bucket,region,theme,source_family,source_name,title,image_state,source_text_chars,generated_text_chars,total_text_chars,cluster_key,cluster_size,dossier_text_pages,dossier_support_pages,compound_children,anchor_strength_score,source_depth_score,relation_density_score,text_depth_score,design_object_confidence_score,risk_pressure_score,region_scarcity_score,period_value_score,editorial_need_score,overall_research_anchor_score,risk_flags,positive_flags,recommended_next_action,action_confidence,action_reason,sample_priority,calibration_question,review_status,reviewer_notes
SURF-ER1830R018,ER1830R018,1880,pre_1930,1880-1884,Unresolved region,Midcentury modern graphic communication,Library of Congress,Library of Congress loc.gov API,[Pearsall Photography Studio trade card],IMG04,593,2045,2638,Unresolved region|Midcentury modern graphic communication|Library of Congress|1880-1884,4,1,1,0,42,74,27,94,0,12,70,0,6,42,source_register:catalog record,,convert_to_text_or_appendix,medium,Source/register evidence should become text or appendix rather than object main.,53,"Should this evidence become text, appendix, or source register?",pending,
SURF-CCT2026R00413,CCT2026R00413,1966,1930_1970,1965-1969,Africa,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp-kenya1966-ant-bear.jpeg / page 69787732,Stamp-kenya1966-ant-bear.jpeg,IMG03,238,2675,2913,Kenya|Modern typography and layout|Wikimedia Commons|1965-1969,8,1,1,0,34,23,47,64,66,62,36,0,36,34,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,158,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R02743,CAW2026R02743,1968,1930_1970,1965-1969,Albania,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / ALB 1968 MiNr1314A pm B002.jpg / page 67993797,ALB 1968 MiNr1314A pm B002.jpg,IMG03,647,2577,3224,Albania|Modern typography and layout|Wikimedia Commons|1965-1969,3,1,1,0,48,74,22,98,66,82,87,0,2,48,stamp_or_philatelic:commemorative; stamp_or_philatelic:postage; stamp_or_philatelic:stamp; non_design_drift:bird; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,119,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R02323,CAW2026R02323,1951,1930_1970,1950-1954,Angola,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Angola - 1951 - Colnect 167091 - Holy year.jpeg / page 115883526,Stamp of Angola - 1951 - Colnect 167091 - Holy year.jpeg,IMG03,640,2510,3150,Angola|Modern typography and layout|Wikimedia Commons|1950-1954,3,1,1,0,51,74,22,98,66,62,82,0,2,51,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,99,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R02681,CAW2026R02681,1965,1930_1970,1965-1969,Bahrain,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Peru - 1965 - Colnect 349882 - Pacific Fair Emblem.jpeg / page 115002041,Stamp of Peru - 1965 - Colnect 349882 - Pacific Fair Emblem.jpeg,IMG03,285,2642,2927,Bahrain|Modern typography and layout|Wikimedia Commons|1965-1969,3,1,0,0,36,28,10,68,78,62,97,0,32,36,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,advertisement; design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,129,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R02691,CAW2026R02691,1966,1930_1970,1965-1969,Benin,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / BEN 1967 MiNr0324 pm B002a.jpg / page 78262291,BEN 1967 MiNr0324 pm B002a.jpg,IMG03,1006,2557,3563,Benin|Modern typography and layout|Wikimedia Commons|1965-1969,1,1,0,0,55,80,0,100,78,44,96,0,0,55,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; exhibition; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,79,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R02181,CAW2026R02181,1945,1930_1970,1945-1949,Bosnia and Herzegovina,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Jugoslavija ustav 2 dinar.png / page 192691643,Jugoslavija ustav 2 dinar.png,IMG03,249,2604,2853,Bosnia and Herzegovina|Modern typography and layout|Wikimedia Commons|1945-1949,11,1,0,0,35,24,35,65,66,62,74,0,35,35,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,142,Would moving this to card hide any meaningful research path?,pending,
SURF-CCT2026R00318,CCT2026R00318,1961,1930_1970,1960-1964,Cameroon,Modern typography and layout,Wikimedia Commons,"Wikimedia Commons file source / Commemorative stamp of the Reunification of Cameroon on October 1, 1961.webp / page 132171363","Commemorative stamp of the Reunification of Cameroon on October 1, 1961.webp",IMG03,1132,2860,3992,Cameroon|Modern typography and layout|Wikimedia Commons|1960-1964,2,1,1,0,50,80,17,100,66,80,97,0,0,50,stamp_or_philatelic:commemorative; stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,115,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R02766,CAW2026R02766,1969,1930_1970,1965-1969,Cape Verde,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Stamp of Rwanda - 1969 - Colnect 699054 - The Moneylender and his Wife by Marinus van Reymerswaele.jpeg / page 115808510,Stamp of Rwanda - 1969 - Colnect 699054 - The Moneylender and his Wife by Marinus van Reymerswaele.jpeg,IMG03,349,2601,2950,Cape Verde|Modern typography and layout|Wikimedia Commons|1965-1969,3,1,0,0,36,34,10,74,66,62,95,0,26,36,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,123,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R02113,CAW2026R02113,1942,1930_1970,1940-1944,Croatia,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Matija gubec stamp 1942.jpg / page 174384613,Matija gubec stamp 1942.jpg,IMG03,190,2514,2704,Croatia|Modern typography and layout|Wikimedia Commons|1940-1944,12,1,1,0,38,19,47,60,66,44,84,0,40,38,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,144,Would moving this to card hide any meaningful research path?,pending,
SURF-CAW2026R02569,CAW2026R02569,1960,1930_1970,1960-1964,Democratic Republic of the Congo,Modern typography and layout,Wikimedia Commons,Wikimedia Commons file source / Unstamp au congo 11.jpg / page 14851080,Unstamp au congo 11.jpg,IMG03,1330,2242,3572,Democratic Republic of the Congo|Modern typography and layout|Wikimedia Commons|1960-1964,8,1,1,0,56,80,47,100,66,62,69,0,0,56,stamp_or_philatelic:postage; stamp_or_philatelic:stamp; stamp_or_philatelic:stamps; commons_file_source,design; graphic; visual communication,downgrade_to_card_candidate,medium,Stamp/philatelic evidence should be card support unless manually justified as a primary design object.,112,Would moving this to card hide any meaningful research path?,pending,
