source_file,capture_id,surface_id,region_folder,region_ids,geo_ids,source_place_text,decision_type,confidence,repair_basis,source_name,title
capture_batch_001_records.csv,ECAP017,SURF-ECAP017,Belgium,REG001,GEO010,"Flanders, Bruges",auto_apply_candidate,medium,"local_marker: Flanders, Bruges Virgin and Child Cleveland Museum Open Access API https://clevelandart.org/art/1934.29",Cleveland Museum Open Access API,Virgin and Child
capture_batch_001_records.csv,ECAP030,SURF-ECAP030,United States,REG003,GEO025,USA,auto_apply_candidate,high,place_text: USA,V&A Collections API,Political Poster Show 1977
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00001,SURF-CAW2026R00001,Cape Verde,REG014,GEO061,Africa / Cape Verde,auto_specific_uncontrolled_candidate,medium,place_text: Africa / Cape Verde,Wikimedia Commons file source / DpedroI-brasil-full (cropped).jpg / page 180687833,DpedroI-brasil-full (cropped).jpg
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00002,SURF-CAW2026R00002,Cape Verde,REG014,GEO061,Africa / Cape Verde,auto_specific_uncontrolled_candidate,medium,place_text: Africa / Cape Verde,Wikimedia Commons file source / DpedroI-brasil-full.jpg / page 2050174,DpedroI-brasil-full.jpg
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00003,SURF-CAW2026R00003,Cape Verde,REG014,GEO061,Africa / Cape Verde,auto_specific_uncontrolled_candidate,medium,place_text: Africa / Cape Verde,Wikimedia Commons file source / DpedroI-brasil.png / page 2050058,DpedroI-brasil.png
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00005,SURF-CAW2026R00005,Cape Verde,REG014,GEO061,Africa / Cape Verde,auto_specific_uncontrolled_candidate,medium,place_text: Africa / Cape Verde,Wikimedia Commons file source / Simplício Rodrigues de Sá - O Chalaça - Google Art Project.jpg / page 150186109,Simplício Rodrigues de Sá - O Chalaça - Google Art Project.jpg
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00006,SURF-CAW2026R00006,Madagascar,REG014,GEO061,Africa / Madagascar,auto_specific_uncontrolled_candidate,medium,place_text: Africa / Madagascar,Wikimedia Commons file source / Marianne North (1830-1890) - Angraecum and Urania Moth of Madagascar - MN356 - Marianne North Gallery.jpg / page 164204264,Marianne North (1830-1890) - Angraecum and Urania Moth of Madagascar - MN356 - Marianne North Gallery.jpg
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00008,SURF-CAW2026R00008,Mauritius,REG014,GEO061,Africa / Mauritius,auto_specific_uncontrolled_candidate,medium,place_text: Africa / Mauritius,Wikimedia Commons file source / The ships 'Vigilant' and 'Harpooner' offshore RMG BHC3390.tiff / page 62522013,The ships 'Vigilant' and 'Harpooner' offshore RMG BHC3390.tiff
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00015,SURF-CAW2026R00015,Seychelles,REG014,GEO061,Africa / Seychelles,auto_specific_uncontrolled_candidate,medium,place_text: Africa / Seychelles,"Wikimedia Commons file source / Marianne North (1830-1890) - A Cycad in Fruit in Mr Hill's Garden, Verulam, Natal - MN366 - Marianne North Gallery.jpg / page 164190176","Marianne North (1830-1890) - A Cycad in Fruit in Mr Hill's Garden, Verulam, Natal - MN366 - Marianne North Gallery.jpg"
capture_batch_commons_open_authority_weighted_expansion_2026_v1_records.csv,CAW2026R00017,SURF-CAW2026R00017,Seychelles,REG014,GEO061,Africa / Seychelles,auto_specific_uncontrolled_candidate,medium,place_text: Africa / Seychelles,Wikimedia Commons file source / Marianne North (1830-1890) - Abyssinian Ensete in a Garden in Teneriffe - MN516 - Marianne North Gallery.jpg / page 164627148,Marianne North (1830-1890) - Abyssinian Ensete in a Garden in Teneriffe - MN516 - Marianne North Gallery.jpg
