sample_id,sample_lane,surface_id,source_record_id,title,date_start,region,source_name,authority_state,trace_state,trace_tier,source_url_gate,title_gate,date_gate,region_gate,image_route_gate,authority_gate,trace_gate,influence_gate,six_tables_gate,audit_status,audit_note
PF46S001,direct_source_duplicate_merge,SURF-CGS2026R0740,CGS2026R0740,"Cuba-Chile, '74 : a benefit for Chilean refugees",1974,Chile,Library of Congress loc.gov API,institutional_primary,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S002,loc_refresh_append,SURF-LOCTRACE2026I00061EA7FCBC81,LOCTRACE2026I00061EA7FCBC81,"Assemblyman Blumenthal, Democrat-Liberal",1965,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S003,loc_refresh_append,SURF-LOCTRACE2026I02255B223C6A65,LOCTRACE2026I02255B223C6A65,Visit Mexico,1940,Mexico,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S004,loc_refresh_append,SURF-LOCTRACE2026I064E37238CDDF8,LOCTRACE2026I064E37238CDDF8,"Free them now March for Soviet Jews on Solidarity Sunday, April 30.",1967,Global / transnational,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S005,loc_refresh_append,SURF-LOCTRACE2026I09AB99B5B3F6B6,LOCTRACE2026I09AB99B5B3F6B6,"A new era for women workers, minority women and lesbians",1976,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S006,loc_refresh_append,SURF-LOCTRACE2026I0CF456E31C3455,LOCTRACE2026I0CF456E31C3455,Europa Biztonsagaert,1975,Finland,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S007,loc_refresh_append,SURF-LOCTRACE2026I0FDE90DA8EBE80,LOCTRACE2026I0FDE90DA8EBE80,"Arosa - Switzerland, Schweiz - Zwitserland, 6000 feet Suisse 1800m.",1938,Switzerland,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S008,loc_refresh_append,SURF-LOCTRACE2026I117BBD5FE201F8,LOCTRACE2026I117BBD5FE201F8,"Veranstaltung in der Wiener Stadthalle, Samstag, 9. November 1968, 15 Uhr",1968,Austria,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S009,loc_refresh_append,SURF-LOCTRACE2026I136D53678B5E92,LOCTRACE2026I136D53678B5E92,Pust' vsegda budet mir!,1979,Russia,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S010,loc_refresh_append,SURF-LOCTRACE2026I15B5F2CE0267A3,LOCTRACE2026I15B5F2CE0267A3,"12 hour vigil, Friday, May 4, 1973",1973,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S011,loc_refresh_append,SURF-LOCTRACE2026I17E134C0A8942E,LOCTRACE2026I17E134C0A8942E,Vi vill ge varje människa större frihet : Moderaterna,1965,Sweden,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S012,loc_refresh_append,SURF-LOCTRACE2026I1949B95E06A53D,LOCTRACE2026I1949B95E06A53D,Cincinnati fall festival September 7 to 19 1903.,1903,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S013,loc_refresh_append,SURF-LOCTRACE2026I1B4BFD1659D080,LOCTRACE2026I1B4BFD1659D080,Walder,1930,Switzerland,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S014,loc_refresh_append,SURF-LOCTRACE2026I1EA24F5808EF69,LOCTRACE2026I1EA24F5808EF69,"""Revolution in our lifetime""",1970,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S015,loc_refresh_append,SURF-LOCTRACE2026I2043CA8FA4E882,LOCTRACE2026I2043CA8FA4E882,"Chile, free all political prisoners",1965,Chile,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S016,loc_refresh_append,SURF-LOCTRACE2026I234B545F94C731,LOCTRACE2026I234B545F94C731,"[Young people, volunteer for national service - all those between 26 and 35]",1948,Israel / Palestine,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S017,loc_refresh_append,SURF-LOCTRACE2026I26EBBD7BA27C98,LOCTRACE2026I26EBBD7BA27C98,"1. Harvey Wasserman : Civil disobedience & direct action from the Boston Tea Party to Seabrook occupation, 2. Green Mountain Post Films' The Last Resort ... Nov. 16",1977,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S018,loc_refresh_append,SURF-LOCTRACE2026I2A4FD4C7A56B7D,LOCTRACE2026I2A4FD4C7A56B7D,"Mayor Lindsay was being practical when he introduced half fares for senior citizens : After all, his job can age any man overnight",1965,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S019,loc_refresh_append,SURF-LOCTRACE2026I2D2200D5E40569,LOCTRACE2026I2D2200D5E40569,Hawaii Coastal Zone Management Program Is there a better way to manage Hawaii's coastal areas?,1965,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S020,loc_refresh_append,SURF-LOCTRACE2026I2F51A435471A8B,LOCTRACE2026I2F51A435471A8B,Lindsay needs Perrotta and Garelik It's the 2nd toughest job in America.,1969,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S021,loc_refresh_append,SURF-LOCTRACE2026I313AF92BB044EF,LOCTRACE2026I313AF92BB044EF,College crews,1908,United States,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S022,loc_refresh_append,SURF-LOCTRACE2026I33FDAA9C482CD3,LOCTRACE2026I33FDAA9C482CD3,Es lebe [Paragraph] 218 : Der Beitrag des Bundesverfassungsgerichts zum Jahr der Frau,1965,Germany,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S023,loc_refresh_append,SURF-LOCTRACE2026I360C9059E821B3,LOCTRACE2026I360C9059E821B3,"Kyū Jōseki Kan'ōkai Hana no Takata, Kaiki: 4-gatsu Jūyokka kara 23-nichi",1930,Japan,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S024,loc_refresh_append,SURF-LOCTRACE2026I3894ACA4418EC0,LOCTRACE2026I3894ACA4418EC0,"Try a fly by the L.N.E.R. Ask at any L.N.E.R. enquiry office for free copy of ""Salmon and trout rivers served by the L.N.E.R."" by Joseph Adams (Corrigeen) /",1930,United Kingdom,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S025,loc_refresh_append,SURF-LOCTRACE2026I3A1D24FCE4B1BF,LOCTRACE2026I3A1D24FCE4B1BF,"June 26, South African freedom day : Remember Soweto",1965,South Africa,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S026,loc_refresh_append,SURF-LOCTRACE2026I3C4A3610BC4621,LOCTRACE2026I3C4A3610BC4621,"Wieliczka, Polen--Die berühmten salzbergwerke",1938,Poland,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S027,loc_refresh_append,SURF-LOCTRACE2026I3EBB07B504F8B1,LOCTRACE2026I3EBB07B504F8B1,"B, det Radikale venstre",1965,Denmark,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S028,loc_refresh_append,SURF-LOCTRACE2026I425873B2AD104A,LOCTRACE2026I425873B2AD104A,Entwicklungen : Kunstausstellung der Kunstlergemeinschaft Muhsam zu den politischen Entwicklungen und der momentanen Situation in der BRD,1978,Germany,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
PF46S029,loc_refresh_append,SURF-LOCTRACE2026I437E22FAD2E0EA,LOCTRACE2026I437E22FAD2E0EA,The result of fascist culture,1939,Russia,Library of Congress Prints and Photographs API,mediated_known,accepted,source_verified,True,True,True,True,True,True,True,True,True,pass,"All identity, display, geography, authority, and TRACE gates pass."
