metric,value,count
total,rows,81
probe_status,ok,60
probe_status,failed,11
probe_status,http_error,10
macro_region,Asia,26
macro_region,Global,19
macro_region,Latin America,10
macro_region,Middle East and North Africa,8
macro_region,Africa,8
macro_region,Europe,5
macro_region,Oceania,4
macro_region,North America,1
subregion,East Asia,14
subregion,Southeast Asia,7
subregion,Pan-African,5
subregion,South Asia,4
subregion,Southern Cone,4
subregion,Levant,3
subregion,regional,2
subregion,Brazil,2
subregion,Arab world,2
subregion,Southern Africa,2
subregion,Eastern Europe,2
subregion,Central/Eastern Europe,2
subregion,Australia/Indigenous,2
subregion,global aggregator,1
subregion,global art history,1
subregion,global books,1
subregion,global books and web,1
subregion,scholarly graph,1
subregion,open repositories,1
subregion,francophone humanities,1
subregion,collection finding aids,1
subregion,scholarly bibliography,1
subregion,South Asia diaspora,1
subregion,Caribbean and Latin America,1
subregion,Mexico,1
subregion,Gulf,1
subregion,Anatolia,1
subregion,North Africa,1
subregion,Southern Africa and diaspora,1
subregion,Central Europe,1
subregion,Australia,1
subregion,New Zealand,1
subregion,contemporary independent,1
subregion,independent archive,1
subregion,typography archive,1
subregion,typography database,1
subregion,social research boards,1
subregion,social image discovery,1
subregion,portfolio platform,1
subregion,independent websites,1
subregion,legacy social web,1
subregion,social archive leads,1
subregion,community discussion,1
adapter_hint,manual_review_or_alternate_endpoint,21
adapter_hint,iiif_manifest_adapter,11
adapter_hint,discovery_signal_only_no_item_image_ingest,11
adapter_hint,wordpress_rest_or_html_adapter,9
adapter_hint,html_metadata_adapter,6
adapter_hint,html_jsonld_adapter,3
adapter_hint,bibliographic_adapter,3
adapter_hint,rss_atom_source_adapter,3
adapter_hint,manual_source_adapter,2
adapter_hint,academic_graph_adapter,1
adapter_hint,oai_pmh_adapter,1
adapter_hint,bibliography_adapter,1
adapter_hint,graphql_schema_probe_then_adapter,1
adapter_hint,source_registry_context_adapter,1
adapter_hint,library_api_adapter,1
adapter_hint,network_map_adapter,1
adapter_hint,pdf_text_or_link_adapter,1
adapter_hint,kramerius_adapter,1
adapter_hint,headless_metadata_probe_only,1
adapter_hint,trove_adapter,1
adapter_hint,digitalnz_adapter,1
capture_priority_next,P1 adapter build,24
capture_priority_next,P2 retry/manual verification,21
capture_priority_next,P1 text/source enrichment,20
capture_priority_next,P2 discovery lead queue,11
capture_priority_next,P2 manual source review,5
recommended_image_policy_next,IMG04 text/source registry; no image frame unless item-level visual record is found,23
recommended_image_policy_next,IMG00 until source endpoint and item rights are verified,21
recommended_image_policy_next,IMG00 discovery-only; resolve original source before public image display,11
recommended_image_policy_next,IMG00/IMG02 after item rights review; no automatic thumbnail upgrade,9
recommended_image_policy_next,IMG00 until item rights and source terms are reviewed; IMG02 if source viewer exists,8
recommended_image_policy_next,IMG03 only if authoritative item license confirms; otherwise IMG02/IMG00,6
recommended_image_policy_next,IMG02 source-hosted viewer candidate; IMG03 only with record-level open license,3
detected_protocol,IIIF,18
detected_protocol,RSS/Atom,15
detected_protocol,Static JS App,14
detected_protocol,JSON-LD,13
detected_protocol,WordPress REST,11
detected_protocol,PDF,5
detected_protocol,GraphQL,4
detected_protocol,ArchiveSpace/EAD,3
detected_protocol,OAI-PMH,1
detected_protocol,Kramerius,1
