surface_id,source_record_id,current_region_label,candidate_status,suggested_label,suggested_region_id,suggested_geo_id,confidence,match_field,match_count,match_evidence,title
SURF-CRG2026R0005,CRG2026R0005,Unresolved region,low_signal_geo_review,Aotearoa New Zealand,REG015,GEO070,medium,title,2,"The authentic and genuine history of the signing of the Treaty of Waitangi, New Zealand, February 5 and 6, 1840 - Cover.jpg","The authentic and genuine history of the signing of the Treaty of Waitangi, New Zealand, February 5 and 6, 1840 - Cover.jpg"
SURF-CRG2026R0006,CRG2026R0006,Unresolved region,low_signal_geo_review,Romania,REG002,GEO021,medium_high,placeText,8,Eastern Europe / Romania,Stamp 1974 Romania MiNr3179 pm B002a.jpg
SURF-CRG2026R0029,CRG2026R0029,Unresolved region,manual_review,Portugal,REG001,GEO013,low,title,1,Stamp of Angola - 1903 - Colnect 329287 - King Carlos I of Portugal 1863-1908.jpeg,Stamp of Angola - 1903 - Colnect 329287 - King Carlos I of Portugal 1863-1908.jpeg
SURF-CRG2026R0049,CRG2026R0049,Unresolved region,low_signal_geo_review,United Kingdom,REG001,GEO003,low,title,1,"Tamworth Registration Office and Old Stone Cross public house, Church Street, Tamworth - geograph.org.uk - 1741874.jpg","Tamworth Registration Office and Old Stone Cross public house, Church Street, Tamworth - geograph.org.uk - 1741874.jpg"
SURF-CRG2026R0068,CRG2026R0068,Unresolved region,manual_review,Romania,REG002,GEO021,medium_high,placeText,7,Eastern Europe / Romania,"Romania stamp - 1975 - 1,85L - Metrology.jpg"
SURF-CRG2026R0078,CRG2026R0078,Unresolved region,historical_period_review,United Kingdom,REG001,GEO003,low,sourceDescription,1,"UK. Alfred Leete (1882-1933). Britons (Kitchener) wants you (British / Kitchener / needs you). 1914 (reprint), 74 x 50 cm. (Slg.Nr. 552). The title page of the ""London Opinion"" in","30a Sammlung Eybl Großbritannien. Alfred Leete (1882–1933) Britons (Kitchener) wants you (Briten Kitchener braucht Euch). 1914 (Nachdruck), 74 x 50 cm. (Slg.Nr. 552).jpg"
SURF-CRG2026R0102,CRG2026R0102,Unresolved region,low_signal_geo_review,Aotearoa New Zealand,REG015,GEO070,low,sourceDescription,1,"Book cover for Rambles on the Golden Coast of New Zealand by Robert Caldwell Reid (1886), The Colonial Printing and Publishing Company, London.",Reid•Rambles·on·the·Golden·Coast•1886•001•Cover.jpg
SURF-CRG2026R0108,CRG2026R0108,Unresolved region,low_signal_geo_review,United Kingdom,REG001,GEO003,low,title,1,Stamp of Zululand - 1888 - Colnect 564761 - Queen Victoria UK Overstamped.jpeg,Stamp of Zululand - 1888 - Colnect 564761 - Queen Victoria UK Overstamped.jpeg
SURF-CRG2026R0109,CRG2026R0109,Unresolved region,low_signal_geo_review,United Kingdom,REG001,GEO003,low,title,1,Stamp of Zululand - 1888 - Colnect 564763 - Queen Victoria UK Overstamped.jpeg,Stamp of Zululand - 1888 - Colnect 564763 - Queen Victoria UK Overstamped.jpeg
SURF-CRG2026R0110,CRG2026R0110,Unresolved region,low_signal_geo_review,United Kingdom,REG001,GEO003,low,title,1,Stamp of Zululand - 1888 - Colnect 564764 - Queen Victoria UK Overstamped.jpeg,Stamp of Zululand - 1888 - Colnect 564764 - Queen Victoria UK Overstamped.jpeg
SURF-CRG2026R0112,CRG2026R0112,Unresolved region,low_signal_geo_review,United Kingdom,REG001,GEO003,low,title,1,Stamp of Zululand - 1888 - Colnect 564769 - Queen Victoria UK Overstamped.jpeg,Stamp of Zululand - 1888 - Colnect 564769 - Queen Victoria UK Overstamped.jpeg
SURF-CRG2026R0113,CRG2026R0113,Unresolved region,low_signal_geo_review,United Kingdom,REG001,GEO003,low,title,1,Stamp of Zululand - 1888 - Colnect 564771 - Queen Victoria UK Overstamped.jpeg,Stamp of Zululand - 1888 - Colnect 564771 - Queen Victoria UK Overstamped.jpeg
SURF-CRG2026R0114,CRG2026R0114,Unresolved region,low_signal_geo_review,United Kingdom,REG001,GEO003,low,title,1,Stamp of Zululand - 1888 - Colnect 564772 - Queen Victoria UK Overstamped.jpeg,Stamp of Zululand - 1888 - Colnect 564772 - Queen Victoria UK Overstamped.jpeg
SURF-CRG2026R0115,CRG2026R0115,Unresolved region,low_signal_geo_review,United Kingdom,REG001,GEO003,low,title,1,Stamp of Zululand - 1888 - Colnect 564773 - Queen Victoria UK Overstamped.jpeg,Stamp of Zululand - 1888 - Colnect 564773 - Queen Victoria UK Overstamped.jpeg
SURF-CRG2026R0132,CRG2026R0132,Unresolved region,manual_review,Armenia,REG002,GEO079,medium,title,2,Stamp of Armenia - 1999 - Colnect 989239 - Church of the Redeemer 1891 Worcester.jpeg,Stamp of Armenia - 1999 - Colnect 989239 - Church of the Redeemer 1891 Worcester.jpeg
SURF-COM1970R004,COM1970R004,Unresolved region,manual_review,Spain,REG001,GEO012,medium_high,sourceSubjects,3,Taken with 5MP-9A3|History of Andalusia|Political posters of Spain|PD Old|1892 advertisements|Posters of Spain|Advertising posters|CC-PD-Mark|1892 in Andalusia|Huelva in the 19th c,Cartel Colombinas Huelva 0002.jpg
SURF-CRG2026R0136,CRG2026R0136,Unresolved region,manual_review,Spain,REG001,GEO012,medium,title,2,Stamp 1941 Spain MiNr0854A-pm B002.jpg,Stamp 1941 Spain MiNr0854A-pm B002.jpg
SURF-CRG2026R0142,CRG2026R0142,Unresolved region,low_signal_geo_review,United Kingdom,REG001,GEO003,low,title,1,Stamp of Zululand - 1893 - Colnect 564762 - Queen Victoria UK Overstamped.jpeg,Stamp of Zululand - 1893 - Colnect 564762 - Queen Victoria UK Overstamped.jpeg
SURF-CRG2026R0183,CRG2026R0183,Unresolved region,manual_review,Singapore,REG011,GEO095,medium_high,placeText,7,Southeast Asia / Singapore,Syair Siti Zubaidah cover.jpg
