queue_id,candidate_id,source_name,macro_region,country_or_region,institution_class,adapter_hint,queue_priority,capture_phase,target_record_count,target_period,first_query_terms,image_policy,text_policy,rights_gate,source_url,next_action,notes
ICQ001,ESC003,Biblioteca Nacional Mariano Moreno Digital,Latin America,Argentina,government,iiif_manifest_adapter,Q1,protocol:iiif,12,1931-1970 first; keep later records if discovered,poster; revista; diseño gráfico; tipografía; propaganda; publicidad,IMG02_source_viewer_or_iiif_candidate,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://www.bn.gov.ar/,Find search/API endpoint; harvest manifest URLs; create source-hosted IMG02 records only after rights row exists.,Government source for Argentine print culture.
ICQ002,ESC050,National Diet Library Digital Collections,East Asia,Japan,government,iiif_manifest_adapter,Q1,protocol:iiif,12,1931-1970 first; keep later records if discovered,poster; graphic design; typography; advertisement; magazine; propaganda,IMG02_source_viewer_or_iiif_candidate,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://dl.ndl.go.jp/,Find search/API endpoint; harvest manifest URLs; create source-hosted IMG02 records only after rights row exists.,Separate from NDL Search; direct digital object source.
ICQ003,ESC052,Kyoto University Rare Materials Digital Archive,East Asia,Japan,university,iiif_manifest_adapter,Q1,protocol:iiif,12,1931-1970 first; keep later records if discovered,poster; graphic design; typography; advertisement; magazine; propaganda,IMG02_source_viewer_or_iiif_candidate,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://rmda.kulib.kyoto-u.ac.jp/,Find search/API endpoint; harvest manifest URLs; create source-hosted IMG02 records only after rights row exists.,High-quality IIIF source.
ICQ004,SEM021,POLONA,Eastern Europe,,government,iiif_manifest_adapter,Q1,protocol:iiif,12,1931-1970 first; keep later records if discovered,poster; plakát; typography; magazine; propaganda; print culture,IMG02_source_viewer_or_iiif_candidate,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://polona.pl/,Find search/API endpoint; harvest manifest URLs; create source-hosted IMG02 records only after rights row exists.,Major Polish print and poster corpus
ICQ005,SEM029,Slovakiana,Eastern Europe,,government,iiif_manifest_adapter,Q1,protocol:iiif,12,1931-1970 first; keep later records if discovered,poster; plakát; typography; magazine; propaganda; print culture,IMG02_source_viewer_or_iiif_candidate,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://www.slovakiana.sk/,Find search/API endpoint; harvest manifest URLs; create source-hosted IMG02 records only after rights row exists.,Very useful for object-level rights and identifiers
ICQ006,SEM062,NDL Digital Collections,East Asia,,government,iiif_manifest_adapter,Q1,protocol:iiif,12,1931-1970 first; keep later records if discovered,poster; graphic design; typography; advertisement; magazine; propaganda,IMG02_source_viewer_or_iiif_candidate,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://dl.ndl.go.jp/,Find search/API endpoint; harvest manifest URLs; create source-hosted IMG02 records only after rights row exists.,Core Japanese print culture source
ICQ007,ESC006,Biblioteca Brasiliana Guita e Jose Mindlin,Latin America,Brazil,university,dspace_oai_or_rest_adapter,Q1,protocol:dspace_oai,12,1931-1970 first; keep later records if discovered,poster; revista; diseño gráfico; tipografía; propaganda; publicidad,IMG02_source_viewer_or_iiif_candidate,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://digital.bbm.usp.br/,Try /oai/request Identify/ListRecords and /server/api discovery before HTML fallback.,USP source for Brazilian print history.
ICQ008,ESC015,UNAM Repositorio Institucional,Latin America,Mexico,university,dspace_oai_or_rest_adapter,Q1,protocol:dspace_oai,12,1931-1970 first; keep later records if discovered,poster; revista; diseño gráfico; tipografía; propaganda; publicidad,IMG04_text_only_until_object_images_found,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://repositorio.unam.mx/,Try /oai/request Identify/ListRecords and /server/api discovery before HTML fallback.,Text enrichment for Mexican design and visual culture.
ICQ009,SEM116,National Repository of Nigeria,Africa,,government,dspace_oai_or_rest_adapter,Q1,protocol:dspace_oai,12,1931-1970 first; keep later records if discovered,poster; pamphlet; anti-apartheid; public campaign; magazine; print culture,IMG04_text_only_until_object_images_found,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://nigeriareposit.nln.gov.ng/,Try /oai/request Identify/ListRecords and /server/api discovery before HTML fallback.,"Nigeria Magazine, public communication, ministry print, post-independence visual culture"
ICQ010,ESC077,Slovak Digital Library,Eastern Europe,Slovakia,government,kramerius_adapter,Q1,protocol:kramerius,12,1931-1970 first; keep later records if discovered,poster; plakát; typography; magazine; propaganda; print culture,IMG02_source_viewer_or_iiif_candidate,extract_source_text_or_context,record_level_rights_required_before_IMG03; otherwise IMG00/IMG02 source-return only,https://dikda.snk.sk/,"Use Kramerius API search for title/keyword, then inspect item policy and IIIF/viewer support.",Slovak print source.
