surface_id,source_record_id,source_record_url,title,best_image_state,repair_family,weighted_gap_points,local_record_found,local_capture_id,local_record_file,local_image_state,local_rights_review_required,raw_record_found,raw_is_public_domain,raw_image_id_present,raw_rights_signal,rights_signal,future_action,upgrade_recommendation,automatic_upgrade_allowed,image_url_detected_excerpt,rights_basis_excerpt,review_note_excerpt
SURF-MC1930R054,192573,https://www.artic.edu/artworks/192573,"""Philanthropic"" Hitler",IMG00,img00_source_visible_repair,1.00,true,MC1930R054,data/capture_batch_midcentury_1930_1970_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/d30906c2-1125-3fed-6ecc-5d87dc5d3034/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-MC1930R062,122394,https://www.artic.edu/artworks/122394,1952 Exhibition Poster,IMG00,img00_source_visible_repair,1.00,true,ECAP006,data/capture_batch_001_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/40d361de-3296-7ed1-a6a9-f592457864b0/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Image frame should render empty with source link until item-level rights evidence upgrades it.
SURF-MC1930R047,192411,https://www.artic.edu/artworks/192411,A Belorussian Landscape,IMG00,img00_source_visible_repair,1.00,true,MC1930R047,data/capture_batch_midcentury_1930_1970_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/58e8e383-b887-57b9-b403-9421b8500dc0/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-MC1930R048,182948,https://www.artic.edu/artworks/182948,An Attempt Using Unfit Means,IMG00,img00_source_visible_repair,1.00,true,ECAP010,data/capture_batch_001_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/48c8b6f9-fc55-5717-88fa-d4f468b048cf/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Image frame should render empty with source link until item-level rights evidence upgrades it.
SURF-ER1830R071,184018,https://www.artic.edu/artworks/184018,Art Institute by the Elevated Lines,IMG00,img00_source_visible_repair,1.00,true,ER1830R071,data/capture_batch_early_region_1830_1930_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/82bdd399-6d47-5eb4-6897-58cf60795ba2/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-ER1830R073,13935,https://www.artic.edu/artworks/13935,Ascot By Motor Bus,IMG00,img00_source_visible_repair,1.00,true,ER1830R073,data/capture_batch_early_region_1830_1930_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/29ab6108-3423-3eae-49f1-540da343368d/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-ER1830R066,7962,https://www.artic.edu/artworks/7962,Buy a Little Present for the Kaiser,IMG00,img00_source_visible_repair,1.00,true,ECAP001,data/capture_batch_001_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/59320f53-e6a1-4fb7-0246-ff70542460bf/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Image frame should render empty with source link until item-level rights evidence upgrades it.
SURF-MC1930R006,13343,https://www.artic.edu/artworks/13343,By the Rushy - Fringed Bank,IMG00,img00_source_visible_repair,1.00,true,MC1930R006,data/capture_batch_midcentury_1930_1970_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/ef44854c-be29-2490-a280-0128bda452a3/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-MC1930R001,8878,https://www.artic.edu/artworks/8878,Come Out at Easter,IMG00,img00_source_visible_repair,1.00,true,MC1930R001,data/capture_batch_midcentury_1930_1970_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/b8b7d135-6590-aaa3-1104-248ab64f8404/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-MC1930R077,93879,https://www.artic.edu/artworks/93879,Dwan Gallery Poster,IMG00,img00_source_visible_repair,1.00,true,MC1930R077,data/capture_batch_midcentury_1930_1970_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/5e1a705a-912a-f0e7-395b-cf287a2b2457/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-MC1930R059,111092,https://www.artic.edu/artworks/111092,Exhibition Poster,IMG00,img00_source_visible_repair,1.00,true,MC1930R059,data/capture_batch_midcentury_1930_1970_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/79d2b7b6-a1fb-996e-6c6f-0769d9adfb50/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-ER1830R068,7974,https://www.artic.edu/artworks/7974,Invest in the Victory Liberty Loan,IMG00,img00_source_visible_repair,1.00,true,ECAP009,data/capture_batch_001_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/965eac7d-008c-2812-7807-a91071de7bfd/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Image frame should render empty with source link until item-level rights evidence upgrades it.
SURF-ER1830R069,7955,https://www.artic.edu/artworks/7955,Keep These Off the U.S.A.,IMG00,img00_source_visible_repair,1.00,true,ECAP005,data/capture_batch_001_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/7aeac16d-ac42-79f1-d49e-fb7b49193ae3/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Image frame should render empty with source link until item-level rights evidence upgrades it.
SURF-MC1930R003,8872,https://www.artic.edu/artworks/8872,No. 2 Spring,IMG00,img00_source_visible_repair,1.00,true,ECAP014,data/capture_batch_001_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/d4c1c3b1-7495-f21d-1e5a-40477030045e/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Image frame should render empty with source link until item-level rights evidence upgrades it.
SURF-MC1930R049,192373,https://www.artic.edu/artworks/192373,Our One-Thousandth Blow,IMG00,img00_source_visible_repair,1.00,true,ECAP013,data/capture_batch_001_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/325eb5f0-cf87-b187-8031-16d43245f7b3/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Image frame should render empty with source link until item-level rights evidence upgrades it.
SURF-ER1830R075,14941,https://www.artic.edu/artworks/14941,Rich repose of Autumn,IMG00,img00_source_visible_repair,1.00,true,ER1830R075,data/capture_batch_early_region_1830_1930_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/7698a777-d70d-3f1a-893c-caf62915a49e/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-ER1830R064,7772,https://www.artic.edu/artworks/7772,Tell that to the Marines!,IMG00,img00_source_visible_repair,1.00,true,ER1830R064,data/capture_batch_early_region_1830_1930_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/88c21e93-2725-e0ae-89c9-082b07f7dba4/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-ER1830R076,3178,https://www.artic.edu/artworks/3178,The Centenary of the Omnibus,IMG00,img00_source_visible_repair,1.00,true,ER1830R076,data/capture_batch_early_region_1830_1930_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/7d877be8-1b62-afbe-3f5e-b0f74d68335b/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-MC1930R050,192365,https://www.artic.edu/artworks/192365,The Hour Approaches,IMG00,img00_source_visible_repair,1.00,true,MC1930R050,data/capture_batch_midcentury_1930_1970_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/68d8e32b-fa05-92be-f497-5ca5e0d08d46/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-ER1830R052,55093,https://www.artic.edu/artworks/55093,The Modern Poster,IMG00,img00_source_visible_repair,1.00,true,ECAP011,data/capture_batch_001_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/0d5db4d9-0725-7ecd-e44b-95d0750949a3/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Image frame should render empty with source link until item-level rights evidence upgrades it.
SURF-MC1930R044,185124,https://www.artic.edu/artworks/185124,This Is the Enemy,IMG00,img00_source_visible_repair,1.00,true,ECAP007,data/capture_batch_001_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/51548c3f-089f-4258-00ee-67087fb2d305/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Image frame should render empty with source link until item-level rights evidence upgrades it.
SURF-ER1830R065,7933,https://www.artic.edu/artworks/7933,To the Amputees—Join the Workforce,IMG00,img00_source_visible_repair,1.00,true,ECAP004,data/capture_batch_001_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/01e6ed5b-5b03-3929-f424-96e4bcbbec31/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Image frame should render empty with source link until item-level rights evidence upgrades it.
SURF-MC1930R052,192364,https://www.artic.edu/artworks/192364,Untitled,IMG00,img00_source_visible_repair,1.00,true,ECAP012,data/capture_batch_001_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/a09b0e67-ed09-4b97-b813-55710a3ddaac/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Image frame should render empty with source link until item-level rights evidence upgrades it.
SURF-MC1930R057,222761,https://www.artic.edu/artworks/222761,Untitled (Composition for a Peace Poster),IMG00,img00_source_visible_repair,1.00,true,MC1930R057,data/capture_batch_midcentury_1930_1970_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/78fb167c-02a5-ca16-a54e-22255394dca3/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
SURF-MC1930R004,8867,https://www.artic.edu/artworks/8867,Whitsuntide in the Countryside,IMG00,img00_source_visible_repair,1.00,true,MC1930R004,data/capture_batch_midcentury_1930_1970_records.csv,IMG00,true,true,false,true,raw_image_id_non_public_domain,image_identifier_not_public_domain,keep_empty_or_item_probe_for_rights_change,no_upgrade,false,"https://www.artic.edu/iiif/2/20a4fbd6-d97f-ab9b-64c4-8c14dbc33676/full/843,/0/default.jpg","AIC image identifier exists, but search row does not report public-domain status.",Render empty image frame until item-level rights evidence upgrades it.
