source_name,captured_records,image_states,notes
"Wikimedia Commons file source / ""Martyred Missionaries of the China Inland Mission"" and ""Last Letters and Further Records of Martyred Missionaries of the China Inland Mission"" (book covers).jpg / page 49510745",1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
"Wikimedia Commons file source / 'Workers, Toilers! Islam is your supporter' propaganda poster.jpg / page 126471908",1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 03152010 poster Universitas.JPG / page 9867717,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 03152010 poster.JPG / page 9867818,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 120px-Poster di STT Jakarta.jpg / page 15324761,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
"Wikimedia Commons file source / 140 years Serbia-Turkey diplomatic relationship (post stamp, Serbia, 2019).jpg / page 110109886",1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 2018 Ukraine Stamp 15.jpg / page 70918575,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 2020 Romanian Anemone sp. stamp.jpg / page 154006392,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 2020 Romanian Dahlia sp. stamp.jpg / page 154006391,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 2020 Romanian Narcissus sp. stamp.jpg / page 154006396,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 2020 Romanian Papaver sp. stamp.jpg / page 154006393,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
Wikimedia Commons file source / 2020 Romanian Persica vulgaris stamp.jpg / page 154006395,1,IMG03:1,Commons open-license metadata; post-cleaned release-ready row set; no image binary downloaded
