macro_region,country_or_region,successful_sources,source_classes,protocols
Africa,Niger,1,cultural center:1,RSS/Atom;JSON-LD;WordPress REST:1
Africa,Republic of the Congo,1,cultural center:1,RSS/Atom;JSON-LD;WordPress REST:1
Africa,Senegal,2,cultural center:2,(none detected):1; RSS/Atom;JSON-LD;WordPress REST;Static JS App:1
Africa,Sierra Leone,1,museum:1,(none detected):1
Africa,Tanzania,8,museum:5; library:3,(none detected):4; JSON-LD:1; PDF:1; RSS/Atom;JSON-LD;WordPress REST;PDF:1; RSS/Atom;JSON-LD;WordPress REST:1
Africa,The Gambia,1,museum:1,RSS/Atom;JSON-LD;WordPress REST:1
Africa,Zambia,3,library:2; cultural center:1,DSpace;RSS/Atom;WordPress REST:1; (none detected):1; RSS/Atom;PDF:1
Africa,Zimbabwe,3,museum:2; library:1,RSS/Atom;JSON-LD;WordPress REST;PDF:1; RSS/Atom;WordPress REST;Static JS App:1; RSS/Atom;JSON-LD;WordPress REST:1
Central Asia,Kazakhstan,10,museum:8; library:1; archives:1,RSS/Atom;JSON-LD;WordPress REST:3; RSS/Atom:2; RSS/Atom;PDF:1; RSS/Atom;JSON-LD;WordPress REST;PDF:1; (none detected):1; RSS/Atom;WordPress REST:1; JSON-LD;PDF:1
Central Asia,Mongolia,1,museum:1,Static JS App:1
Central Asia,Tajikistan,3,library:2; museum:1,RSS/Atom;JSON-LD;PDF:1; RSS/Atom;JSON-LD;WordPress REST:1; (none detected):1
Central Asia,Turkmenistan,1,museum:1,(none detected):1
Central Asia,Uzbekistan,5,museum:4; library:1,(none detected):4; IIIF:1
Eastern Europe / Caucasus,Azerbaijan,17,museum:10; library:4; archives:2; cultural center:1,(none detected):9; JSON-LD:2; PDF:2; WordPress REST:1; RSS/Atom:1; IIIF;PDF:1; JSON-LD;WordPress REST;Static JS App:1
Latin America / Caribbean,Argentina,303,museum:232; library:48; cultural center:17; archives:5; art gallery:1,(none detected):88; RSS/Atom;JSON-LD;WordPress REST:35; IIIF;RSS/Atom;Static JS App:22; RSS/Atom;WordPress REST:22; IIIF;JSON-LD:21; JSON-LD:20; RSS/Atom;JSON-LD:13; RSS/Atom:11; RSS/Atom;JSON-LD;WordPress REST;PDF:11; IIIF:8; RSS/Atom;WordPress REST;Static JS App:7; PDF:6; RSS/Atom;JSON-LD;WordPress REST;Static JS App:5; RSS/Atom;JSON-LD;WordPress REST;Static JS App;PDF:3; Static JS App:3; WordPress REST:3; RSS/Atom;WordPress REST;PDF:3; IIIF;PDF:2; JSON-LD;PDF:2; IIIF;RSS/Atom;JSON-LD;WordPress REST:2; Omeka;OAI-PMH;RSS/Atom:1; JSON-LD;WordPress REST:1; RSS/Atom;JSON-LD;Static JS App:1; IIIF;RSS/Atom;WordPress REST:1; DSpace;RSS/Atom:1; RSS/Atom;WordPress REST;Static JS App;PDF:1; DSpace;RSS/Atom;WordPress REST:1; IIIF;WordPress REST:1; IIIF;RSS/Atom:1; IIIF;JSON-LD;Static JS App:1; WordPress REST;PDF:1; Static JS App;PDF:1; IIIF;Static JS App:1; Omeka;RSS/Atom;JSON-LD:1; IIIF;DSpace;RSS/Atom:1; IIIF;JSON-LD;WordPress REST;Static JS App:1
Latin America / Caribbean,Barbados,1,museum:1,IIIF:1
Latin America / Caribbean,Belize,1,library:1,RSS/Atom;WordPress REST:1
Latin America / Caribbean,Bolivia,12,library:4; museum:4; cultural center:3; art gallery:1,RSS/Atom;JSON-LD;WordPress REST:4; (none detected):2; RSS/Atom;WordPress REST;Static JS App:1; RSS/Atom:1; RSS/Atom;JSON-LD:1; RSS/Atom;WordPress REST:1; Static JS App:1; JSON-LD;WordPress REST:1
Latin America / Caribbean,Colombia,352,library:234; museum:106; cultural center:11; archives:1,(none detected):163; Static JS App:42; RSS/Atom;JSON-LD;WordPress REST:25; IIIF;RSS/Atom;Static JS App:17; RSS/Atom:14; RSS/Atom;PDF:14; RSS/Atom;WordPress REST:11; RSS/Atom;JSON-LD:9; PDF:9; RSS/Atom;JSON-LD;WordPress REST;PDF:7; IIIF:6; JSON-LD:5; JSON-LD;PDF:4; IIIF;Static JS App:4; RSS/Atom;JSON-LD;WordPress REST;Static JS App:4; RSS/Atom;WordPress REST;PDF:3; WordPress REST;PDF:3; IIIF;JSON-LD:2; RSS/Atom;WordPress REST;Static JS App:1; WordPress REST:1; RSS/Atom;JSON-LD;PDF:1; RSS/Atom;JSON-LD;WordPress REST;Static JS App;PDF:1; DSpace:1; IIIF;RSS/Atom;WordPress REST;PDF:1; IIIF;JSON-LD;Static JS App:1; IIIF;PDF:1; DSpace;WordPress REST;PDF:1; RSS/Atom;WordPress REST;Static JS App;PDF:1
Latin America / Caribbean,Costa Rica,1,museum:1,RSS/Atom;JSON-LD:1
Latin America / Caribbean,Cuba,1,library:1,IIIF;RSS/Atom;PDF:1
Latin America / Caribbean,Dominican Republic,5,museum:3; library:2,RSS/Atom;JSON-LD;WordPress REST;PDF:2; (none detected):1; RSS/Atom;JSON-LD;WordPress REST:1; Static JS App:1
Latin America / Caribbean,Ecuador,5,library:3; museum:2,RSS/Atom;JSON-LD;WordPress REST:2; (none detected):2; RSS/Atom;JSON-LD;WordPress REST;PDF:1
Latin America / Caribbean,El Salvador,2,museum:2,RSS/Atom;WordPress REST:1; RSS/Atom;JSON-LD;WordPress REST:1
Latin America / Caribbean,Guatemala,6,library:3; museum:2; cultural center:1,RSS/Atom:2; IIIF;RSS/Atom;WordPress REST:1; (none detected):1; IIIF;JSON-LD:1; RSS/Atom;JSON-LD;WordPress REST:1
Latin America / Caribbean,Haiti,2,cultural center:1; library:1,Static JS App:1; RSS/Atom:1
Latin America / Caribbean,Honduras,4,archives:1; library:1; cultural center:1; museum:1,RSS/Atom:2; (none detected):1; RSS/Atom;JSON-LD;WordPress REST:1
Latin America / Caribbean,Jamaica,2,library:1; museum:1,RSS/Atom;WordPress REST;PDF:1; RSS/Atom;JSON-LD;WordPress REST:1
Latin America / Caribbean,Nicaragua,4,cultural center:3; library:1,RSS/Atom;WordPress REST:2; RSS/Atom;JSON-LD;WordPress REST:1; RSS/Atom:1
Latin America / Caribbean,Panama,4,museum:2; archives:1; library:1,(none detected):2; RSS/Atom;WordPress REST:1; RSS/Atom;JSON-LD;WordPress REST:1
Latin America / Caribbean,Paraguay,3,archives:1; museum:1; library:1,RSS/Atom;WordPress REST:1; RSS/Atom;JSON-LD;Static JS App:1; WordPress REST:1
Latin America / Caribbean,Peru,38,museum:29; library:6; cultural center:2; archives:1,IIIF;JSON-LD:10; RSS/Atom;JSON-LD;WordPress REST:7; JSON-LD:3; RSS/Atom:3; PDF:2; RSS/Atom;PDF:1; WordPress REST:1; JSON-LD;Static JS App:1; RSS/Atom;JSON-LD;WordPress REST;PDF:1; IIIF;RSS/Atom;JSON-LD;WordPress REST:1; RSS/Atom;WordPress REST:1; RSS/Atom;JSON-LD:1; IIIF;Static JS App:1; RSS/Atom;JSON-LD;WordPress REST;Static JS App:1; DSpace:1; IIIF;DSpace;RSS/Atom;PDF:1; RSS/Atom;WordPress REST;Static JS App:1; (none detected):1
Latin America / Caribbean,Trinidad and Tobago,2,art gallery:1; library:1,IIIF;JSON-LD:1; RSS/Atom:1
Latin America / Caribbean,Uruguay,35,museum:24; library:6; cultural center:3; archives:2,(none detected):21; JSON-LD:2; RSS/Atom;WordPress REST:2; IIIF:2; RSS/Atom;JSON-LD;WordPress REST;PDF:2; RSS/Atom;JSON-LD;WordPress REST:1; RSS/Atom;JSON-LD;WordPress REST;Static JS App:1; Omeka:1; JSON-LD;PDF:1; RSS/Atom;JSON-LD:1; RSS/Atom;JSON-LD;PDF:1
Latin America / Caribbean,Venezuela,13,library:5; archives:3; museum:3; cultural center:2,(none detected):5; RSS/Atom;JSON-LD;WordPress REST:3; RSS/Atom;JSON-LD;WordPress REST;PDF:2; IIIF;RSS/Atom;WordPress REST:1; RSS/Atom;WordPress REST:1; WordPress REST:1
MENA,Iraq,3,museum:2; library:1,(none detected):3
MENA,Jordan,6,library:3; museum:3,(none detected):2; RSS/Atom;WordPress REST:2; Static JS App;PDF:1; RSS/Atom;JSON-LD;WordPress REST:1
MENA,Kuwait,2,museum:2,WordPress REST;Static JS App:1; RSS/Atom;WordPress REST:1
MENA,Syria,1,museum:1,Static JS App:1
Oceania / Indigenous,Fiji,1,museum:1,RSS/Atom;JSON-LD;WordPress REST;Static JS App;PDF:1
South Asia,Afghanistan,1,museum:1,RSS/Atom;JSON-LD;WordPress REST:1
South Asia,Bangladesh,7,cultural center:3; museum:3; library:1,(none detected):3; IIIF;RSS/Atom;JSON-LD;WordPress REST:1; RSS/Atom;JSON-LD;WordPress REST:1; IIIF:1; RSS/Atom:1
South Asia,Maldives,1,library:1,Static JS App;PDF:1
Southeast Asia,Brunei,1,archives:1,RSS/Atom:1
Southeast Asia,Cambodia,4,museum:2; cultural center:1; archives:1,RSS/Atom;JSON-LD;WordPress REST:1; (none detected):1; PDF:1; RSS/Atom;WordPress REST:1
Southeast Asia,Malaysia,24,museum:16; library:4; art gallery:2; archives:2,RSS/Atom;PDF:8; RSS/Atom;JSON-LD;WordPress REST:7; (none detected):5; RSS/Atom:1; RSS/Atom;JSON-LD:1; RSS/Atom;JSON-LD;WordPress REST;Static JS App:1; IIIF;Static JS App:1
Southeast Asia,Singapore,24,museum:18; library:3; cultural center:2; art museum:1,(none detected):12; RSS/Atom;JSON-LD;WordPress REST:4; Static JS App:3; IIIF;JSON-LD;PDF:1; RSS/Atom;JSON-LD;Static JS App:1; IIIF;RSS/Atom:1; PDF:1; RSS/Atom;JSON-LD;Static JS App;PDF:1
Southeast Asia,Thailand,22,museum:15; library:5; cultural center:1; archives:1,(none detected):11; RSS/Atom;JSON-LD;WordPress REST:4; PDF:2; RSS/Atom;WordPress REST:1; JSON-LD;WordPress REST:1; WordPress REST:1; JSON-LD;PDF:1; RSS/Atom;JSON-LD:1
Southeast Asia,Vietnam,8,museum:6; archives:1; library:1,(none detected):2; RSS/Atom;JSON-LD;Static JS App:1; RSS/Atom;JSON-LD:1; RSS/Atom:1; RSS/Atom;JSON-LD;WordPress REST:1; JSON-LD:1; IIIF:1
