rank,source_name,candidate_objects,weighted_gap_points,source_visible_gap_objects,verified_open_gap_objects,img03_unreviewed_objects,img02_objects,img01_objects,img00_objects,img04_objects,top_required_action,example_surface_ids
1,Cooper Hewitt Collection GraphQL API,137,61.65,0,137,0,137,0,0,0,img02_open_rights_review,SURF-CHW2026R001;SURF-CHW2026R002;SURF-CHW2026R003;SURF-CHW2026R004;SURF-CHW2026R005;SURF-CHW2026R006
2,Wellcome Collection Catalogue API,84,39.45,3,84,0,81,0,3,0,img02_open_rights_review,SURF-IR1970R044;SURF-IR1970R047;SURF-IR1970R060;SURF-IR1970R001;SURF-IR1970R002;SURF-IR1970R004
3,Library of Congress loc.gov API,50,38.90,13,50,0,0,37,0,13,img01_item_image_and_rights_review,SURF-ER1830R004;SURF-ER1830R008;SURF-ER1830R018;SURF-ER1830R024;SURF-ER1830R029;SURF-ER1830R062
4,Georgia State University Library Digital Collections / CONTENTdm,85,38.25,0,85,0,85,0,0,0,img02_open_rights_review,SURF-GSU1970R001;SURF-GSU1970R002;SURF-GSU1970R003;SURF-GSU1970R004;SURF-GSU1970R005;SURF-GSU1970R006
5,Art Institute of Chicago API,36,36.00,36,36,0,0,0,35,1,img00_source_visible_repair,SURF-ER1830R052;SURF-ER1830R064;SURF-ER1830R065;SURF-ER1830R066;SURF-ER1830R068;SURF-ER1830R069
6,Internet Archive / text and periodical collections,75,33.75,0,75,0,75,0,0,0,img02_open_rights_review,SURF-LPC2026R030;SURF-LPC2026R031;SURF-LPC2026R033;SURF-LPC2026R034;SURF-LPC2026R035;SURF-LPC2026R041
7,V&A Collections API,44,30.25,19,44,0,25,0,0,19,img02_open_rights_review,SURF-COMPOUND-ARUNDEL-SOCIETY-CHROMOLITHOGRAPH-COPIES;SURF-COMPOUND-HUNTLEY-PALMERS-TRADE-CARDS;SURF-MC1930R002;SURF-MC1930R005;SURF-MC1930R027;SURF-MC1930R028
8,Te Papa Collections Online,56,25.75,1,56,0,55,0,1,0,img02_open_rights_review,SURF-LPC2026R008;SURF-GAPIT2026R001;SURF-GAPIT2026R002;SURF-GAPIT2026R003;SURF-GAPIT2026R004;SURF-GAPIT2026R005
9,DigitalNZ,51,22.95,0,51,0,51,0,0,0,img02_open_rights_review,SURF-DNZPOSTR002;SURF-DNZPOSTR009;SURF-DNZPOSTR010;SURF-DNZPOSTR012;SURF-DNZPOSTR020;SURF-DNZPOSTR024
10,NAIDOC Poster Gallery,49,22.05,0,49,0,49,0,0,0,img02_open_rights_review,SURF-GAPIT2026R017;SURF-GAPIT2026R018;SURF-GAPIT2026R019;SURF-GAPIT2026R020;SURF-GAPIT2026R021;SURF-GAPIT2026R022
11,Princeton University Library Digital Collections / Figgy,41,18.45,0,41,0,41,0,0,0,img02_open_rights_review,SURF-PUL1970R001;SURF-PUL1970R002;SURF-PUL1970R003;SURF-PUL1970R004;SURF-PUL1970R005;SURF-PUL1970R006
12,The Met Open Access,15,15.00,15,15,0,0,0,0,15,img04_text_state_review,SURF-MC1930R007;SURF-MC1930R055;SURF-MC1930R071;SURF-MC1930R072;SURF-MC1930R073;SURF-MC1930R074
13,Another Graphic,15,6.75,0,15,0,15,0,0,0,img02_open_rights_review,SURF-ERS1970R001;SURF-ERS1970R002;SURF-ERS1970R003;SURF-ERS1970R004;SURF-ERS1970R005;SURF-ERS1970R007
14,Gallica / BnF APIs,15,6.75,0,15,0,15,0,0,0,img02_open_rights_review,SURF-GA1970R016;SURF-GA1970R018;SURF-GA1970R023;SURF-GA1970R024;SURF-GA1970R027;SURF-GA1970R055
15,Malaysia Design Archive,12,5.95,1,12,0,11,0,0,1,img02_open_rights_review,SURF-IAC1990R002;SURF-IAC1990R001;SURF-IAC1990R003;SURF-IAC1990R004;SURF-IAC1990R005;SURF-IAC1990R006
16,Malaysian Design Archive,5,5.00,5,5,0,0,0,0,5,img04_text_state_review,SURF-NMR1990R0001;SURF-NMR1990R0002;SURF-NMR1990R0003;SURF-NMR1990R0004;SURF-NMR1990R0005
17,National Repository of Nigeria,5,5.00,5,5,0,0,0,0,5,img04_text_state_review,SURF-PIC1970R0007;SURF-PIC1970R0008;SURF-SCG1931R0017;SURF-SCG1931R0018;SURF-SCG1931R0019
18,Asian Film Archive,9,4.05,0,9,0,9,0,0,0,img02_open_rights_review,SURF-EW1970R001;SURF-EW1970R002;SURF-EW1970R003;SURF-EW1970R004;SURF-EW1970R005;SURF-EW1970R006
19,American University of Beirut ScholarWorks,4,4.00,4,4,0,0,0,0,4,img04_text_state_review,SURF-SCG1931R0013;SURF-SCG1931R0014;SURF-SCG1931R0015;SURF-SCG1931R0016
20,Stellenbosch University Scholar,4,4.00,4,4,0,0,0,0,4,img04_text_state_review,SURF-SCG1931R0005;SURF-SCG1931R0006;SURF-SCG1931R0007;SURF-SCG1931R0008
21,University of Ghana Digital Collections,4,4.00,4,4,0,0,0,0,4,img04_text_state_review,SURF-PIC1970R0001;SURF-PIC1970R0002;SURF-PIC1970R0003;SURF-PIC1970R0004
22,University of Pretoria Research Repository,4,4.00,4,4,0,0,0,0,4,img04_text_state_review,SURF-SCG1931R0001;SURF-SCG1931R0002;SURF-SCG1931R0003;SURF-SCG1931R0004
23,Wits University WiredSpace,4,4.00,4,4,0,0,0,0,4,img04_text_state_review,SURF-SCG1931R0009;SURF-SCG1931R0010;SURF-SCG1931R0011;SURF-SCG1931R0012
24,Design Reviewed,8,3.60,0,8,0,8,0,0,0,img02_open_rights_review,SURF-EW1970R020;SURF-EW1970R021;SURF-EW1970R022;SURF-EW1970R023;SURF-EW1970R024;SURF-EW1970R025
25,Letterform Archive,8,3.60,0,8,0,8,0,0,0,img02_open_rights_review,SURF-EW1970R028;SURF-EW1970R029;SURF-EW1970R030;SURF-EW1970R031;SURF-EW1970R032;SURF-EW1970R033
26,University of Cape Town Digital Collections,8,3.60,0,8,0,8,0,0,0,img02_open_rights_review,SURF-PIC1970R0005;SURF-PIC1970R0006;SURF-SCG1931R0020;SURF-SCG1931R0021;SURF-SCG1931R0022;SURF-SCG1931R0023
27,Auckland Libraries Heritage Collections / CONTENTdm,5,3.35,2,5,0,3,0,0,2,img02_open_rights_review,SURF-SBC1970R0009;SURF-SBC1970R0010;SURF-SBC1970R0001;SURF-SBC1970R0007;SURF-SBC1970R0008
28,GALA Queer Archive,4,2.35,1,4,0,3,0,0,1,img02_open_rights_review,SURF-NMR1990R0015;SURF-NMR1990R0014;SURF-NMR1990R0016;SURF-NMR1990R0017
29,Los Angeles Public Library Tessa / CONTENTdm,5,2.25,0,5,0,5,0,0,0,img02_open_rights_review,SURF-SBC1970R0017;SURF-SBC1970R0018;SURF-SBC1970R0019;SURF-SBC1970R0020;SURF-SBC1970R0021
30,University of Miami Libraries Digital Collections / CONTENTdm,5,2.25,0,5,0,5,0,0,0,img02_open_rights_review,SURF-SBC1970R0031;SURF-SBC1970R0032;SURF-SBC1970R0033;SURF-SBC1970R0034;SURF-SBC1970R0035
31,University of Washington Digital Collections / CONTENTdm,5,2.25,0,5,0,5,0,0,0,img02_open_rights_review,SURF-SBC1970R0022;SURF-SBC1970R0023;SURF-SBC1970R0024;SURF-SBC1970R0025;SURF-SBC1970R0027
32,NAIDOC / AIATSIS,2,2.00,2,2,0,0,0,0,2,img04_text_state_review,SURF-NXS2026R009;SURF-NXS2026R010
33,African Digital Heritage,4,1.80,0,4,0,4,0,0,0,img02_open_rights_review,SURF-NMR1990R0010;SURF-NMR1990R0011;SURF-NMR1990R0012;SURF-NMR1990R0013
34,Barjeel Art Foundation,4,1.80,0,4,0,4,0,0,0,img02_open_rights_review,SURF-NMR1990R0006;SURF-NMR1990R0007;SURF-NMR1990R0008;SURF-NMR1990R0009
35,Desain Grafis Indonesia,4,1.80,0,4,0,4,0,0,0,img02_open_rights_review,SURF-EW1970R010;SURF-EW1970R011;SURF-EW1970R012;SURF-EW1970R013
36,Indian Memory Project,4,1.80,0,4,0,4,0,0,0,img02_open_rights_review,SURF-NMR1990R0018;SURF-NMR1990R0019;SURF-NMR1990R0020;SURF-NMR1990R0021
37,National Archives of Kazakhstan,2,1.45,1,2,0,1,0,0,1,img04_text_state_review,SURF-NMSP2026R0058;SURF-NMIIC2026R0147
38,Biblioteca Nacional Digital de Chile / Memoria Chilena,3,1.35,0,3,0,3,0,0,0,img02_open_rights_review,SURF-NXS2026R001;SURF-NXS2026R006;SURF-NXS2026R008
39,SMU Libraries Digital Collections / CONTENTdm,3,1.35,0,3,0,3,0,0,0,img02_open_rights_review,SURF-SBC1970R0028;SURF-SBC1970R0029;SURF-SBC1970R0030
40,South African History Archive,3,1.35,0,3,0,3,0,0,0,img02_open_rights_review,SURF-NXS2026R004;SURF-NXS2026R005;SURF-NXS2026R007
