category,macro,country,object_term,depth,status,added,failures_delta,rejects_delta,rows_after,elapsed_seconds
Category:Posters by country,,,poster,0,completed,0,0,0,0,0.9
Category:Political posters by country,,,political poster,0,completed,0,0,0,0,1.7
Category:Propaganda posters by country,,,propaganda poster,0,completed,0,0,0,0,3.5
Category:Film posters by country,,,film poster,0,completed,0,0,0,0,4.3
Category:Travel posters by country,,,travel poster,0,completed,0,0,0,0,5.1
Category:Postage stamps by country,,,postage stamp,0,completed,0,0,0,0,6.0
Category:Book covers by country,,,book cover,0,completed,0,0,0,0,6.9
Category:Magazine covers by country,,,magazine cover,0,completed,0,0,0,0,7.6
Category:Packaging by country,,,packaging,0,completed,0,0,0,0,8.5
Category:Labels by country,,,label,0,completed,0,0,0,0,9.3
Category:Brochures by country,,,brochure,0,completed,0,1,0,0,26.2
Category:Pamphlets by country,,,pamphlet,0,completed,0,0,0,0,43.3
Category:Typography by country,,,typography,0,completed,0,0,0,0,44.0
Category:Posters by country by subject,,,poster,1,completed,0,0,0,0,44.8
Category:Posters by subject by country,,,poster,1,completed,0,0,0,0,45.6
Category:Posters by century by country,,,poster,1,completed,0,0,0,0,46.4
Category:Posters by decade by country,,,poster,1,completed,0,0,0,0,47.2
Category:Posters by year by country,,,poster,1,completed,0,0,0,0,48.0
Category:Billboards by country,,,poster,1,completed,0,0,0,0,48.8
Category:Poster artists by country,,,poster,1,completed,0,0,0,0,49.6
Category:Posters of Algeria,Africa,Algeria,poster,1,completed,0,1,0,0,67.4
Category:Posters of Argentina,Latin America / Caribbean,Argentina,poster,1,completed,0,1,15,0,102.7
Category:Posters of Armenia,Eastern Europe / Caucasus,Armenia,poster,1,completed,4,0,0,4,104.4
Category:Posters of Australia,Oceania / Pacific,Australia / Indigenous,poster,1,completed,10,0,31,14,107.4
Category:Posters of Azerbaijan,Eastern Europe / Caucasus,Azerbaijan,poster,1,completed,6,0,8,20,110.4
Category:Posters of Bangladesh,South Asia,Bangladesh,poster,1,completed,0,0,2,20,111.9
Category:Posters of Bolivia,Latin America / Caribbean,Bolivia,poster,1,completed,0,1,0,20,129.7
Category:Posters of Brazil,Latin America / Caribbean,Brazil,poster,1,completed,0,1,40,20,164.5
Category:Posters of Bulgaria,Eastern Europe / Caucasus,Bulgaria,poster,1,completed,10,0,15,30,167.5
Category:Posters of Cameroon,Africa,Cameroon,poster,1,completed,2,0,0,32,169.1
Category:Posters of Chile,Latin America / Caribbean,Chile,poster,1,completed,0,0,10,32,171.4
Category:Posters of China,East Asia,China,poster,1,completed,22,0,21,54,174.1
Category:Posters of Colombia,Latin America / Caribbean,Colombia,poster,1,completed,0,1,0,54,191.8
Category:Posters of Croatia,Eastern Europe / Caucasus,Croatia,poster,1,completed,17,1,3,71,216.3
Category:Posters of Cuba,Latin America / Caribbean,Cuba,poster,1,completed,31,0,1,102,219.6
Category:Posters of Egypt,Africa,Egypt,poster,1,completed,1,0,1,103,221.1
Category:Posters of Ghana,Africa,Ghana,poster,1,completed,2,0,0,105,222.7
Category:Posters of Hong Kong,East Asia,Hong Kong,poster,1,completed,4,0,1,109,224.7
Category:Posters of India,South Asia,India,poster,1,completed,0,1,0,109,242.4
Category:Posters of Indonesia,Southeast Asia,Indonesia,poster,1,completed,0,1,38,109,277.7
Category:Posters of Iran,Middle East and North Africa,Iran,poster,1,completed,0,0,10,109,279.9
Category:Posters of Iraq,Middle East and North Africa,Iraq,poster,1,completed,0,0,0,109,281.6
Category:Posters of Kazakhstan,Central Asia,Kazakhstan,poster,1,completed,0,0,1,109,283.1
Category:Posters of Kenya,Africa,Kenya,poster,1,completed,1,0,0,110,284.7
Category:Posters of Korea,East Asia,Korea,poster,1,completed,0,1,0,110,302.4
Category:Posters of Lebanon,Middle East and North Africa,Lebanon,poster,1,completed,1,1,0,111,336.3
Category:Posters of Malaysia,Southeast Asia,Malaysia,poster,1,completed,5,0,4,116,338.5
Category:Posters of Mexico,Latin America / Caribbean,Mexico,poster,1,completed,0,0,38,116,341.1
Category:Posters of Morocco,Africa,Morocco,poster,1,completed,0,0,0,116,342.7
Category:Posters of Mozambique,Africa,Mozambique,poster,1,completed,0,0,0,116,344.2
Category:Posters of Myanmar,Southeast Asia,Myanmar,poster,1,completed,0,1,0,116,361.9
Category:Posters of Nepal,South Asia,Nepal,poster,1,completed,0,1,0,116,395.9
Category:Posters of New Zealand,Oceania / Pacific,Aotearoa New Zealand,poster,1,completed,12,0,11,128,399.8
Category:Posters of Nigeria,Africa,Nigeria,poster,1,completed,0,0,5,128,401.6
Category:Posters of North Korea,East Asia,Korea,poster,1,completed,3,0,19,131,404.9
Category:Posters of Palestine,Middle East and North Africa,Palestine,poster,1,completed,14,0,8,145,408.2
Category:Posters of Paraguay,Latin America / Caribbean,Paraguay,poster,1,completed,0,1,0,145,425.7
Category:Posters of Peru,Latin America / Caribbean,Peru,poster,1,completed,0,1,49,145,463.1
Category:Posters of the Philippines,Southeast Asia,Philippines,poster,1,completed,0,0,4,145,464.9
Category:Posters of Poland,Eastern Europe / Caucasus,Poland,poster,1,completed,11,0,20,156,469.3
Category:Posters of Romania,Eastern Europe / Caucasus,Romania,poster,1,completed,3,0,10,159,471.6
Category:Posters of Serbia,Eastern Europe / Caucasus,Serbia,poster,1,completed,9,0,7,168,474.8
Category:Posters of Singapore,Southeast Asia,Singapore,poster,1,completed,0,1,0,168,492.3
Category:Posters of South Africa,Africa,South Africa,poster,1,completed,0,1,12,168,516.4
Category:Posters of South Korea,East Asia,Korea,poster,1,completed,3,0,3,171,518.3
Category:Posters of Syria,Middle East and North Africa,Syria,poster,1,completed,2,0,0,173,519.8
Category:Posters of Taiwan,East Asia,Taiwan,poster,1,completed,24,0,25,197,522.5
Category:Posters of Tajikistan,Central Asia,Tajikistan,poster,1,completed,1,0,0,198,524.1
Category:Posters of Thailand,Southeast Asia,Thailand,poster,1,completed,0,1,0,198,541.8
Category:Posters of Tunisia,Africa,Tunisia,poster,1,completed,7,1,18,205,577.4
Category:Posters of Turkey,Middle East and North Africa,Turkey,poster,1,completed,0,0,40,205,581.3
Category:Posters of Turkmenistan,Central Asia,Turkmenistan,poster,1,completed,1,0,0,206,582.9
Category:Posters of Ukraine,Eastern Europe / Caucasus,Ukraine,poster,1,completed,0,0,37,206,585.9
Category:Posters of Uruguay,Latin America / Caribbean,Uruguay,poster,1,completed,2,0,8,208,588.0
Category:Posters in Uzbekistan,Central Asia,Uzbekistan,poster,1,completed,0,1,0,208,605.8
Category:Posters of Vietnam,Southeast Asia,Vietnam,poster,1,completed,8,1,1,216,640.7
Category:Posters of Venezuela,Latin America / Caribbean,Venezuela,poster,1,completed,3,0,0,219,642.3
Category:Political posters of Argentina,Latin America / Caribbean,Argentina,political poster,1,completed,0,0,19,219,645.7
