metric,value,notes
candidate_payload,generated/public_surfaces_prefreeze_candidate_v1.json,Local evaluation payload path.
input_files,44,All capture record CSV inputs discovered.
raw_input_rows,19886,Rows before P0 exclusion and dedupe.
skipped_by_p0_exclusion,3554,Rows blocked by pre-freeze cleaning gate.
rows_after_exclusion,16332,Rows eligible for global dedupe.
deduped_candidate_rows,16289,Rows passed to payload builder.
dedupe_removed_rows,43,Duplicate rows removed before surface build.
candidate_surfaces,16175,Surfaces generated in candidate payload.
candidate_active_public_sources,14997,Distinct source names in candidate payload.
candidate_research_dossiers,16175,Generated research dossier anchors.
candidate_image_state:IMG00,41,Candidate surface image state distribution.
candidate_image_state:IMG01,19,Candidate surface image state distribution.
candidate_image_state:IMG02,569,Candidate surface image state distribution.
candidate_image_state:IMG03,15406,Candidate surface image state distribution.
candidate_image_state:IMG04,140,Candidate surface image state distribution.
