source_name,captured_records,image_states,notes
Стас Намин,2,IMG03:2,Final-gap open metadata capture; source-hosted URLs only; post-2010 stamp/event-photo exclusions applied
"Election poster, 1959 , MSU Vietnam Group Archive",1,IMG03:1,Final-gap open metadata capture; source-hosted URLs only; post-2010 stamp/event-photo exclusions applied
http://hdl.handle.net/10934/RM0001.COLLECT.449225,1,IMG03:1,Final-gap open metadata capture; source-hosted URLs only; post-2010 stamp/event-photo exclusions applied
Heritage Auctions,1,IMG03:1,Final-gap open metadata capture; source-hosted URLs only; post-2010 stamp/event-photo exclusions applied
"https://polona.pl/item/afisz-inc-w-niedziele-dnia-18-go-listopada-1945-roku-o-godzinie-18-ej-wieczor,OTgzMDA1NjQ/0/#info:metadata",1,IMG03:1,Final-gap open metadata capture; source-hosted URLs only; post-2010 stamp/event-photo exclusions applied
Promotional poster in own collection.,1,IMG03:1,Final-gap open metadata capture; source-hosted URLs only; post-2010 stamp/event-photo exclusions applied
Stas Namin Centre,1,IMG03:1,Final-gap open metadata capture; source-hosted URLs only; post-2010 stamp/event-photo exclusions applied
"State Secretariat if the Republic of Indonesia, (1975) 30 Tahun Indonesia Merdeka p88",1,IMG03:1,Final-gap open metadata capture; source-hosted URLs only; post-2010 stamp/event-photo exclusions applied
This file was derived from: Cleopatra poster.jpg,1,IMG03:1,Final-gap open metadata capture; source-hosted URLs only; post-2010 stamp/event-photo exclusions applied
Vietnam,1,IMG03:1,Final-gap open metadata capture; source-hosted URLs only; post-2010 stamp/event-photo exclusions applied
Visualisasi Hasil Pembangunan Orde Baru: Pelita I-Pelita II-Pelita III (Visualization of Development Gains During New Order Administration),1,IMG03:1,Final-gap open metadata capture; source-hosted URLs only; post-2010 stamp/event-photo exclusions applied
