capture_id,source_id,source_name,source_title,image_presence_code,assigned_cell_id,assigned_cell_name,assignment_type,assignment_confidence,assignment_basis,matched_terms,recommended_next_step
ECAP001,SRC020,Art Institute of Chicago API,Buy a Little Present for the Kaiser,IMG00,PC02,World War public-information and propaganda posters,proposed_new_cell,high,keyword_rule,\bKaiser\b,Create or confirm a public-information/war-propaganda poster cell.
ECAP002,SRC020,Art Institute of Chicago API,La Gismonda (Sarah Bernhardt),IMG03,PC01,Art Nouveau and Belle Epoque poster culture,proposed_new_cell,high,keyword_rule,\bMucha\b; \bSarah Bernhardt\b,Create or confirm a poster-culture cell for Art Nouveau/Belle Epoque commercial lithography.
ECAP003,SRC020,Art Institute of Chicago API,"Zodiaque (""La Plume"")",IMG03,PC01,Art Nouveau and Belle Epoque poster culture,proposed_new_cell,high,keyword_rule,\bMucha\b; \bLa Plume\b,Create or confirm a poster-culture cell for Art Nouveau/Belle Epoque commercial lithography.
ECAP004,SRC020,Art Institute of Chicago API,To the Amputees—Join the Workforce,IMG00,UNASSIGNED,Unassigned capture pool,unassigned_pool,unknown,no_rule_match,,Review manually or add a new cell rule before next generation.
ECAP005,SRC020,Art Institute of Chicago API,Keep These Off the U.S.A.,IMG00,UNASSIGNED,Unassigned capture pool,unassigned_pool,unknown,no_rule_match,,Review manually or add a new cell rule before next generation.
ECAP006,SRC020,Art Institute of Chicago API,1952 Exhibition Poster,IMG00,PC06,Exhibition poster as design-history metadata,proposed_new_cell,medium,keyword_rule,\bExhibition Poster\b,Create or confirm an exhibition-poster metadata cell.
ECAP007,SRC020,Art Institute of Chicago API,This Is the Enemy,IMG00,PC02,World War public-information and propaganda posters,proposed_new_cell,high,keyword_rule,\benemy\b,Create or confirm a public-information/war-propaganda poster cell.
ECAP008,SRC020,Art Institute of Chicago API,"Barack Obama ""Hope"" Poster",IMG00,PC05,Contemporary campaign graphics and network circulation,proposed_new_cell,high,keyword_rule,\bObama\b; \bHope\b,Create or confirm a contemporary campaign/network graphic cell.
ECAP009,SRC020,Art Institute of Chicago API,Invest in the Victory Liberty Loan,IMG00,PC02,World War public-information and propaganda posters,proposed_new_cell,high,keyword_rule,\bLiberty Loan\b,Create or confirm a public-information/war-propaganda poster cell.
ECAP010,SRC020,Art Institute of Chicago API,An Attempt Using Unfit Means,IMG00,UNASSIGNED,Unassigned capture pool,unassigned_pool,unknown,no_rule_match,,Review manually or add a new cell rule before next generation.
ECAP011,SRC020,Art Institute of Chicago API,The Modern Poster,IMG00,PC06,Exhibition poster as design-history metadata,proposed_new_cell,medium,keyword_rule,\bModern Poster\b,Create or confirm an exhibition-poster metadata cell.
ECAP012,SRC020,Art Institute of Chicago API,Untitled,IMG00,UNASSIGNED,Unassigned capture pool,unassigned_pool,unknown,no_rule_match,,Review manually or add a new cell rule before next generation.
ECAP013,SRC020,Art Institute of Chicago API,Our One-Thousandth Blow,IMG00,UNASSIGNED,Unassigned capture pool,unassigned_pool,unknown,no_rule_match,,Review manually or add a new cell rule before next generation.
ECAP014,SRC020,Art Institute of Chicago API,No. 2 Spring,IMG00,UNASSIGNED,Unassigned capture pool,unassigned_pool,unknown,no_rule_match,,Review manually or add a new cell rule before next generation.
ECAP015,SRC020,Art Institute of Chicago API,"Moulin Rouge, La Goulue",IMG03,PC01,Art Nouveau and Belle Epoque poster culture,proposed_new_cell,high,keyword_rule,\bToulouse-Lautrec\b; \bMoulin Rouge\b; \bLa Goulue\b,Create or confirm a poster-culture cell for Art Nouveau/Belle Epoque commercial lithography.
ECAP016,SRC022,Cleveland Museum Open Access API,Yvette Guilbert,IMG03,PC01,Art Nouveau and Belle Epoque poster culture,proposed_new_cell,high,keyword_rule,\bToulouse-Lautrec\b; \bYvette Guilbert\b,Create or confirm a poster-culture cell for Art Nouveau/Belle Epoque commercial lithography.
ECAP017,SRC022,Cleveland Museum Open Access API,Virgin and Child,IMG03,UNASSIGNED,Unassigned capture pool,unassigned_pool,unknown,no_rule_match,,Review manually or add a new cell rule before next generation.
ECAP018,SRC022,Cleveland Museum Open Access API,Poster for the Lembrée Gallery,IMG03,UNASSIGNED,Unassigned capture pool,unassigned_pool,unknown,no_rule_match,,Review manually or add a new cell rule before next generation.
ECAP019,SRC022,Cleveland Museum Open Access API,May Milton,IMG03,PC01,Art Nouveau and Belle Epoque poster culture,proposed_new_cell,high,keyword_rule,\bToulouse-Lautrec\b; \bMay Milton\b,Create or confirm a poster-culture cell for Art Nouveau/Belle Epoque commercial lithography.
ECAP020,SRC022,Cleveland Museum Open Access API,Sculptress,IMG03,UNASSIGNED,Unassigned capture pool,unassigned_pool,unknown,no_rule_match,,Review manually or add a new cell rule before next generation.
ECAP021,SRC022,Cleveland Museum Open Access API,Bill Poster,IMG03,UNASSIGNED,Unassigned capture pool,unassigned_pool,unknown,no_rule_match,,Review manually or add a new cell rule before next generation.
ECAP022,SRC022,Cleveland Museum Open Access API,Masters of the Poster: Poster for Exhibition of Artistic Posters of Wilhelm Söborg,IMG03,UNASSIGNED,Unassigned capture pool,unassigned_pool,unknown,no_rule_match,,Review manually or add a new cell rule before next generation.
ECAP023,SRC022,Cleveland Museum Open Access API,May Belfort,IMG03,PC01,Art Nouveau and Belle Epoque poster culture,proposed_new_cell,high,keyword_rule,\bToulouse-Lautrec\b; \bMay Belfort\b,Create or confirm a poster-culture cell for Art Nouveau/Belle Epoque commercial lithography.
ECAP024,SRC022,Cleveland Museum Open Access API,Street Advertising,IMG03,UNASSIGNED,Unassigned capture pool,unassigned_pool,unknown,no_rule_match,,Review manually or add a new cell rule before next generation.
ECAP025,SRC022,Cleveland Museum Open Access API,Perched upon a Bust of Pallas,IMG03,UNASSIGNED,Unassigned capture pool,unassigned_pool,unknown,no_rule_match,,Review manually or add a new cell rule before next generation.
ECAP026,SRC005,V&A Collections API,Piper at the Gates of Dawn,IMG02,UNASSIGNED,Unassigned capture pool,unassigned_pool,unknown,no_rule_match,,Review manually or add a new cell rule before next generation.
ECAP027,SRC005,V&A Collections API,Zimbabwe.  One Enemy: Imperialism [verso],IMG02,C12,Medu / Culture and Resistance,existing_scope_cell_contextual,medium,keyword_rule,\bZimbabwe\b; \bimperialism\b,Southern African liberation/political print context; not automatically Medu.
ECAP028,SRC005,V&A Collections API,There flows from Latin America,IMG02,C04,Taller de Grafica Popular,existing_scope_cell_contextual,low,keyword_rule,\bLatin America\b,Latin American political poster context; not automatically Taller de Grafica Popular.
ECAP029,SRC005,V&A Collections API,Picture Posters,IMG02,PC06,Exhibition poster as design-history metadata,proposed_new_cell,medium,keyword_rule,\bPicture Posters\b,Create or confirm an exhibition-poster metadata cell.
ECAP030,SRC005,V&A Collections API,Political Poster Show 1977,IMG02,PC06,Exhibition poster as design-history metadata,proposed_new_cell,medium,keyword_rule,\bPoster Show\b,Create or confirm an exhibition-poster metadata cell.
ECAP031,SRC005,V&A Collections API,A nation that enslaves another cannot itself be free,IMG02,UNASSIGNED,Unassigned capture pool,unassigned_pool,unknown,no_rule_match,,Review manually or add a new cell rule before next generation.
ECAP032,SRC005,V&A Collections API,Self-Determination For The Irish People,IMG04,UNASSIGNED,Unassigned capture pool,unassigned_pool,unknown,no_rule_match,,Review manually or add a new cell rule before next generation.
ECAP033,SRC005,V&A Collections API,Victory to People's War,IMG02,C12,Medu / Culture and Resistance,existing_scope_cell_contextual,medium,keyword_rule,\bPeople'?s War\b,Southern African liberation/political print context; not automatically Medu.
ECAP034,SRC005,V&A Collections API,Zimbabwe. One Enemy: Imperialism.,IMG04,C12,Medu / Culture and Resistance,existing_scope_cell_contextual,medium,keyword_rule,\bZimbabwe\b; \bimperialism\b,Southern African liberation/political print context; not automatically Medu.
ECAP035,SRC005,V&A Collections API,Free World. Third World. Socialist World.,IMG04,PC03,1970s London political solidarity posters,proposed_new_cell,high,keyword_rule,\bSocialist World\b,Create or confirm a 1970s London political-solidarity poster cell.
ECAP036,SRC005,V&A Collections API,A for africa,IMG04,C12,Medu / Culture and Resistance,existing_scope_cell_contextual,medium,keyword_rule,\bAfrica\b,Southern African liberation/political print context; not automatically Medu.
ECAP037,SRC005,V&A Collections API,Supporting An Army Of The People And For The People,IMG04,UNASSIGNED,Unassigned capture pool,unassigned_pool,unknown,no_rule_match,,Review manually or add a new cell rule before next generation.
ECAP038,SRC005,V&A Collections API,Support The Struggle Of The United Farm Workers,IMG04,PC03,1970s London political solidarity posters,proposed_new_cell,high,keyword_rule,\bFarm Workers\b,Create or confirm a 1970s London political-solidarity poster cell.
ECAP039,SRC005,V&A Collections API,In Support Of The Courageous Stand Made By Hull Prisoners,IMG04,PC03,1970s London political solidarity posters,proposed_new_cell,high,keyword_rule,\bHull Prisoners\b,Create or confirm a 1970s London political-solidarity poster cell.
ECAP040,SRC005,V&A Collections API,Air India. Immingrant Labour.,IMG02,UNASSIGNED,Unassigned capture pool,unassigned_pool,unknown,no_rule_match,,Review manually or add a new cell rule before next generation.
ECAP041,SRC006,Library of Congress loc.gov API,"[Political posters related to issues in Pakistan and Afghanistan, some published in Quetta, Pakistan, including posters issued by the Taliban and Jamiat Ulema-e-Islam, posters in sympathy with the Northern alliance and other anti-Taliban movements in Afghanistan, posters supporting Ossama Bin Laden and Saddam Hussein, and posters about the separatist movement in Balochistan]",IMG04,PC04,South and Central Asian political poster collections,proposed_new_cell,high,keyword_rule,\bPakistan\b; \bAfghanistan\b; \bBalochistan\b; \bQuetta\b; \bTaliban\b,Create or confirm a South/Central Asian political poster collection cell.
ECAP042,SRC006,Library of Congress loc.gov API,"[Posters depicting Belize's People's United Party (PUP); Brazil: film posters, cultural issues, reproductive rights; Guyana: political posters, environmental issues; Suriname: bird-watching, environmental issues; French Guyana: environmental issues, Carnival, spaceport; Uruguay: film festival; AIDS awareness; disability awareness; indigenous cultures; cinema; travel; species extinction; cultural events; children's books; IBASE; and Coca-Cola themed posters]",IMG04,C14,Gran Fury / ACT UP,existing_scope_cell_contextual,low,keyword_rule,\bAIDS\b,Thematic AIDS/activist graphic context; not automatically Gran Fury/ACT UP.
ECAP043,SRC006,Library of Congress loc.gov API,[Polish posters: Ramayana exhibition poster by Stasis; Gamelan exhibition poster by Jerzy Czerniawski; Indonesia exhibition poster by Maria Janiga],IMG04,C02,Polish Poster School,existing_scope_cell,high,keyword_rule,\bPolish\b; \bStasis\b; \bCzerniawski\b; \bJaniga\b,Polish poster-school candidate; verify object-level relation before promotion.
ECAP044,SRC006,Library of Congress loc.gov API,"Production. The first of a series of production posters designed by the Office of Emergency Management for display in defense plants throughout the United States. The poster was designed for the OEM by Jean Carlu, eminent poster artist and graphic design expert. The poster measures 30 x 40 inches in size and was issued June 23, 1941",IMG04,PC02,World War public-information and propaganda posters,proposed_new_cell,high,keyword_rule,\bOffice of Emergency Management\b,Create or confirm a public-information/war-propaganda poster cell.
ECAP045,SRC006,Library of Congress loc.gov API,"Poster. Men working together. A defense production poster for display in industrial plants throughout the nation. The poster, which measures 30 x 40 inches was designed and distributed by the Division of Information of the Office of War Information (OWI). The poster was issued November 18, 1941",IMG04,PC02,World War public-information and propaganda posters,proposed_new_cell,high,keyword_rule,\bOffice of War Information\b,Create or confirm a public-information/war-propaganda poster cell.
ECAP046,SRC006,Library of Congress loc.gov API,"Civilian defense poster. ""Jerry"", the American eagle, which posed for this striking poster, is a resident of the National Zoological Park, Washington, D.C. The poster, in four colors, was issued today to illustrate Civilian Defense Week, observance of which begins Armistice Day, November 11, by proclamation of President Roosevelt. Specific days have been set aside throughout the week to mark special aspects of the Office of Civilian Defense, Office of Emergency Management (OEM). From an actual photograph. It is being distributed by state and local defense throughout the nation. Poster designed by Herbert Matter, distributed by the Office of Civilian Defense. It is printed in four colors. Copies may be obtained from state and local councils",IMG01,PC02,World War public-information and propaganda posters,proposed_new_cell,high,keyword_rule,\bCivilian Defense\b; \bdefense poster\b; \bOffice of War Information\b; \bOffice of Emergency Management\b,Create or confirm a public-information/war-propaganda poster cell.
ECAP047,SRC006,Library of Congress loc.gov API,"Civilian defense poster. There's a place for every American in the Civilian Defense program as proclaimed in the striking poster above, designed by Charles Tudor, and issued today in two colors by the Office of War Information (OWI). The poster emphasizes the basic emblem of the Office of Civilian Defense. It is printed in red and blue, and is being distributed by state and local defense councils throughout the nation. Poster designed by Charles Tudor, distributed by the Office of Civilian Defense. It is printed in red and blue on white. Copies may be obtained from state and local councils",IMG01,PC02,World War public-information and propaganda posters,proposed_new_cell,high,keyword_rule,\bCivilian Defense\b; \bdefense poster\b; \bOffice of War Information\b,Create or confirm a public-information/war-propaganda poster cell.
ECAP048,SRC006,Library of Congress loc.gov API,"United effort poster. The united effort of the American people to match the Axis by fulfilling the production needs of the United Nations is illustrated in this poster issued by the War Production Board (WPB). These posters are being delivered to war factories throughout the nation. The field of the poster is white with printing in red, blue and black. Its measurements are 28 x 40 in.",IMG01,PC02,World War public-information and propaganda posters,proposed_new_cell,high,keyword_rule,\bWar Production\b; \bOffice of War Information\b; \bAxis\b,Create or confirm a public-information/war-propaganda poster cell.
ECAP049,SRC006,Library of Congress loc.gov API,"Official Boy Scout poster. Dr. James E. West, Chief Scout Executive of the Boy Scouts (left) and Rep. Sol Bloom of New York with the official poster. This poster was painted and donated to the Boy Scout Jamboree by Howard Chandler Christy. It, the poster, will be distributed all over the world for the coming Boy Scout Jamboree which will be held in Washington from June 30th to July 9th with 30,000 Boy Scouts in attendance. Rep. Bloom has been one of the most active leaders in promoting this Boy Scout Jamboree, 5/21/1937",IMG01,UNASSIGNED,Unassigned capture pool,unassigned_pool,unknown,no_rule_match,,Review manually or add a new cell rule before next generation.
ECAP050,SRC006,Library of Congress loc.gov API,[Lewis Newton collection of African American posters],IMG04,UNASSIGNED,Unassigned capture pool,unassigned_pool,unknown,no_rule_match,,Review manually or add a new cell rule before next generation.
