candidate_id,source_name,macro_region,country_or_region,source_class,period_intent,url,http_status,final_url,content_type,response_bytes,page_title,meta_description,detected_protocols,protocol_evidence,capture_priority,capture_intent,recommended_image_policy,recommended_text_policy,rights_risk,probe_status,failure_reason,raw_probe_path,access_date,notes
ESV201,M+ Collections,East Asia,Hong Kong,museum/archive,postwar-present,https://www.mplus.org.hk/en/collection/,200,https://www.mplus.org.hk/en/collection/,text/html; charset=utf-8,180000,Explore the M+ Collections Online | M+ Museum,Discover some of the world’s foremost collections of twentieth- and twenty-first-century visual culture.,,,P1_underrepresented_region,Hong Kong and Asian design/object/archive records,IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV201.html.txt,2026-06-01,Corrected collection URL after previous archive URL returned 404.
ESV202,Hong Kong Film Archive,East Asia,Hong Kong,government film archive,pre-WWII-present,https://www.filmarchive.gov.hk/,,,,,,,,,P4_hold_or_manual,"poster, publicity, film-title graphic evidence",IMG00_until_endpoint_verified,extract_source_text_or_context; no AI-generated evidence,high,failed,TimeoutError: The read operation timed out,,2026-06-01,Useful for film poster and publicity design.
ESV203,Hong Kong Heritage Project,East Asia,Hong Kong,community/history archive,modern-present,https://www.hongkongheritage.org/,200,https://www.hongkongheritage.org/,text/html; charset=utf-8,86786,Hong Kong Heritage Project,,,,P1_underrepresented_region,Hong Kong social and corporate visual culture context,IMG02_source_hosted_or_IMG00_until_item_rights,extract_source_text_or_context; no AI-generated evidence,high,ok,,data/source_probe_edge_v2_raw/ESV203.html.txt,2026-06-01,Context source; image use requires review.
ESV204,Taiwan Cultural Memory Bank,East Asia,Taiwan,government/community memory archive,pre-WWII-present,https://tcmb.culture.tw/,,,,,,,,,P4_hold_or_manual,"Taiwan visual culture, posters, ephemera, publication records",IMG00_until_endpoint_verified,extract_source_text_or_context; no AI-generated evidence,high,failed,URLError: <urlopen error [SSL: CERTIFICATE_VERIFY_FAILED] certificate verify failed: Missing Subject Key Identifier (_ssl.c:1028)>,,2026-06-01,Alternate endpoint for memory.culture.tw.
ESV205,Taiwan Design Research Institute,East Asia,Taiwan,government/design institution,post-1990-present,https://www.tdri.org.tw/,200,https://www.tdri.org.tw/zh-TW,text/html; charset=utf-8,45401,台灣設計研究院 - TDRI,財團法人台灣設計研究院將運用「設計力」整合政府跨部會的資源，讓設計成為我國重要施政價值與國家戰略，期許引領產業和社會永續發展，並增進國民生活價值。TDRI將協助政府擬定國家設計政策，提升政府施政效能，同時透過跨領域的知識整合，讓政府導入設計思維，以設計驅動企業賦能，在臺灣打造設計領先型企業。,JSON-LD,JSON-LD:schema.org,P1_underrepresented_region,Taiwan design institution and exhibition context,IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV205.html.txt,2026-06-01,Institutional context; not open-image by default.
ESV206,Taiwan Film and Audiovisual Institute,East Asia,Taiwan,government film archive,pre-WWII-present,https://www.tfai.org.tw/,403,https://www.tfai.org.tw/,,,,,,,P4_hold_or_manual,Taiwan film poster and publicity design records,IMG00_until_endpoint_verified,extract_source_text_or_context; no AI-generated evidence,high,http_error,HTTP 403: Forbidden,,2026-06-01,Good poster pathway if collections expose records.
ESV207,National Taiwan Museum of Fine Arts,East Asia,Taiwan,museum,modern-present,https://www.ntmofa.gov.tw/,200,https://www.ntmofa.gov.tw/,text/html; charset=utf-8,155605,國立臺灣美術館,,,,P1_underrepresented_region,Taiwan modern art/design exhibition and poster context,IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV207.html.txt,2026-06-01,Museum source; item rights vary.
ESV208,Ginza Graphic Gallery,East Asia,Japan,design gallery/institution,1986-present,https://www.dnpfcp.jp/gallery/ggg/,200,https://www.dnpfcp.jp/gallery/ggg/,text/html,12973,ギンザ・グラフィック・ギャラリー,ギンザ・グラフィック・ギャラリー（ginza graphic gallery）は、展覧会やレクチャーの開催、gggBooks等の出版活動を継続し、多くの方々にグラフィックデザインの素晴らしさと出会う機会をご提供しています。,,,P2_source_registry_then_adapter,Japanese graphic design exhibitions and designer context,IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV208.html.txt,2026-06-01,Corrected URL; link-first.
ESV209,Kyoto ddd gallery,East Asia,Japan,design gallery/institution,1991-present,https://www.dnpfcp.jp/gallery/ddd/,200,https://www.dnpfcp.jp/gallery/ddd/,text/html,13487,京都dddギャラリー,京都dddギャラリーは、関西の数少ないグラフィックデザイン専門ギャラリーのひとつとして展覧会やレクチャーの活動を行っています。,,,P2_source_registry_then_adapter,Japanese/Kansai graphic design exhibition context,IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV209.html.txt,2026-06-01,Corrected URL; link-first.
ESV210,Center for Contemporary Graphic Art,East Asia,Japan,design gallery/archive,modern-present,https://www.dnpfcp.jp/gallery/ccga/,200,https://www.dnpfcp.jp/gallery/ccga/,text/html,8476,CCGA現代グラフィックアートセンター,CCGA現代グラフィックアートセンターは、グラフィックアートへの貢献を長年つづけてきた大日本印刷が、福島県須賀川市の緑豊かな宇津峰山麓に開設した小さな美術館です。,,,P2_source_registry_then_adapter,Japanese graphic art/poster exhibition context,IMG00_or_IMG02_after_source_terms,extract_source_text_or_context; no AI-generated evidence,medium,ok,,data/source_probe_edge_v2_raw/ESV210.html.txt,2026-06-01,DNP family; image rights restricted.
