cluster_key,source_family,region,theme,five_year_bucket,actual_year_span,global_scope_policy,cluster_size,role_rows,packet_scale,packet_readiness,cover_main_requirement,normal_main_policy,normal_main_target_min,sub_target_min,sub_target_max,appendix_policy,card_policy,minimum_text_pages,editorial_page_requirement,reading_note_requirement,folder_directory_mode,content_tree_depth,layout_family,node_explanation_required,reason
Global / transnational|Modern typography and layout|Wikimedia Commons|1970-1974,Wikimedia Commons,Global / transnational,Modern typography and layout,1970-1974,1970-1974,global_host_requires_scope_review,673,673,large,scope_review_before_packet,cover_main_required,multiple_normal_mains_allowed_under_cover,10,10,355,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=355; card_candidates=250; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1975-1979,Wikimedia Commons,Global / transnational,Modern typography and layout,1975-1979,1975-1979,global_host_requires_scope_review,576,576,large,scope_review_before_packet,cover_main_required,multiple_normal_mains_allowed_under_cover,10,10,522,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=522; card_candidates=23; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Mexico|World War and public-information graphics|Wikimedia Commons|1845-1849,Wikimedia Commons,Mexico,World War and public-information graphics,1845-1849,1846-1848,region_specific_or_not_global,223,223,large,scope_review_before_packet,cover_main_required,normal_main_anchor_selection_needed,1,10,45,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=45; card_candidates=0; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1940-1944,Wikimedia Commons,Global / transnational,Modern typography and layout,1940-1944,1940-1944,global_host_requires_scope_review,187,187,large,scope_review_before_packet,cover_main_required,multiple_normal_mains_allowed_under_cover,10,10,69,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=69; card_candidates=87; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1935-1939,Wikimedia Commons,Global / transnational,Modern typography and layout,1935-1939,1935-1939,global_host_requires_scope_review,178,178,large,scope_review_before_packet,cover_main_required,multiple_normal_mains_allowed_under_cover,7,10,84,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=84; card_candidates=56; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Kazakhstan|Modern typography and layout|Wikimedia Commons|1995-1999,Wikimedia Commons,Kazakhstan,Modern typography and layout,1995-1999,1995-1999,region_specific_or_not_global,172,172,large,scope_review_before_packet,cover_main_required,normal_main_anchor_selection_needed,0,10,10,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=0; card_candidates=172; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
India|Modern typography and layout|Wikimedia Commons|1940-1944,Wikimedia Commons,India,Modern typography and layout,1940-1944,1940-1944,region_specific_or_not_global,143,143,large,scope_review_before_packet,cover_main_required,single_normal_main_expected,1,10,131,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=131; card_candidates=2; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Indonesia|Modern typography and layout|Wikimedia Commons|1975-1979,Wikimedia Commons,Indonesia,Modern typography and layout,1975-1979,1975-1979,region_specific_or_not_global,138,138,large,scope_review_before_packet,cover_main_required,normal_main_anchor_selection_needed,1,10,10,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=1; card_candidates=137; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1965-1969,Wikimedia Commons,Global / transnational,Modern typography and layout,1965-1969,1965-1969,global_host_requires_scope_review,136,136,large,scope_review_before_packet,cover_main_required,multiple_normal_mains_allowed_under_cover,10,10,48,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=48; card_candidates=54; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Global / transnational|Modern typography and layout|Wikimedia Commons|1930-1934,Wikimedia Commons,Global / transnational,Modern typography and layout,1930-1934,1930-1934,global_host_requires_scope_review,135,135,large,scope_review_before_packet,cover_main_required,multiple_normal_mains_allowed_under_cover,6,10,53,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=53; card_candidates=68; scope=global_host_requires_scope_review; lane=macro_cluster_needs_split
Indonesia|Modern typography and layout|Wikimedia Commons|1970-1974,Wikimedia Commons,Indonesia,Modern typography and layout,1970-1974,1970-1974,region_specific_or_not_global,125,125,large,scope_review_before_packet,cover_main_required,normal_main_anchor_selection_needed,1,10,10,appendix_can_have_text_and_card; use_for_weaker_than_sub_evidence,card_is_leaf_visual_or_excerpt_unit,15,mandatory_editorial_page,curated_packet_reading_note_required,packet_tree_directory,cover>normal_main>(text|sub>text|appendix>text|card),large_packet_tree,node_summary; relation_to_parent; source_basis; confidence_status,scale=large; sub_candidates=3; card_candidates=122; scope=region_specific_or_not_global; lane=macro_cluster_needs_split
