surface_id,capture_id,candidate_role,title,source_name,before_publication_role,after_publication_role,before_surface_type,after_surface_type,before_template_id,after_template_id,before_image_state,after_image_state,delta_status
SURF-CCT2026R00413,CCT2026R00413,card_context,Stamp-kenya1966-ant-bear.jpeg,Wikimedia Commons file source / Stamp-kenya1966-ant-bear.jpeg / page 69787732,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R02743,CAW2026R02743,card_context,ALB 1968 MiNr1314A pm B002.jpg,Wikimedia Commons file source / ALB 1968 MiNr1314A pm B002.jpg / page 67993797,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R02323,CAW2026R02323,card_context,Stamp of Angola - 1951 - Colnect 167091 - Holy year.jpeg,Wikimedia Commons file source / Stamp of Angola - 1951 - Colnect 167091 - Holy year.jpeg / page 115883526,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R02681,CAW2026R02681,card_context,Stamp of Peru - 1965 - Colnect 349882 - Pacific Fair Emblem.jpeg,Wikimedia Commons file source / Stamp of Peru - 1965 - Colnect 349882 - Pacific Fair Emblem.jpeg / page 115002041,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R02691,CAW2026R02691,card_context,BEN 1967 MiNr0324 pm B002a.jpg,Wikimedia Commons file source / BEN 1967 MiNr0324 pm B002a.jpg / page 78262291,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R02181,CAW2026R02181,card_context,Jugoslavija ustav 2 dinar.png,Wikimedia Commons file source / Jugoslavija ustav 2 dinar.png / page 192691643,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CCT2026R00318,CCT2026R00318,card_context,"Commemorative stamp of the Reunification of Cameroon on October 1, 1961.webp","Wikimedia Commons file source / Commemorative stamp of the Reunification of Cameroon on October 1, 1961.webp / page 132171363",main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R02766,CAW2026R02766,card_context,Stamp of Rwanda - 1969 - Colnect 699054 - The Moneylender and his Wife by Marinus van Reymerswaele.jpeg,Wikimedia Commons file source / Stamp of Rwanda - 1969 - Colnect 699054 - The Moneylender and his Wife by Marinus van Reymerswaele.jpeg / page 115808510,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R02113,CAW2026R02113,card_context,Matija gubec stamp 1942.jpg,Wikimedia Commons file source / Matija gubec stamp 1942.jpg / page 174384613,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R02569,CAW2026R02569,card_context,Unstamp au congo 11.jpg,Wikimedia Commons file source / Unstamp au congo 11.jpg / page 14851080,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CCT2026R01175,CCT2026R01175,card_context,China 1949 - Non-Denominated Airmail stamp.jpg,Wikimedia Commons file source / China 1949 - Non-Denominated Airmail stamp.jpg / page 68004882,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CCT2026R01629,CCT2026R01629,card_context,Foaie cap de bour 1958.jpg,Wikimedia Commons file source / Foaie cap de bour 1958.jpg / page 19748316,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R02091,CAW2026R02091,card_context,StampTartu(Estonia)1941Michel8.jpg,Wikimedia Commons file source / StampTartu(Estonia)1941Michel8.jpg / page 33416921,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CCT2026R03560,CCT2026R03560,card_context,Stamp Fiji 1959 2 6 Nadi Airport.jpg,Wikimedia Commons file source / Stamp Fiji 1959 2 6 Nadi Airport.jpg / page 16187525,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CRG2026R1653,CRG2026R1653,card_context,Israeli stamps 1963 - series of wall and tower - 1.jpg,Wikimedia Commons file source / Israeli stamps 1963 - series of wall and tower - 1.jpg / page 33595268,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CCT2026R03102,CCT2026R03102,card_context,The East Ghor Canal Project.jpg,Wikimedia Commons file source / The East Ghor Canal Project.jpg / page 32432690,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CCT2026R04246,CCT2026R04246,card_context,Stamp of Laos (1962) - Savang Vatthana.jpg,Wikimedia Commons file source / Stamp of Laos (1962) - Savang Vatthana.jpg / page 125441210,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CCT2026R02529,CCT2026R02529,card_context,Stamp of Peru - 1936 - Colnect 437914 - Mines.jpeg,Wikimedia Commons file source / Stamp of Peru - 1936 - Colnect 437914 - Mines.jpeg / page 114987600,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R02303,CAW2026R02303,card_context,Riga 1950 60kop USSR.jpg,Wikimedia Commons file source / Riga 1950 60kop USSR.jpg / page 8458163,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R01736,CAW2026R01736,card_context,"Lithuanian postage stamps with Žemaitė, 1933.jpg","Wikimedia Commons file source / Lithuanian postage stamps with Žemaitė, 1933.jpg / page 125378328",main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CCT2026R00503,CCT2026R00503,card_context,Stamp MA 1950 15+10 Fr.jpg,Wikimedia Commons file source / Stamp MA 1950 15+10 Fr.jpg / page 158873186,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R02114,CAW2026R02114,card_context,Stamp of Moldova - 2012 - Colnect 272865 - Mihai Dolgan 1942-2008 Singer and Composer.jpeg,Wikimedia Commons file source / Stamp of Moldova - 2012 - Colnect 272865 - Mihai Dolgan 1942-2008 Singer and Composer.jpeg / page 115752134,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R02242,CAW2026R02242,card_context,USSR-communicationmeeting-1958.jpg,Wikimedia Commons file source / USSR-communicationmeeting-1958.jpg / page 2834140,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R01710,CAW2026R01710,card_context,Stamp of Peru - 1932 - Colnect 846134 - Number 2.jpeg,Wikimedia Commons file source / Stamp of Peru - 1932 - Colnect 846134 - Number 2.jpeg / page 114985153,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R02336,CAW2026R02336,card_context,"Myanmar in 1951 art, from- Burma Civil Liberties Poster - NARA - 5729921 (cropped).jpg","Wikimedia Commons file source / Myanmar in 1951 art, from- Burma Civil Liberties Poster - NARA - 5729921 (cropped).jpg / page 84930875",main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CCT2026R03487,CCT2026R03487,card_context,Australianstamp 1442.jpg,Wikimedia Commons file source / Australianstamp 1442.jpg / page 12597156,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R02166,CAW2026R02166,card_context,Zanzibaralbusaid1944.jpg,Wikimedia Commons file source / Zanzibaralbusaid1944.jpg / page 6525200,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R02169,CAW2026R02169,card_context,Stamp of Aegean Islands - 1944 - Colnect 413750 - Pro sinistrati di guerra.jpeg,Wikimedia Commons file source / Stamp of Aegean Islands - 1944 - Colnect 413750 - Pro sinistrati di guerra.jpeg / page 115644899,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R02768,CAW2026R02768,card_context,Stamp of Rwanda - 1969 - Colnect 988101 - The Moneylender and his Wife by Quentin Matsys.jpeg,Wikimedia Commons file source / Stamp of Rwanda - 1969 - Colnect 988101 - The Moneylender and his Wife by Quentin Matsys.jpeg / page 115808898,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R02697,CAW2026R02697,card_context,Stamp of Zanzibar - 1966 - Colnect 465791 - Education.jpeg,Wikimedia Commons file source / Stamp of Zanzibar - 1966 - Colnect 465791 - Education.jpeg / page 115889903,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R02548,CAW2026R02548,card_context,Ironworks-in-Sisak.jpg,Wikimedia Commons file source / Ironworks-in-Sisak.jpg / page 147140712,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R02711,CAW2026R02711,card_context,FrankLloydWright1966USstamp.jpg,Wikimedia Commons file source / FrankLloydWright1966USstamp.jpg / page 698792,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CCT2026R03741,CCT2026R03741,card_context,Stamp of India - 1950 - Colnect 986625 - 1 - Quill ink well and verse.jpeg,Wikimedia Commons file source / Stamp of India - 1950 - Colnect 986625 - 1 - Quill ink well and verse.jpeg / page 98491515,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CCT2026R04325,CCT2026R04325,card_context,Dinopium everetti 1969 stamp of the Philippines.jpg,Wikimedia Commons file source / Dinopium everetti 1969 stamp of the Philippines.jpg / page 49655801,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CCT2026R03193,CCT2026R03193,card_context,Stamp Alexandretta 4pi.jpg,Wikimedia Commons file source / Stamp Alexandretta 4pi.jpg / page 1561433,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R01740,CAW2026R01740,card_context,Stamp of Aegean Islands - 1933 - Colnect 177601 - Rodi - Symbolical of Flight.jpeg,Wikimedia Commons file source / Stamp of Aegean Islands - 1933 - Colnect 177601 - Rodi - Symbolical of Flight.jpeg / page 115644051,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R02729,CAW2026R02729,card_context,Sheik-Rashid-bin-Said 1967 stamps of Dubai.jpg,Wikimedia Commons file source / Sheik-Rashid-bin-Said 1967 stamps of Dubai.jpg / page 169092346,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-IR1970R016,IR1970R016,card_context,"A tuberculosis stamp showing children singing Christmas carols; advertising the sale of tuberculosis stamps. Colour lithograph (?), 1940.",Wellcome Collection Catalogue API,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG02,IMG02,preview_disposition_applied
SURF-IR1970R034,IR1970R034,card_context,"A radiologist conducting a chest x-ray of a young man in order to detect early signs of tuberculosis. Colour lithograph after A. Wilquin, 1949.",Wellcome Collection Catalogue API,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG02,IMG02,preview_disposition_applied
SURF-CAW2026R01681,CAW2026R01681,card_context,Stamp of Belgian Congo - 1931 - Colnect 156572 - Sir Henry Morton Stanley.jpeg,Wikimedia Commons file source / Stamp of Belgian Congo - 1931 - Colnect 156572 - Sir Henry Morton Stanley.jpeg / page 115853451,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R02733,CAW2026R02733,card_context,Stamps Mahra state 1967 world scout meeting 03.jpg,Wikimedia Commons file source / Stamps Mahra state 1967 world scout meeting 03.jpg / page 174228778,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CCT2026R00644,CCT2026R00644,card_context,"South Africa 1986 variable value stamp 00,14 Mi 1.2.jpg","Wikimedia Commons file source / South Africa 1986 variable value stamp 00,14 Mi 1.2.jpg / page 98255414",main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
SURF-CAW2026R03268,CAW2026R03268,card_context,Stamp of Albania - 1993 - Colnect 369475 - The green stone painting by Edi Hila.jpeg,Wikimedia Commons file source / Stamp of Albania - 1993 - Colnect 369475 - The green stone painting by Edi Hila.jpeg / page 98410847,main_sheet,card,sheet,card,sheet.main.v0,card.sparse.v0,IMG03,IMG03,preview_disposition_applied
