probe_id,candidate_id,source_name,macro_region,country_or_region,institution_class,institutional_level,access_family_claimed,url,http_status,final_url,content_type,response_bytes,page_title,meta_description,detected_protocols,protocol_evidence,adapter_hint,capture_priority_next,recommended_image_policy,recommended_text_policy,probe_status,failure_reason,raw_probe_path,access_date
SCP001,ESC001,AHIRA Archivo Historico de Revistas Argentinas,Latin America,Argentina,university,community/university,HTML+PDF,https://ahira.com.ar/,200,https://ahira.com.ar/,text/html; charset=UTF-8,140088,Ahira – Archivo Histórico de Revistas Argentinas,,RSS/Atom;PDF,RSS/Atom:application/rss+xml;PDF:claimed,pdf_text_or_link_adapter,P1_adapter_candidate,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,ok,,data/source_candidate_probe_v1_raw/ESC001.html.txt,2026-06-01
SCP002,ESC002,Fundacion IDA Investigacion en Diseno Argentino,Latin America,Argentina,community,community,HTML,https://www.fundacionida.org/,200,https://www.fundacionida.org/,text/html; charset=utf-8,31775,Fundacion IDA,,JSON-LD,JSON-LD:application/ld+json,html_jsonld_adapter,P1_adapter_candidate,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,ok,,data/source_candidate_probe_v1_raw/ESC002.html.txt,2026-06-01
SCP003,ESC005,CeDInCI Archivo,Latin America,Argentina,community,community/university,HTML,https://cedinci.org/,200,https://cedinci.org/,text/html; charset=UTF-8,118801,,,RSS/Atom;JSON-LD,RSS/Atom:application/rss+xml;JSON-LD:schema.org,html_jsonld_adapter,P1_adapter_candidate,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,ok,,data/source_candidate_probe_v1_raw/ESC005.html.txt,2026-06-01
SCP004,ESC017,University of Cape Town Digital Collections,Africa,South Africa,university,university,HTML,https://digitalcollections.lib.uct.ac.za/,200,https://ibali.uct.ac.za/bot-challenge?redirect_url=%2F,text/html; charset=UTF-8,6045,Verifying your browser,,Omeka,Omeka:omeka,omeka_api_adapter,P1_adapter_candidate,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,ok,,data/source_candidate_probe_v1_raw/ESC017.html.txt,2026-06-01
SCP005,ESC018,Mayibuye Archives,Africa,South Africa,university,university,HTML,https://www.uwc.ac.za/,200,https://www.uwc.ac.za/,text/html; charset=utf-8,84316,Home | UWC,"The University of the Western Cape is a national university, alert to its African and international context as it strives to be a place of quality, a place to grow. It is committed to excellence in teaching, learning and research, to…",JSON-LD,JSON-LD:application/ld+json,html_jsonld_adapter,P1_adapter_candidate,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,ok,,data/source_candidate_probe_v1_raw/ESC018.html.txt,2026-06-01
SCP006,ESC028,Chimurenga Library,Africa,Pan-African,community,community,HTML,https://chimurengalibrary.co.za/,,,,,,,,,manual_review_or_alternate_endpoint,hold_probe_failed,IMG00_until_source_endpoint_verified,manual_context_only,failed,URLError: <urlopen error timed out>,,2026-06-01
SCP007,ESC030,Arab Image Foundation,Middle East and North Africa,Lebanon / regional,community,community,HTML,https://arabimagefoundation.org/,200,https://arabimagefoundation.org/,text/html; charset=UTF-8,32773,Arab Image Foundation,موقع المؤسسة العربية للصورة,PDF,PDF:.pdf,pdf_text_or_link_adapter,P1_adapter_candidate,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,ok,,data/source_candidate_probe_v1_raw/ESC030.html.txt,2026-06-01
SCP008,ESC050,National Diet Library Digital Collections,East Asia,Japan,government,national,API+IIIF+HTML,https://dl.ndl.go.jp/,200,https://dl.ndl.go.jp/,text/html,4357,国立国会図書館デジタルコレクション,,IIIF,IIIF:claimed,iiif_manifest_adapter,P1_adapter_candidate,IMG02_source_viewer_or_iiif_candidate,extract_source_text_or_context,ok,,data/source_candidate_probe_v1_raw/ESC050.html.txt,2026-06-01
SCP009,ESC055,National Library of Korea Digital Collection,East Asia,Korea,government,national,HTML,https://www.nl.go.kr/,200,https://www.nl.go.kr/,text/html;charset=UTF-8,180000,국립중앙도서관,국립중앙도서관에 오신 것을 환영합니다,,,html_text_source_adapter,P2_html_source_candidate,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,ok,,data/source_candidate_probe_v1_raw/ESC055.html.txt,2026-06-01
SCP010,ESC061,National Central Library Taiwan,East Asia,Taiwan,government,national,HTML,https://www.ncl.edu.tw/,200,https://www.ncl.edu.tw/,text/html; charset=utf-8,93317,國家圖書館-首頁,國家圖書館以保存文化、弘揚學術研究為主，提供圖書、電子書、期刊、論文、政府公報、古籍、手稿、家譜、漢學、藝文、資料庫等學習資訊服務，及閱覽證、自修室預約、活動報名、研究小間、團體討論室、導覽及會議場地等線上申請服務。,PDF,PDF:.pdf,pdf_text_or_link_adapter,P1_adapter_candidate,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,ok,,data/source_candidate_probe_v1_raw/ESC061.html.txt,2026-06-01
SCP011,ESC066,Khastara Perpusnas Indonesia,Southeast Asia,Indonesia,government,national,HTML,https://khastara.perpusnas.go.id/,200,https://khastara.perpusnas.go.id/,text/html,31946,Khastara Perpusnas,Khasanah Pustaka Nusantara,,,html_text_source_adapter,P2_html_source_candidate,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,ok,,data/source_candidate_probe_v1_raw/ESC066.html.txt,2026-06-01
SCP012,ESC087,Ukrainian Liberation Movement Archive,Eastern Europe,Ukraine,community,community,HTML,https://avr.org.ua/,200,https://avr.org.ua/,text/html; charset=utf-8,180000,Електронний архів українського визвольного руху,Digital archive of Ukrainian Liberation Movement,,,html_text_source_adapter,P2_html_source_candidate,IMG00_or_IMG02_after_record_level_rights,extract_source_text_or_context,ok,,data/source_candidate_probe_v1_raw/ESC087.html.txt,2026-06-01
SCP013,SEM021,POLONA,Eastern Europe,,government,national,IIIF+HTML,https://polona.pl/,200,https://polona.pl/,text/html,17224,Polona,Biblioteka cyfrowa Polona,IIIF,IIIF:claimed,iiif_manifest_adapter,P1_adapter_candidate,IMG02_source_viewer_or_iiif_candidate,extract_source_text_or_context,ok,,data/source_candidate_probe_v1_raw/SEM021.html.txt,2026-06-01
SCP014,SEM025,Kramerius,Eastern Europe,,library,institutional,OAI+API+HTML,https://system-kramerius.cz/en/,200,https://system-kramerius.cz/en/,text/html; charset=UTF-8,180000,Kramerius,"Open-source software for digital libraries, a modern solution for making digitized documents accessible, used by more than 40 institutions in the Czech Republic and Slovakia.",IIIF;OAI-PMH;Kramerius;JSON-LD,IIIF:iiif;OAI-PMH:oai-pmh;Kramerius:kramerius;JSON-LD:application/ld+json,kramerius_adapter,P3_manual_source_candidate,IMG02_source_viewer_or_iiif_candidate,extract_source_text_or_context,ok,,data/source_candidate_probe_v1_raw/SEM025.html.txt,2026-06-01
